prediction_id	renderer_id	workshop_hand	predicted_workshop_reading_de	atom_sequence	card_identity_sequence	visible_surface_sequence	changed_from_master	ambiguous_surface_count	ambiguous_surfaces	all_individual_surfaces_preexisting	semantic_program_preserved
PX01	R-A	VORLAGENHAND	diesen Posten nach Sollmaß zum Ziel bringen	Y > AIIN > AL	MC123 MC039 MC154	chey aiin al	0	0	NONE	YES	YES
PX01	R-B	Q-EINTRITTSHAND	diesen Posten nach Sollmaß zum Ziel bringen	Y > AIIN > AL	MC123 MC039 MC154	chey aiin al	0	0	NONE	YES	YES
PX01	R-C	S-FLUSSHAND	diesen Posten nach Sollmaß zum Ziel bringen	Y > AIIN > AL	MC123 MC039 MC154	shy saiin sal	3	0	NONE	YES	YES
PX01	R-D	KURZHAND	diesen Posten nach Sollmaß zum Ziel bringen	Y > AIIN > AL	MC123 MC039 MC154	y aiin al	1	0	NONE	YES	YES
PX02	R-A	VORLAGENHAND	den aktuellen Ansatz auf Sollmaß bringen	OR > Y > AIIN	MC080 MC123 MC039	chor chey aiin	0	0	NONE	YES	YES
PX02	R-B	Q-EINTRITTSHAND	den aktuellen Ansatz auf Sollmaß bringen	OR > Y > AIIN	MC080 MC123 MC039	chor chey aiin	0	0	NONE	YES	YES
PX02	R-C	S-FLUSSHAND	den aktuellen Ansatz auf Sollmaß bringen	OR > Y > AIIN	MC080 MC123 MC039	shor shy saiin	3	0	NONE	YES	YES
PX02	R-D	KURZHAND	den aktuellen Ansatz auf Sollmaß bringen	OR > Y > AIIN	MC080 MC123 MC039	or y aiin	2	0	NONE	YES	YES
PX03	R-A	VORLAGENHAND	den nächsten Schritt weiterführen, kurz absetzen und schließen	OT+OL > OL > SHED+E+CLOSE	MC053 MC153 MC128	otol cheol cheedy	0	0	NONE	YES	YES
PX03	R-B	Q-EINTRITTSHAND	den nächsten Schritt weiterführen, kurz absetzen und schließen	OT+OL > OL > SHED+E+CLOSE	MC053 MC153 MC128	otol qol cheedy	1	0	NONE	YES	YES
PX03	R-C	S-FLUSSHAND	den nächsten Schritt weiterführen, kurz absetzen und schließen	OT+OL > OL > SHED+E+CLOSE	MC053 MC153 MC128	otol sol shedy	2	0	NONE	YES	YES
PX03	R-D	KURZHAND	den nächsten Schritt weiterführen, kurz absetzen und schließen	OT+OL > OL > SHED+E+CLOSE	MC053 MC153 MC128	otol ol tedy	2	0	NONE	YES	YES
PX06	R-A	VORLAGENHAND	das Sollmaß für den folgenden Posten am Ziel eröffnen	AIIN > Y > AL	MC039 MC123 MC154	aiin chey al	0	0	NONE	YES	YES
PX06	R-B	Q-EINTRITTSHAND	das Sollmaß für den folgenden Posten am Ziel eröffnen	AIIN > Y > AL	MC039 MC123 MC154	aiin chey al	0	0	NONE	YES	YES
PX06	R-C	S-FLUSSHAND	das Sollmaß für den folgenden Posten am Ziel eröffnen	AIIN > Y > AL	MC039 MC123 MC154	saiin shy sal	3	0	NONE	YES	YES
PX06	R-D	KURZHAND	das Sollmaß für den folgenden Posten am Ziel eröffnen	AIIN > Y > AL	MC039 MC123 MC154	aiin y al	1	0	NONE	YES	YES
PX07	R-A	VORLAGENHAND	den aktuellen Ansatz an die Zielstelle geben	OR > Y > AL	MC080 MC123 MC154	chor chey al	0	0	NONE	YES	YES
PX07	R-B	Q-EINTRITTSHAND	den aktuellen Ansatz an die Zielstelle geben	OR > Y > AL	MC080 MC123 MC154	chor chey al	0	0	NONE	YES	YES
PX07	R-C	S-FLUSSHAND	den aktuellen Ansatz an die Zielstelle geben	OR > Y > AL	MC080 MC123 MC154	shor shy sal	3	0	NONE	YES	YES
PX07	R-D	KURZHAND	den aktuellen Ansatz an die Zielstelle geben	OR > Y > AL	MC080 MC123 MC154	or y al	2	0	NONE	YES	YES
PX08	R-A	VORLAGENHAND	diesen Posten am Ziel umsetzen und schließen	Y > AL > CHD+CLOSE	MC123 MC154 MC025	chey al dchedy	0	0	NONE	YES	YES
PX08	R-B	Q-EINTRITTSHAND	diesen Posten am Ziel umsetzen und schließen	Y > AL > CHD+CLOSE	MC123 MC154 MC025	chey al dchedy	0	0	NONE	YES	YES
PX08	R-C	S-FLUSSHAND	diesen Posten am Ziel umsetzen und schließen	Y > AL > CHD+CLOSE	MC123 MC154 MC025	shy sal schedy	3	0	NONE	YES	YES
PX08	R-D	KURZHAND	diesen Posten am Ziel umsetzen und schließen	Y > AL > CHD+CLOSE	MC123 MC154 MC025	y al dchedy	1	0	NONE	YES	YES
PX11	R-A	VORLAGENHAND	danach den vorigen Ansatz weiterführen	OT+OL > OL+OR > OL	MC053 MC157 MC153	otol cholor cheol	0	0	NONE	YES	YES
PX11	R-B	Q-EINTRITTSHAND	danach den vorigen Ansatz weiterführen	OT+OL > OL+OR > OL	MC053 MC157 MC153	otol cholor qol	1	0	NONE	YES	YES
PX11	R-C	S-FLUSSHAND	danach den vorigen Ansatz weiterführen	OT+OL > OL+OR > OL	MC053 MC157 MC153	otol cholor sol	1	0	NONE	YES	YES
PX11	R-D	KURZHAND	danach den vorigen Ansatz weiterführen	OT+OL > OL+OR > OL	MC053 MC157 MC153	otol olor ol	2	0	NONE	YES	YES
