surface	semantic_family	candidate_whole_de	field_renderer_de	candidate_confidence	positive_evidence	counterevidence	candidate_source	expected_source_default_de	expected_source_level	existing_gdt775_selected	consume_right_token	scope_status	historical_field_type	component_export_credit
aiin	VALUE_AMOUNT	Mengenwert III	Menge: Stufe III	C2	GDT734 exact whole plus GDT736/GDT737 value ladder and eight medial targets	amount versus dose versus ordinal class remains open	GDT734+GDT736	Menge III	W2_PROVISIONAL_WORKING	1	1	EXACT_MEDIAL_OL_SPAN	AMOUNT_OR_DEGREE	0
chedy	DRY_RESULT	getrocknetes Ergebnis, Form I	Zustand: getrocknetes Ergebnis, Form I	C2	GDT734 exact whole plus GDT736 dry-result body and seven medial targets	state versus completed process remains open	GDT734+GDT736	mittlere Trockenstufe erreicht	W3_SOLID_WORKING_THEORY	1	1	EXACT_MEDIAL_OL_SPAN	QUALITY_OR_FORM	0
ol	NESTED_FIELD	weiteres Ansatzfeld	Unterfeld: weiterer Ansatz	C1	GDT736 whole-body role plus seven medial ol-ol chains	adjacent identical form creates overlap and identifies no substance; material or preparation carrier remains a rival	GDT734+GDT736	Ansatz	W1_WEAK_WORKING	0	0	EXACT_MEDIAL_OL_CHAIN	NESTED_RECORD_FIELD	0
sheey	MOIST_STATE	feuchte Form II	Zustand: feuchte Form II	C2	GDT734 exact whole plus GDT737 moist-state body and six medial targets	moist versus soaked remains unresolved	GDT734+GDT737	feucht, Endstufe	W1_WEAK_WORKING	1	1	EXACT_MEDIAL_OL_SPAN	QUALITY_OR_FORM	0
cheey	DRY_STATE	trockene Form II	Zustand: trockene Form II	C2	GDT734 exact whole plus GDT736 dry-form body and five medial targets	grade index versus form index remains open	GDT734+GDT736	trocken am Ende des Grades	W2_PROVISIONAL_WORKING	1	1	EXACT_MEDIAL_OL_SPAN	QUALITY_OR_FORM	0
chey	DRY_STATE	trockene Form I	Zustand: trockene Form I	C2	GDT734 exact whole plus GDT736 dry-form body and five medial targets	grade index versus form index remains open	GDT734+GDT736	trocken in der Mitte des Grades	W2_PROVISIONAL_WORKING	1	1	EXACT_MEDIAL_OL_SPAN	QUALITY_OR_FORM	0
kaiin	HEAT_VALUE	heiße Form, Stufe III	Wärmezustand: heiß, Stufe III	C2	GDT734 exact whole plus GDT737 heat-value body and five medial targets	state versus process and dimension remain open	GDT734+GDT737	heiß, Grad III	W3_SOLID_WORKING_THEORY	1	1	EXACT_MEDIAL_OL_SPAN	QUALITY_OR_DEGREE	0
shedy	MOIST_RESULT	feuchtes Ergebnis, Form I	Zustand: feuchtes Ergebnis, Form I	C2	GDT734 exact whole plus GDT736/GDT737 moist-result family and five medial targets	moist versus soaked and state versus process remain open	GDT734+GDT736	mittlere Feuchtstufe erreicht	W3_SOLID_WORKING_THEORY	1	1	EXACT_MEDIAL_OL_SPAN	QUALITY_OR_FORM	0
daiin	VALUE_AMOUNT	Wertslot III	Wert: Stufe III	C1	GDT734 exact whole plus GDT737 dose/value ladder and four medial targets	new context exceeds the old named-field scope; dose versus value open	GDT734+GDT737	Wert III	W2_PROVISIONAL_WORKING	1	1	EXACT_MEDIAL_OL_SPAN_EXTRAPOLATION	AMOUNT_OR_DEGREE	0
okaiin	HEATED_PREPARATION	heiße Zubereitung, Stufe III	Zubereitungsform: heiß, Stufe III	C2	GDT734 exact whole plus GDT737 heated-preparation body and four medial targets	grade versus class and hot state versus heating process remain open	GDT734+GDT737	heißer Ansatz, Grad III	W3_SOLID_WORKING_THEORY	1	1	EXACT_MEDIAL_OL_SPAN	PREPARATION_FORM	0
olaiin	MATERIAL_VALUE	Stoff, Wert III	Materialangabe: Stoff, Wert III	C1	GDT737 later candidate repairs the inherited absolute three-portion reading; four medial targets	amount versus class remains open and old absolute number is unsupported	GDT737	drei Portionen Drogenstoff	W3_SOLID_WORKING_THEORY	1	1	EXACT_MEDIAL_OL_SPAN_REVISED	MATERIAL_AND_VALUE	0
r	LATE_REFERENCE	Spätbezugsfeld	Spätbezug: folgendes Wertfeld	C0	three medial targets plus GDT737 nested-H3 body candidate and H3 position role; two are followed by ain or aiin and have fused rain or raiin comparators	single-glyph segmentation open; reference versus close remains unresolved; no root or material semantics	GDT737	Wurzel / Wurzeldroge (nur als Kompositionskopf)	W1_WEAK_WORKING	0	1	EXACT_MEDIAL_OL_SPAN_EXPLORATORY	REFERENCE_OR_CLOSE	0
al	MATERIAL_VALUE	Rohstoffstufe I	Materialangabe: Rohstoffstufe I	C1	GDT734 exact whole plus GDT736 material-stage body and two medial targets	material versus grade dimension remains open	GDT734+GDT736	Material I	W2_PROVISIONAL_WORKING	1	1	EXACT_MEDIAL_OL_SPAN	MATERIAL_OR_DEGREE	0
chdy	DRY_RESULT	trockenes Ergebnis, Grundform	Zustand: trockenes Ergebnis, Grundform	C2	GDT734 exact whole plus GDT736 dry-result body and two medial targets	state versus completed process remains open	GDT734+GDT736	trockene Anfangsstufe erreicht	W2_PROVISIONAL_WORKING	1	1	EXACT_MEDIAL_OL_SPAN	QUALITY_OR_FORM	0
dain	VALUE_AMOUNT	Wertslot II	Wert: Stufe II	C0	GDT734 exact whole and two medial targets	new context exceeds named-field scope; dose versus value open	GDT734	Wert II	W2_PROVISIONAL_WORKING	1	1	EXACT_MEDIAL_OL_SPAN_EXTRAPOLATION	AMOUNT_OR_DEGREE	0
dy	FIELD_CLOSE	Feldende	[FELDENDE]	C1	two medial targets plus two GDT734 structural whole cards	punctuation, clause close, and work-step boundary remain rivals	GDT734	[STRUKTUR: SATZSCHLUSS]	W0_PLACEHOLDER_OR_SEMANTICALLY_EMPTY	0	1	EXACT_MEDIAL_OL_SPAN_EXPLORATORY	FIELD_OR_ENTRY_CLOSE	0
kor	HEATED_PART	heiße Portion	Portion: heiß	C0	GDT734 weak exact whole and two medial targets	heat, portion, and morphology remain weakly grounded	GDT734	heiße Portion	W1_WEAK_WORKING	0	1	EXACT_MEDIAL_OL_SPAN_EXPLORATORY	MATERIAL_PART	0
oiin	PREPARATION_FORM	Zubereitungsform, Index III	Zubereitungsform: Index III	C1	GDT734 exact whole plus GDT736 preparation-form body and two medial targets	form versus value dimension remains open	GDT734+GDT736	Zubereitungsform III	W2_PROVISIONAL_WORKING	1	1	EXACT_MEDIAL_OL_SPAN	PREPARATION_FORM	0
olor	MATERIAL_PART	Zutatenportion	Zutatenportion	C0	GDT734 exact whole plus high GDT737 body candidate and two medial targets	two targets share one physical folio; ingredient versus generic part open	GDT734+GDT737	Zutat	W3_SOLID_WORKING_THEORY	0	1	EXACT_MEDIAL_OL_SPAN_ONE_FOLIO	MATERIAL_PART	0
or	PART_CARRIER	Portionsträger	Portionsträger	C1	GDT734 exact whole plus GDT736 part-carrier body and two medial targets	part versus quantity carrier remains open	GDT734+GDT736	Drogenportion	W2_PROVISIONAL_WORKING	1	1	EXACT_MEDIAL_OL_SPAN	MATERIAL_PART	0
oteedy	COOLED_PREPARATION	kalter Ansatz, Endform	Zubereitungszustand: kalt, Endform	C0	GDT734 exact whole and two medial targets; recurrent form-family prior	cold state versus cooling process and exact index remain open	GDT734	kalter Ansatz am Ende des Grades	W2_PROVISIONAL_WORKING	0	1	EXACT_MEDIAL_OL_SPAN_EXPLORATORY	QUALITY_OR_FORM	0
qoky	HEAT_STATE	heiße Anfangsform	Wärmezustand: heiß, Anfangsform	C1	GDT734 strong exact whole and two medial targets	state versus operation remains open	GDT734	heiß am Anfang des Grades	W3_SOLID_WORKING_THEORY	0	1	EXACT_MEDIAL_OL_SPAN_EXPLORATORY	QUALITY_OR_FORM	0
s	SUBENTRY_OR_AMOUNT_LINK	Unterposten; weiteres Feld folgt	Unterposten: folgendes Feld	C0	two medial targets and the transferred H2 item/subentry position role; GDT759 licenses s as an amount/unit head specifically before value wholes	single-glyph segmentation open; at these two non-value contexts H2 subentry versus distributive or amount linkage is unresolved; retired seed/material-head reading forbidden	GDT736+GDT737+GDT759	Samenposten	W2_PROVISIONAL_WORKING	0	1	EXACT_MEDIAL_OL_SPAN_EXPLORATORY	SUBENTRY_OR_AMOUNT_FIELD	0
shey	MOIST_STATE	feuchte Form I	Zustand: feuchte Form I	C1	GDT734 exact whole plus high GDT736/GDT737 moist-state body and two medial targets	moist versus soaked remains unresolved	GDT734+GDT736	feucht in der Mitte des Grades	W2_PROVISIONAL_WORKING	0	1	EXACT_MEDIAL_OL_SPAN_EXPLORATORY	QUALITY_OR_FORM	0
ydaiin	REFERENCE_VALUE	Bezugswert III	Bezugswert: Stufe III	C0	GDT734 weak exact whole and two medial targets	reference versus dose/value dimension remain open	GDT734	Bezugswert III	W1_WEAK_WORKING	0	1	EXACT_MEDIAL_OL_SPAN_EXPLORATORY	REFERENCE_OR_VALUE	0
