event_id	page	record	statement_id	locus	card_no	surface	silent_owner_de	invariant_operation_code	invariant_operation_de	owner_or_slot_fill	filled_local_verb_de	new_whole_word_introduced	resolved
E004	f10r	H1	H1-S001	f10r.2	PROC004	chty	abgebildete breit gezähnte radialblütige Pflanze	INTO_ACTIVE_ENTRY	diesen Posten in das aktive Fach übernehmen	SOURCE_COPY	übertragen	NO	YES
E008	f10r	H1	H1-S001	f10r.2	PROC008	oky	abgebildete breit gezähnte radialblütige Pflanze	ACTIVATE_CURRENT_ITEM	diesen Posten in Einsatz bringen	BASE_OPERATION	einsetzen	NO	YES
E011	f10r	H1	H1-S002	f10r.5	PROC011	qokchy	abgebildete breit gezähnte radialblütige Pflanze	START_CURRENT_ITEM	diesen Posten neu ansetzen	BASE_OPERATION	einsetzen	NO	YES
E056	f55v	H4	H4-S001	f55v.5	PROC038	qokaiin	abgebildete breitblättrige rispige Pflanze	ACTIVATE_TO_MEASURE	den laufenden Posten nach Sollmaß ansetzen	BASE_OPERATION	einsetzen	NO	YES
E062	f55v	H4	H4-S002	f55v.5	PROC042	chedy	abgebildete breitblättrige rispige Pflanze	TRANSFER_CURRENT_ITEM	diesen Posten umsetzen	MEASURE_SLOT	abmessen und umsetzen	NO	YES
E066	f55v	H4	H4-S003	f55v.11	PROC046	cheeky	abgebildete breitblättrige rispige Pflanze	SUSTAIN_TEMPERATURE	diesen Posten länger temperieren	THERMAL_STATE	temperieren	NO	YES
E081	f56r	H5	H5-S001	f56r.7	PROC008	choky	abgebildete mehrköpfige stachelige Pflanze	ACTIVATE_CURRENT_ITEM	diesen Posten in Einsatz bringen	BASE_OPERATION	einsetzen	NO	YES
E085	f56r	H5	H5-S002	f56r.8	PROC008	choky	abgebildete mehrköpfige stachelige Pflanze	ACTIVATE_CURRENT_ITEM	diesen Posten in Einsatz bringen	CONTACT_OR_APPLICATION_OWNER	anlegen	NO	YES
E091	f56r	H5	H5-S004	f56r.13	PROC011	okchy	abgebildete mehrköpfige stachelige Pflanze	START_CURRENT_ITEM	diesen Posten neu ansetzen	BASE_OPERATION	einsetzen	NO	YES
E095	f56r	H5	H5-S005	f56r.18	PROC011	chokchy	abgebildete mehrköpfige stachelige Pflanze	START_CURRENT_ITEM	diesen Posten neu ansetzen	BASE_OPERATION	ansetzen	NO	YES
E102	f81v	B1	B1-S002	f81v.2	PROC038	okaiin	gemeinsame zweireihige Figuren-/Beckenstation	ACTIVATE_TO_MEASURE	den laufenden Posten nach Sollmaß ansetzen	BASE_OPERATION	einsetzen	NO	YES
E112	f81v	B1	B1-S002	f81v.2	PROC072	dl	gemeinsame zweireihige Figuren-/Beckenstation	GUIDE_ALONG_LOCAL_PATH	den laufenden Posten entlangführen	BASE_OPERATION	führen	NO	YES
E120	f81v	B1	B1-S002	f81v.7	PROC076	schedy	gemeinsame zweireihige Figuren-/Beckenstation	COMMIT_TRANSFER	den laufenden Posten überführen; Schritt schließen	VISIBLE_PATH_OR_FLOW	durchleiten	NO	YES
E123	f81v	B1	B1-S004	f81v.17	PROC042	chedy	gemeinsame zweireihige Figuren-/Beckenstation	TRANSFER_CURRENT_ITEM	diesen Posten umsetzen	BASE_OPERATION	umsetzen	NO	YES
E125	f81v	B1	B1-S004	f81v.17	PROC078	shedy	gemeinsame zweireihige Figuren-/Beckenstation	COMMIT_DEPOSIT	den laufenden Posten absetzen; Schritt schließen	BASE_OPERATION	absetzen lassen	NO	YES
E129	f81v	B1	B1-S006	f81v.17	PROC072	dl	gemeinsame zweireihige Figuren-/Beckenstation	GUIDE_ALONG_LOCAL_PATH	den laufenden Posten entlangführen	VISIBLE_PATH_OR_FLOW	durchleiten	NO	YES
