card_no	surfaces	component_parse	invariant_operation_code	invariant_operation_de	owner_or_slot_fills	fill_distribution	occurrences	component_meaning_changed	new_whole_word_introduced	context_dependence_resolved
PROC004	chety|chty	T+Y	INTO_ACTIVE_ENTRY	diesen Posten in das aktive Fach übernehmen	BASE_OPERATION|SOURCE_COPY	BASE_OPERATION:1|SOURCE_COPY:1	2	NO	NO	YES
PROC008	choky|oky|qoky	OK+Y	ACTIVATE_CURRENT_ITEM	diesen Posten in Einsatz bringen	BASE_OPERATION|CONTACT_OR_APPLICATION_OWNER|VISIBLE_PATH_OR_FLOW	BASE_OPERATION:8|CONTACT_OR_APPLICATION_OWNER:1|VISIBLE_PATH_OR_FLOW:1	10	NO	NO	YES
PROC011	chokchy|okchy|qokchy	OK+Y	START_CURRENT_ITEM	diesen Posten neu ansetzen	BASE_OPERATION	BASE_OPERATION:3	3	NO	NO	YES
PROC038	okaiin|qokaiin	OK+AIIN	ACTIVATE_TO_MEASURE	den laufenden Posten nach Sollmaß ansetzen	BASE_OPERATION|VISIBLE_PATH_OR_FLOW	BASE_OPERATION:7|VISIBLE_PATH_OR_FLOW:2	9	NO	NO	YES
PROC042	chdy|chedy	CHD+Y	TRANSFER_CURRENT_ITEM	diesen Posten umsetzen	BASE_OPERATION|MEASURE_SLOT	BASE_OPERATION:7|MEASURE_SLOT:4	11	NO	NO	YES
PROC046	cheeky	CHK+EE+Y	SUSTAIN_TEMPERATURE	diesen Posten länger temperieren	THERMAL_STATE	THERMAL_STATE:2	2	NO	NO	YES
PROC072	dl	L	GUIDE_ALONG_LOCAL_PATH	den laufenden Posten entlangführen	BASE_OPERATION|VISIBLE_PATH_OR_FLOW	BASE_OPERATION:1|VISIBLE_PATH_OR_FLOW:1	2	NO	NO	YES
PROC076	dchedy|schedy|tchedy	CHD+DY	COMMIT_TRANSFER	den laufenden Posten überführen; Schritt schließen	BASE_OPERATION|VISIBLE_PATH_OR_FLOW|VISIBLE_TARGET	BASE_OPERATION:2|VISIBLE_PATH_OR_FLOW:1|VISIBLE_TARGET:1	4	NO	NO	YES
PROC078	cheedy|shedy|tedy	SHED+DY	COMMIT_DEPOSIT	den laufenden Posten absetzen; Schritt schließen	BASE_OPERATION|VISIBLE_DEPOSIT_TARGET	BASE_OPERATION:11|VISIBLE_DEPOSIT_TARGET:1	12	NO	NO	YES
PROC092	okeey|qokeey	OK+EE+Y	SUSTAIN_ACTIVE_ITEM	den laufenden Posten länger in Einsatz halten	CONTACT_OR_APPLICATION_OWNER	CONTACT_OR_APPLICATION_OWNER:7	7	NO	NO	YES
PROC120	lchedy	L+CHD+DY	COMMIT_GUIDED_TRANSFER	den laufenden Posten weiterleiten und überführen; Schritt schließen	MEASURE_SLOT|VISIBLE_SOURCE_OR_DRAIN|VISIBLE_TARGET	MEASURE_SLOT:1|VISIBLE_SOURCE_OR_DRAIN:6|VISIBLE_TARGET:1	8	NO	NO	YES
