page	locus	token_ordinal	surface	v69_token_gloss_de	microrecord_id	window_position	window_size	role_trace	edge_ids	source_edge_ids	reference_edge_ids	target_edge_ids	right_participant_edge_ids	is_action_target	is_shared_node	is_action_output_bridge	is_window_start	is_window_end	v68_clause_id	v68_clause_type	v70_microrecord_de	v69_word_delta	status
f104v	f104v.2	4	otaiin	kalter Ansatz, Grad III	M001	1	3	PREPARATION_HEAD:C009	C009	C009	NONE	NONE	NONE	0	0	0	1	0	3	NOMINAL_BLOCK	Kalter Ansatz, Grad III: davon drei Maße. Eines der drei Maße nehmen und erhitzen.	0	V69_TOKEN_AND_GLOSS_FROZEN__V70_WINDOW_ROLE_ONLY
f104v	f104v.2	5	ydaiin	davon drei Maße	M001	2	3	DONOR_MEASURE_POOL:C009|REFERENCE:C009	C009	C009	C009	NONE	NONE	0	0	0	0	0	3	NOMINAL_BLOCK	Kalter Ansatz, Grad III: davon drei Maße. Eines der drei Maße nehmen und erhitzen.	0	V69_TOKEN_AND_GLOSS_FROZEN__V70_WINDOW_ROLE_ONLY
f104v	f104v.2	6	qokamdy	ein Maß nehmen und erhitzen	M001	3	3	TARGET_ACTION:C009	C009	NONE	NONE	C009	NONE	1	0	0	0	1	4	ACTION_CLAUSE	Kalter Ansatz, Grad III: davon drei Maße. Eines der drei Maße nehmen und erhitzen.	0	V69_TOKEN_AND_GLOSS_FROZEN__V70_WINDOW_ROLE_ONLY
f105v	f105v.1	3	olpcheey	trocken gebundenes Holzpulver, Form II	M002	1	2	DONOR_MATERIAL:C001	C001	C001	NONE	NONE	NONE	0	0	0	1	0	1	NOMINAL_BLOCK	Das trocken gebundene Holzpulver, Form II, auf Stufe III erhitzen.	0	V69_TOKEN_AND_GLOSS_FROZEN__V70_WINDOW_ROLE_ONLY
f105v	f105v.1	4	ykaiin	erhitze hiervon auf Stufe III	M002	2	2	REFERENCE:C001|TARGET_ACTION:C001	C001	NONE	C001	C001	NONE	1	0	0	0	1	2	ACTION_CLAUSE	Das trocken gebundene Holzpulver, Form II, auf Stufe III erhitzen.	0	V69_TOKEN_AND_GLOSS_FROZEN__V70_WINDOW_ROLE_ONLY
f113v	f113v.17	6	cthororaiin	drei Portionen Krautdroge	M003	1	2	DONOR_PORTION_POOL:C002	C002	C002	NONE	NONE	NONE	0	0	0	1	0	1	NOMINAL_BLOCK	Von den drei Portionen Krautdroge eine Portion bis zur letzten Stufe abkühlen.	0	V69_TOKEN_AND_GLOSS_FROZEN__V70_WINDOW_ROLE_ONLY
f113v	f113v.17	7	yteeeor	hiervon eine Portion bis zur letzten Stufe abkühlen	M003	2	2	REFERENCE:C002|TARGET_ACTION:C002	C002	NONE	C002	C002	NONE	1	0	0	0	1	2	ACTION_CLAUSE	Von den drei Portionen Krautdroge eine Portion bis zur letzten Stufe abkühlen.	0	V69_TOKEN_AND_GLOSS_FROZEN__V70_WINDOW_ROLE_ONLY
f75r	f75r.3	3	orchey	eine Portion bis zur Mittelstufe getrocknete Droge	M004	1	2	DONOR_PRECEDING_PORTION:C003	C003	C003	NONE	NONE	NONE	0	0	0	1	0	1	NOMINAL_BLOCK	Die vorstehende, bis zur Mittelstufe getrocknete Drogenportion anschließend nehmen.	0	V69_TOKEN_AND_GLOSS_FROZEN__V70_WINDOW_ROLE_ONLY
f75r	f75r.3	4	qey	die vorstehende Mittelstufenportion anschließend nehmen	M004	2	2	REFERENCE:C003|TARGET_ACTION:C003	C003	NONE	C003	C003	NONE	1	0	0	0	1	2	ACTION_CLAUSE	Die vorstehende, bis zur Mittelstufe getrocknete Drogenportion anschließend nehmen.	0	V69_TOKEN_AND_GLOSS_FROZEN__V70_WINDOW_ROLE_ONLY
f77r	f77r.38	5	chcphey	bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum	M005	1	2	ADDED_OBJECT:C005	C005	C005	NONE	NONE	NONE	0	0	0	1	0	3	NOMINAL_BLOCK	Das bis zur Mittelstufe getrocknete und abgeschlossene Arzneikompositum zugeben.	0	V69_TOKEN_AND_GLOSS_FROZEN__V70_WINDOW_ROLE_ONLY
