order_mark_id	component_recipe	identity	surface	order_id	master_section	page	stage	unit	unit_position	position_index	unit_length	left_surface	right_surface	q_carrier	selector_feature_set	selector_key	predicted_surface	selector_match
WH01-R003	AR	PROC003	char	WH01	WHAT	f10r	MAKE_A.G2	H1-S001	MIDDLE	3	10	cthoor	chety	NO	MASTER_SECTION	WHAT	char	YES
WH01-R008	OK+Y	PROC008	qoky	WH01	WHAT	f10r	MAKE_A.G2	H1-S001	MIDDLE	8	10	otytchol	daiin	YES	SECTION_PLUS_POSITION	WHAT|MIDDLE	qoky	YES
WH01-R009	AIIN	PROC009	daiin	WH01	WHAT	f10r	MAKE_A.G2	H1-S001	MIDDLE	9	10	qoky	etyd	NO	MASTER_SECTION	WHAT	daiin	YES
WH01-R011	OK+Y	PROC011	qokchy	WH01	WHAT	f10r	MAKE_A.G2	H1-S002	FIRST	1	4	UNIT_START	qotchol	YES	SECTION_PLUS_POSITION	WHAT|FIRST	qokchy	YES
WH01-R013	OL	PROC013	ol	WH01	WHAT	f10r	MAKE_A.G2	H1-S002	MIDDLE	3	4	qotchol	checthy	NO	MEMORIZED_IDENTITY	PROC013	ol	YES
WH01-R019	AR	PROC003	char	WH01	HOW	f81v	APPLY_B1	B1-S002	MIDDLE	4	19	qokal	ol	NO	MASTER_SECTION	HOW	char	YES
WH01-R020	OL	PROC013	ol	WH01	HOW	f81v	APPLY_B1	B1-S002	MIDDLE	5	19	char	kain	NO	MEMORIZED_IDENTITY	PROC013	ol	YES
WH01-R023	AL	PROC055	dal	WH01	HOW	f81v	APPLY_B1	B1-S002	MIDDLE	8	19	olkain	ol	NO	MEMORIZED_IDENTITY	PROC055	dal	YES
WH01-R024	OL	PROC013	ol	WH01	HOW	f81v	APPLY_B1	B1-S002	MIDDLE	9	19	dal	rol	NO	MEMORIZED_IDENTITY	PROC013	ol	YES
WH01-R028	OL	PROC013	ol	WH01	HOW	f81v	APPLY_B1	B1-S002	MIDDLE	13	19	olor	sheckhal	NO	MEMORIZED_IDENTITY	PROC013	ol	YES
WH01-R030	AIIN	PROC009	daiin	WH01	HOW	f81v	APPLY_B1	B1-S002	MIDDLE	15	19	sheckhal	qokeedal	NO	MASTER_SECTION	HOW	daiin	YES
WH01-R032	AIIN	PROC009	daiin	WH01	HOW	f81v	APPLY_B1	B1-S002	MIDDLE	17	19	qokeedal	chckhy	NO	MASTER_SECTION	HOW	daiin	YES
WH01-R034	CHD+DY	PROC076	schedy	WH01	HOW	f81v	APPLY_B1	B1-S002	LAST	19	19	chckhy	UNIT_END	NO	UNIT	B1-S002	schedy	YES
WH01-R035	OL	PROC013	ol	WH01	HOW	f81v	APPLY_B1	B1-S003	FIRST	1	2	UNIT_START	sshkchdy	NO	MEMORIZED_IDENTITY	PROC013	ol	YES
WH01-R037	CHD+Y	PROC042	chedy	WH01	HOW	f81v	APPLY_B1	B1-S004	FIRST	1	3	UNIT_START	ol	NO	STAGE_PLUS_POSITION	APPLY_B1|FIRST	chedy	YES
WH01-R038	OL	PROC013	ol	WH01	HOW	f81v	APPLY_B1	B1-S004	MIDDLE	2	3	chedy	shedy	NO	MEMORIZED_IDENTITY	PROC013	ol	YES
WH01-R045	OK+CHD+DY	PROC082	qokchdy	WH01	HOW	f81v	APPLY_B1	B1-S007	ONLY	1	1	UNIT_START	UNIT_END	YES	UNIT_POSITION	ONLY	qokchdy	YES
WH01-R046	Y	PROC019	chey	WH01	HOW	f81v	APPLY_B1	B1-S008	FIRST	1	5	UNIT_START	ol	NO	MEMORIZED_IDENTITY	PROC019	chey	YES
WH01-R047	OL	PROC013	ol	WH01	HOW	f81v	APPLY_B1	B1-S008	MIDDLE	2	5	chey	cheky	NO	MEMORIZED_IDENTITY	PROC013	ol	YES
WH01-R049	OL	PROC013	ol	WH01	HOW	f81v	APPLY_B1	B1-S008	MIDDLE	4	5	cheky	shedy	NO	MEMORIZED_IDENTITY	PROC013	ol	YES
WH01-R054	OK+Y	PROC008	qoky	WH01	HOW	f81v	APPLY_B1	B1-S011	LAST	2	2	chckhy	UNIT_END	YES	SECTION_PLUS_POSITION	HOW|LAST	qoky	YES
WH01-R059	CHD+Y	PROC042	chedy	WH01	HOW	f81v	APPLY_B1	B1-S014	FIRST	1	5	UNIT_START	qolky	NO	STAGE_PLUS_POSITION	APPLY_B1|FIRST	chedy	YES
WH01-R062	OL	PROC013	ol	WH01	HOW	f81v	APPLY_B1	B1-S014	MIDDLE	4	5	lchedal	otar	NO	MEMORIZED_IDENTITY	PROC013	ol	YES
WH01-R065	OK+CHD+DY	PROC091	okchedy	WH01	HOW	f81v	APPLY_B1	B1-S015	LAST	2	2	ytey	UNIT_END	NO	UNIT_POSITION	LAST	okchedy	YES
WH01-R068	OL	PROC013	ol	WH01	HOW	f81v	APPLY_B1	B1-S016	MIDDLE	3	4	qokeey	shedy	NO	MEMORIZED_IDENTITY	PROC013	ol	YES
WH01-R070	AL	PROC055	dal	WH01	HOW	f81v	APPLY_B1	B1-S017	FIRST	1	3	UNIT_START	teol	NO	MEMORIZED_IDENTITY	PROC055	dal	YES
WH01-R072	CHD+DY	PROC094	dchdy	WH01	HOW	f81v	APPLY_B1	B1-S017	LAST	3	3	teol	UNIT_END	NO	UNIT	B1-S017	dchdy	YES
WH01-R080	AL	PROC055	dal	WH01	HOW	f81v	APPLY_B1	B1-S021	ONLY	1	1	UNIT_START	UNIT_END	NO	MEMORIZED_IDENTITY	PROC055	dal	YES
WH01-R082	OL	A3:G042	chol	WH01	WHEN	f69v	CONDITION_C5@f69v.2	f69v.2	MIDDLE	2	38	yka	ykar	NO	MEMORIZED_IDENTITY	A3:G042	chol	YES
