component_recipe	surface_family	identities	identity_list	occurrence_marks	selector_feature_set	selector_rules	selector_portability	q_carrier_surfaces	non_q_surfaces	selection_accuracy
AIIN	aiin | daiin	2	A3:G054 | PROC009	19	MASTER_SECTION	3	SHARED_WORKFLOW_SELECTOR	NONE	aiin | daiin	EXACT_ON_CURRENT_DECK
AL	cheal | dal	5	A3:G044 | A3:G058 | A3:G073 | A3:G105 | PROC055	14	MEMORIZED_IDENTITY	5	MEMORIZED_IDENTITY_SELECTOR	NONE	cheal | dal	EXACT_ON_CURRENT_DECK
AR	ar | char	3	A3:G084 | A3:G092 | PROC003	7	MASTER_SECTION	3	SHARED_WORKFLOW_SELECTOR	NONE	ar | char	EXACT_ON_CURRENT_DECK
CHD+DY	dchdy | schedy	2	PROC076 | PROC094	5	UNIT	5	LOCAL_MINI_DECK_SELECTOR	NONE	dchdy | schedy	EXACT_ON_CURRENT_DECK
CHD+Y	chdy | chedchy | chedy	3	A3:G082 | PROC042 | PROC133	13	STAGE_PLUS_POSITION	8	STAGE_SELECTOR	NONE	chdy | chedchy | chedy	EXACT_ON_CURRENT_DECK
CHK+EE+Y	cheeky | chkeey	2	PROC046 | PROC107	3	ORDER	2	ORDER_OR_PAGE_SELECTOR	NONE	cheeky | chkeey	EXACT_ON_CURRENT_DECK
NONE	daiial | iokeeor	2	A3:G046 | A3:G056	2	MEMORIZED_IDENTITY	2	MEMORIZED_IDENTITY_SELECTOR	NONE	daiial | iokeeor	EXACT_ON_CURRENT_DECK
OK+CHD+DY	okchedy | qokchdy	2	PROC082 | PROC091	5	UNIT_POSITION	2	SHARED_WORKFLOW_SELECTOR	qokchdy	okchedy	EXACT_ON_CURRENT_DECK
OK+OL	okchol | qokol	2	PROC037 | PROC160	2	MASTER_SECTION	2	SHARED_WORKFLOW_SELECTOR	qokol	okchol	EXACT_ON_CURRENT_DECK
OK+Y	choky | qokchy | qoky	3	A3:G076 | PROC008 | PROC011	14	SECTION_PLUS_POSITION	7	SHARED_WORKFLOW_SELECTOR	qokchy | qoky	choky	EXACT_ON_CURRENT_DECK
OL	chol | ls | ol	5	A3:G042 | A3:G067 | A3:G069 | PROC013 | PROC115	22	MEMORIZED_IDENTITY	5	MEMORIZED_IDENTITY_SELECTOR	NONE	chol | ls | ol	EXACT_ON_CURRENT_DECK
OL+Y	choly | qolchey	2	A3:G048 | PROC154	2	MASTER_SECTION	2	SHARED_WORKFLOW_SELECTOR	qolchey	choly	EXACT_ON_CURRENT_DECK
OT+CHD+DY	otchdy | otchedy | qotchedy	2	PROC145 | PROC166	3	ORDER_PLUS_POSITION	3	ORDER_OR_PAGE_SELECTOR	qotchedy	otchdy | otchedy	EXACT_ON_CURRENT_DECK
OT+Y	otchey | qotchy	2	PROC036 | PROC065	2	MASTER_SECTION	2	SHARED_WORKFLOW_SELECTOR	qotchy	otchey	EXACT_ON_CURRENT_DECK
SH+EE+Y	cheey | sheey	3	A3:G053 | PROC031 | PROC157	7	UNIT	6	LOCAL_MINI_DECK_SELECTOR	NONE	cheey | sheey	EXACT_ON_CURRENT_DECK
Y	chey | chy | dy | y	11	A3:G055 | A3:G061 | A3:G062 | A3:G065 | A3:G066 | A3:G070 | A3:G072 | A3:G078 | A3:G085 | A3:G103 | PROC019	23	MEMORIZED_IDENTITY	11	MEMORIZED_IDENTITY_SELECTOR	NONE	chey | chy | dy | y	EXACT_ON_CURRENT_DECK
