component_recipe	selector_feature_set	selector_key	selected_surface	apprentice_rule
AIIN	MASTER_SECTION	HOW	daiin	For AIIN, when MASTER_SECTION=HOW, write daiin.
AIIN	MASTER_SECTION	WHAT	daiin	For AIIN, when MASTER_SECTION=WHAT, write daiin.
AIIN	MASTER_SECTION	WHEN	aiin	For AIIN, when MASTER_SECTION=WHEN, write aiin.
AL	MEMORIZED_IDENTITY	A3:G044	dal	For AL, when MEMORIZED_IDENTITY=A3:G044, write dal.
AL	MEMORIZED_IDENTITY	A3:G058	cheal	For AL, when MEMORIZED_IDENTITY=A3:G058, write cheal.
AL	MEMORIZED_IDENTITY	A3:G073	dal	For AL, when MEMORIZED_IDENTITY=A3:G073, write dal.
AL	MEMORIZED_IDENTITY	A3:G105	dal	For AL, when MEMORIZED_IDENTITY=A3:G105, write dal.
AL	MEMORIZED_IDENTITY	PROC055	dal	For AL, when MEMORIZED_IDENTITY=PROC055, write dal.
AR	MASTER_SECTION	HOW	char	For AR, when MASTER_SECTION=HOW, write char.
AR	MASTER_SECTION	WHAT	char	For AR, when MASTER_SECTION=WHAT, write char.
AR	MASTER_SECTION	WHEN	ar	For AR, when MASTER_SECTION=WHEN, write ar.
CHD+DY	UNIT	B1-S002	schedy	For CHD+DY, when UNIT=B1-S002, write schedy.
CHD+DY	UNIT	B1-S017	dchdy	For CHD+DY, when UNIT=B1-S017, write dchdy.
CHD+DY	UNIT	B2-S001	schedy	For CHD+DY, when UNIT=B2-S001, write schedy.
CHD+DY	UNIT	B3-S005	schedy	For CHD+DY, when UNIT=B3-S005, write schedy.
CHD+DY	UNIT	B3-S024	schedy	For CHD+DY, when UNIT=B3-S024, write schedy.
CHD+Y	STAGE_PLUS_POSITION	APPLY_B1|FIRST	chedy	For CHD+Y, when STAGE_PLUS_POSITION=APPLY_B1|FIRST, write chedy.
CHD+Y	STAGE_PLUS_POSITION	APPLY_B3|FIRST	chedchy	For CHD+Y, when STAGE_PLUS_POSITION=APPLY_B3|FIRST, write chedchy.
CHD+Y	STAGE_PLUS_POSITION	APPLY_B3|MIDDLE	chedy	For CHD+Y, when STAGE_PLUS_POSITION=APPLY_B3|MIDDLE, write chedy.
CHD+Y	STAGE_PLUS_POSITION	APPLY_B4|FIRST	chedy	For CHD+Y, when STAGE_PLUS_POSITION=APPLY_B4|FIRST, write chedy.
CHD+Y	STAGE_PLUS_POSITION	APPLY_B4|MIDDLE	chedy	For CHD+Y, when STAGE_PLUS_POSITION=APPLY_B4|MIDDLE, write chedy.
CHD+Y	STAGE_PLUS_POSITION	APPLY_B5|LAST	chedy	For CHD+Y, when STAGE_PLUS_POSITION=APPLY_B5|LAST, write chedy.
CHD+Y	STAGE_PLUS_POSITION	CONDITION_C6@f69v.3|MIDDLE	chdy	For CHD+Y, when STAGE_PLUS_POSITION=CONDITION_C6@f69v.3|MIDDLE, write chdy.
CHD+Y	STAGE_PLUS_POSITION	MAKE_C.W2|MIDDLE	chedy	For CHD+Y, when STAGE_PLUS_POSITION=MAKE_C.W2|MIDDLE, write chedy.
CHK+EE+Y	ORDER	WH02	chkeey	For CHK+EE+Y, when ORDER=WH02, write chkeey.
CHK+EE+Y	ORDER	WH04	cheeky	For CHK+EE+Y, when ORDER=WH04, write cheeky.
NONE	MEMORIZED_IDENTITY	A3:G046	iokeeor	For NONE, when MEMORIZED_IDENTITY=A3:G046, write iokeeor.
NONE	MEMORIZED_IDENTITY	A3:G056	daiial	For NONE, when MEMORIZED_IDENTITY=A3:G056, write daiial.
OK+CHD+DY	UNIT_POSITION	LAST	okchedy	For OK+CHD+DY, when UNIT_POSITION=LAST, write okchedy.
OK+CHD+DY	UNIT_POSITION	ONLY	qokchdy	For OK+CHD+DY, when UNIT_POSITION=ONLY, write qokchdy.
OK+OL	MASTER_SECTION	HOW	qokol	For OK+OL, when MASTER_SECTION=HOW, write qokol.
OK+OL	MASTER_SECTION	WHAT	okchol	For OK+OL, when MASTER_SECTION=WHAT, write okchol.
OK+Y	SECTION_PLUS_POSITION	HOW|FIRST	qoky	For OK+Y, when SECTION_PLUS_POSITION=HOW|FIRST, write qoky.
OK+Y	SECTION_PLUS_POSITION	HOW|LAST	qoky	For OK+Y, when SECTION_PLUS_POSITION=HOW|LAST, write qoky.
OK+Y	SECTION_PLUS_POSITION	HOW|MIDDLE	qoky	For OK+Y, when SECTION_PLUS_POSITION=HOW|MIDDLE, write qoky.
OK+Y	SECTION_PLUS_POSITION	HOW|ONLY	qoky	For OK+Y, when SECTION_PLUS_POSITION=HOW|ONLY, write qoky.
OK+Y	SECTION_PLUS_POSITION	WHAT|FIRST	qokchy	For OK+Y, when SECTION_PLUS_POSITION=WHAT|FIRST, write qokchy.
OK+Y	SECTION_PLUS_POSITION	WHAT|MIDDLE	qoky	For OK+Y, when SECTION_PLUS_POSITION=WHAT|MIDDLE, write qoky.
OK+Y	SECTION_PLUS_POSITION	WHEN|MIDDLE	choky	For OK+Y, when SECTION_PLUS_POSITION=WHEN|MIDDLE, write choky.
OL	MEMORIZED_IDENTITY	A3:G042	chol	For OL, when MEMORIZED_IDENTITY=A3:G042, write chol.
OL	MEMORIZED_IDENTITY	A3:G067	chol	For OL, when MEMORIZED_IDENTITY=A3:G067, write chol.
OL	MEMORIZED_IDENTITY	A3:G069	ol	For OL, when MEMORIZED_IDENTITY=A3:G069, write ol.
OL	MEMORIZED_IDENTITY	PROC013	ol	For OL, when MEMORIZED_IDENTITY=PROC013, write ol.
OL	MEMORIZED_IDENTITY	PROC115	ls	For OL, when MEMORIZED_IDENTITY=PROC115, write ls.
OL+Y	MASTER_SECTION	HOW	qolchey	For OL+Y, when MASTER_SECTION=HOW, write qolchey.
OL+Y	MASTER_SECTION	WHEN	choly	For OL+Y, when MASTER_SECTION=WHEN, write choly.
OT+CHD+DY	ORDER_PLUS_POSITION	WH03|LAST	otchedy	For OT+CHD+DY, when ORDER_PLUS_POSITION=WH03|LAST, write otchedy.
OT+CHD+DY	ORDER_PLUS_POSITION	WH03|ONLY	qotchedy	For OT+CHD+DY, when ORDER_PLUS_POSITION=WH03|ONLY, write qotchedy.
OT+CHD+DY	ORDER_PLUS_POSITION	WH05|ONLY	otchdy	For OT+CHD+DY, when ORDER_PLUS_POSITION=WH05|ONLY, write otchdy.
OT+Y	MASTER_SECTION	HOW	otchey	For OT+Y, when MASTER_SECTION=HOW, write otchey.
