model	edition	paragraph	at	word	gloss
V	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G001	pcheol	⟦pcheol⟧
V	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G002	sheod	⟦sheod⟧
V	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G003	qocpheeckhy	⟦qocpheeckhy⟧
V	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G004	shodol	⟦shodol⟧
V	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G005	{c@132;h}da	⟦{c@132;h}da⟧
V	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G006	@168;oto	⟦@168;oto⟧
V	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G007	cho[?:ch]os	⟦cho[?:ch]os⟧
V	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G008	sheey	⟦sheey⟧
V	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G009	ch{cthh'}o	⟦ch{cthh'}o⟧
V	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G010	s	und
V	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G001	dsheor	⟦dsheor⟧
V	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G002	cthey	Arzneiform A
V	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G003	qokeey	⟦qokeey⟧
V	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G004	oteey	⟦oteey⟧
V	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G005	ykeeodain	⟦ykeeodain⟧
V	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G006	[r:s]orarydaiin	⟦[r:s]orarydaiin⟧
V	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G007	daiin	Masse C·Uₚ
V	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G008	deeomchol	⟦deeomchol⟧
V	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G001	shor	Früchte
V	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G002	chkeey	⟦chkeey⟧
V	ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G003	qoteey	Material U
