gdt750_profile_id	target_surface	gdt749_prior_axes	distance1_form_prior_axes	active_outside_positions	active_outside_pages	active_axis_counts	active_render_counts	radius2_additional_discovery_positions	distance2_additional_sensitivity_positions	dispatch_status	working_decision	literal_identity	confirmed_lexeme	component_export_credit	unseen_form_export
G750-P01	chdy	DRY	NONE	0	0	NONE	NONE	0	0	A0_NO_ACTIVE_FORM_GATED_DIRECT_HOST	No active direct host; retain the prior only as a silent hypothesis.	OPEN	0	0	0
G750-P02	cheey	DRY	DRY|END_STAGE	1	1	END_STAGE:1	End-/Vollstufe:1	0	0	A1_ACTIVE_SINGLE_OCCURRENCE_FORM_GATED_HOST	Speak only the listed occurrence axes; do not globalize them beyond the form-gated direct-host positions.	OPEN	0	0	0
G750-P03	cheky	MIDDLE_STAGE	DRY|END_STAGE	1	1	DRY:1	trockener Zustand:1	0	0	A1_ACTIVE_SINGLE_OCCURRENCE_FORM_GATED_HOST	One active DRY occurrence rivals the former MIDDLE_STAGE default; global stage remains open.	OPEN	0	0	0
G750-P04	cheol	DRY	DRY	2	2	DRY:2	trockener Zustand:2	0	0	A3_ACTIVE_CROSS_PAGE_FORM_GATED_HOST	Speak only the listed occurrence axes; do not globalize them beyond the form-gated direct-host positions.	OPEN	0	0	0
G750-P05	kchdy	HOT	NONE	0	0	NONE	NONE	0	0	A0_NO_ACTIVE_FORM_GATED_DIRECT_HOST	No active direct host; retain the prior only as a silent hypothesis.	OPEN	0	0	0
G750-P06	lkeey	HOT	NONE	0	0	NONE	NONE	0	0	A0_NO_ACTIVE_FORM_GATED_DIRECT_HOST	No active direct host; retain the prior only as a silent hypothesis.	OPEN	0	0	0
G750-P07	okal	HOT	NONE	0	0	NONE	NONE	0	0	A0_NO_ACTIVE_FORM_GATED_DIRECT_HOST	No active direct host; retain the prior only as a silent hypothesis.	OPEN	0	0	0
G750-P08	okechy	HOT	NONE	0	0	NONE	NONE	0	0	A0_NO_ACTIVE_FORM_GATED_DIRECT_HOST	No active direct host; retain GDT749's rivalized global working card without an occurrence renderer.	OPEN	0	0	0
G750-P09	okedy	HOT	NONE	0	0	NONE	NONE	0	0	A0_NO_ACTIVE_FORM_GATED_DIRECT_HOST	No active direct host; retain the prior only as a silent hypothesis.	OPEN	0	0	0
G750-P10	okeey	HOT	HOT|END_STAGE	14	10	HOT:13|END_STAGE:13	End-/Vollstufe:1|heißer Zustand:1|heißer Zustand an der End-/Vollstufe:12	0	0	A3_ACTIVE_CROSS_PAGE_FORM_GATED_HOST	At active positions render a hot end-state when both axes occur; retain HOT/END as a complete-form role, not a lexeme.	OPEN	0	0	0
G750-P11	olkaiin	HOT	NONE	0	0	NONE	NONE	0	0	A0_NO_ACTIVE_FORM_GATED_DIRECT_HOST	No active direct host; retain the prior only as a silent hypothesis.	OPEN	0	0	0
G750-P12	olkar	HOT	NONE	0	0	NONE	NONE	0	0	A0_NO_ACTIVE_FORM_GATED_DIRECT_HOST	No active direct host; retain the prior only as a silent hypothesis.	OPEN	0	0	0
G750-P13	oty	COLD	NONE	0	0	NONE	NONE	0	0	A0_NO_ACTIVE_FORM_GATED_DIRECT_HOST	No active direct host; retain the prior only as a silent hypothesis.	OPEN	0	0	0
G750-P14	qokaiin	HOT	NONE	0	0	NONE	NONE	0	0	A0_NO_ACTIVE_FORM_GATED_DIRECT_HOST	No active direct host; retain the prior only as a silent hypothesis.	OPEN	0	0	0
G750-P15	qokedy	END_STAGE	NONE	0	0	NONE	NONE	0	0	A0_NO_ACTIVE_FORM_GATED_DIRECT_HOST	No active direct host; retain the prior only as a silent hypothesis.	OPEN	0	0	0
G750-P16	sheey	END_STAGE	MOIST|END_STAGE	1	1	MOIST:1|END_STAGE:1	feuchter/eingeweichter Zustand an der End-/Vollstufe:1	0	0	A1_ACTIVE_SINGLE_OCCURRENCE_FORM_GATED_HOST	Speak only the listed occurrence axes; do not globalize them beyond the form-gated direct-host positions.	OPEN	0	0	0
G750-P17	qochey	DRY|MIDDLE_STAGE	DRY|MIDDLE_STAGE	0	0	NONE	NONE	0	0	A0_NO_ACTIVE_FORM_GATED_DIRECT_HOST	No active direct host; retain GDT749's rivalized global working card without an occurrence renderer.	OPEN	0	0	0
