gdt750_dispatch_id	gdt749_occurrence_id	target_surface	page	physical_folio	locus	token_ordinal	reader_exact	gdt748_discovery_position	outside_discovery_primary	gdt749_prior_axes	distance1_multi_reference_prior_axes	active_selected_ring	active_contributing_hosts	active_emitted_axes	active_conflicts	active_outside_card	radius2_discovery_selected_ring	radius2_discovery_axes	radius2_discovery_hosts	distance2_sensitivity_axes	distance2_sensitivity_hosts	written_line_eva	literal_identity	confirmed_lexeme	component_export_credit
G750-D0001	G749-O0001	sheey	f100r	f100	f100r.12	8	1	0	1	END_STAGE	MOIST|END_STAGE	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	pcheol sheod qocpheeckhy shodol da oto choos sheey cho s	OPEN	0	0
G750-D0002	G749-O0002	sheey	f100r	f100	f100r.24	6	0	0	0	END_STAGE	MOIST|END_STAGE	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	saiichor sheor qockhody odeor yk sheey cholsheody sai cheol raiin	OPEN	0	0
G750-D0003	G749-O0003	cheol	f100r	f100	f100r.24	9	1	0	1	DRY	DRY	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	saiichor sheor qockhody odeor yk sheey cholsheody sai cheol raiin	OPEN	0	0
G750-D0004	G749-O0004	cheky	f100r	f100	f100r.25	7	1	0	1	MIDDLE_STAGE	DRY|END_STAGE	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	OPEN	0	0
G750-D0005	G749-O0005	cheol	f100r	f100	f100r.25	8	1	0	1	DRY	DRY	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	OPEN	0	0
G750-D0006	G749-O0006	cheol	f100r	f100	f100r.27	2	1	0	1	DRY	DRY	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	DRY	1:cho:DRY:d2	chol cheol cho chckheody otolchey	OPEN	0	0
G750-D0007	G749-O0007	cheey	f100v	f100	f100v.15	2	1	0	1	DRY	DRY|END_STAGE	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s	OPEN	0	0
G750-D0008	G749-O0008	cheol	f100v	f100	f100v.15	5	1	0	1	DRY	DRY	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s	OPEN	0	0
G750-D0009	G749-O0009	cheey	f100v	f100	f100v.15	8	1	0	1	DRY	DRY|END_STAGE	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s	OPEN	0	0
G750-D0010	G749-O0010	cheky	f100v	f100	f100v.22	2	1	0	1	MIDDLE_STAGE	DRY|END_STAGE	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	daiin cheky chory	OPEN	0	0
G750-D0011	G749-O0011	sheey	f102r1	f102	f102r1.11	4	1	0	1	END_STAGE	MOIST|END_STAGE	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	dcheo qockhy sol sheey okeody qokeodol shockhey oleeol	OPEN	0	0
G750-D0012	G749-O0012	sheey	f102r1	f102	f102r1.15	5	0	0	0	END_STAGE	MOIST|END_STAGE	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	or chol daiin dykeor sheey qokeody dor os ykeeykam	OPEN	0	0
G750-D0013	G749-O0013	sheey	f102v1	f102	f102v1.10	5	0	0	0	END_STAGE	MOIST|END_STAGE	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	kochor ol ydaiin choraiin sheey ykeey kor shey qokey dy	OPEN	0	0
G750-D0014	G749-O0014	cheol	f102v1	f102	f102v1.11	5	1	0	1	DRY	DRY	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	sol chol qooiin qokol cheol chey kolcheey daiin cheody dy	OPEN	0	0
G750-D0015	G749-O0015	cheol	f102v1	f102	f102v1.12	2	1	0	1	DRY	DRY	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	y cheol cheol doiir shekcheor s ar cheor ey pchodaiin	OPEN	0	0
G750-D0016	G749-O0016	cheol	f102v1	f102	f102v1.12	3	0	0	0	DRY	DRY	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	y cheol cheol doiir shekcheor s ar cheor ey pchodaiin	OPEN	0	0
G750-D0017	G749-O0017	cheol	f102v1	f102	f102v1.13	5	1	0	1	DRY	DRY	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	toiin ol daiin qkol cheol daiin qokar oaiin cheey saiim	OPEN	0	0
G750-D0018	G749-O0018	cheey	f102v1	f102	f102v1.13	9	1	0	1	DRY	DRY|END_STAGE	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	toiin ol daiin qkol cheol daiin qokar oaiin cheey saiim	OPEN	0	0
G750-D0019	G749-O0019	okeey	f102v1	f102	f102v1.20	8	1	0	1	HOT	HOT|END_STAGE	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	soiin shey qokeey qoeeol qokeody sheody qoeteey okeey dam	OPEN	0	0
G750-D0020	G749-O0020	cheol	f102v1	f102	f102v1.22	4	1	0	1	DRY	DRY	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	ykeeody chodaiin qokeos cheol qool chsey oteody okchy	OPEN	0	0
G750-D0021	G749-O0021	cheol	f102v1	f102	f102v1.24	4	1	0	1	DRY	DRY	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	ysaiin ckhey qoor cheol	OPEN	0	0
G750-D0022	G749-O0022	cheol	f102v2	f102	f102v2.21	6	1	0	1	DRY	DRY	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	ycheey s od eey okeeor cheol os oiin oeees okear chey keey saiin oteo	OPEN	0	0
G750-D0023	G749-O0023	cheol	f102v2	f102	f102v2.22	4	1	0	1	DRY	DRY	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	dain or aiin cheol s oiir chol sheey qockhy ol keo r okeody okeor cho	OPEN	0	0
G750-D0024	G749-O0024	sheey	f102v2	f102	f102v2.22	8	1	0	1	END_STAGE	MOIST|END_STAGE	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	dain or aiin cheol s oiir chol sheey qockhy ol keo r okeody okeor cho	OPEN	0	0
G750-D0025	G749-O0025	sheey	f102v2	f102	f102v2.30	7	0	0	0	END_STAGE	MOIST|END_STAGE	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	pydchy odiy pcheady qoekeey oteey qokeod sheey opaiin deear	OPEN	0	0
G750-D0026	G749-O0026	cheey	f102v2	f102	f102v2.36	2	1	0	1	DRY	DRY|END_STAGE	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	okeeor cheey okeey sor eeey okey okey okeey qokeor	OPEN	0	0
G750-D0027	G749-O0027	okeey	f102v2	f102	f102v2.36	3	1	0	1	HOT	HOT|END_STAGE	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	okeeor cheey okeey sor eeey okey okey okeey qokeor	OPEN	0	0
G750-D0028	G749-O0028	okeey	f102v2	f102	f102v2.36	8	1	0	1	HOT	HOT|END_STAGE	1	-1:okey:HOT|MIDDLE_STAGE:d1	HOT	NONE	1	1	HOT	-1:okey:HOT|MIDDLE_STAGE:d1	HOT	-1:okey:HOT|MIDDLE_STAGE:d1	okeeor cheey okeey sor eeey okey okey okeey qokeor	OPEN	0	0
