gdt750_prior_id	target_surface	gdt749_prior_axes	distance1_reference_surfaces	distance1_reference_count	distance1_axis_counts	distance1_multi_reference_prior_axes	distance1_dimension_decisions	distance2_reference_surfaces	distance2_reference_count	distance2_axis_counts	distance2_multi_reference_prior_axes	distance2_dimension_decisions	literal_identity	confirmed_lexeme	component_export_credit
G750-F01	chdy	DRY	chty	1	COLD:1|DRY:1|BEGIN_STAGE:1	NONE	THERMAL:OPEN:HOT=0,COLD=1|MOISTURE:OPEN:DRY=1,MOIST=0|STAGE:OPEN:BEGIN_STAGE=1,MIDDLE_STAGE=0,END_STAGE=0	chal|cheedy|cheey|chl|chol|chty|dchey	7	COLD:1|DRY:7|BEGIN_STAGE:2|MIDDLE_STAGE:1|END_STAGE:2	DRY	THERMAL:OPEN:HOT=0,COLD=1|MOISTURE:DRY:7|STAGE:OPEN:BEGIN_STAGE=2,MIDDLE_STAGE=1,END_STAGE=2	OPEN	0	0
G750-F02	cheey	DRY	cheedy|cheeky	2	HOT:1|DRY:2|BEGIN_STAGE:1|END_STAGE:2	DRY|END_STAGE	THERMAL:OPEN:HOT=1,COLD=0|MOISTURE:DRY:2|STAGE:END_STAGE:2	cheeal|cheedy|cheeky|cheeol|cheeor|chty|dchey|dsheey|sheedy|sheeo|ykeey	11	HOT:2|COLD:1|DRY:7|MOIST:2|BEGIN_STAGE:2|MIDDLE_STAGE:1|END_STAGE:9	HOT|DRY|END_STAGE	THERMAL:HOT:2|MOISTURE:DRY:7|STAGE:END_STAGE:9	OPEN	0	0
G750-F03	cheky	MIDDLE_STAGE	cheeky|cheey	2	HOT:1|DRY:2|BEGIN_STAGE:1|END_STAGE:2	DRY|END_STAGE	THERMAL:OPEN:HOT=1,COLD=0|MOISTURE:DRY:2|STAGE:END_STAGE:2	chckhy|cheedy|cheeky|cheey|chekar|chty|dchey	7	HOT:2|COLD:1|DRY:7|BEGIN_STAGE:3|MIDDLE_STAGE:2|END_STAGE:3	HOT|DRY	THERMAL:HOT:2|MOISTURE:DRY:7|STAGE:OPEN:BEGIN_STAGE=3,MIDDLE_STAGE=2,END_STAGE=3	OPEN	0	0
G750-F04	cheol	DRY	cheeol|chol|chtol|sheol	4	COLD:1|DRY:3|MOIST:1|END_STAGE:1	DRY	THERMAL:OPEN:HOT=0,COLD=1|MOISTURE:DRY:3|STAGE:OPEN:BEGIN_STAGE=0,MIDDLE_STAGE=0,END_STAGE=1	chal|cheeal|cheeol|cheeor|cheey|chl|chol|chtal|chtol|oteol|sheol	11	COLD:3|DRY:9|MOIST:1|BEGIN_STAGE:2|MIDDLE_STAGE:1|END_STAGE:4	COLD|DRY|END_STAGE	THERMAL:COLD:3|MOISTURE:DRY:9|STAGE:END_STAGE:4	OPEN	0	0
G750-F05	kchdy	HOT	NONE	0	NONE	NONE	THERMAL:OPEN:HOT=0,COLD=0|MOISTURE:OPEN:DRY=0,MOIST=0|STAGE:OPEN:BEGIN_STAGE=0,MIDDLE_STAGE=0,END_STAGE=0	chty|dchey	2	COLD:1|DRY:2|BEGIN_STAGE:1|MIDDLE_STAGE:1	DRY	THERMAL:OPEN:HOT=0,COLD=1|MOISTURE:DRY:2|STAGE:OPEN:BEGIN_STAGE=1,MIDDLE_STAGE=1,END_STAGE=0	OPEN	0	0
G750-F06	lkeey	HOT	ykeey	1	HOT:1|END_STAGE:1	NONE	THERMAL:OPEN:HOT=1,COLD=0|MOISTURE:OPEN:DRY=0,MOIST=0|STAGE:OPEN:BEGIN_STAGE=0,MIDDLE_STAGE=0,END_STAGE=1	cheey|okeedy|ykeedy|ykeey	4	HOT:3|DRY:1|END_STAGE:4	HOT|END_STAGE	THERMAL:HOT:3|MOISTURE:OPEN:DRY=1,MOIST=0|STAGE:END_STAGE:4	OPEN	0	0
G750-F07	okal	HOT	NONE	0	NONE	NONE	THERMAL:OPEN:HOT=0,COLD=0|MOISTURE:OPEN:DRY=0,MOIST=0|STAGE:OPEN:BEGIN_STAGE=0,MIDDLE_STAGE=0,END_STAGE=0	chal|otaly	2	DRY:1|BEGIN_STAGE:1	NONE	THERMAL:OPEN:HOT=0,COLD=0|MOISTURE:OPEN:DRY=1,MOIST=0|STAGE:OPEN:BEGIN_STAGE=1,MIDDLE_STAGE=0,END_STAGE=0	OPEN	0	0
G750-F08	okechy	HOT	NONE	0	NONE	NONE	THERMAL:OPEN:HOT=0,COLD=0|MOISTURE:OPEN:DRY=0,MOIST=0|STAGE:OPEN:BEGIN_STAGE=0,MIDDLE_STAGE=0,END_STAGE=0	okeedy	1	HOT:1|END_STAGE:1	NONE	THERMAL:OPEN:HOT=1,COLD=0|MOISTURE:OPEN:DRY=0,MOIST=0|STAGE:OPEN:BEGIN_STAGE=0,MIDDLE_STAGE=0,END_STAGE=1	OPEN	0	0
G750-F09	okedy	HOT	okeedy	1	HOT:1|END_STAGE:1	NONE	THERMAL:OPEN:HOT=1,COLD=0|MOISTURE:OPEN:DRY=0,MOIST=0|STAGE:OPEN:BEGIN_STAGE=0,MIDDLE_STAGE=0,END_STAGE=1	okeedy|ykeedy|ykeey	3	HOT:3|END_STAGE:3	HOT|END_STAGE	THERMAL:HOT:3|MOISTURE:OPEN:DRY=0,MOIST=0|STAGE:END_STAGE:3	OPEN	0	0
G750-F10	okeey	HOT	okeedy|ykeey	2	HOT:2|END_STAGE:2	HOT|END_STAGE	THERMAL:HOT:2|MOISTURE:OPEN:DRY=0,MOIST=0|STAGE:END_STAGE:2	cheey|okeedy|okeeol|oteeo|ykeedy|ykeey	6	HOT:4|COLD:1|DRY:1|END_STAGE:5	HOT|END_STAGE	THERMAL:HOT:4|MOISTURE:OPEN:DRY=1,MOIST=0|STAGE:END_STAGE:5	OPEN	0	0
