page	page_title_de	register	reading_units	visible_groups	owner_or_namespace_count	reading_mode	continuous_text_rule
f10r	zwei offene Artikel zur breit gezähnten Bildpflanze	PROSE	5	38	1	KARTEN_PLUS_VIERFACH_MERKTAFEL	STATEMENTS_IN_RECORD_ORDER
f11r	vierstufiger Pflanzen- und Filtergang	PROSE	4	17	1	KARTEN_PLUS_VIERFACH_MERKTAFEL	STATEMENTS_IN_RECORD_ORDER
f55v	kurzer Pflanzenartikel mit Verwahrung	PROSE	4	18	1	KARTEN_PLUS_VIERFACH_MERKTAFEL	STATEMENTS_IN_RECORD_ORDER
f56r	langer Pflanzenartikel mit Anwendung	PROSE	6	27	1	KARTEN_PLUS_VIERFACH_MERKTAFEL	STATEMENTS_IN_RECORD_ORDER
f81v	gemeinsames zweireihiges Becken	PROSE	21	66	1	KARTEN_PLUS_VIERFACH_MERKTAFEL	STATEMENTS_IN_RECORD_ORDER
f82r	mehrere lokale Becken- und Stationsvignetten	PROSE	22	62	5	KARTEN_PLUS_VIERFACH_MERKTAFEL	STATEMENTS_IN_RECORD_ORDER
f83r	lokale Gefäß-, Bogen- und Randstationsgänge	PROSE	54	153	7	KARTEN_PLUS_VIERFACH_MERKTAFEL	STATEMENTS_IN_RECORD_ORDER
f67r2	zwei getrennte himmlische Vergleichsräder	ASTRO_LOOKUP	74	190	74	LOKALE_ADRESSE_PLUS_KARTENWERT	NO_LINEAR_TEXT__ADDRESS_EACH_LOCUS
f68r1	mehrteiliger Sternstationsatlas	ASTRO_LOOKUP	37	65	37	LOKALE_ADRESSE_PLUS_KARTENWERT	NO_LINEAR_TEXT__ADDRESS_EACH_LOCUS
f69v	drei getrennte himmlische Nachschlageinstrumente	ASTRO_LOOKUP	31	140	31	LOKALE_ADRESSE_PLUS_KARTENWERT	NO_LINEAR_TEXT__ADDRESS_EACH_LOCUS
