statement_id	record_unit_id	page	loci	surface_sequence	formula_family	terminal_status	family_sequence_de	article_type	manual_fluent_translation_de	picture_owner_policy
H1-S001	H1	f10r	f10r.2	dchey · cthoor · char · chty · os · chair · otytchol · oky · daiin · etyd	FLOW_TRANSFER_PROCESS	OPEN	Wurzel; BEDINGUNGSANSATZ + BEREIT; VON_QUELLE; TEIL; AUFNAHME; LAUF_BAHN + ZUGIESSEN; FOLGEPOSTEN + FOLGETEIL; EINSETZEN + DIES_AKTUELLER_POSTEN; SOLLWERT; kleiner Rest	WURZEL_WASSER_AUSZUG	Nimm von der Wurzel einen Teil, richte den Ansatz her und gib ihn in das Aufnahmegefäß. Gieße Arbeitsflüssigkeit – hier am ehesten Wasser – zu, setze den Folgeposten ein, miss die Sollmenge ab und behalte einen kleinen Rest zurück.	pictured plant supplies the silent article owner; no species name asserted
H1-S002	H1	f10r	f10r.5	qokchy · qotchol · chol · cthy	GRADED_PROCESS	OPEN	EINSETZEN + DIES_AKTUELLER_POSTEN; WEITER_GLEICHER_LAUF + FOLGEPOSTEN; WEITER_GLEICHER_LAUF; DIES_AKTUELLER_POSTEN + BEREIT	WURZEL_WASSER_AUSZUG	Setze diesen Posten erneut ein, arbeite im folgenden Gang mit demselben Ansatz weiter und halte ihn bereit.	pictured plant supplies the silent article owner; no species name asserted
H2-S001	H2	f10r	f10r.6	ycheor · cthy · chor · cthaiin · qoctholy · dy · chy · taiin · shy	GRADED_PROCESS	OPEN	BEDINGUNGSANSATZ + AUSZUG; DIES_AKTUELLER_POSTEN + BEREIT; BEDINGUNGSANSATZ; SOLLWERT + BEREIT; WEITER_GLEICHER_LAUF + FOLGEPOSTEN + DIES_AKTUELLER_POSTEN; DIES_AKTUELLER_POSTEN; DIES_AKTUELLER_POSTEN; SOLLWERT; DIES_AKTUELLER_POSTEN	FORTGESETZTER_AUSZUG	Nimm den laufenden Auszugsansatz, bringe ihn in Bereitschaft und stelle ihn auf die vorgeschriebene Stufe. Führe denselben Posten weiter und verwende davon das Sollmaß.	pictured plant supplies the silent article owner; no species name asserted
H2-S002	H2	f10r	f10r.8	qotchor · chor · otol · chol · cholor · chol · daiin · dar	QUANTIFIED_PROCESS	OPEN	FOLGEPOSTEN + BEDINGUNGSANSATZ; BEDINGUNGSANSATZ; WEITER_GLEICHER_LAUF + FOLGEPOSTEN; WEITER_GLEICHER_LAUF; WEITER_GLEICHER_LAUF + BEDINGUNGSANSATZ; WEITER_GLEICHER_LAUF; SOLLWERT; VON_QUELLE	FORTGESETZTER_AUSZUG	Für den Folgeansatz arbeite mit derselben Zubereitung weiter; nimm vom laufenden Ansatz aus derselben Quelle die vorgeschriebene Menge.	pictured plant supplies the silent article owner; no species name asserted
H2-S003	H2	f10r	f10r.9	oykchor · shor · chor · chy · kaiiin · dy · chodaiin	GRADED_PROCESS	OPEN	BEDINGUNGSANSATZ + GEFAESS; BEDINGUNGSANSATZ; BEDINGUNGSANSATZ; DIES_AKTUELLER_POSTEN; STUFE + ARGUMENTBINDER; DIES_AKTUELLER_POSTEN; SOLLWERT + EINGABE	FORTGESETZTER_AUSZUG	Gib den Ansatz in sein Gefäß, halte denselben Posten aktiv, stelle die Arbeitsstufe ein und füge die vorgeschriebene Eingabemenge hinzu.	pictured plant supplies the silent article owner; no species name asserted
H3-S001	H3	f11r	f11r.1	tshol · schoal · cfhy · shfydaiin · cphy · shey · tchody	FLOW_TRANSFER_PROCESS	CLOSED	Kochgut; Sudansatz; auswringen; SOLLWERT + STEHZEIT; nachseihen; Klarlauf; kalt stellen; Schluss	GEKLAERTER_SUD	Koche das Pflanzenmaterial als Sud, wringe es aus, lasse es die vorgeschriebene Zeit stehen und seihe es nochmals. Bewahre nur den klaren Lauf, stelle ihn kalt und schließe die Zubereitung ab.	pictured plant supplies the silent article owner; no species name asserted
H3-S002	H3	f11r	f11r.1	shoyty	SIMPLE_OR_ELLIPTIC_PROCESS	OPEN	FOLGETEIL	GEKLAERTER_SUD	Halte einen weiteren Teil des Pflanzenmaterials für die folgende Zubereitung bereit.	pictured plant supplies the silent article owner; no species name asserted
H3-S003	H3	f11r	f11r.4	dchol · chy · kchy · dy · daiin	QUANTIFIED_PROCESS	OPEN	VORIGER; DIES_AKTUELLER_POSTEN; DIES_AKTUELLER_POSTEN + ARGUMENTBINDER; DIES_AKTUELLER_POSTEN; SOLLWERT	GEKLAERTER_SUD	Nimm vom vorigen Arbeitsgang, bearbeite denselben Posten weiter und miss die vorgeschriebene Menge ab.	pictured plant supplies the silent article owner; no species name asserted
H3-S004	H3	f11r	f11r.7	qotchy · okchol · cthy · dy	GRADED_PROCESS	OPEN	FOLGEPOSTEN + DIES_AKTUELLER_POSTEN; EINSETZEN; DIES_AKTUELLER_POSTEN + BEREIT; DIES_AKTUELLER_POSTEN	GEKLAERTER_SUD	Wechsle zum nächsten Posten, setze die Fortsetzung ein und halte diesen Teil bereit.	pictured plant supplies the silent article owner; no species name asserted
H4-S001	H4	f55v	f55v.5	qokaiin · chaiin · ykain · ykan · ody	GRADED_PROCESS	CLOSED	EINSETZEN + SOLLWERT; SOLLWERT; PORTION; ZWEITE_PORTION; FESTSETZEN + ZURUECKNEHMEN	GEKUEHLTER_BLATTAUSZUG	Miss die Sollmenge ab, teile sie in eine erste und eine zweite Portion, nimm sie danach aus der Wärme und lasse sie abkühlen; damit ist dieser Schritt festgesetzt.	pictured plant supplies the silent article owner; no species name asserted
