page_position	event_id	record	statement_id	surface	exact_card_id	component_recipe	card_meaning_de	semantic_atom_count	source_phrase	workshop_shorthand	picture_owner	visible_layer	owner_layer	state_layer
1	E001	H1	H1-S001	dchey	PROC001	CH+E+Y	ENTNEHMEN · KURZ · POSTEN	3	partem cito sume	part. cito / sume	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	MAIN_PREPARATION+CURRENT_ITEM
2	E002	H1	H1-S001	cthoor	PROC002	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	3	preparationem in opere fac	prep. / in op. / fac	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	MAIN_PREPARATION+CURRENT_ITEM
3	E003	H1	H1-S001	char	PROC003	AR	QUELLE	1	ex fonte	ex fonte	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	MAIN_PREPARATION+CURRENT_ITEM
4	E004	H1	H1-S001	chty	PROC004	T+Y	BEARBEITEN · POSTEN	2	rem opera	opera	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	MAIN_PREPARATION+CURRENT_ITEM
5	E005	H1	H1-S001	os	PROC005	OS	DAZU	1	adde	adde	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	MAIN_PREPARATION+CURRENT_ITEM
6	E006	H1	H1-S001	chair	PROC006	CH+AIR	ENTNEHMEN · WASSER	2	aquam sume	R. aq.	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	MAIN_PREPARATION+CURRENT_ITEM
7	E007	H1	H1-S001	otytchol	PROC007	OT+Y+T+CH+OL	DANACH · POSTEN · BEARBEITEN · ENTNEHMEN · WEITER	5	deinde rem opera, sume et continua	deinde / opera / sume / cont.	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	MAIN_PREPARATION+CURRENT_ITEM
8	E008	H1	H1-S001	oky	PROC008	OK+Y	ANSETZEN · POSTEN	2	rem pone	pone	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	MAIN_PREPARATION+CURRENT_ITEM
9	E009	H1	H1-S001	daiin	PROC009	AIIN	SOLLMASS	1	ad mensuram	ad mens.	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	MAIN_PREPARATION+CURRENT_ITEM
10	E010	H1	H1-S001	etyd	PROC010	E+T+Y	KURZ · BEARBEITEN · POSTEN	3	cito rem opera	cito / opera	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	MAIN_PREPARATION+CURRENT_ITEM
