visible_unit_serial	register	page	locus	record_or_diagram	position	surface	exact_identity	FORMAL_VALUE	ATOMIC_OR_WHOLE_CARD_MNEMONIC	LOCAL_IATROMEDICAL_EXPANSION	NONMEDICAL_RIVAL	UNKNOWN_EXEMPLAR_STATUS	source_lineage
1	PROSE_HERBAL	f10r	f10r.2	H1	F001:E1	dchey	65f320e75510b2f38182	OPAQUE_EXACT_CARD	UNKNOWN	Nimm die faserige untere Wurzel	Wurzelstoff aus dem Bildlos übernehmen [lokaler H1-Musterbogenschritt 1/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1
2	PROSE_HERBAL	f10r	f10r.2	H1	F001:E2	cthoor	dedc383b600397a301ee	OPAQUE_EXACT_CARD	UNKNOWN	wasche sie in fließendem Wasser	Wurzelstoff aus dem Bildlos übernehmen [lokaler H1-Musterbogenschritt 2/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1
3	PROSE_HERBAL	f10r	f10r.2	H1	F001:E3	char	4d4559019a961b834aa1	OPAQUE_EXACT_CARD	UNKNOWN	Daraus, aus demselben Ansatz	Wurzelstoff aus dem Bildlos übernehmen [lokaler H1-Musterbogenschritt 3/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1
4	PROSE_HERBAL	f10r	f10r.2	H1	F001:E4	chty	80ebbbbf238eee9f0aef	OPAQUE_EXACT_CARD	UNKNOWN	Gleichmäßig bearbeiten	Wurzelstoff aus dem Bildlos übernehmen [lokaler H1-Musterbogenschritt 4/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1
5	PROSE_HERBAL	f10r	f10r.2	H1	F001:E5	os	df1098831679a8ad1b39	OPAQUE_EXACT_CARD	UNKNOWN	zerstoße sie zu grobem Pulver	wässern [lokaler H1-Musterbogenschritt 5/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1
6	PROSE_HERBAL	f10r	f10r.2	H1	F001:E6	chair	12efe866f335461823a6	OPAQUE_EXACT_CARD	UNKNOWN	gib Rotwein hinzu	wässern [lokaler H1-Musterbogenschritt 6/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1
7	PROSE_HERBAL	f10r	f10r.2	H1	F001:E7	otytchol	62ff059766b21c7de083	OPAQUE_EXACT_CARD	UNKNOWN	trinke es bei Magenschmerz	wässern [lokaler H1-Musterbogenschritt 7/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1
8	PROSE_HERBAL	f10r	f10r.2	H1	F001:E8	oky	276a7c2d74d1143446f4	OPAQUE_EXACT_CARD	VERWENDEN?	Die aktive Portion verwenden	als Standardzusatz ansetzen [lokaler H1-Musterbogenschritt 8/14; keine Kartenbedeutung]	MEANING_UNCONFIRMED;MNEMONIC_ONLY;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1
9	PROSE_HERBAL	f10r	f10r.2	H1	F001:E9	daiin	2f1c5e56e8f0ff459065	OPAQUE_EXACT_CARD	MASS?	Ein vorgeschriebenes Maß	als Standardzusatz ansetzen [lokaler H1-Musterbogenschritt 9/14; keine Kartenbedeutung]	MEANING_UNCONFIRMED;MNEMONIC_ONLY;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1
10	PROSE_HERBAL	f10r	f10r.2	H1	F001:E10	etyd	a6939862e33ece5a0483	OPAQUE_EXACT_CARD	UNKNOWN	bewahre die übrige Wurzel trocken auf	als Standardzusatz ansetzen [lokaler H1-Musterbogenschritt 10/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1
11	PROSE_HERBAL	f10r	f10r.5	H1	F002:E11	qokchy	9ad66e67803a12e745de	OPAQUE_EXACT_CARD	UNKNOWN	gebrauche die frisch bereitete Arznei	als Standardzusatz ansetzen [lokaler H1-Musterbogenschritt 11/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1
12	PROSE_HERBAL	f10r	f10r.5	H1	F002:E12	qotchol	e8a6105b5c3a6220b440	FRAME_OT	UNKNOWN	wende sie warm an	Rest lagern [lokaler H1-Musterbogenschritt 12/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1
