astro_serial	page	locus	diagram_id	group_index_in_locus	surface	astro_token_id	FORMAL_VALUE	ATOMIC_OR_WHOLE_CARD_MNEMONIC	LOCAL_IATROMEDICAL_EXPANSION	NONMEDICAL_RIVAL	UNKNOWN_EXEMPLAR_STATUS	source_class	confidence	source_lineage
1	f67r2	f67r2.1	A1	1	ykshy	ASTRO_f67r2_001_01	ASTRO_LOCAL_SLOT:ZODIAC_BODY_SAFETY_SELECTOR	NOT_APPLICABLE_ASTRO_LOCAL	Aries: protect the head and face; avoid invasive treatment there	Arbeitsalmanach-Sektor 1: Arbeitsbereich 1 schonen und schwere Arbeit dort verschieben	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_BODY_SAFETY_SELECTOR	.36	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
2	f67r2	f67r2.1	A1	2	s	ASTRO_f67r2_001_02	ASTRO_LOCAL_SLOT:ZODIAC_DIVISION	NOT_APPLICABLE_ASTRO_LOCAL	its ruling quality	Arbeitsalmanach-Sektor 1: lokale Zeitqualität aus dem Exemplar übernehmen	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_DIVISION	.30	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
3	f67r2	f67r2.1	A1	3	aram	ASTRO_f67r2_001_03	ASTRO_LOCAL_SLOT:ZODIAC_DIVISION	NOT_APPLICABLE_ASTRO_LOCAL	its application rule	Arbeitsalmanach-Sektor 1: lokale Arbeitsregel aus dem Exemplar übernehmen	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_DIVISION	.30	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
4	f67r2	f67r2.2	A1	1	ykecho	ASTRO_f67r2_002_01	ASTRO_LOCAL_SLOT:ZODIAC_BODY_SAFETY_SELECTOR	NOT_APPLICABLE_ASTRO_LOCAL	Taurus: protect the neck and throat; avoid invasive treatment there	Arbeitsalmanach-Sektor 2: Arbeitsbereich 2 schonen und schwere Arbeit dort verschieben	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_BODY_SAFETY_SELECTOR	.36	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
5	f67r2	f67r2.2	A1	2	ols	ASTRO_f67r2_002_02	ASTRO_LOCAL_SLOT:ZODIAC_DIVISION	NOT_APPLICABLE_ASTRO_LOCAL	its ruling quality	Arbeitsalmanach-Sektor 2: lokale Zeitqualität aus dem Exemplar übernehmen	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_DIVISION	.30	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
6	f67r2	f67r2.2	A1	3	eesydy	ASTRO_f67r2_002_03	ASTRO_LOCAL_SLOT:ZODIAC_DIVISION	NOT_APPLICABLE_ASTRO_LOCAL	its application rule	Arbeitsalmanach-Sektor 2: lokale Arbeitsregel aus dem Exemplar übernehmen	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_DIVISION	.30	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
7	f67r2	f67r2.3	A1	1	ey	ASTRO_f67r2_003_01	ASTRO_LOCAL_SLOT:ZODIAC_BODY_SAFETY_SELECTOR	NOT_APPLICABLE_ASTRO_LOCAL	Gemini: protect the shoulders, arms and hands; avoid invasive treatment there	Arbeitsalmanach-Sektor 3: Arbeitsbereich 3 schonen und schwere Arbeit dort verschieben	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_BODY_SAFETY_SELECTOR	.36	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
8	f67r2	f67r2.3	A1	2	shs	ASTRO_f67r2_003_02	ASTRO_LOCAL_SLOT:ZODIAC_DIVISION	NOT_APPLICABLE_ASTRO_LOCAL	its ruling quality	Arbeitsalmanach-Sektor 3: lokale Zeitqualität aus dem Exemplar übernehmen	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_DIVISION	.30	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
9	f67r2	f67r2.3	A1	3	okar	ASTRO_f67r2_003_03	ASTRO_LOCAL_SLOT:ZODIAC_DIVISION	NOT_APPLICABLE_ASTRO_LOCAL	its application rule	Arbeitsalmanach-Sektor 3: lokale Arbeitsregel aus dem Exemplar übernehmen	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_DIVISION	.30	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
10	f67r2	f67r2.4	A1	1	shekchy	ASTRO_f67r2_004_01	ASTRO_LOCAL_SLOT:ZODIAC_BODY_SAFETY_SELECTOR	NOT_APPLICABLE_ASTRO_LOCAL	Cancer: protect the chest and breast; avoid invasive treatment there	Arbeitsalmanach-Sektor 4: Arbeitsbereich 4 schonen und schwere Arbeit dort verschieben	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_BODY_SAFETY_SELECTOR	.36	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
