unit_id	page	module	fields_or_loci	events_or_groups	FORMAL_VALUE	ATOMIC_OR_WHOLE_CARD_MNEMONIC	LOCAL_IATROMEDICAL_EXPANSION	NONMEDICAL_RIVAL	UNKNOWN_EXEMPLAR_STATUS	strongest_contradiction	teaching_rule	source_lineage
H1	f10r	HERBAL_RECORD	2	14	PICTURED_OWNER+OPEN_HEAVY_HERBAL_RECORD+FIELD*	TEIL?; VERWENDEN?; MASS?; LINK; BEREIT?	Von der abgebildeten Pflanze den unteren Wurzelstock nehmen, reinigen und zerkleinern. Mit gutem Wasser eine Arznei bereiten, davon ein vorgeschriebenes Mass verwenden und den Rest verwahren. Fuer einen zweiten Gebrauch die frische Bereitung mit dem vorigen Arbeitsstand verbinden und nur gelinde waermen.	Wurzelstoff wässern, als Standardzusatz ansetzen und den Rest lagern.	PICTURED_OWNER_AND_RECORD_PROSE_EXEMPLAR_REQUIRED;NOT_CARD_COMPOSITION	Wasser Wurzel Indikation und Waerme sind Artikelannahmen; nur 5 von 14 Ereignissen tragen Anker.	Bildbesitzer still binden; vollständige lokale Kartenfolge kopieren; offene Felder nicht zu Sätzen machen.	V53_SELECTED_FIVE_ARTICLES>V58_SELECTED_RIVAL>V59_R1
H2	f10r	HERBAL_RECORD	3	24	PICTURED_OWNER+OPEN_HEAVY_HERBAL_RECORD+FIELD*	BEREIT?; BEREITUNG?; MASS?; LINK; ZUVOR?	Die oberen Teile vor voller Bluete sammeln, zerquetschen und Saft oder Sud bereiten. Ein Mass davon mit der zuvor gewonnenen Zubereitung verbinden, mit Oel sanft bearbeiten und als aeusserliche Arznei verwahren.	Obere Teile ausziehen, mit einem Träger verbinden und als zweite Charge buchen.	PICTURED_OWNER_AND_RECORD_PROSE_EXEMPLAR_REQUIRED;NOT_CARD_COMPOSITION	Bluetenzeit Saft Oel und aeusserlicher Gebrauch sind nicht durch die Ankerfolge festgelegt.	Bildbesitzer still binden; vollständige lokale Kartenfolge kopieren; offene Felder nicht zu Sätzen machen.	V53_SELECTED_FIVE_ARTICLES>V58_SELECTED_RIVAL>V59_R1
H3	f11r	HERBAL_RECORD	4	17	PICTURED_OWNER+OPEN_HEAVY_HERBAL_RECORD+FIELD*	KLAR?; MASS?; BEREIT?	Blueten und junge Teile im Fruehjahr nehmen, in Wein oder Wasser gelinde ausziehen, durch ein Tuch pressen und nochmals klaeren. Einen Teil zurueckbehalten; aus dem uebrigen Material eine warme Auflage bereiten und massweise gebrauchen.	Blüten- oder Krautanteil ausziehen, filtrieren und getrennt verwahren.	PICTURED_OWNER_AND_RECORD_PROSE_EXEMPLAR_REQUIRED;NOT_CARD_COMPOSITION	Nur 3 von 17 Ereignissen sind benannt; selbst die Pflanzenfamilie bleibt bildlich zweideutig.	Bildbesitzer still binden; vollständige lokale Kartenfolge kopieren; offene Felder nicht zu Sätzen machen.	V53_SELECTED_FIVE_ARTICLES>V58_SELECTED_RIVAL>V59_R1
H4	f55v	HERBAL_RECORD	4	18	PICTURED_OWNER+OPEN_HEAVY_HERBAL_RECORD+FIELD*	SET[ARG_AIIN]; MASS?; LINK; SET[ARG_AL]; BEREITUNG?	Ein Mass frischer Blaetter zerkleinern, in Wein oder Wasser ausziehen und durch Tuch geben; die betroffene Stelle mit der Fluessigkeit waschen. Fuer eine zweite Bereitung die warmen Blaetter mit wenig Honig oder Oel verbinden und frisch auflegen.	Blattflotte und weichen Rest als zwei Arbeitsfraktionen führen.	PICTURED_OWNER_AND_RECORD_PROSE_EXEMPLAR_REQUIRED;NOT_CARD_COMPOSITION	Allium und Wegerich liefern beide passende historische Verfahren; Medium und Anwendung sind Kontext.	Bildbesitzer still binden; vollständige lokale Kartenfolge kopieren; offene Felder nicht zu Sätzen machen.	V53_SELECTED_FIVE_ARTICLES>V58_SELECTED_RIVAL>V59_R1
H5	f56r	HERBAL_RECORD	7	27	PICTURED_OWNER+OPEN_HEAVY_HERBAL_RECORD+FIELD*	MASS?; VERWENDEN?; AN?; TEIL?	Eine kleine Menge des frischen ganzen Krauts sammeln, in mildem Wein oder Wasser ausziehen und mit wenig Honig bereiten. Blaetter Koepfe und Bluetenschaft getrennt trocknen; den frischen Auszug massweise bei Brust- oder Hustenbeschwerden verwenden.	Seltenes klebriges Feuchtlandmaterial klein dosieren und trocknen.	PICTURED_OWNER_AND_RECORD_PROSE_EXEMPLAR_REQUIRED;NOT_CARD_COMPOSITION	21 von 27 Ereignissen sind opak und eine nahe Rezeptquelle um 1420 fehlt.	Bildbesitzer still binden; vollständige lokale Kartenfolge kopieren; offene Felder nicht zu Sätzen machen.	V53_SELECTED_FIVE_ARTICLES>V58_SELECTED_RIVAL>V59_R1
B1	f81v	BIOLOGICAL_RECORD	24	66	PICTURED_WORKCELL_OWNER+SHORT_BIO_CELLS+FIELD*	V56_CONTROL_CORE+BIO_LOCAL_MNEMONICS;EXACT_ONLY	Den vorbereiteten Zusatz im unteren Becken ansetzen, mehrere gemessene Portionen mit dem vorhandenen Arbeitsstand verbinden und durch die sichtbaren Laeufe fuehren. Warm halten, mischen, stehen und klaeren lassen; nachfuellen und die fertige Portion ueber die erste Station weitergeben.	Den Hauptkreislauf temperieren, absetzen, klären und weitergeben.	APPARATUS/PATIENT_OWNER_UNRESOLVED;RECORD_PROSE_EXEMPLAR_REQUIRED;NOT_CARD_COMPOSITION	39 von 66 Ereignissen sind opak; Becken Ruecklauf und Anwendung stammen aus Bild und Genre.	Kurze Zellen und lokale Terminalkarte kopieren; CLOSE nicht sprechen; Gerät und Körper als Bildrivalen führen.	V54_SELECTED_SIX_BIO_RECORDS>V58_SELECTED_RIVAL>V59_R1
B2	f82r	BIOLOGICAL_RECORD	26	62	PICTURED_WORKCELL_OWNER+SHORT_BIO_CELLS+FIELD*	V56_CONTROL_CORE+BIO_LOCAL_MNEMONICS;EXACT_ONLY	Eine gemessene Portion in ein temperiertes Teilbad oder Gefaess geben, zwischen mehreren Zugaengen bewegen, durch Tuch klaeren, ablassen und warm nachfuellen. Die bezeichnete Portion als Waschung Bad oder Auflage verwenden und die Schlussvarianten nacheinander buchen.	Das Einzelbecken füllen, bewegen, filtern, ablassen und nachfüllen.	APPARATUS/PATIENT_OWNER_UNRESOLVED;RECORD_PROSE_EXEMPLAR_REQUIRED;NOT_CARD_COMPOSITION	Baden Auflage Tuch und Koerperziel sind austauschbare Expansionen; die meisten Labels sind nur nahe bei Figuren oder Formen.	Kurze Zellen und lokale Terminalkarte kopieren; CLOSE nicht sprechen; Gerät und Körper als Bildrivalen führen.	V54_SELECTED_SIX_BIO_RECORDS>V58_SELECTED_RIVAL>V59_R1
B3	f83r	BIOLOGICAL_RECORD	38	86	PICTURED_WORKCELL_OWNER+SHORT_BIO_CELLS+FIELD*	V56_CONTROL_CORE+BIO_LOCAL_MNEMONICS;EXACT_ONLY	Die Fluessigkeit absetzen, warm nachfuellen, mischen, eintauchen oder baden, unten ablassen, wieder klaeren und am markierten Ort verwenden. Oeffnungen und Intervalle wechseln, Rueckstand behalten und Bad Filterung und Spuelung in mehreren Stationsgaengen wiederholen.	Einen wiederholten Mehrbecken- und Stationszyklus betreiben.	APPARATUS/PATIENT_OWNER_UNRESOLVED;RECORD_PROSE_EXEMPLAR_REQUIRED;NOT_CARD_COMPOSITION	50 von 86 Ereignissen sind opak; zwei klare Bildlabels gehoeren Auslaeufen ohne lokale Figur.	Kurze Zellen und lokale Terminalkarte kopieren; CLOSE nicht sprechen; Gerät und Körper als Bildrivalen führen.	V54_SELECTED_SIX_BIO_RECORDS>V58_SELECTED_RIVAL>V59_R1
B4	f83r	BIOLOGICAL_RECORD	20	47	PICTURED_WORKCELL_OWNER+SHORT_BIO_CELLS+FIELD*	V56_CONTROL_CORE+BIO_LOCAL_MNEMONICS;EXACT_ONLY	Den bezeichneten Teil lauwarm spuelen, einen Anteil entnehmen, durch Tuch fuehren und als Auflage oder Waschung verwenden. Gefaess und unteren Lauf reinigen, ablassen, erneut ansetzen und warmes Wasser nachgiessen.	Den bezeichneten Lauf warm reinigen, filtern und neu ansetzen.	APPARATUS/PATIENT_OWNER_UNRESOLVED;RECORD_PROSE_EXEMPLAR_REQUIRED;NOT_CARD_COMPOSITION	Auflegen oder Binden setzt einen Koerper voraus, waehrend der sichtbare Owner auch eine Station sein kann.	Kurze Zellen und lokale Terminalkarte kopieren; CLOSE nicht sprechen; Gerät und Körper als Bildrivalen führen.	V54_SELECTED_SIX_BIO_RECORDS>V58_SELECTED_RIVAL>V59_R1
B5	f83r	BIOLOGICAL_RECORD	5	11	PICTURED_WORKCELL_OWNER+SHORT_BIO_CELLS+FIELD*	V56_CONTROL_CORE+BIO_LOCAL_MNEMONICS;EXACT_ONLY	Den Arbeitsbestand abziehen, einmal erwaermen, einen Zeitraum halten und mit dem vorigen Posten im vorgeschriebenen Mass zur naechsten sichtbaren Station weiterfuehren.	Den Restbestand erwärmen, halten und an die nächste Station übergeben.	APPARATUS/PATIENT_OWNER_UNRESOLVED;RECORD_PROSE_EXEMPLAR_REQUIRED;NOT_CARD_COMPOSITION	Nur vier von elf Ereignissen tragen Anker und drei der fuenf Felder bleiben offen.	Kurze Zellen und lokale Terminalkarte kopieren; CLOSE nicht sprechen; Gerät und Körper als Bildrivalen führen.	V54_SELECTED_SIX_BIO_RECORDS>V58_SELECTED_RIVAL>V59_R1
