unit_id	folio_record	register	formal_coverage	literal_formal_skeleton	fluent_iatromedical_default_German	strongest_nonmedical_rival_German	historical_mechanism	exact_unsupported_nouns_German	image_supplied_owner	confidence	strongest_contradiction
H1	f10r_R1	HERBAL	2 fields / 14 events	2 OPEN + 0 TERMINAL; 5 selected anchors + 9 UNKNOWN; TEIL? VERWENDEN? MASS? VERKNUEPFEN BEREIT?	Von der abgebildeten Pflanze den unteren Wurzelstock nehmen, reinigen und zerkleinern. Mit gutem Wasser eine Arznei bereiten, davon ein vorgeschriebenes Mass verwenden und den Rest verwahren. Fuer einen zweiten Gebrauch die frische Bereitung mit dem vorigen Arbeitsstand verbinden und nur gelinde waermen.	Wurzelstoff waessern, als Standardzusatz fuer Bade-/Waschbetrieb ansetzen und den Rest lagern.	Ein Abiss-/Teufelsabbiss-Wasser in Frankfurt UB Ms. germ. qu. 17 aus dem ersten Viertel des 15. Jahrhunderts ist die engste Rezeptanalogie; es belegt den Quellmechanismus, nicht die Bildpflanze.	Pflanze; Wurzelstock; Wasser; Arznei; Mass; Rest; Gebrauch; Bereitung; Arbeitsstand	Skabiosen- oder Teufelsabbiss-nahe Wiesenpflanze; Bildhypothese, nie Kartenwert	MITTEL	Nur 5/14 Ereignisse sind benannt; Wurzel, Wasser, Arznei und Waerme stammen aus Bild und Quellenvergleich.
H2	f10r_R2	HERBAL	3 fields / 24 events	3 OPEN + 0 TERMINAL; 10 selected anchors + 14 UNKNOWN; BEREIT? BEREITUNG? MASS? VERKNUEPFEN ZUVOR?	Die oberen Teile vor voller Bluete sammeln, zerquetschen und Saft oder Sud bereiten. Ein Mass davon mit der zuvor gewonnenen Zubereitung verbinden, mit Oel sanft bearbeiten und als aeusserliche Arznei verwahren.	Obere Pflanzenteile ausziehen, mit einem Traeger oder Voransatz verbinden und als zweite technische Charge buchen.	Kompilierte Materia medica und Rezeptserien koennen Teile derselben Pflanze und Folgepraeparate getrennt fuehren; fuer genau diese Pflanze und Oelbereitung fehlt ein enger Beleg.	Pflanzenteil; Bluete; Saft; Sud; Mass; Zubereitung; Oel; Arznei	dieselbe skabiosenartige Bildpflanze; zweiter Recordbesitz ist redaktionell angenommen	NIEDRIG_MITTEL	Bluetenzeit, Saft, Oel und aeusserliche Verwendung werden durch keinen Kartenanker bestimmt.
H3	f11r_R1	HERBAL	4 fields / 17 events	3 OPEN + 1 TERMINAL; 3 selected anchors + 14 UNKNOWN; KLAR? MASS? BEREIT?	Blueten und junge Teile im Fruehjahr nehmen, in Wein oder Wasser gelinde ausziehen, durch ein Tuch pressen und nochmals klaeren. Einen Teil zurueckbehalten; aus dem uebrigen Material eine warme Auflage bereiten und massweise gebrauchen.	Blueten- oder Krautanteile fuer eine Duft-/Farbprobe ausziehen, filtrieren und getrennt verwahren.	Veilchenwein, Veilchenoel und warme Pflanzenauflagen bieten zeitgenoessische Verfahrensanalogien; eine Dolden- oder Wurzelpflanze bleibt Bildrivale.	Bluete; Jungteil; Fruehjahr; Wein; Wasser; Tuch; Teil; Material; Auflage; Mass	kleine Schattenpflanze; Veilchen nur Leitbild	NIEDRIG_MITTEL	14/17 Ereignisse bleiben unbekannter Exemplarschwanz und selbst die Pflanzenfamilie ist zweideutig.
H4	f55v_R1	HERBAL	4 fields / 18 events	1 OPEN + 3 TERMINAL; 8 selected anchors + 10 UNKNOWN; SETZEN MASS? VERKNUEPFEN BEREITUNG?	Ein Mass frischer Blaetter zerkleinern, in Wein oder Wasser ausziehen und durch Tuch geben; die betroffene Stelle mit der Fluessigkeit waschen. Fuer eine zweite Bereitung die warmen Blaetter mit wenig Honig oder Oel verbinden und frisch auflegen.	Blattflotte und weichen Rest als zwei Wasch-, Beiz- oder Zurichtungsfraktionen fuehren.	Allium- und Wegerichtraditionen kennen aeusserliche Auszuege, Waschungen und Auflagen; sie entscheiden das Bild und das Medium nicht.	Mass; Blatt; Wein; Wasser; Tuch; Koerperstelle; Fluessigkeit; Bereitung; Honig; Oel	breitblaettriges Heilkraut; Allium und Wegerich gleichwertige Bildrivalen	NIEDRIG_MITTEL	Drei formale Schluesse beweisen weder Wundbehandlung noch Medium; Allium und Wegerich tragen verschiedene plausible Verfahren.
H5	f56r_R1	HERBAL	7 fields / 27 events	6 OPEN + 1 TERMINAL; 6 selected anchors + 21 UNKNOWN; MASS? VERWENDEN? AN? TEIL?	Eine kleine Menge des frischen ganzen Krauts sammeln, in mildem Wein oder Wasser ausziehen und mit wenig Honig bereiten. Blaetter, Koepfe und Bluetenschaft getrennt trocknen; den frischen Auszug massweise bei Brust- oder Hustenbeschwerden verwenden.	Seltenes klebriges Feuchtlandmaterial klein dosieren, in Teile trennen, trocknen und als technische Probe verwahren.	Eine Drosera-/Sonnentau-Brustanwendung ist als materia-medica Lead denkbar, doch eine nahe Rezeptquelle um 1420 fehlt; Teiltrennung und Trocknung sind allgemeine Herbalpraxis.	Menge; Kraut; Wein; Wasser; Honig; Blatt; Kopf; Bluetenschaft; Auszug; Brustbeschwerde; Hustenbeschwerde	feuchtlandliebende Druesen- oder Borstenpflanze; Sonnentau bleibt enge Bildwette	NIEDRIG	21/27 Ereignisse sind unbekannt; konkrete Droseraidentitaet und Indikation sind die riskanteste Herbal-Erweiterung.
B1	f81v_R1	BIO	24 fields / 66 events	7 OPEN + 17 TERMINAL; 27 selected anchors + 39 UNKNOWN; SPUELEN? SETZEN VERKNUEPFEN AN? ZUVOR? MASS? VERWENDEN? MARKIEREN WARM?	Den vorbereiteten Zusatz im unteren Becken ansetzen, mehrere gemessene Portionen mit dem vorhandenen Arbeitsstand verbinden und durch die sichtbaren Laeufe fuehren. Warm halten, mischen, stehen und klaeren lassen; nachfuellen und die fertige Portion ueber die erste Station weitergeben.	Hauptkreislauf eines Bade-/Waschhauses temperieren, absetzen, klaeren und an Betriebsstationen weitergeben.	Therapeutische Badeliteratur verbindet Badende, Wasser, Temperatur, Dauer und Heilgebrauch; Becken- und Laufbilder liefern daneben einen realen Apparatevergleich.	Zusatz; Becken; Portion; Arbeitsstand; Lauf; Station	unteres Becken mit sichtbaren Laeufen; kein Kartenwert fuer Becken, Wasser oder Patient	NIEDRIG_MITTEL	39/66 Ereignisse sind unbekannt; Ruecklauf, Wasser und Behandlung werden nur aus Bild und Genre gewonnen.
B2	f82r_R1	BIO	26 fields / 62 events	7 OPEN + 19 TERMINAL; 24 selected anchors + 38 UNKNOWN; SETZEN WARM? VERKNUEPFEN VERWENDEN? MARKIEREN KLAR? MASS? ABLASSEN? AN?	Eine gemessene Portion in ein temperiertes Teilbad oder Gefaess geben, zwischen mehreren Zugaengen bewegen, durch Tuch klaeren, ablassen und warm nachfuellen. Die bezeichnete Portion als Waschung, Bad oder Auflage verwenden und die Schlussvarianten nacheinander buchen.	Einzelbecken fuellen, bewegen, filtern, ablassen und nachfuellen; Figuren sind Badgaeste oder Bediener.	Baderegimina und therapeutische Balneologie erlauben individuelle Bad-, Wasch- und Auflagestationen; technische Mehrkammerigkeit bleibt gleich plausibel.	Portion; Teilbad; Gefaess; Zugang; Tuch; Waschung; Bad; Auflage; Schlussvariante	gemischte Figur-/Becken-/Bauteilbesitzer; keine Karte bedeutet Frau oder Koerper	NIEDRIG_MITTEL	Bad, Tuch, Koerperziel und genaue Bewegung sind austauschbare Expansionen; viele Labels liegen nur nahe bei Formen.
B3	f83r_R1	BIO	38 fields / 86 events	7 OPEN + 31 TERMINAL; 36 selected anchors + 50 UNKNOWN; MARKIEREN MASS? ABLASSEN? SETZEN VERWENDEN? BEREITUNG? SPUELEN? AN? BEREIT? WARM? VERKNUEPFEN	Die Fluessigkeit absetzen, warm nachfuellen, mischen, eintauchen oder baden, unten ablassen, wieder klaeren und am markierten Ort verwenden. Oeffnungen und Intervalle wechseln, Rueckstand behalten und Bad, Filterung und Spuelung in mehreren Stationsgaengen wiederholen.	Wiederholten Mehrbecken-, Wasch- und Stationszyklus mit Chargen, Filterung und Ablauf betreiben.	Irrigation, therapeutisches Baden und Apparatereinigung teilen Erwaermen, Fuehren, Absetzen, Filtern und Ablassen; die Auslaeufe sichern eine Apparateschicht.	Fluessigkeit; Ort; Oeffnung; Intervall; Rueckstand; Bad; Filterung; Spuelung; Stationsgang	mehrstufige Becken-/Laufanlage mit Figuren und menschenfreien Auslaeufen	NIEDRIG_MITTEL	50/86 Ereignisse sind unbekannt; zwei klare Labels gehoeren Auslaeufen ohne Figur und blockieren reine Patientinnenprosa.
B4	f83r_R2	BIO	20 fields / 47 events	4 OPEN + 16 TERMINAL; 19 selected anchors + 28 UNKNOWN; WARM? SPUELEN? MARKIEREN TEIL? VERWENDEN? VERKNUEPFEN MASS? SETZEN ABLASSEN? BEREITUNG? KLAR? AN?	Den bezeichneten Teil lauwarm spuelen, einen Anteil entnehmen, durch Tuch fuehren und als Auflage oder Waschung verwenden. Gefaess und unteren Lauf reinigen, ablassen, erneut ansetzen und warmes Wasser nachgiessen.	Den bezeichneten Anlagenlauf warm reinigen, filtrieren, entleeren und als zweiten Transferzyklus neu ansetzen.	Bad-, Wasch- und Auflagenpraxis kann einen warmen Nachgang bilden; dieselben Operationen passen jedoch vollstaendig zu Anlagenpflege.	Teil; Anteil; Tuch; Auflage; Waschung; Gefaess; Lauf; Wasser	warmer Nachlauf derselben sichtbaren Anlage; Koerperbesitz bleibt optional	NIEDRIG_MITTEL	Auflegen und Binden setzen einen Koerper voraus, waehrend der sichtbare Besitzer auch eine Station sein kann.
B5	f83r_R3	BIO	5 fields / 11 events	3 OPEN + 2 TERMINAL; 4 selected anchors + 7 UNKNOWN; AN? VERKNUEPFEN MASS?	Den Arbeitsbestand abziehen, einmal erwaermen, einen Zeitraum halten und mit dem vorigen Posten im vorgeschriebenen Mass zur naechsten sichtbaren Station weiterfuehren.	Restbestand erwaermen, halten und als kurzen technischen Uebergabenachtrag an die naechste Station geben.	Rezept- und Baderegister kennen kurze Folgeanweisungen zu Waerme, Dauer, Anteil und Uebergabe; keine davon ist hier atomar identifiziert.	Arbeitsbestand; Zeitraum; Posten; Mass; Station	kurzer sichtbarer Uebergabegang	NIEDRIG	Nur 4/11 Ereignisse tragen Anker; drei der fuenf Felder bleiben offen.
