field_serial	field_id	page	record	record_unit_id	locus	field_ordinal_in_locus	field_ordinal_in_record	event_count	surface_sequence	formal_sequence_opaque	FORMAL_VALUE	ATOMIC_OR_WHOLE_CARD_MNEMONIC	LOCAL_IATROMEDICAL_EXPANSION	NONMEDICAL_RIVAL	UNKNOWN_EXEMPLAR_STATUS	closure_status	source_lineage
1	F001	f10r	1	H1	f10r.2	1	1	10	dchey cthoor char chty os chair otytchol oky daiin etyd	OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD	FIELD_OPEN:NONCLOSE* TERMINAL?	UNKNOWN | UNKNOWN | UNKNOWN | UNKNOWN | UNKNOWN | UNKNOWN | UNKNOWN | VERWENDEN? | MASS? | UNKNOWN	Nimm die faserige untere Wurzel ; wasche sie in fließendem Wasser ; Daraus, aus demselben Ansatz ; Gleichmäßig bearbeiten ; zerstoße sie zu grobem Pulver ; gib Rotwein hinzu ; trinke es bei Magenschmerz ; Die aktive Portion verwenden ; Ein vorgeschriebenes Maß ; bewahre die übrige Wurzel trocken auf	Wurzelstoff aus dem Bildlos übernehmen [Ganzfeldexemplar H1, Feld 1/2]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=8;EXEMPLAR_REQUIRED	OPEN	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
2	F002	f10r	1	H1	f10r.5	1	2	4	qokchy qotchol chol cthy	OPAQUE_PAYLOAD | FRAME_OT(OPAQUE_PAYLOAD) | FRAME_O(LINK) | OPAQUE_PAYLOAD	FIELD_OPEN:NONCLOSE* TERMINAL?	UNKNOWN | UNKNOWN | UNKNOWN | BEREIT?	gebrauche die frisch bereitete Arznei ; wende sie warm an ; Mit der vorigen Zubereitung weiter ; Sobald die Zubereitung gebrauchsfertig ist	als Standardzusatz ansetzen [Ganzfeldexemplar H1, Feld 2/2]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=3;EXEMPLAR_REQUIRED	OPEN	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
3	F003	f10r	2	H2	f10r.6	1	1	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD + <ARG_AIIN> | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD	FIELD_OPEN:NONCLOSE* TERMINAL?	UNKNOWN | BEREIT? | BEREITUNG? | UNKNOWN | UNKNOWN | UNKNOWN | UNKNOWN | MASS? | UNKNOWN	sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion	obere Pflanzenteile übernehmen [Ganzfeldexemplar H2, Feld 1/3]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=6;EXEMPLAR_REQUIRED	OPEN	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
4	F004	f10r	2	H2	f10r.8	1	2	8	qotchor chor otol chol cholor chol daiin dar	FRAME_OT(OPAQUE_PAYLOAD) | OPAQUE_PAYLOAD | FRAME_OT(OPAQUE_PAYLOAD) | FRAME_O(LINK) | OPAQUE_PAYLOAD | FRAME_O(LINK) | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD	FIELD_OPEN:NONCLOSE* TERMINAL?	UNKNOWN | BEREITUNG? | UNKNOWN | UNKNOWN | ZUVOR? | UNKNOWN | MASS? | UNKNOWN	vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz	ausziehen [Ganzfeldexemplar H2, Feld 2/3]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=5;EXEMPLAR_REQUIRED	OPEN	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
5	F005	f10r	2	H2	f10r.9	1	3	7	oykchor shor chor chy kaiiin dy chodaiin	OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | FRAME_O(OPAQUE_PAYLOAD + <ARG_AIIN>)	FIELD_OPEN:NONCLOSE* TERMINAL?	UNKNOWN | BEREITUNG? | BEREITUNG? | UNKNOWN | UNKNOWN | UNKNOWN | UNKNOWN	wenn sich die Blüte geöffnet hat ; Die bereitete Arbeitsflüssigkeit ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; bis ein bitterer Geschmack bleibt ; Diese aktive Portion ; bewahre diesen Anteil unter Öl	mit einem Träger verbinden [Ganzfeldexemplar H2, Feld 3/3]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=5;EXEMPLAR_REQUIRED	OPEN	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
6	F006	f11r	1	H3	f11r.1	1	1	7	tshol schoal cfhy shfydaiin cphy shey tchody	OPAQUE_PAYLOAD | OPAQUE_PAYLOAD + <ARG_AL> | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD + <ARG_AIIN> | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | CLOSE(OPAQUE_PAYLOAD)	FIELD_TERMINAL:NONCLOSE* TERMINAL?	UNKNOWN | UNKNOWN | UNKNOWN | UNKNOWN | UNKNOWN | KLAR? | UNKNOWN	sammle die Wurzel im Frühjahr ; vom schattigen Waldort ; bevor sich die Blütenkrone öffnet ; presse die gequetschte Wurzel durch ein Tuch ; seihe die Flüssigkeit ein zweites Mal ; Bis die Flüssigkeit klar abläuft ; lasse die geseihte Flüssigkeit offen abkühlen	Blüten- oder Krautanteil übernehmen [Ganzfeldexemplar H3, Feld 1/4]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=6;EXEMPLAR_REQUIRED	TERMINAL	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
7	F007	f11r	1	H3	f11r.1	2	2	1	shoyty	OPAQUE_PAYLOAD	FIELD_OPEN:NONCLOSE* TERMINAL?	UNKNOWN	behalte die Blütenkrone zurück	ausziehen [Ganzfeldexemplar H3, Feld 2/4]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=1;EXEMPLAR_REQUIRED	OPEN	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
8	F008	f11r	1	H3	f11r.4	1	3	5	dchol chy kchy dy daiin	OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD	FIELD_OPEN:NONCLOSE* TERMINAL?	UNKNOWN | UNKNOWN | UNKNOWN | UNKNOWN | MASS?	von diesem abgebildeten Simplex ; Diese aktive Portion ; binde es auf die geschwollene Stelle ; Diese aktive Portion ; Ein vorgeschriebenes Maß	filtrieren [Ganzfeldexemplar H3, Feld 3/4]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=4;EXEMPLAR_REQUIRED	OPEN	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
9	F009	f11r	1	H3	f11r.7	1	4	4	qotchy okchol cthy dy	FRAME_OT(OPAQUE_PAYLOAD) | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD	FIELD_OPEN:NONCLOSE* TERMINAL?	UNKNOWN | UNKNOWN | BEREIT? | UNKNOWN	bereite aus den Blättern einen warmen Umschlag ; lege ihn warm auf ; Sobald die Zubereitung gebrauchsfertig ist ; Diese aktive Portion	getrennt verwahren [Ganzfeldexemplar H3, Feld 4/4]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=3;EXEMPLAR_REQUIRED	OPEN	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
10	F010	f55v	1	H4	f55v.5	1	1	5	qokaiin chaiin ykain ykan ody	SET(<ARG_AIIN>) | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD + <ARG_AIN> | OPAQUE_PAYLOAD | CLOSE(OPAQUE_PAYLOAD)	FIELD_TERMINAL:NONCLOSE* TERMINAL?	UNKNOWN | MASS? | UNKNOWN | UNKNOWN | UNKNOWN	beginne den nächsten abgemessenen Posten ; Ein vorgeschriebenes Maß ; koche das breite Blatt sanft ; in Weißwein ; lasse es ziehen, bis die Flüssigkeit klar ist	Blattflotte ansetzen [Ganzfeldexemplar H4, Feld 1/4]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=4;EXEMPLAR_REQUIRED	TERMINAL	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
