entry_id	entry_kind	exact_or_formal_basis	surface_examples	final_working_value_German	license	main_caveat
F01	FORMAL_CONTROL	SET(<ARG_AIIN>)	okaiin|qokaiin	STANDARDSLOT SETZEN	STRICT_V56_CONTROL	ARG_AIIN bedeutet nicht MASS und nennt kein Objekt.
F02	FORMAL_CONTROL	SET(<ARG_AL>)	okal|qokal	LOKALEN RELATIONSSLOT SETZEN	STRICT_V56_CONTROL	ARG_AL bedeutet nicht AN und nennt kein Ziel.
F03	FORMAL_CONTROL	FRAME_O(LINK)	cheol|chol|ol|qol|sol|tol	AKTIVEN ARBEITSSTAND VERKNUEPFEN	STRICT_V56_CONTROL	Antezedent und Art der Relation stammen aus Record und Exemplar.
F04	FORMAL_CONTROL	MARK(<ARG_*>)	otaiin|otal|otar	BEZUG MARKIEREN	V50_FORMAL_ONLY	Keine Quelle oder Richtung ist im Operator enthalten.
F05	SURFACE_PROMPT	exact AIIN card rendered as daiin	daiin	VORGABEPARAMETER?	STRICT_V56_SURFACE_ONLY	Nur diese Oberflaeche; keine sichtbare Skala oder Einheit.
M01	EXACT_CARD	2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	MASS?	EXPLORATORY_SHARED_EXACT_CARD_MNEMONIC	Unteilbare Ganzkarte; Maßart bleibt lokal.
M02	EXACT_CARD	276a7c2d74d1143446f4	choky|oky|qoky	VERWENDEN?	EXPLORATORY_SHARED_EXACT_CARD_MNEMONIC	Objekt und Anwendung stammen aus Register und Bild.
M03	EXACT_CARD	e0b630cb1b5df5e7105b	checthy|cthy|shcthy	BEREIT?	EXPLORATORY_SHARED_EXACT_CARD_MNEMONIC	Kann eine formale Statusklasse sein.
M04	EXACT_CARD	7a4bb8136330ee4e6e56	chor|or|shor|sor	BEREITUNG?	EXPLORATORY_SHARED_EXACT_CARD_MNEMONIC	Fluessigkeit oder Stoff sind lokale Erweiterungen.
M05	EXACT_CARD	dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	AN?	EXPLORATORY_SHARED_EXACT_CARD_MNEMONIC	Ziel und Richtung sind stille Argumente.
M06	EXACT_CARD	b5df9126607030b95175	cheey|shey	KLAR?	EXPLORATORY_SHARED_EXACT_CARD_MNEMONIC	Nur zwei von vier Rollen; nicht 'bis die Fluessigkeit klar ablaeuft'.
M07	EXACT_CARD	dec401773c1f0347793d	cholor|olor	ZUVOR?	EXPLORATORY_SHARED_EXACT_CARD_MNEMONIC	Nur zwei Ereignisse; Antezedent bleibt lokal.
M08	EXACT_CARD	faf321940aed922846a9	otchey	TEIL?	EXPLORATORY_SHARED_EXACT_CARD_MNEMONIC	Nur zwei Ereignisse; keine bestimmte Pflanzen- oder Koerperpartie.
M09	EXACT_CARD	0275fbf14e07935b0a45	okeey|qokeey	WARM?	BIO_LOCAL_ONLY	Temperaturgrad und Objekt bleiben unbekannt.
M10	EXACT_CARD	7db18b2f0fb7ed0fcfd3	qokedy	SPUELEN?	BIO_LOCAL_ONLY_CLOSE_CONFOUNDED	Jedes Vorkommen ist zugleich Feldschluss.
M11	EXACT_CARD	de7321bface5628e35d6	lchedy	ABLASSEN?	BIO_LOCAL_ONLY_CLOSE_CONFOUNDED	Jedes Vorkommen ist zugleich Feldschluss.
X01	EXACT_FORMULA	Y-AIIN-Y	Y AIIN Y	EXAKTE FORMEL; BEDEUTUNG UNBEKANNT	MEMORIZED_FORM_ONLY	Gleichmaß Dyade und Referenz sind mit zwei Vorkommen nicht entschieden.
X02	EXEMPLAR_TAIL	all other 162 exact prose card IDs	various	LOKALER EXEMPLARPOSTEN	COPY_EXACT_LOCAL_DEFAULT	Kein gemeinsames kurzes Mnemonic; lokale Ereignisexpansion bleibt trotzdem vollstaendig.
X03	ASTRO_LOCAL	395 position-bound visible groups	various	LOKALER DIAGRAMMWERT	ASTRO_LOCAL_ONLY	Keine Prosa-Karte kein externer Name und kein f68-f69-Index.
