rule_order	state	visible_input	condition	operation	state_update	forward_autonomous_output	backward_formal_output	optional_master_gloss	apprentice_memorizes	apprentice_derives	master_exemplar_only	failure_if_omitted	historical_status
01	START	selected unit identifier	always	LOAD_UNIT	clear record/statement/owner/pending-copy; retain exact code sheet and physical layout	none	none	NONE	Memorize this state-transition rule and the supplied layout/code-sheet convention; memorize no content gloss.	Derive the condition from current visible identity, boundary, owner, locus and local namespace; do not infer content.	OCCURRENCE_CONTENT_AND_EXTERNAL_MEANING	state leaks between records or namespaces	WORKSHOP_SIMULATION_RULE__NOT_ATTESTED_VOYNICH_PRACTICE
02	PROSE_RECORD	record boundary	new H/B record	RESET_RECORD	set record; clear statement, owner, substance, target, direction and pending-copy	record address	record boundary	NONE	Memorize this state-transition rule and the supplied layout/code-sheet convention; memorize no content gloss.	Derive the condition from current visible identity, boundary, owner, locus and local namespace; do not infer content.	OCCURRENCE_CONTENT_AND_EXTERNAL_MEANING	B5/B6 or Herbal articles merge illegally	WORKSHOP_SIMULATION_RULE__NOT_ATTESTED_VOYNICH_PRACTICE
03	PROSE_RECORD	frozen statement membership	statement_id changes	OPEN_STATEMENT	set statement; do not treat physical line as a sentence boundary	statement address	statement boundary from layout template	NONE	Memorize this state-transition rule and the supplied layout/code-sheet convention; memorize no content gloss.	Derive the condition from current visible identity, boundary, owner, locus and local namespace; do not infer content.	OCCURRENCE_CONTENT_AND_EXTERNAL_MEANING	19 line transitions split 18 valid statements	WORKSHOP_SIMULATION_RULE__NOT_ATTESTED_VOYNICH_PRACTICE
04	PROSE_STATEMENT	image_owner_id	record start or visible owner changes	SET_OR_RESET_OWNER	set local owner; clear substance, target and direction on BREAK_VISIBLE_GAP	local owner address only	same visible owner binding	NONE	Memorize this state-transition rule and the supplied layout/code-sheet convention; memorize no content gloss.	Derive the condition from current visible identity, boundary, owner, locus and local namespace; do not infer content.	OCCURRENCE_CONTENT_AND_EXTERNAL_MEANING	disconnected Bio stations become one invented flow	WORKSHOP_SIMULATION_RULE__NOT_ATTESTED_VOYNICH_PRACTICE
05	PROSE_STATEMENT	line-final exact card	physical line ends while statement remains open	BUFFER_EDGE_CARD	hold exact card and owner until next line-initial event; emit nothing yet	pending edge candidate	none	NONE	Memorize this state-transition rule and the supplied layout/code-sheet convention; memorize no content gloss.	Derive the condition from current visible identity, boundary, owner, locus and local namespace; do not infer content.	OCCURRENCE_CONTENT_AND_EXTERNAL_MEANING	E180 may be spoken before E181 is inspected	WORKSHOP_SIMULATION_RULE__NOT_ATTESTED_VOYNICH_PRACTICE
06	PENDING_EDGE_CARD	next line-initial event	same exact card + same statement + same owner + prior NONCLOSE + no visible owner reset between the two occurrences	COLLAPSE_ANTICIPATORY_COPY	mark first visible copy marginal; emit second occurrence once; clear buffer	one source token for two visible copies	render source token at line start and anticipate it once at preceding line edge	NONE	Memorize this state-transition rule and the supplied layout/code-sheet convention; memorize no content gloss.	Derive the condition from current visible identity, boundary, owner, locus and local namespace; do not infer content.	OCCURRENCE_CONTENT_AND_EXTERNAL_MEANING	a local visible duplicate may be counted twice; this is not a standard catchword rule	WORKSHOP_SIMULATION_RULE__NOT_ATTESTED_VOYNICH_PRACTICE
07	PENDING_EDGE_CARD	next line-initial event	any edge-copy condition fails	RELEASE_BOTH	read buffered and current events independently; clear buffer	two source positions	two visible events	NONE	Memorize this state-transition rule and the supplied layout/code-sheet convention; memorize no content gloss.	Derive the condition from current visible identity, boundary, owner, locus and local namespace; do not infer content.	OCCURRENCE_CONTENT_AND_EXTERNAL_MEANING	false catchwords at ordinary line crossings	WORKSHOP_SIMULATION_RULE__NOT_ATTESTED_VOYNICH_PRACTICE
08	PROSE_STATEMENT	dcda95c81a5460feb191	exact identity match	EMIT_FORMAL_LINK	no semantic state change is licensed	[FORMAL_LINK]	dcda95c81a5460feb191	ET? = UND/AUCH?__MASTER_KEY_ONLY	Memorize the exact-card-to-formal-channel lookup only; any questioned word gloss remains on the optional master key.	Derive the condition from current visible identity, boundary, owner, locus and local namespace; do not infer content.	OCCURRENCE_CONTENT_AND_EXTERNAL_MEANING__PLUS_OPTIONAL_QUESTIONED_WORD_GLOSS	the exact formal link channel is lost or falsely promoted to an internally known word	WORKSHOP_SIMULATION_RULE__NOT_ATTESTED_VOYNICH_PRACTICE
09	PROSE_STATEMENT	b5fcea1eaed06b2f2291	exact identity match and not suppressed edge copy	EMIT_FORMAL_RELATION_OR_ENTRY	no semantic state change is licensed	[FORMAL_RELATION_OR_ENTRY]	b5fcea1eaed06b2f2291	PER? = DURCH/GEMÄSS?__MASTER_KEY_ONLY	Memorize the exact-card-to-formal-channel lookup only; any questioned word gloss remains on the optional master key.	Derive the condition from current visible identity, boundary, owner, locus and local namespace; do not infer content.	OCCURRENCE_CONTENT_AND_EXTERNAL_MEANING__PLUS_OPTIONAL_QUESTIONED_WORD_GLOSS	the exact relation/entry channel is lost or falsely promoted to an internally known word	WORKSHOP_SIMULATION_RULE__NOT_ATTESTED_VOYNICH_PRACTICE
10	PROSE_STATEMENT	formal nonword card	V78 status FORMAL_LABEL_NOT_WORD	EMIT_FORMAL_CHANNEL	keep channel nonlexical	formal parameter/relation prompt	same exact card from code sheet	NONE	Memorize this state-transition rule and the supplied layout/code-sheet convention; memorize no content gloss.	Derive the condition from current visible identity, boundary, owner, locus and local namespace; do not infer content.	OCCURRENCE_CONTENT_AND_EXTERNAL_MEANING	editorial label becomes a claimed word	WORKSHOP_SIMULATION_RULE__NOT_ATTESTED_VOYNICH_PRACTICE
11	PROSE_STATEMENT	all other exact cards	no admitted V77 word	EMIT_OPAQUE_VALUE	retain exact identity and position only	EXEMPLAR_VALUE_UNKNOWN	same exact card from code sheet	NONE	Memorize this state-transition rule and the supplied layout/code-sheet convention; memorize no content gloss.	Derive the condition from current visible identity, boundary, owner, locus and local namespace; do not infer content.	OCCURRENCE_CONTENT_AND_EXTERNAL_MEANING	new unsupported dictionary meanings appear	WORKSHOP_SIMULATION_RULE__NOT_ATTESTED_VOYNICH_PRACTICE
12	ANY_PROSE	master exemplar switch	master exemplar present	LOOKUP_CONTEXT_EXPANSION	attach occurrence-bound bracketed expansion without changing dictionary	selected V78 German exemplar phrase	same occurrence address	NONE	Memorize the exact-card-to-formal-channel lookup only; any questioned word gloss remains on the optional master key.	Derive only the occurrence address; retrieve bracketed content from the master exemplar by lookup.	OCCURRENCE_CONTENT_AND_EXTERNAL_MEANING	content cannot be recovered; formal copying still succeeds	WORKSHOP_SIMULATION_RULE__NOT_ATTESTED_VOYNICH_PRACTICE
13	ANY_PROSE	master exemplar switch	master exemplar absent	MASK_CONTEXT_EXPANSION	retain formal identity/layout; set source content UNKNOWN	no semantic content	formal layout only	NONE	Memorize the exact-card-to-formal-channel lookup only; any questioned word gloss remains on the optional master key.	Derive exact form/layout and mark every missing concrete value UNKNOWN.	OCCURRENCE_CONTENT_AND_EXTERNAL_MEANING	lookup content is mistaken for internally decoded meaning	WORKSHOP_SIMULATION_RULE__NOT_ATTESTED_VOYNICH_PRACTICE
14	START	f69v left-wheel namespace	local owner in f69v.4..31	SET_F69_LEFT_NAMESPACE	set F69_LEFT_WHEEL_NS; forbid middle/right wheel and crosspage inheritance	local wheel address	same namespace	NONE	Memorize this state-transition rule and the supplied layout/code-sheet convention; memorize no content gloss.	Derive the condition from current visible identity, boundary, owner, locus and local namespace; do not infer content.	OCCURRENCE_CONTENT_AND_EXTERNAL_MEANING	three f69 wheels or f68/f69 are merged	WORKSHOP_SIMULATION_RULE__NOT_ATTESTED_VOYNICH_PRACTICE
15	F69_LEFT_WHEEL_NS	one of 28 local loci	direct visible slot address	LOOKUP_UNORDERED_SLOT	set local owner and copy its 1..n opaque groups; choose no start or direction	opaque group sequence plus optional exemplar label	same opaque group sequence at same local owner	NONE	Memorize this state-transition rule and the supplied layout/code-sheet convention; memorize no content gloss.	Derive the condition from current visible identity, boundary, owner, locus and local namespace; do not infer content.	OCCURRENCE_CONTENT_AND_EXTERNAL_MEANING	editorial L01..L28 becomes a claimed ordered cycle	WORKSHOP_SIMULATION_RULE__NOT_ATTESTED_VOYNICH_PRACTICE
16	ANY	end of unit	always	VERIFY_ROUNDTRIP	compare exact IDs, boundaries, owner resets and source-token count	audit result	audit result	NONE	Memorize this state-transition rule and the supplied layout/code-sheet convention; memorize no content gloss.	Derive the condition from current visible identity, boundary, owner, locus and local namespace; do not infer content.	OCCURRENCE_CONTENT_AND_EXTERNAL_MEANING	fluent paraphrase may hide lost or duplicated formal units	WORKSHOP_SIMULATION_RULE__NOT_ATTESTED_VOYNICH_PRACTICE
