statement_id	record_unit_id	section	page	statement_ordinal_in_record	constituent_fields	physical_lines	event_count	event_serials	exact_card_order	autonomous_primary_order	occurrence_bound_exemplar_sequence	selected_source_sentence	owner_transition	visible_owner_resets	cross_field_transitions	cross_physical_line_transitions	line_crossing	source_class	process_or_content_rival	notation_rival	repair_cost_0_4	hardest_contradiction	semantic_ceiling
H1-S001	H1	HERBAL	f10r	1	F001	f10r.2	10	1|2|3|4|5|6|7|8|9|10	65f320e75510b2f38182 > dedc383b600397a301ee > 4d4559019a961b834aa1 > 80ebbbbf238eee9f0aef > df1098831679a8ad1b39 > 12efe866f335461823a6 > 62ff059766b21c7de083 > 276a7c2d74d1143446f4 > 2f1c5e56e8f0ff459065 > a6939862e33ece5a0483	[EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [FORMAL:FORMAL_PARAMETER_CHANNEL; KEIN WORT] [EXEMPLARWERT UNBEKANNT]	[EXEMPLAR:Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel] [EXEMPLAR:Säubere ihn] [EXEMPLAR:Führe ihn als denselben Arbeitsansatz weiter] [EXEMPLAR:Zerschneide ihn] [EXEMPLAR:Gib die Stücke in ein Gefäß] [EXEMPLAR:Gieße Quellwasser darüber] [EXEMPLAR:Fange den ersten Auszug in einem Glas auf] [EXEMPLAR:Gebrauche diesen Auszug innerlich] [EXEMPLAR:Nimm davon das örtlich vorgeschriebene kleine Maß] [EXEMPLAR:Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen]	[EXEMPLAR:Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel. Säubere ihn. Führe ihn als denselben Arbeitsansatz weiter. Zerschneide ihn. Gib die Stücke in ein Gefäß. Gieße Quellwasser darüber. Fange den ersten Auszug in einem Glas auf. Gebrauche diesen Auszug innerlich. Nimm davon das örtlich vorgeschriebene kleine Maß. Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.]	SINGLE_FIELD_OWNER	0	0	0	NO__SINGLE_FIELD	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	A flower-, leaf-, or underground-part-specific subarticle.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	3	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	STATEMENT_SEGMENTATION_AND_SOURCE_CLASS_EXEMPLAR__NOT_SENTENCE_TRANSLATION
H1-S002	H1	HERBAL	f10r	2	F002	f10r.5	4	11|12|13|14	9ad66e67803a12e745de > e8a6105b5c3a6220b440 > dcda95c81a5460feb191 > e0b630cb1b5df5e7105b	[EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [FORMAL_LINK_OR_SLOT] [EXEMPLARWERT UNBEKANNT]	[EXEMPLAR:Nimm erneut von dem frischen ersten Auszug] [EXEMPLAR:Erwärme ihn gelinde] [EXEMPLAR:kein eigener Inhaltswert; nur additive oder koordinierende Verknüpfung der benachbarten Quellenglieder] [EXEMPLAR:Sobald er zum Gebrauch bereit ist, gebrauche ihn]	[EXEMPLAR:Nimm erneut von dem frischen ersten Auszug. Erwärme ihn gelinde. Führe ihn als denselben laufenden Ansatz fort. Sobald er zum Gebrauch bereit ist, gebrauche ihn.]	SINGLE_FIELD_OWNER	0	0	0	NO__SINGLE_FIELD	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	A flower-, leaf-, or underground-part-specific subarticle.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	3	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	STATEMENT_SEGMENTATION_AND_SOURCE_CLASS_EXEMPLAR__NOT_SENTENCE_TRANSLATION
H2-S001	H2	HERBAL	f10r	1	F003	f10r.6	9	15|16|17|18|19|20|21|22|23	7249edc4df3419c26999 > e0b630cb1b5df5e7105b > 7a4bb8136330ee4e6e56 > f3c23f42baf625639e1e > af816c04e65874a0f2fa > b921a237be883a820352 > b921a237be883a820352 > 2f1c5e56e8f0ff459065 > b921a237be883a820352	[EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [FORMAL:FORMAL_PARAMETER_CHANNEL; KEIN WORT] [EXEMPLARWERT UNBEKANNT]	[EXEMPLAR:Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze] [EXEMPLAR:Sammle sie, wenn sie sich eben öffnen] [EXEMPLAR:Führe sie als frischen Ansatz] [EXEMPLAR:Zerstoße das Kraut] [EXEMPLAR:Presse den Saft durch ein Tuch] [EXEMPLAR:Fange die erste Fraktion auf] [EXEMPLAR:Gib Olivenöl hinzu] [EXEMPLAR:Nimm das örtlich vorgeschriebene Maß] [EXEMPLAR:Erwärme gelinde]	[EXEMPLAR:Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze. Sammle sie, wenn sie sich eben öffnen. Führe sie als frischen Ansatz. Zerstoße das Kraut. Presse den Saft durch ein Tuch. Fange die erste Fraktion auf. Gib Olivenöl hinzu. Nimm das örtlich vorgeschriebene Maß. Erwärme gelinde.]	SINGLE_FIELD_OWNER	0	0	0	NO__SINGLE_FIELD	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	A flower-, leaf-, or underground-part-specific subarticle.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	3	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	STATEMENT_SEGMENTATION_AND_SOURCE_CLASS_EXEMPLAR__NOT_SENTENCE_TRANSLATION
H2-S002	H2	HERBAL	f10r	2	F004	f10r.8	8	24|25|26|27|28|29|30|31	10488b911aae52b3b334 > 7a4bb8136330ee4e6e56 > 497cbd9c7401810ff56b > dcda95c81a5460feb191 > dec401773c1f0347793d > dcda95c81a5460feb191 > 2f1c5e56e8f0ff459065 > 4d4559019a961b834aa1	[EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [FORMAL_LINK_OR_SLOT] [EXEMPLARWERT UNBEKANNT] [FORMAL_LINK_OR_SLOT] [FORMAL:FORMAL_PARAMETER_CHANNEL; KEIN WORT] [EXEMPLARWERT UNBEKANNT]	[EXEMPLAR:Nimm vor voller Blüte eine zweite Portion der Spitzen] [EXEMPLAR:Führe den ersten Ansatz weiter] [EXEMPLAR:Nimm eine Handvoll] [EXEMPLAR:kein eigener Inhaltswert; nur additive oder koordinierende Verknüpfung der benachbarten Quellenglieder] [EXEMPLAR:Nimm den vorherigen Posten hinzu] [EXEMPLAR:kein eigener Inhaltswert; nur additive oder koordinierende Verknüpfung der benachbarten Quellenglieder] [EXEMPLAR:Gib von beiden das gleiche örtliche Maß] [EXEMPLAR:Vereinige die beiden Fraktionen]	[EXEMPLAR:Nimm vor voller Blüte eine zweite Portion der Spitzen. Führe den ersten Ansatz weiter. Nimm eine Handvoll. Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand. Nimm den vorherigen Posten hinzu. Führe beide als neuen aktiven Posten. Gib von beiden das gleiche örtliche Maß. Vereinige die beiden Fraktionen.]	SINGLE_FIELD_OWNER	0	0	0	NO__SINGLE_FIELD	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	A flower-, leaf-, or underground-part-specific subarticle.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	3	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	STATEMENT_SEGMENTATION_AND_SOURCE_CLASS_EXEMPLAR__NOT_SENTENCE_TRANSLATION
H2-S003	H2	HERBAL	f10r	3	F005	f10r.9	7	32|33|34|35|36|37|38	27d97af8c96eb056c2e6 > 7a4bb8136330ee4e6e56 > 7a4bb8136330ee4e6e56 > b921a237be883a820352 > 409de02322e7b2ca0c62 > b921a237be883a820352 > 834825c61d048a6b5628	[EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT]	[EXEMPLAR:Gib sie in ein glasiertes Gefäß] [EXEMPLAR:Führe die Mischung als Salbenansatz] [EXEMPLAR:Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten] [EXEMPLAR:Rühre bei kleinem Feuer] [EXEMPLAR:Bis eine weiche Salbe entsteht] [EXEMPLAR:Bewahre sie bedeckt] [EXEMPLAR:Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung]	[EXEMPLAR:Gib sie in ein glasiertes Gefäß. Führe die Mischung als Salbenansatz. Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten. Rühre bei kleinem Feuer. Bis eine weiche Salbe entsteht. Bewahre sie bedeckt. Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung.]	SINGLE_FIELD_OWNER	0	0	0	NO__SINGLE_FIELD	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	A flower-, leaf-, or underground-part-specific subarticle.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	3	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	STATEMENT_SEGMENTATION_AND_SOURCE_CLASS_EXEMPLAR__NOT_SENTENCE_TRANSLATION
H3-S001	H3	HERBAL	f11r	1	F006	f11r.1	7	39|40|41|42|43|44|45	953ad19b79517fc8a211 > 428a5e3662aa57b4b256 > bdad9f9ea8b80f141496 > a8af08e69edab8e54f15 > deb377381ceaf55ea310 > b5df9126607030b95175 > 2e2027b1951d79911e24	[EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT]	[EXEMPLAR:Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze] [EXEMPLAR:Koche sie in reinem Wein] [EXEMPLAR:Wring den Ansatz durch ein feines Tuch] [EXEMPLAR:Lass den Auszug stehen] [EXEMPLAR:Seihe ihn nochmals durch ein Tuch] [EXEMPLAR:Warte, bis der örtlich verlangte klare Zustand erreicht ist] [EXEMPLAR:Lass ihn abkühlen; damit endet der erste Posten]	[EXEMPLAR:Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze. Koche sie in reinem Wein. Wring den Ansatz durch ein feines Tuch. Lass den Auszug stehen. Seihe ihn nochmals durch ein Tuch. Warte, bis der örtlich verlangte klare Zustand erreicht ist. Lass ihn abkühlen; damit endet der erste Posten.]	SINGLE_FIELD_OWNER	0	0	0	NO__SINGLE_FIELD	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Several compressed shoots or separate specimens.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	3	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	STATEMENT_SEGMENTATION_AND_SOURCE_CLASS_EXEMPLAR__NOT_SENTENCE_TRANSLATION
H3-S002	H3	HERBAL	f11r	2	F007	f11r.1	1	46	577c03a928d674d420d7	[EXEMPLARWERT UNBEKANNT]	[EXEMPLAR:Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück]	[EXEMPLAR:Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück.]	SINGLE_FIELD_OWNER	0	0	0	NO__SINGLE_FIELD	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Several compressed shoots or separate specimens.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	3	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	STATEMENT_SEGMENTATION_AND_SOURCE_CLASS_EXEMPLAR__NOT_SENTENCE_TRANSLATION
H3-S003	H3	HERBAL	f11r	3	F008	f11r.4	5	47|48|49|50|51	d665560c8ff80799a82c > b921a237be883a820352 > b2812c8283c3a62438bd > b921a237be883a820352 > 2f1c5e56e8f0ff459065	[EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [FORMAL:FORMAL_PARAMETER_CHANNEL; KEIN WORT]	[EXEMPLAR:Nimm den ersten Auszug wieder auf] [EXEMPLAR:Nimm davon einen Anteil] [EXEMPLAR:Gib ihn als Trank] [EXEMPLAR:Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust] [EXEMPLAR:Gib ein kleines örtliches Maß]	[EXEMPLAR:Nimm den ersten Auszug wieder auf. Nimm davon einen Anteil. Gib ihn als Trank. Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust. Gib ein kleines örtliches Maß.]	SINGLE_FIELD_OWNER	0	0	0	NO__SINGLE_FIELD	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Several compressed shoots or separate specimens.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	3	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	STATEMENT_SEGMENTATION_AND_SOURCE_CLASS_EXEMPLAR__NOT_SENTENCE_TRANSLATION
H3-S004	H3	HERBAL	f11r	4	F009	f11r.7	4	52|53|54|55	a48efd6c4491a046ba78 > 322281bd391aa621f568 > e0b630cb1b5df5e7105b > b921a237be883a820352	[EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT]	[EXEMPLAR:Nimm die zurückbehaltenen Blüten] [EXEMPLAR:Erwärme sie in Olivenöl] [EXEMPLAR:Warte, bis der örtliche Bereitschaftszustand erreicht ist] [EXEMPLAR:Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren]	[EXEMPLAR:Nimm die zurückbehaltenen Blüten. Erwärme sie in Olivenöl. Warte, bis der örtliche Bereitschaftszustand erreicht ist. Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren.]	SINGLE_FIELD_OWNER	0	0	0	NO__SINGLE_FIELD	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Several compressed shoots or separate specimens.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	3	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	STATEMENT_SEGMENTATION_AND_SOURCE_CLASS_EXEMPLAR__NOT_SENTENCE_TRANSLATION
H4-S001	H4	HERBAL	f55v	1	F010	f55v.5	5	56|57|58|59|60	b5fcea1eaed06b2f2291 > 2f1c5e56e8f0ff459065 > 403c1592f918c8f23b88 > d929a14ec45749b2e805 > 97cc9ac109148723c472	[FORMAL_RELATION_OR_ENTRY] [FORMAL:FORMAL_PARAMETER_CHANNEL; KEIN WORT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT] [EXEMPLARWERT UNBEKANNT]	[EXEMPLAR:kein eigener Inhaltswert; nur präpositionale Beziehung zum unmittelbar folgenden Quellenglied] [EXEMPLAR:das örtlich vorgeschriebene Maß] [EXEMPLAR:Zerstoße breite Blätter der unbenannten Pflanze] [EXEMPLAR:Gib Weißwein hinzu] [EXEMPLAR:Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten]	[EXEMPLAR:Setze den ersten Posten an. Nimm ein örtlich vorgeschriebenes Maß. Zerstoße breite Blätter der unbenannten Pflanze. Gib Weißwein hinzu. Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten.]	SINGLE_FIELD_OWNER	0	0	0	NO__SINGLE_FIELD	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	One pocket per leaf, inflorescence, root, or independent grotesque creature.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	3	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	STATEMENT_SEGMENTATION_AND_SOURCE_CLASS_EXEMPLAR__NOT_SENTENCE_TRANSLATION
