card_rank	joint_tuple_id	surface_examples_display_only	visible_occurrences	pages	formal_formula_opaque	autonomous_operational_class	autonomous_readback_token	formal_channel_status	optional_master_gloss	exact_1414_category_if_any	historical_attestation_status	historical_attestation_detail	v77_frozen_decision	withdrawn_v69_class	portable_word_status	source_dependency	semantic_ceiling
1	00d8ebe3c68294eeac39	chdal	1	f83r	OPAQUE_PAYLOAD + <ARG_AL>	EXEMPLAR_VALUE_UNKNOWN	[EXEMPLAR_VALUE_UNKNOWN]	OPAQUE_EXACT_CARD_ONLY	NONE	NONE	NONE	NONE_OR_NOT_APPLICABLE	NOT_IN_FROZEN_24_TARGET__UNKNOWN	UNKNOWN_EXEMPLAR_WHOLE_CARD	NO__NO_CARD_LEVEL_MEANING	EXACT_FORM_INTERNAL__OPTIONAL_GLOSS_AND_CONTENT_MASTER_DEPENDENT	EXACT_CARD_OR_FORMAL_CHANNEL_NOT_WORD_LEXEME_STEM_SOUND_LANGUAGE_OR_TRANSLATION
2	0275fbf14e07935b0a45	okeey|qokeey	7	f81v|f82r|f83r	OPAQUE_PAYLOAD	EXEMPLAR_VALUE_UNKNOWN	[EXEMPLAR_VALUE_UNKNOWN]	OPAQUE_EXACT_CARD_ONLY	NONE	NONE	NONE	NONE_OR_NOT_APPLICABLE	EXEMPLAR_VALUE_UNKNOWN	EXACT_WORKING_MNEMONIC	NO__NO_CARD_LEVEL_MEANING	EXACT_FORM_INTERNAL__OPTIONAL_GLOSS_AND_CONTENT_MASTER_DEPENDENT	EXACT_CARD_OR_FORMAL_CHANNEL_NOT_WORD_LEXEME_STEM_SOUND_LANGUAGE_OR_TRANSLATION
3	03626ca94cb17800d767	sheedy	1	f83r	CLOSE(OPAQUE_PAYLOAD)	EXEMPLAR_VALUE_UNKNOWN	[EXEMPLAR_VALUE_UNKNOWN]	OPAQUE_EXACT_CARD_ONLY	NONE	NONE	NONE	NONE_OR_NOT_APPLICABLE	NOT_IN_FROZEN_24_TARGET__UNKNOWN	UNKNOWN_EXEMPLAR_WHOLE_CARD	NO__NO_CARD_LEVEL_MEANING	EXACT_FORM_INTERNAL__OPTIONAL_GLOSS_AND_CONTENT_MASTER_DEPENDENT	EXACT_CARD_OR_FORMAL_CHANNEL_NOT_WORD_LEXEME_STEM_SOUND_LANGUAGE_OR_TRANSLATION
4	04a3877f0fc81b7597c9	ldy	2	f82r|f83r	CLOSE(LINK)	EXEMPLAR_VALUE_UNKNOWN	[EXEMPLAR_VALUE_UNKNOWN]	OPAQUE_EXACT_CARD_ONLY	NONE	NONE	NONE	NONE_OR_NOT_APPLICABLE	NOT_IN_FROZEN_24_TARGET__UNKNOWN	UNKNOWN_EXEMPLAR_WHOLE_CARD	NO__NO_CARD_LEVEL_MEANING	EXACT_FORM_INTERNAL__OPTIONAL_GLOSS_AND_CONTENT_MASTER_DEPENDENT	EXACT_CARD_OR_FORMAL_CHANNEL_NOT_WORD_LEXEME_STEM_SOUND_LANGUAGE_OR_TRANSLATION
5	07913ef9b1fb773cd325	okchedy|qokchedy	2	f81v|f83r	CLOSE(OPAQUE_PAYLOAD)	EXEMPLAR_VALUE_UNKNOWN	[EXEMPLAR_VALUE_UNKNOWN]	OPAQUE_EXACT_CARD_ONLY	NONE	NONE	NONE	NONE_OR_NOT_APPLICABLE	NOT_IN_FROZEN_24_TARGET__UNKNOWN	UNKNOWN_EXEMPLAR_WHOLE_CARD	NO__NO_CARD_LEVEL_MEANING	EXACT_FORM_INTERNAL__OPTIONAL_GLOSS_AND_CONTENT_MASTER_DEPENDENT	EXACT_CARD_OR_FORMAL_CHANNEL_NOT_WORD_LEXEME_STEM_SOUND_LANGUAGE_OR_TRANSLATION
6	087a47b5423438cd6b6a	chokcheo	1	f56r	OPAQUE_PAYLOAD	EXEMPLAR_VALUE_UNKNOWN	[EXEMPLAR_VALUE_UNKNOWN]	OPAQUE_EXACT_CARD_ONLY	NONE	NONE	NONE	NONE_OR_NOT_APPLICABLE	NOT_IN_FROZEN_24_TARGET__UNKNOWN	UNKNOWN_EXEMPLAR_WHOLE_CARD	NO__NO_CARD_LEVEL_MEANING	EXACT_FORM_INTERNAL__OPTIONAL_GLOSS_AND_CONTENT_MASTER_DEPENDENT	EXACT_CARD_OR_FORMAL_CHANNEL_NOT_WORD_LEXEME_STEM_SOUND_LANGUAGE_OR_TRANSLATION
7	08bd5ca0c2ad137a056d	okey|qokey	2	f81v|f82r	OPAQUE_PAYLOAD	EXEMPLAR_VALUE_UNKNOWN	[EXEMPLAR_VALUE_UNKNOWN]	OPAQUE_EXACT_CARD_ONLY	NONE	NONE	NONE	NONE_OR_NOT_APPLICABLE	NOT_IN_FROZEN_24_TARGET__UNKNOWN	UNKNOWN_EXEMPLAR_WHOLE_CARD	NO__NO_CARD_LEVEL_MEANING	EXACT_FORM_INTERNAL__OPTIONAL_GLOSS_AND_CONTENT_MASTER_DEPENDENT	EXACT_CARD_OR_FORMAL_CHANNEL_NOT_WORD_LEXEME_STEM_SOUND_LANGUAGE_OR_TRANSLATION
8	0ab57b7166de99db3a55	lchy	1	f82r	OPAQUE_PAYLOAD	EXEMPLAR_VALUE_UNKNOWN	[EXEMPLAR_VALUE_UNKNOWN]	OPAQUE_EXACT_CARD_ONLY	NONE	NONE	NONE	NONE_OR_NOT_APPLICABLE	NOT_IN_FROZEN_24_TARGET__UNKNOWN	UNKNOWN_EXEMPLAR_WHOLE_CARD	NO__NO_CARD_LEVEL_MEANING	EXACT_FORM_INTERNAL__OPTIONAL_GLOSS_AND_CONTENT_MASTER_DEPENDENT	EXACT_CARD_OR_FORMAL_CHANNEL_NOT_WORD_LEXEME_STEM_SOUND_LANGUAGE_OR_TRANSLATION
9	0bdc8b6db811b4e67a63	chary	1	f83r	OPAQUE_PAYLOAD	EXEMPLAR_VALUE_UNKNOWN	[EXEMPLAR_VALUE_UNKNOWN]	OPAQUE_EXACT_CARD_ONLY	NONE	NONE	NONE	NONE_OR_NOT_APPLICABLE	NOT_IN_FROZEN_24_TARGET__UNKNOWN	UNKNOWN_EXEMPLAR_WHOLE_CARD	NO__NO_CARD_LEVEL_MEANING	EXACT_FORM_INTERNAL__OPTIONAL_GLOSS_AND_CONTENT_MASTER_DEPENDENT	EXACT_CARD_OR_FORMAL_CHANNEL_NOT_WORD_LEXEME_STEM_SOUND_LANGUAGE_OR_TRANSLATION
10	0ec6a45e2950e8e7061d	chodaly	1	f56r	OPAQUE_PAYLOAD	EXEMPLAR_VALUE_UNKNOWN	[EXEMPLAR_VALUE_UNKNOWN]	OPAQUE_EXACT_CARD_ONLY	NONE	NONE	NONE	NONE_OR_NOT_APPLICABLE	NOT_IN_FROZEN_24_TARGET__UNKNOWN	UNKNOWN_EXEMPLAR_WHOLE_CARD	NO__NO_CARD_LEVEL_MEANING	EXACT_FORM_INTERNAL__OPTIONAL_GLOSS_AND_CONTENT_MASTER_DEPENDENT	EXACT_CARD_OR_FORMAL_CHANNEL_NOT_WORD_LEXEME_STEM_SOUND_LANGUAGE_OR_TRANSLATION
11	0f15effeca7ab10bb026	lchedar	1	f82r	OPAQUE_PAYLOAD + <ARG_AR>	EXEMPLAR_VALUE_UNKNOWN	[EXEMPLAR_VALUE_UNKNOWN]	OPAQUE_EXACT_CARD_ONLY	NONE	NONE	NONE	NONE_OR_NOT_APPLICABLE	NOT_IN_FROZEN_24_TARGET__UNKNOWN	UNKNOWN_EXEMPLAR_WHOLE_CARD	NO__NO_CARD_LEVEL_MEANING	EXACT_FORM_INTERNAL__OPTIONAL_GLOSS_AND_CONTENT_MASTER_DEPENDENT	EXACT_CARD_OR_FORMAL_CHANNEL_NOT_WORD_LEXEME_STEM_SOUND_LANGUAGE_OR_TRANSLATION
12	0f18de177ed7c878bf95	dl	2	f81v	LINK	EXEMPLAR_VALUE_UNKNOWN	[EXEMPLAR_VALUE_UNKNOWN]	OPAQUE_EXACT_CARD_ONLY	NONE	NONE	NONE	NONE_OR_NOT_APPLICABLE	NOT_IN_FROZEN_24_TARGET__UNKNOWN	UNKNOWN_EXEMPLAR_WHOLE_CARD	NO__NO_CARD_LEVEL_MEANING	EXACT_FORM_INTERNAL__OPTIONAL_GLOSS_AND_CONTENT_MASTER_DEPENDENT	EXACT_CARD_OR_FORMAL_CHANNEL_NOT_WORD_LEXEME_STEM_SOUND_LANGUAGE_OR_TRANSLATION
