unified_serial	section	page	unit_id	local_id	visible_identity	owner_or_namespace	operational_formal_value	optional_master_word_gloss	source_token_count	master_exemplar_content	strongest_local_rival	leading_book_model	rival_book_model	content_status	source_artifact
1	HERBAL	f10r	H1	E001	65f320e75510b2f38182	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	OPAQUE_EXEMPLAR_CARD	NONE	1	[EXEMPLAR:Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel]	Technischer Pflanzenmaterial-Rivale: Bildbesitzer H1 als Rohstofflos dem lokalen Posten eröffnen.	ILLUSTRATED_PRACTITIONER_BATH_AND_CELESTIAL_LOOKUP_COMPENDIUM	NATURALIA_COSMOGRAPHIA_WORKSHOP_MODEL_AND_MEMORY_BOOK	OCCURRENCE_BOUND_MASTER_EXEMPLAR__NOT_CARD_MEANING	V80_R4_CANONICAL_381_PROSE_EVENT_INTERLINEAR.tsv
2	HERBAL	f10r	H1	E002	dedc383b600397a301ee	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	OPAQUE_EXEMPLAR_CARD	NONE	1	[EXEMPLAR:Säubere ihn]	Technischer Pflanzenmaterial-Rivale: unteren Wurzelstock als sichtbaren Pflanzenteil wählen.	ILLUSTRATED_PRACTITIONER_BATH_AND_CELESTIAL_LOOKUP_COMPENDIUM	NATURALIA_COSMOGRAPHIA_WORKSHOP_MODEL_AND_MEMORY_BOOK	OCCURRENCE_BOUND_MASTER_EXEMPLAR__NOT_CARD_MEANING	V80_R4_CANONICAL_381_PROSE_EVENT_INTERLINEAR.tsv
3	HERBAL	f10r	H1	E003	4d4559019a961b834aa1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	OPAQUE_EXEMPLAR_CARD	NONE	1	[EXEMPLAR:Führe ihn als denselben Arbeitsansatz weiter]	Technischer Pflanzenmaterial-Rivale: Erde und Fremdstoff mit Wasser abwaschen.	ILLUSTRATED_PRACTITIONER_BATH_AND_CELESTIAL_LOOKUP_COMPENDIUM	NATURALIA_COSMOGRAPHIA_WORKSHOP_MODEL_AND_MEMORY_BOOK	OCCURRENCE_BOUND_MASTER_EXEMPLAR__NOT_CARD_MEANING	V80_R4_CANONICAL_381_PROSE_EVENT_INTERLINEAR.tsv
4	HERBAL	f10r	H1	E004	80ebbbbf238eee9f0aef	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	OPAQUE_EXEMPLAR_CARD	NONE	1	[EXEMPLAR:Zerschneide ihn]	Technischer Pflanzenmaterial-Rivale: beschädigte Fasern aussortieren.	ILLUSTRATED_PRACTITIONER_BATH_AND_CELESTIAL_LOOKUP_COMPENDIUM	NATURALIA_COSMOGRAPHIA_WORKSHOP_MODEL_AND_MEMORY_BOOK	OCCURRENCE_BOUND_MASTER_EXEMPLAR__NOT_CARD_MEANING	V80_R4_CANONICAL_381_PROSE_EVENT_INTERLINEAR.tsv
5	HERBAL	f10r	H1	E005	df1098831679a8ad1b39	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	OPAQUE_EXEMPLAR_CARD	NONE	1	[EXEMPLAR:Gib die Stücke in ein Gefäß]	Technischer Pflanzenmaterial-Rivale: sauberen Wurzelstock grob schneiden.	ILLUSTRATED_PRACTITIONER_BATH_AND_CELESTIAL_LOOKUP_COMPENDIUM	NATURALIA_COSMOGRAPHIA_WORKSHOP_MODEL_AND_MEMORY_BOOK	OCCURRENCE_BOUND_MASTER_EXEMPLAR__NOT_CARD_MEANING	V80_R4_CANONICAL_381_PROSE_EVENT_INTERLINEAR.tsv
6	HERBAL	f10r	H1	E006	12efe866f335461823a6	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	OPAQUE_EXEMPLAR_CARD	NONE	1	[EXEMPLAR:Gieße Quellwasser darüber]	Technischer Pflanzenmaterial-Rivale: Schnittgut im Mazeriergefäß mit Wasser bedecken.	ILLUSTRATED_PRACTITIONER_BATH_AND_CELESTIAL_LOOKUP_COMPENDIUM	NATURALIA_COSMOGRAPHIA_WORKSHOP_MODEL_AND_MEMORY_BOOK	OCCURRENCE_BOUND_MASTER_EXEMPLAR__NOT_CARD_MEANING	V80_R4_CANONICAL_381_PROSE_EVENT_INTERLINEAR.tsv
7	HERBAL	f10r	H1	E007	62ff059766b21c7de083	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	OPAQUE_EXEMPLAR_CARD	NONE	1	[EXEMPLAR:Fange den ersten Auszug in einem Glas auf]	Technischer Pflanzenmaterial-Rivale: Auszug umrühren und eine Prüfportion abnehmen.	ILLUSTRATED_PRACTITIONER_BATH_AND_CELESTIAL_LOOKUP_COMPENDIUM	NATURALIA_COSMOGRAPHIA_WORKSHOP_MODEL_AND_MEMORY_BOOK	OCCURRENCE_BOUND_MASTER_EXEMPLAR__NOT_CARD_MEANING	V80_R4_CANONICAL_381_PROSE_EVENT_INTERLINEAR.tsv
8	HERBAL	f10r	H1	E008	276a7c2d74d1143446f4	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	OPAQUE_EXEMPLAR_CARD	NONE	1	[EXEMPLAR:Gebrauche diesen Auszug innerlich]	Technischer Pflanzenmaterial-Rivale: aktive Prüfportion=dem lokalen Posten; Arbeitsziel=Musterstreifen dem lokalen Posten.	ILLUSTRATED_PRACTITIONER_BATH_AND_CELESTIAL_LOOKUP_COMPENDIUM	NATURALIA_COSMOGRAPHIA_WORKSHOP_MODEL_AND_MEMORY_BOOK	OCCURRENCE_BOUND_MASTER_EXEMPLAR__NOT_CARD_MEANING	V80_R4_CANONICAL_381_PROSE_EVENT_INTERLINEAR.tsv
9	HERBAL	f10r	H1	E009	2f1c5e56e8f0ff459065	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	FORMAL_NONWORD_CHANNEL	NONE	1	[EXEMPLAR:Nimm davon das örtlich vorgeschriebene kleine Maß]	Technischer Pflanzenmaterial-Rivale: Sollwert für die Prüfportion in das Losregister eintragen.	ILLUSTRATED_PRACTITIONER_BATH_AND_CELESTIAL_LOOKUP_COMPENDIUM	NATURALIA_COSMOGRAPHIA_WORKSHOP_MODEL_AND_MEMORY_BOOK	OCCURRENCE_BOUND_MASTER_EXEMPLAR__NOT_CARD_MEANING	V80_R4_CANONICAL_381_PROSE_EVENT_INTERLINEAR.tsv
10	HERBAL	f10r	H1	E010	a6939862e33ece5a0483	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	OPAQUE_EXEMPLAR_CARD	NONE	1	[EXEMPLAR:Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen]	Technischer Pflanzenmaterial-Rivale: trockenen Rest als dem lokalen Posten verwahren.	ILLUSTRATED_PRACTITIONER_BATH_AND_CELESTIAL_LOOKUP_COMPENDIUM	NATURALIA_COSMOGRAPHIA_WORKSHOP_MODEL_AND_MEMORY_BOOK	OCCURRENCE_BOUND_MASTER_EXEMPLAR__NOT_CARD_MEANING	V80_R4_CANONICAL_381_PROSE_EVENT_INTERLINEAR.tsv
