canonical_rule_order	source_round	state	visible_input	condition	operation	state_update	forward_output	backward_output	failure_if_omitted	content_rule
01	V79_SELECTED	START	selected unit identifier	always	LOAD_UNIT	clear record/statement/owner/pending-copy; retain exact code sheet and physical layout	none	none	state leaks between records or namespaces	FORM_FIRST__MASTER_CONTENT_OPTIONAL
02	V79_SELECTED	PROSE_RECORD	record boundary	new H/B record	RESET_RECORD	set record; clear statement, owner, substance, target, direction and pending-copy	record address	record boundary	B5/B6 or Herbal articles merge illegally	FORM_FIRST__MASTER_CONTENT_OPTIONAL
03	V79_SELECTED	PROSE_RECORD	frozen statement membership	statement_id changes	OPEN_STATEMENT	set statement; do not treat physical line as a sentence boundary	statement address	statement boundary from layout template	19 line transitions split 18 valid statements	FORM_FIRST__MASTER_CONTENT_OPTIONAL
04	V79_SELECTED	PROSE_STATEMENT	image_owner_id	record start or visible owner changes	SET_OR_RESET_OWNER	set local owner; clear substance, target and direction on BREAK_VISIBLE_GAP	local owner address only	same visible owner binding	disconnected Bio stations become one invented flow	FORM_FIRST__MASTER_CONTENT_OPTIONAL
05	V79_SELECTED	PROSE_STATEMENT	line-final exact card	physical line ends while statement remains open	BUFFER_EDGE_CARD	hold exact card and owner until next line-initial event; emit nothing yet	pending edge candidate	none	E180 may be spoken before E181 is inspected	FORM_FIRST__MASTER_CONTENT_OPTIONAL
06	V79_SELECTED	PENDING_EDGE_CARD	next line-initial event	same exact card + same statement + same owner + prior NONCLOSE	COLLAPSE_ANTICIPATORY_COPY	mark first visible copy marginal; emit second occurrence once; clear buffer	one source token for two visible copies	render source token at line start and anticipate it once at preceding line edge	PER? PER? before one complement	FORM_FIRST__MASTER_CONTENT_OPTIONAL
07	V79_SELECTED	PENDING_EDGE_CARD	next line-initial event	any edge-copy condition fails	RELEASE_BOTH	read buffered and current events independently; clear buffer	two source positions	two visible events	false catchwords at ordinary line crossings	FORM_FIRST__MASTER_CONTENT_OPTIONAL
08	V79_SELECTED	PROSE_STATEMENT	dcda95c81a5460feb191	exact identity match	EMIT_ET_QUESTIONED	no semantic state change is licensed	ET?	dcda95c81a5460feb191	V78 dictionary inconsistency; silent LINK/SLOT remains equally valid	FORM_FIRST__MASTER_CONTENT_OPTIONAL
09	V79_SELECTED	PROSE_STATEMENT	b5fcea1eaed06b2f2291	exact identity match and not suppressed edge copy	EMIT_PER_QUESTIONED	no semantic state change is licensed	PER?	b5fcea1eaed06b2f2291	V78 dictionary inconsistency; ENTRY/RESET remains equally valid	FORM_FIRST__MASTER_CONTENT_OPTIONAL
10	V79_SELECTED	PROSE_STATEMENT	formal nonword card	V78 status FORMAL_LABEL_NOT_WORD	EMIT_FORMAL_CHANNEL	keep channel nonlexical	formal parameter/relation prompt	same exact card from code sheet	editorial label becomes a claimed word	FORM_FIRST__MASTER_CONTENT_OPTIONAL
