unified_serial	item_kind	section	page	unit_id	locus	local_id	opaque_identity	surface_display_only	owner	namespace	autonomous_primary_reading	optional_master_gloss	occurrence_bound_exemplar	visible_count	source_token_count	strongest_contradiction	semantic_ceiling
1	PROSE_EVENT	HERBAL	f10r	H1	f10r.2	E001	65f320e75510b2f38182	dchey	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PROSE_RECORD_LOCAL	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel]	1	1	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Wurzelteil.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS
2	PROSE_EVENT	HERBAL	f10r	H1	f10r.2	E002	dedc383b600397a301ee	cthoor	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PROSE_RECORD_LOCAL	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Säubere ihn]	1	1	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Reinigung.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS
3	PROSE_EVENT	HERBAL	f10r	H1	f10r.2	E003	4d4559019a961b834aa1	char	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PROSE_RECORD_LOCAL	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Führe ihn als denselben Arbeitsansatz weiter]	1	1	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS
4	PROSE_EVENT	HERBAL	f10r	H1	f10r.2	E004	80ebbbbf238eee9f0aef	chty	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PROSE_RECORD_LOCAL	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Zerschneide ihn]	1	1	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Zerschneiden.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS
5	PROSE_EVENT	HERBAL	f10r	H1	f10r.2	E005	df1098831679a8ad1b39	os	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PROSE_RECORD_LOCAL	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Gib die Stücke in ein Gefäß]	1	1	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Gefäß.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS
6	PROSE_EVENT	HERBAL	f10r	H1	f10r.2	E006	12efe866f335461823a6	chair	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PROSE_RECORD_LOCAL	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Gieße Quellwasser darüber]	1	1	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Quellwasser.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS
7	PROSE_EVENT	HERBAL	f10r	H1	f10r.2	E007	62ff059766b21c7de083	otytchol	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PROSE_RECORD_LOCAL	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Fange den ersten Auszug in einem Glas auf]	1	1	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug, Glas.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS
8	PROSE_EVENT	HERBAL	f10r	H1	f10r.2	E008	276a7c2d74d1143446f4	oky	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PROSE_RECORD_LOCAL	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Gebrauche diesen Auszug innerlich]	1	1	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug, innerlicher Gebrauch.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS
9	PROSE_EVENT	HERBAL	f10r	H1	f10r.2	E009	2f1c5e56e8f0ff459065	daiin	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PROSE_RECORD_LOCAL	[FORMAL:FORMAL_PARAMETER_CHANNEL; KEIN WORT]	NONE	[EXEMPLAR:Nimm davon das örtlich vorgeschriebene kleine Maß]	1	1	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Dosis.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS
10	PROSE_EVENT	HERBAL	f10r	H1	f10r.2	E010	a6939862e33ece5a0483	etyd	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PROSE_RECORD_LOCAL	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen]	1	1	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Leibschmerz, Vorratsgefäß.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS
