field_id	record_unit_id	section	page	physical_locus	statement_id	visible_event_count	source_token_count	visible_event_ids	image_owner_id	visible_owner_reset_events	autonomous_formal_sequence	optional_master_gloss_occurrences	read_once_status	occurrence_bound_readable_field	parse_status	mean_occurrence_content_confidence	strongest_field_rival	unsupported_exemplar_nouns	strongest_field_contradiction	semantic_ceiling
F001	H1	HERBAL	f10r	f10r.2	H1-S001	10	10	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONE	E001=[EXEMPLAR_VALUE_UNKNOWN] E002=[EXEMPLAR_VALUE_UNKNOWN] E003=[EXEMPLAR_VALUE_UNKNOWN] E004=[EXEMPLAR_VALUE_UNKNOWN] E005=[EXEMPLAR_VALUE_UNKNOWN] E006=[EXEMPLAR_VALUE_UNKNOWN] E007=[EXEMPLAR_VALUE_UNKNOWN] E008=[EXEMPLAR_VALUE_UNKNOWN] E009=[FORMAL:VORGABEPARAMETER; KEIN_WORT] E010=[EXEMPLAR_VALUE_UNKNOWN]	NONE	NONE	[EXEMPLAR:Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel. Säubere ihn. Führe ihn als denselben Arbeitsansatz weiter. Zerschneide ihn. Gib die Stücke in ein Gefäß. Gieße Quellwasser darüber. Fange den ersten Auszug in einem Glas auf. Gebrauche diesen Auszug innerlich. Nimm davon das örtlich vorgeschriebene kleine Maß. Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.]	AMBIGUOUS	0.322	Technischer Pflanzenmaterial-Rivale: Bildbesitzer H1 als Rohstofflos dem lokalen Posten eröffnen. Technischer Pflanzenmaterial-Rivale: unteren Wurzelstock als sichtbaren Pflanzenteil wählen. Technischer Pflanzenmaterial-Rivale: Erde und Fremdstoff mit Wasser abwaschen. Technischer Pflanzenmaterial-Rivale: beschädigte Fasern aussortieren. Technischer Pflanzenmaterial-Rivale: sauberen Wurzelstock grob schneiden. Technischer Pflanzenmaterial-Rivale: Schnittgut im Mazeriergefäß mit Wasser bedecken. Technischer Pflanzenmaterial-Rivale: Auszug umrühren und eine Prüfportion abnehmen. Technischer Pflanzenmaterial-Rivale: aktive Prüfportion=dem lokalen Posten; Arbeitsziel=Musterstreifen dem lokalen Posten. Technischer Pflanzenmaterial-Rivale: Sollwert für die Prüfportion in das Losregister eintragen. Technischer Pflanzenmaterial-Rivale: trockenen Rest als dem lokalen Posten verwahren.	Wurzelteil|Reinigung|Arbeitsansatz|Zerschneiden|Gefäß|Quellwasser|Auszug|Glas|innerlicher Gebrauch|Dosis|Leibschmerz|Vorratsgefäß	Alle Inhalte außer dem ganzen Pflanzenbesitzer und den expliziten Formalankern bleiben occurrence-gebundene Quellenwerte.	FIELD_FORMAL_SEQUENCE_PLUS_OCCURRENCE_EXEMPLAR_NOT_TRANSLATION
F002	H1	HERBAL	f10r	f10r.5	H1-S002	4	4	E011|E012|E013|E014	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONE	E011=[EXEMPLAR_VALUE_UNKNOWN] E012=[EXEMPLAR_VALUE_UNKNOWN] E013=[FORMAL_LINK] E014=[EXEMPLAR_VALUE_UNKNOWN]	E013:ET? = UND/AUCH?__OPTIONAL_MASTER_GLOSS_ONLY	NONE	[EXEMPLAR:Nimm erneut von dem frischen ersten Auszug. Erwärme ihn gelinde. Führe ihn als denselben laufenden Ansatz fort. Sobald er zum Gebrauch bereit ist, gebrauche ihn.]	AMBIGUOUS	0.378	Technischer Pflanzenmaterial-Rivale: gelagerten Wurzelrest dem lokalen Posten aufnehmen. Technischer Pflanzenmaterial-Rivale: zweiten Auszug gelinde erwärmen. Technischer Pflanzenmaterial-Rivale: formale Verknüpfung mit dem laufenden Wurzelauszug dem lokalen Posten buchen. Technischer Pflanzenmaterial-Rivale: Arbeitsstand dem lokalen Posten freigeben.	Auszug|Wärme|Arbeitsansatz|Gebrauchsreife	Alle Inhalte außer dem ganzen Pflanzenbesitzer und den expliziten Formalankern bleiben occurrence-gebundene Quellenwerte.	FIELD_FORMAL_SEQUENCE_PLUS_OCCURRENCE_EXEMPLAR_NOT_TRANSLATION
F003	H2	HERBAL	f10r	f10r.6	H2-S001	9	9	E015|E016|E017|E018|E019|E020|E021|E022|E023	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONE	E015=[EXEMPLAR_VALUE_UNKNOWN] E016=[EXEMPLAR_VALUE_UNKNOWN] E017=[EXEMPLAR_VALUE_UNKNOWN] E018=[EXEMPLAR_VALUE_UNKNOWN] E019=[EXEMPLAR_VALUE_UNKNOWN] E020=[EXEMPLAR_VALUE_UNKNOWN] E021=[EXEMPLAR_VALUE_UNKNOWN] E022=[FORMAL:VORGABEPARAMETER; KEIN_WORT] E023=[EXEMPLAR_VALUE_UNKNOWN]	NONE	NONE	[EXEMPLAR:Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze. Sammle sie, wenn sie sich eben öffnen. Führe sie als frischen Ansatz. Zerstoße das Kraut. Presse den Saft durch ein Tuch. Fange die erste Fraktion auf. Gib Olivenöl hinzu. Nimm das örtlich vorgeschriebene Maß. Erwärme gelinde.]	AMBIGUOUS	0.357	Technischer Pflanzenmaterial-Rivale: Bildbesitzer H2 als Oberteil-Los dem lokalen Posten eröffnen. Technischer Pflanzenmaterial-Rivale: Erntegut als verarbeitungsbereit markieren. Technischer Pflanzenmaterial-Rivale: gepresste Arbeitsflüssigkeit dem lokalen Posten als aktiven Ansatz führen. Technischer Pflanzenmaterial-Rivale: Stängel und obere Blätter grob quetschen. Technischer Pflanzenmaterial-Rivale: austretende Pflanzenflüssigkeit auffangen. Technischer Pflanzenmaterial-Rivale: Pressgut mit Wasser nachziehen. Technischer Pflanzenmaterial-Rivale: beide Flüssigkeiten zusammenführen. Technischer Pflanzenmaterial-Rivale: Sollmenge für dem lokalen Posten buchen. Technischer Pflanzenmaterial-Rivale: Pressrückstand als Nebenfraktion dem lokalen Posten markieren.	junge Spitzen|Blütenstände|Blätter|Erntezeit|Arbeitsansatz|Kraut|Pflanzensaft|Tuch|Fraktion|Olivenöl|Dosis|Wärme	Alle Inhalte außer dem ganzen Pflanzenbesitzer und den expliziten Formalankern bleiben occurrence-gebundene Quellenwerte.	FIELD_FORMAL_SEQUENCE_PLUS_OCCURRENCE_EXEMPLAR_NOT_TRANSLATION
F004	H2	HERBAL	f10r	f10r.8	H2-S002	8	8	E024|E025|E026|E027|E028|E029|E030|E031	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONE	E024=[EXEMPLAR_VALUE_UNKNOWN] E025=[EXEMPLAR_VALUE_UNKNOWN] E026=[EXEMPLAR_VALUE_UNKNOWN] E027=[FORMAL_LINK] E028=[EXEMPLAR_VALUE_UNKNOWN] E029=[FORMAL_LINK] E030=[FORMAL:VORGABEPARAMETER; KEIN_WORT] E031=[EXEMPLAR_VALUE_UNKNOWN]	E027:ET? = UND/AUCH?__OPTIONAL_MASTER_GLOSS_ONLY|E029:ET? = UND/AUCH?__OPTIONAL_MASTER_GLOSS_ONLY	NONE	[EXEMPLAR:Nimm vor voller Blüte eine zweite Portion der Spitzen. Führe den ersten Ansatz weiter. Nimm eine Handvoll. Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand. Nimm den vorherigen Posten hinzu. Führe beide als neuen aktiven Posten. Gib von beiden das gleiche örtliche Maß. Vereinige die beiden Fraktionen.]	AMBIGUOUS	0.406	Technischer Pflanzenmaterial-Rivale: frühe Erntefraktion dem lokalen Posten eröffnen. Technischer Pflanzenmaterial-Rivale: dem lokalen Posten als aktiven Ansatz ansprechen. Technischer Pflanzenmaterial-Rivale: eine Teilmenge dem lokalen Posten in ein Vergleichsgefäß geben. Technischer Pflanzenmaterial-Rivale: formalen aktiven Link zwischen Vergleichsgefäß und laufender Charge setzen. Technischer Pflanzenmaterial-Rivale: vorige Charge dem lokalen Posten wieder aufnehmen. Technischer Pflanzenmaterial-Rivale: diese vorige Charge an Vergleich dem lokalen Posten verknüpfen. Technischer Pflanzenmaterial-Rivale: Sollmenge für dem lokalen Posten buchen. Technischer Pflanzenmaterial-Rivale: frühe Fraktion vollständig mazerieren.	junge Spitzen|Erntezeit|Arbeitsansatz|Handvoll|vorheriger Posten|Dosis|Fraktionen	Alle Inhalte außer dem ganzen Pflanzenbesitzer und den expliziten Formalankern bleiben occurrence-gebundene Quellenwerte.	FIELD_FORMAL_SEQUENCE_PLUS_OCCURRENCE_EXEMPLAR_NOT_TRANSLATION
F005	H2	HERBAL	f10r	f10r.9	H2-S003	7	7	E032|E033|E034|E035|E036|E037|E038	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONE	E032=[EXEMPLAR_VALUE_UNKNOWN] E033=[EXEMPLAR_VALUE_UNKNOWN] E034=[EXEMPLAR_VALUE_UNKNOWN] E035=[EXEMPLAR_VALUE_UNKNOWN] E036=[EXEMPLAR_VALUE_UNKNOWN] E037=[EXEMPLAR_VALUE_UNKNOWN] E038=[EXEMPLAR_VALUE_UNKNOWN]	NONE	NONE	[EXEMPLAR:Gib sie in ein glasiertes Gefäß. Führe die Mischung als Salbenansatz. Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten. Rühre bei kleinem Feuer. Bis eine weiche Salbe entsteht. Bewahre sie bedeckt. Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung.]	AMBIGUOUS	0.320	Technischer Pflanzenmaterial-Rivale: späte Erntefraktion dem lokalen Posten eröffnen. Technischer Pflanzenmaterial-Rivale: dem lokalen Posten als ersten aktiven Ansatz führen. Technischer Pflanzenmaterial-Rivale: späte Teilcharge dem lokalen Posten als zweiten aktiven Ansatz führen. Technischer Pflanzenmaterial-Rivale: beide Ernteauszüge in getrennten Gefäßen umrühren. Technischer Pflanzenmaterial-Rivale: beide durch dasselbe Tuch seihen. Technischer Pflanzenmaterial-Rivale: Farbe und Bodensatz als Vergleichsmerkmale notieren. Technischer Pflanzenmaterial-Rivale: Vergleichspaar dem lokalen Posten/dem lokalen Posten verschlossen lagern.	glasiertes Gefäß|Salbenansatz|Feuer|Salbe|Vorratsgefäß|Geschwür|Schwellung	Alle Inhalte außer dem ganzen Pflanzenbesitzer und den expliziten Formalankern bleiben occurrence-gebundene Quellenwerte.	FIELD_FORMAL_SEQUENCE_PLUS_OCCURRENCE_EXEMPLAR_NOT_TRANSLATION
F006	H3	HERBAL	f11r	f11r.1	H3-S001	7	7	E039|E040|E041|E042|E043|E044|E045	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONE	E039=[EXEMPLAR_VALUE_UNKNOWN] E040=[EXEMPLAR_VALUE_UNKNOWN] E041=[EXEMPLAR_VALUE_UNKNOWN] E042=[EXEMPLAR_VALUE_UNKNOWN] E043=[EXEMPLAR_VALUE_UNKNOWN] E044=[EXEMPLAR_VALUE_UNKNOWN] E045=[EXEMPLAR_VALUE_UNKNOWN]	NONE	NONE	[EXEMPLAR:Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze. Koche sie in reinem Wein. Wring den Ansatz durch ein feines Tuch. Lass den Auszug stehen. Seihe ihn nochmals durch ein Tuch. Warte, bis der örtlich verlangte klare Zustand erreicht ist. Lass ihn abkühlen; damit endet der erste Posten.]	AMBIGUOUS	0.326	Technischer Pflanzenmaterial-Rivale: Bildbesitzer H3 als Blüten-Kraut-Los dem lokalen Posten eröffnen. Technischer Pflanzenmaterial-Rivale: junge oberirdische Teile sammeln. Technischer Pflanzenmaterial-Rivale: Blütenköpfe und Blätter in zwei Schalen sortieren. Technischer Pflanzenmaterial-Rivale: Krautfraktion quetschen und in Wasser mazerieren. Technischer Pflanzenmaterial-Rivale: Auszug zuerst grob, dann durch Tuch seihen. Technischer Pflanzenmaterial-Rivale: Klarheitszustand des Filtrats dem lokalen Posten prüfen. Technischer Pflanzenmaterial-Rivale: klares Filtrat absetzen lassen und Feld schließen.	Frühjahr|Blüten|junge Blätter|Wein|Tuch|Auszug|Klarzustand|Abkühlung	Alle Inhalte außer dem ganzen Pflanzenbesitzer und den expliziten Formalankern bleiben occurrence-gebundene Quellenwerte.	FIELD_FORMAL_SEQUENCE_PLUS_OCCURRENCE_EXEMPLAR_NOT_TRANSLATION
F007	H3	HERBAL	f11r	f11r.1	H3-S002	1	1	E046	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONE	E046=[EXEMPLAR_VALUE_UNKNOWN]	NONE	NONE	[EXEMPLAR:Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück.]	UNPARSED	0.310	Technischer Pflanzenmaterial-Rivale: einen Blütenkopf als Referenzfraktion dem lokalen Posten zurücklegen.	Blüten|zweite Arznei	Alle Inhalte außer dem ganzen Pflanzenbesitzer und den expliziten Formalankern bleiben occurrence-gebundene Quellenwerte.	FIELD_FORMAL_SEQUENCE_PLUS_OCCURRENCE_EXEMPLAR_NOT_TRANSLATION
F008	H3	HERBAL	f11r	f11r.4	H3-S003	5	5	E047|E048|E049|E050|E051	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONE	E047=[EXEMPLAR_VALUE_UNKNOWN] E048=[EXEMPLAR_VALUE_UNKNOWN] E049=[EXEMPLAR_VALUE_UNKNOWN] E050=[EXEMPLAR_VALUE_UNKNOWN] E051=[FORMAL:VORGABEPARAMETER; KEIN_WORT]	NONE	NONE	[EXEMPLAR:Nimm den ersten Auszug wieder auf. Nimm davon einen Anteil. Gib ihn als Trank. Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust. Gib ein kleines örtliches Maß.]	AMBIGUOUS	0.308	Technischer Pflanzenmaterial-Rivale: Filtrat dem lokalen Posten wieder aufnehmen. Technischer Pflanzenmaterial-Rivale: drei gleiche Probengläser bereitstellen. Technischer Pflanzenmaterial-Rivale: Filtrat auf die Probengläser verteilen. Technischer Pflanzenmaterial-Rivale: Farbton und Niederschlag je Glas vermerken. Technischer Pflanzenmaterial-Rivale: Sollmenge je Probenglas buchen.	erster Auszug|Anteil|Trank|Gemütsbeschwerde|Brustbeschwerde|Dosis	Alle Inhalte außer dem ganzen Pflanzenbesitzer und den expliziten Formalankern bleiben occurrence-gebundene Quellenwerte.	FIELD_FORMAL_SEQUENCE_PLUS_OCCURRENCE_EXEMPLAR_NOT_TRANSLATION
F009	H3	HERBAL	f11r	f11r.7	H3-S004	4	4	E052|E053|E054|E055	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONE	E052=[EXEMPLAR_VALUE_UNKNOWN] E053=[EXEMPLAR_VALUE_UNKNOWN] E054=[EXEMPLAR_VALUE_UNKNOWN] E055=[EXEMPLAR_VALUE_UNKNOWN]	NONE	NONE	[EXEMPLAR:Nimm die zurückbehaltenen Blüten. Erwärme sie in Olivenöl. Warte, bis der örtliche Bereitschaftszustand erreicht ist. Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren.]	AMBIGUOUS	0.312	Technischer Pflanzenmaterial-Rivale: Blattfraktion dem lokalen Posten als neue Charge eröffnen. Technischer Pflanzenmaterial-Rivale: Blätter warm in Wasser ausziehen. Technischer Pflanzenmaterial-Rivale: Arbeitsstand dem lokalen Posten als bereit markieren. Technischer Pflanzenmaterial-Rivale: Blattauszug und Referenzblüte getrennt verwahren.	Blüten|Olivenöl|Gebrauchsreife|Lider|Auge|äußerliches Öl	Alle Inhalte außer dem ganzen Pflanzenbesitzer und den expliziten Formalankern bleiben occurrence-gebundene Quellenwerte.	FIELD_FORMAL_SEQUENCE_PLUS_OCCURRENCE_EXEMPLAR_NOT_TRANSLATION
F010	H4	HERBAL	f55v	f55v.5	H4-S001	5	5	E056|E057|E058|E059|E060	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONE	E056=[FORMAL_RELATION_OR_ENTRY] E057=[FORMAL:VORGABEPARAMETER; KEIN_WORT] E058=[EXEMPLAR_VALUE_UNKNOWN] E059=[EXEMPLAR_VALUE_UNKNOWN] E060=[EXEMPLAR_VALUE_UNKNOWN]	E056:PER? = DURCH/GEMÄSS?__OPTIONAL_MASTER_GLOSS_ONLY	NONE	[EXEMPLAR:Setze den ersten Posten an. Nimm ein örtlich vorgeschriebenes Maß. Zerstoße breite Blätter der unbenannten Pflanze. Gib Weißwein hinzu. Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten.]	AMBIGUOUS	0.380	Technischer Pflanzenmaterial-Rivale: formalen Standardslot für Blattposten dem lokalen Posten setzen. Technischer Pflanzenmaterial-Rivale: Sollmenge frischer breiter Blätter buchen. Technischer Pflanzenmaterial-Rivale: Blätter waschen und grob schneiden. Technischer Pflanzenmaterial-Rivale: Schnittgut in Wasser mazerieren. Technischer Pflanzenmaterial-Rivale: erste Blattflotte absetzen lassen und Feld schließen.	Posten|Dosis|Blätter|Weißwein|Gefäß|kühler Lagerort	Alle Inhalte außer dem ganzen Pflanzenbesitzer und den expliziten Formalankern bleiben occurrence-gebundene Quellenwerte.	FIELD_FORMAL_SEQUENCE_PLUS_OCCURRENCE_EXEMPLAR_NOT_TRANSLATION
