statement_id	record_unit_id	section	page	sentence_index_in_record	constituent_fields	physical_lines	visible_event_count	source_token_count	visible_event_ids	exact_card_order	autonomous_formal_sequence	optional_master_gloss_occurrences	occurrence_bound_readable_statement	owner_transition	visible_owner_resets	cross_field_transitions	cross_physical_line_transitions	read_once_status	source_class	strongest_process_or_content_rival	strongest_notation_rival	repair_cost_0_4	strongest_statement_contradiction	semantic_ceiling
H1-S001	H1	HERBAL	f10r	1	F001	f10r.2	10	10	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	65f320e75510b2f38182 > dedc383b600397a301ee > 4d4559019a961b834aa1 > 80ebbbbf238eee9f0aef > df1098831679a8ad1b39 > 12efe866f335461823a6 > 62ff059766b21c7de083 > 276a7c2d74d1143446f4 > 2f1c5e56e8f0ff459065 > a6939862e33ece5a0483	E001=[EXEMPLAR_VALUE_UNKNOWN] E002=[EXEMPLAR_VALUE_UNKNOWN] E003=[EXEMPLAR_VALUE_UNKNOWN] E004=[EXEMPLAR_VALUE_UNKNOWN] E005=[EXEMPLAR_VALUE_UNKNOWN] E006=[EXEMPLAR_VALUE_UNKNOWN] E007=[EXEMPLAR_VALUE_UNKNOWN] E008=[EXEMPLAR_VALUE_UNKNOWN] E009=[FORMAL:VORGABEPARAMETER; KEIN_WORT] E010=[EXEMPLAR_VALUE_UNKNOWN]	NONE	[EXEMPLAR:Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel. Säubere ihn. Führe ihn als denselben Arbeitsansatz weiter. Zerschneide ihn. Gib die Stücke in ein Gefäß. Gieße Quellwasser darüber. Fange den ersten Auszug in einem Glas auf. Gebrauche diesen Auszug innerlich. Nimm davon das örtlich vorgeschriebene kleine Maß. Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.]	SINGLE_FIELD_OWNER	0	0	0	NONE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	A flower-, leaf-, or underground-part-specific subarticle.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	3	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	STATEMENT_MEMBERSHIP_AND_FORMAL_ORDER_NOT_PLAINTEXT_OR_TRANSLATION
H1-S002	H1	HERBAL	f10r	2	F002	f10r.5	4	4	E011|E012|E013|E014	9ad66e67803a12e745de > e8a6105b5c3a6220b440 > dcda95c81a5460feb191 > e0b630cb1b5df5e7105b	E011=[EXEMPLAR_VALUE_UNKNOWN] E012=[EXEMPLAR_VALUE_UNKNOWN] E013=[FORMAL_LINK] E014=[EXEMPLAR_VALUE_UNKNOWN]	E013:ET? = UND/AUCH?__OPTIONAL_MASTER_GLOSS_ONLY	[EXEMPLAR:Nimm erneut von dem frischen ersten Auszug. Erwärme ihn gelinde. Führe ihn als denselben laufenden Ansatz fort. Sobald er zum Gebrauch bereit ist, gebrauche ihn.]	SINGLE_FIELD_OWNER	0	0	0	NONE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	A flower-, leaf-, or underground-part-specific subarticle.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	3	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	STATEMENT_MEMBERSHIP_AND_FORMAL_ORDER_NOT_PLAINTEXT_OR_TRANSLATION
H2-S001	H2	HERBAL	f10r	1	F003	f10r.6	9	9	E015|E016|E017|E018|E019|E020|E021|E022|E023	7249edc4df3419c26999 > e0b630cb1b5df5e7105b > 7a4bb8136330ee4e6e56 > f3c23f42baf625639e1e > af816c04e65874a0f2fa > b921a237be883a820352 > b921a237be883a820352 > 2f1c5e56e8f0ff459065 > b921a237be883a820352	E015=[EXEMPLAR_VALUE_UNKNOWN] E016=[EXEMPLAR_VALUE_UNKNOWN] E017=[EXEMPLAR_VALUE_UNKNOWN] E018=[EXEMPLAR_VALUE_UNKNOWN] E019=[EXEMPLAR_VALUE_UNKNOWN] E020=[EXEMPLAR_VALUE_UNKNOWN] E021=[EXEMPLAR_VALUE_UNKNOWN] E022=[FORMAL:VORGABEPARAMETER; KEIN_WORT] E023=[EXEMPLAR_VALUE_UNKNOWN]	NONE	[EXEMPLAR:Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze. Sammle sie, wenn sie sich eben öffnen. Führe sie als frischen Ansatz. Zerstoße das Kraut. Presse den Saft durch ein Tuch. Fange die erste Fraktion auf. Gib Olivenöl hinzu. Nimm das örtlich vorgeschriebene Maß. Erwärme gelinde.]	SINGLE_FIELD_OWNER	0	0	0	NONE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	A flower-, leaf-, or underground-part-specific subarticle.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	3	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	STATEMENT_MEMBERSHIP_AND_FORMAL_ORDER_NOT_PLAINTEXT_OR_TRANSLATION
H2-S002	H2	HERBAL	f10r	2	F004	f10r.8	8	8	E024|E025|E026|E027|E028|E029|E030|E031	10488b911aae52b3b334 > 7a4bb8136330ee4e6e56 > 497cbd9c7401810ff56b > dcda95c81a5460feb191 > dec401773c1f0347793d > dcda95c81a5460feb191 > 2f1c5e56e8f0ff459065 > 4d4559019a961b834aa1	E024=[EXEMPLAR_VALUE_UNKNOWN] E025=[EXEMPLAR_VALUE_UNKNOWN] E026=[EXEMPLAR_VALUE_UNKNOWN] E027=[FORMAL_LINK] E028=[EXEMPLAR_VALUE_UNKNOWN] E029=[FORMAL_LINK] E030=[FORMAL:VORGABEPARAMETER; KEIN_WORT] E031=[EXEMPLAR_VALUE_UNKNOWN]	E027:ET? = UND/AUCH?__OPTIONAL_MASTER_GLOSS_ONLY|E029:ET? = UND/AUCH?__OPTIONAL_MASTER_GLOSS_ONLY	[EXEMPLAR:Nimm vor voller Blüte eine zweite Portion der Spitzen. Führe den ersten Ansatz weiter. Nimm eine Handvoll. Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand. Nimm den vorherigen Posten hinzu. Führe beide als neuen aktiven Posten. Gib von beiden das gleiche örtliche Maß. Vereinige die beiden Fraktionen.]	SINGLE_FIELD_OWNER	0	0	0	NONE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	A flower-, leaf-, or underground-part-specific subarticle.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	3	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	STATEMENT_MEMBERSHIP_AND_FORMAL_ORDER_NOT_PLAINTEXT_OR_TRANSLATION
H2-S003	H2	HERBAL	f10r	3	F005	f10r.9	7	7	E032|E033|E034|E035|E036|E037|E038	27d97af8c96eb056c2e6 > 7a4bb8136330ee4e6e56 > 7a4bb8136330ee4e6e56 > b921a237be883a820352 > 409de02322e7b2ca0c62 > b921a237be883a820352 > 834825c61d048a6b5628	E032=[EXEMPLAR_VALUE_UNKNOWN] E033=[EXEMPLAR_VALUE_UNKNOWN] E034=[EXEMPLAR_VALUE_UNKNOWN] E035=[EXEMPLAR_VALUE_UNKNOWN] E036=[EXEMPLAR_VALUE_UNKNOWN] E037=[EXEMPLAR_VALUE_UNKNOWN] E038=[EXEMPLAR_VALUE_UNKNOWN]	NONE	[EXEMPLAR:Gib sie in ein glasiertes Gefäß. Führe die Mischung als Salbenansatz. Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten. Rühre bei kleinem Feuer. Bis eine weiche Salbe entsteht. Bewahre sie bedeckt. Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung.]	SINGLE_FIELD_OWNER	0	0	0	NONE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	A flower-, leaf-, or underground-part-specific subarticle.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	3	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	STATEMENT_MEMBERSHIP_AND_FORMAL_ORDER_NOT_PLAINTEXT_OR_TRANSLATION
H3-S001	H3	HERBAL	f11r	1	F006	f11r.1	7	7	E039|E040|E041|E042|E043|E044|E045	953ad19b79517fc8a211 > 428a5e3662aa57b4b256 > bdad9f9ea8b80f141496 > a8af08e69edab8e54f15 > deb377381ceaf55ea310 > b5df9126607030b95175 > 2e2027b1951d79911e24	E039=[EXEMPLAR_VALUE_UNKNOWN] E040=[EXEMPLAR_VALUE_UNKNOWN] E041=[EXEMPLAR_VALUE_UNKNOWN] E042=[EXEMPLAR_VALUE_UNKNOWN] E043=[EXEMPLAR_VALUE_UNKNOWN] E044=[EXEMPLAR_VALUE_UNKNOWN] E045=[EXEMPLAR_VALUE_UNKNOWN]	NONE	[EXEMPLAR:Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze. Koche sie in reinem Wein. Wring den Ansatz durch ein feines Tuch. Lass den Auszug stehen. Seihe ihn nochmals durch ein Tuch. Warte, bis der örtlich verlangte klare Zustand erreicht ist. Lass ihn abkühlen; damit endet der erste Posten.]	SINGLE_FIELD_OWNER	0	0	0	NONE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Several compressed shoots or separate specimens.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	3	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	STATEMENT_MEMBERSHIP_AND_FORMAL_ORDER_NOT_PLAINTEXT_OR_TRANSLATION
H3-S002	H3	HERBAL	f11r	2	F007	f11r.1	1	1	E046	577c03a928d674d420d7	E046=[EXEMPLAR_VALUE_UNKNOWN]	NONE	[EXEMPLAR:Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück.]	SINGLE_FIELD_OWNER	0	0	0	NONE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Several compressed shoots or separate specimens.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	3	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	STATEMENT_MEMBERSHIP_AND_FORMAL_ORDER_NOT_PLAINTEXT_OR_TRANSLATION
H3-S003	H3	HERBAL	f11r	3	F008	f11r.4	5	5	E047|E048|E049|E050|E051	d665560c8ff80799a82c > b921a237be883a820352 > b2812c8283c3a62438bd > b921a237be883a820352 > 2f1c5e56e8f0ff459065	E047=[EXEMPLAR_VALUE_UNKNOWN] E048=[EXEMPLAR_VALUE_UNKNOWN] E049=[EXEMPLAR_VALUE_UNKNOWN] E050=[EXEMPLAR_VALUE_UNKNOWN] E051=[FORMAL:VORGABEPARAMETER; KEIN_WORT]	NONE	[EXEMPLAR:Nimm den ersten Auszug wieder auf. Nimm davon einen Anteil. Gib ihn als Trank. Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust. Gib ein kleines örtliches Maß.]	SINGLE_FIELD_OWNER	0	0	0	NONE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Several compressed shoots or separate specimens.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	3	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	STATEMENT_MEMBERSHIP_AND_FORMAL_ORDER_NOT_PLAINTEXT_OR_TRANSLATION
H3-S004	H3	HERBAL	f11r	4	F009	f11r.7	4	4	E052|E053|E054|E055	a48efd6c4491a046ba78 > 322281bd391aa621f568 > e0b630cb1b5df5e7105b > b921a237be883a820352	E052=[EXEMPLAR_VALUE_UNKNOWN] E053=[EXEMPLAR_VALUE_UNKNOWN] E054=[EXEMPLAR_VALUE_UNKNOWN] E055=[EXEMPLAR_VALUE_UNKNOWN]	NONE	[EXEMPLAR:Nimm die zurückbehaltenen Blüten. Erwärme sie in Olivenöl. Warte, bis der örtliche Bereitschaftszustand erreicht ist. Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren.]	SINGLE_FIELD_OWNER	0	0	0	NONE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	Several compressed shoots or separate specimens.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	3	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	STATEMENT_MEMBERSHIP_AND_FORMAL_ORDER_NOT_PLAINTEXT_OR_TRANSLATION
H4-S001	H4	HERBAL	f55v	1	F010	f55v.5	5	5	E056|E057|E058|E059|E060	b5fcea1eaed06b2f2291 > 2f1c5e56e8f0ff459065 > 403c1592f918c8f23b88 > d929a14ec45749b2e805 > 97cc9ac109148723c472	E056=[FORMAL_RELATION_OR_ENTRY] E057=[FORMAL:VORGABEPARAMETER; KEIN_WORT] E058=[EXEMPLAR_VALUE_UNKNOWN] E059=[EXEMPLAR_VALUE_UNKNOWN] E060=[EXEMPLAR_VALUE_UNKNOWN]	E056:PER? = DURCH/GEMÄSS?__OPTIONAL_MASTER_GLOSS_ONLY	[EXEMPLAR:Setze den ersten Posten an. Nimm ein örtlich vorgeschriebenes Maß. Zerstoße breite Blätter der unbenannten Pflanze. Gib Weißwein hinzu. Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten.]	SINGLE_FIELD_OWNER	0	0	0	NONE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	One pocket per leaf, inflorescence, root, or independent grotesque creature.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	3	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	STATEMENT_MEMBERSHIP_AND_FORMAL_ORDER_NOT_PLAINTEXT_OR_TRANSLATION
