group_serial	diagram_id	page	locus	event_index	opaque_local_id	surface_display_only	local_image_owner	owner_status	local_namespace	local_content_class	autonomous_primary_reading	occurrence_bound_exemplar	source_status	meaning_confidence	strongest_historical_rival	strongest_contradiction	orientation_status	f68_f69_mapping	prose_card_import	semantic_ceiling	source_lineage
1	A1	f67r2	f67r2.1	1	A1:G001	ykshy	A1_RIGHT_SECTOR_SLOT_01	DIRECT_VISIBLE	A1_RIGHT_WHEEL_ONLY	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	COPY_OPAQUE_GROUP_IN_LOCAL_NAMESPACE	[EXEMPLAR:Kopiersegment 01/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R01: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.]	VISIBLE_LOCAL_OWNER__HISTORICAL_CONTENT_CLASS_EXEMPLAR_ONLY	0.32	Astronomisch-kalendarischer Rivale: zwölf bloße Lehr-, Farb- oder Teilungssektoren ohne Auswahlfunktion.	Kein sichtbarer Textanker identifiziert den konkreten externen Himmels- oder Kalenderwert; zwischen linkem und rechtem Rad fehlt jede gezeichnete Kante; Adresse und Zählrichtung sind editorisch.	LOCAL_EDITORIAL_ADDRESS_ONLY__NO_AUTHORIAL_START_ROTATION_OR_DIRECTION	NONE__NO_VISIBLE_KEY	NONE	LOCAL_NAMESPACE_AND_EXEMPLAR_LABEL__NO_NAME_ORDER_OR_CROSSPAGE_KEY	V69_R4_SURFACE__V75_SELECTED_GROUP_AND_NAMESPACE
2	A1	f67r2	f67r2.1	2	A1:G002	s	A1_RIGHT_SECTOR_SLOT_01	DIRECT_VISIBLE	A1_RIGHT_WHEEL_ONLY	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	COPY_OPAQUE_GROUP_IN_LOCAL_NAMESPACE	[EXEMPLAR:Kopiersegment 02/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R01: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.]	VISIBLE_LOCAL_OWNER__HISTORICAL_CONTENT_CLASS_EXEMPLAR_ONLY	0.32	Astronomisch-kalendarischer Rivale: zwölf bloße Lehr-, Farb- oder Teilungssektoren ohne Auswahlfunktion.	Kein sichtbarer Textanker identifiziert den konkreten externen Himmels- oder Kalenderwert; zwischen linkem und rechtem Rad fehlt jede gezeichnete Kante; Adresse und Zählrichtung sind editorisch.	LOCAL_EDITORIAL_ADDRESS_ONLY__NO_AUTHORIAL_START_ROTATION_OR_DIRECTION	NONE__NO_VISIBLE_KEY	NONE	LOCAL_NAMESPACE_AND_EXEMPLAR_LABEL__NO_NAME_ORDER_OR_CROSSPAGE_KEY	V69_R4_SURFACE__V75_SELECTED_GROUP_AND_NAMESPACE
3	A1	f67r2	f67r2.1	3	A1:G003	aram	A1_RIGHT_SECTOR_SLOT_01	DIRECT_VISIBLE	A1_RIGHT_WHEEL_ONLY	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	COPY_OPAQUE_GROUP_IN_LOCAL_NAMESPACE	[EXEMPLAR:Kopiersegment 03/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R01: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.]	VISIBLE_LOCAL_OWNER__HISTORICAL_CONTENT_CLASS_EXEMPLAR_ONLY	0.32	Astronomisch-kalendarischer Rivale: zwölf bloße Lehr-, Farb- oder Teilungssektoren ohne Auswahlfunktion.	Kein sichtbarer Textanker identifiziert den konkreten externen Himmels- oder Kalenderwert; zwischen linkem und rechtem Rad fehlt jede gezeichnete Kante; Adresse und Zählrichtung sind editorisch.	LOCAL_EDITORIAL_ADDRESS_ONLY__NO_AUTHORIAL_START_ROTATION_OR_DIRECTION	NONE__NO_VISIBLE_KEY	NONE	LOCAL_NAMESPACE_AND_EXEMPLAR_LABEL__NO_NAME_ORDER_OR_CROSSPAGE_KEY	V69_R4_SURFACE__V75_SELECTED_GROUP_AND_NAMESPACE
4	A1	f67r2	f67r2.2	1	A1:G004	ykecho	A1_RIGHT_SECTOR_SLOT_02	DIRECT_VISIBLE	A1_RIGHT_WHEEL_ONLY	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	COPY_OPAQUE_GROUP_IN_LOCAL_NAMESPACE	[EXEMPLAR:Kopiersegment 01/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R02: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.]	VISIBLE_LOCAL_OWNER__HISTORICAL_CONTENT_CLASS_EXEMPLAR_ONLY	0.32	Astronomisch-kalendarischer Rivale: zwölf bloße Lehr-, Farb- oder Teilungssektoren ohne Auswahlfunktion.	Kein sichtbarer Textanker identifiziert den konkreten externen Himmels- oder Kalenderwert; zwischen linkem und rechtem Rad fehlt jede gezeichnete Kante; Adresse und Zählrichtung sind editorisch.	LOCAL_EDITORIAL_ADDRESS_ONLY__NO_AUTHORIAL_START_ROTATION_OR_DIRECTION	NONE__NO_VISIBLE_KEY	NONE	LOCAL_NAMESPACE_AND_EXEMPLAR_LABEL__NO_NAME_ORDER_OR_CROSSPAGE_KEY	V69_R4_SURFACE__V75_SELECTED_GROUP_AND_NAMESPACE
5	A1	f67r2	f67r2.2	2	A1:G005	ols	A1_RIGHT_SECTOR_SLOT_02	DIRECT_VISIBLE	A1_RIGHT_WHEEL_ONLY	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	COPY_OPAQUE_GROUP_IN_LOCAL_NAMESPACE	[EXEMPLAR:Kopiersegment 02/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R02: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.]	VISIBLE_LOCAL_OWNER__HISTORICAL_CONTENT_CLASS_EXEMPLAR_ONLY	0.32	Astronomisch-kalendarischer Rivale: zwölf bloße Lehr-, Farb- oder Teilungssektoren ohne Auswahlfunktion.	Kein sichtbarer Textanker identifiziert den konkreten externen Himmels- oder Kalenderwert; zwischen linkem und rechtem Rad fehlt jede gezeichnete Kante; Adresse und Zählrichtung sind editorisch.	LOCAL_EDITORIAL_ADDRESS_ONLY__NO_AUTHORIAL_START_ROTATION_OR_DIRECTION	NONE__NO_VISIBLE_KEY	NONE	LOCAL_NAMESPACE_AND_EXEMPLAR_LABEL__NO_NAME_ORDER_OR_CROSSPAGE_KEY	V69_R4_SURFACE__V75_SELECTED_GROUP_AND_NAMESPACE
6	A1	f67r2	f67r2.2	3	A1:G006	eesydy	A1_RIGHT_SECTOR_SLOT_02	DIRECT_VISIBLE	A1_RIGHT_WHEEL_ONLY	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	COPY_OPAQUE_GROUP_IN_LOCAL_NAMESPACE	[EXEMPLAR:Kopiersegment 03/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R02: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.]	VISIBLE_LOCAL_OWNER__HISTORICAL_CONTENT_CLASS_EXEMPLAR_ONLY	0.32	Astronomisch-kalendarischer Rivale: zwölf bloße Lehr-, Farb- oder Teilungssektoren ohne Auswahlfunktion.	Kein sichtbarer Textanker identifiziert den konkreten externen Himmels- oder Kalenderwert; zwischen linkem und rechtem Rad fehlt jede gezeichnete Kante; Adresse und Zählrichtung sind editorisch.	LOCAL_EDITORIAL_ADDRESS_ONLY__NO_AUTHORIAL_START_ROTATION_OR_DIRECTION	NONE__NO_VISIBLE_KEY	NONE	LOCAL_NAMESPACE_AND_EXEMPLAR_LABEL__NO_NAME_ORDER_OR_CROSSPAGE_KEY	V69_R4_SURFACE__V75_SELECTED_GROUP_AND_NAMESPACE
7	A1	f67r2	f67r2.3	1	A1:G007	ey	A1_RIGHT_SECTOR_SLOT_03	DIRECT_VISIBLE	A1_RIGHT_WHEEL_ONLY	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	COPY_OPAQUE_GROUP_IN_LOCAL_NAMESPACE	[EXEMPLAR:Kopiersegment 01/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R03: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.]	VISIBLE_LOCAL_OWNER__HISTORICAL_CONTENT_CLASS_EXEMPLAR_ONLY	0.32	Astronomisch-kalendarischer Rivale: zwölf bloße Lehr-, Farb- oder Teilungssektoren ohne Auswahlfunktion.	Kein sichtbarer Textanker identifiziert den konkreten externen Himmels- oder Kalenderwert; zwischen linkem und rechtem Rad fehlt jede gezeichnete Kante; Adresse und Zählrichtung sind editorisch.	LOCAL_EDITORIAL_ADDRESS_ONLY__NO_AUTHORIAL_START_ROTATION_OR_DIRECTION	NONE__NO_VISIBLE_KEY	NONE	LOCAL_NAMESPACE_AND_EXEMPLAR_LABEL__NO_NAME_ORDER_OR_CROSSPAGE_KEY	V69_R4_SURFACE__V75_SELECTED_GROUP_AND_NAMESPACE
8	A1	f67r2	f67r2.3	2	A1:G008	shs	A1_RIGHT_SECTOR_SLOT_03	DIRECT_VISIBLE	A1_RIGHT_WHEEL_ONLY	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	COPY_OPAQUE_GROUP_IN_LOCAL_NAMESPACE	[EXEMPLAR:Kopiersegment 02/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R03: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.]	VISIBLE_LOCAL_OWNER__HISTORICAL_CONTENT_CLASS_EXEMPLAR_ONLY	0.32	Astronomisch-kalendarischer Rivale: zwölf bloße Lehr-, Farb- oder Teilungssektoren ohne Auswahlfunktion.	Kein sichtbarer Textanker identifiziert den konkreten externen Himmels- oder Kalenderwert; zwischen linkem und rechtem Rad fehlt jede gezeichnete Kante; Adresse und Zählrichtung sind editorisch.	LOCAL_EDITORIAL_ADDRESS_ONLY__NO_AUTHORIAL_START_ROTATION_OR_DIRECTION	NONE__NO_VISIBLE_KEY	NONE	LOCAL_NAMESPACE_AND_EXEMPLAR_LABEL__NO_NAME_ORDER_OR_CROSSPAGE_KEY	V69_R4_SURFACE__V75_SELECTED_GROUP_AND_NAMESPACE
9	A1	f67r2	f67r2.3	3	A1:G009	okar	A1_RIGHT_SECTOR_SLOT_03	DIRECT_VISIBLE	A1_RIGHT_WHEEL_ONLY	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	COPY_OPAQUE_GROUP_IN_LOCAL_NAMESPACE	[EXEMPLAR:Kopiersegment 03/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R03: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.]	VISIBLE_LOCAL_OWNER__HISTORICAL_CONTENT_CLASS_EXEMPLAR_ONLY	0.32	Astronomisch-kalendarischer Rivale: zwölf bloße Lehr-, Farb- oder Teilungssektoren ohne Auswahlfunktion.	Kein sichtbarer Textanker identifiziert den konkreten externen Himmels- oder Kalenderwert; zwischen linkem und rechtem Rad fehlt jede gezeichnete Kante; Adresse und Zählrichtung sind editorisch.	LOCAL_EDITORIAL_ADDRESS_ONLY__NO_AUTHORIAL_START_ROTATION_OR_DIRECTION	NONE__NO_VISIBLE_KEY	NONE	LOCAL_NAMESPACE_AND_EXEMPLAR_LABEL__NO_NAME_ORDER_OR_CROSSPAGE_KEY	V69_R4_SURFACE__V75_SELECTED_GROUP_AND_NAMESPACE
10	A1	f67r2	f67r2.4	1	A1:G010	shekchy	A1_RIGHT_SECTOR_SLOT_04	DIRECT_VISIBLE	A1_RIGHT_WHEEL_ONLY	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	COPY_OPAQUE_GROUP_IN_LOCAL_NAMESPACE	[EXEMPLAR:Kopiersegment 01/02 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R04: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.]	VISIBLE_LOCAL_OWNER__HISTORICAL_CONTENT_CLASS_EXEMPLAR_ONLY	0.32	Astronomisch-kalendarischer Rivale: zwölf bloße Lehr-, Farb- oder Teilungssektoren ohne Auswahlfunktion.	Kein sichtbarer Textanker identifiziert den konkreten externen Himmels- oder Kalenderwert; zwischen linkem und rechtem Rad fehlt jede gezeichnete Kante; Adresse und Zählrichtung sind editorisch.	LOCAL_EDITORIAL_ADDRESS_ONLY__NO_AUTHORIAL_START_ROTATION_OR_DIRECTION	NONE__NO_VISIBLE_KEY	NONE	LOCAL_NAMESPACE_AND_EXEMPLAR_LABEL__NO_NAME_ORDER_OR_CROSSPAGE_KEY	V69_R4_SURFACE__V75_SELECTED_GROUP_AND_NAMESPACE
