contradiction_id	issue	evidence	status	canonical_resolution
C01	CONCRETE_CONTENT_WITHOUT_MASTER	0/103 prose and 0/28 tested Astro values	HARD	Keep every concrete value occurrence-bound.
C02	ET_VS_FORMAL_LINK	Both cover 19/19 visible positions	UNRESOLVED	Operational LINK first; ET only optional master gloss.
C03	PER_VS_FORMAL_ENTRY	Read-once repairs form but ENTRY is simpler or tied	UNRESOLVED	Operational RELATION/ENTRY first; PER only optional master gloss.
C04	EDGE_COPY_HISTORY	One positive E180/E181 case	UNRESOLVED	Use local read-once; do not claim standard catchword.
C05	PHYSICAL_LINE_EQUALS_SENTENCE	19 statement-internal crossings	REJECTED	Statement state crosses the line.
C06	OWNER_CONTINUITY	Four cross-line owner resets plus further local scene resets	REJECTED	Reset substance, target and direction at each visible break.
C07	GLOBAL_BIO_FLOW	Local contacts exist, global directed circuit absent	REJECTED	Use local station readings only.
C08	PLANT_SPECIES	Whole-plant owners visible; species anchors absent	UNRESOLVED	Keep every plant unnamed.
C09	WATER_MEDIUM_AND_THERAPY	Coherent in leading model but mostly unpictured	EXEMPLAR_ONLY	Retain as creative source prose, never card meaning.
C10	ASTRO_START_DIRECTION	No selected authorial start or rotation	REJECTED	Use unordered local namespaces.
C11	F68_F69_KEY	No visible or textual key	REJECTED	Keep instruments independent.
C12	PRODUCTIVE_STEMS	Exact-card and renderer history do not license shared meaning	REJECTED	No stem, morphology, sound or PAGE_HOST semantics.
C13	BOOK_PURPOSE	Practitioner compendium and model/memory book remain near-tied	UNRESOLVED	Show one editorial lead and one live rival.
C14	MULTIPLE_SCRIBES	Shared formal deck fits, but content teaching is not directly observed	WORKSHOP_HYPOTHESIS	Treat master/apprentice workflow as plausible generator only.
C15	COMPLETE_GERMAN_COVERAGE	776/776 can be narrated under several content worlds	NOT_EVIDENCE_OF_TRUTH	Coverage tests consistency, not historical correctness.
