event_serial	event_id	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	surface_display_only	image_owner_id	owner_break_before	visible_read_action	source_position_id	source_position_contribution	autonomous_operational_readback	operational_value_provenance	optional_questioned_master_gloss	optional_gloss_provenance	formal_nonword_channel	master_memorized_selected_token	master_memorized_source_expansion_de	content_provenance	leading_content_model	rival_content_model	rival_occurrence_reading	source_class	terminal_status	line_crossing	central_repair	strongest_contradiction	semantic_recovery_without_master	new_word_contribution	canonical_ceiling
1	E001	H1	f10r	f10r.2	F001	H1-S001	65f320e75510b2f38182	dchey	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	RECORD_START	READ_VISIBLE_EVENT_ONCE	S001	1	OPAQUE_EXACT_CARD__EXEMPLAR_VALUE_UNKNOWN	DERIVED_FORMAL	NONE	NONE	NO	[EXEMPLAR:Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel]	[EXEMPLAR:Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel]	MASTER_MEMORIZED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	Technischer Pflanzenmaterial-Rivale: Bildbesitzer H1 als Rohstofflos dem lokalen Posten eröffnen.	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	NONCLOSE	NO__SINGLE_FIELD	NONE	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Wurzelteil.	NO	0	FORMAL_OPERATION_AND_MASTER_CONTENT_SEPARATE__NOT_PLAINTEXT
2	E002	H1	f10r	f10r.2	F001	H1-S001	dedc383b600397a301ee	cthoor	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	READ_VISIBLE_EVENT_ONCE	S002	1	OPAQUE_EXACT_CARD__EXEMPLAR_VALUE_UNKNOWN	DERIVED_FORMAL	NONE	NONE	NO	[EXEMPLAR:Säubere ihn]	[EXEMPLAR:Säubere ihn]	MASTER_MEMORIZED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	Technischer Pflanzenmaterial-Rivale: unteren Wurzelstock als sichtbaren Pflanzenteil wählen.	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	NONCLOSE	NO__SINGLE_FIELD	NONE	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Reinigung.	NO	0	FORMAL_OPERATION_AND_MASTER_CONTENT_SEPARATE__NOT_PLAINTEXT
3	E003	H1	f10r	f10r.2	F001	H1-S001	4d4559019a961b834aa1	char	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	READ_VISIBLE_EVENT_ONCE	S003	1	OPAQUE_EXACT_CARD__EXEMPLAR_VALUE_UNKNOWN	DERIVED_FORMAL	NONE	NONE	NO	[EXEMPLAR:Führe ihn als denselben Arbeitsansatz weiter]	[EXEMPLAR:Führe ihn als denselben Arbeitsansatz weiter]	MASTER_MEMORIZED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	Technischer Pflanzenmaterial-Rivale: Erde und Fremdstoff mit Wasser abwaschen.	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	NONCLOSE	NO__SINGLE_FIELD	NONE	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	NO	0	FORMAL_OPERATION_AND_MASTER_CONTENT_SEPARATE__NOT_PLAINTEXT
4	E004	H1	f10r	f10r.2	F001	H1-S001	80ebbbbf238eee9f0aef	chty	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	READ_VISIBLE_EVENT_ONCE	S004	1	OPAQUE_EXACT_CARD__EXEMPLAR_VALUE_UNKNOWN	DERIVED_FORMAL	NONE	NONE	NO	[EXEMPLAR:Zerschneide ihn]	[EXEMPLAR:Zerschneide ihn]	MASTER_MEMORIZED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	Technischer Pflanzenmaterial-Rivale: beschädigte Fasern aussortieren.	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	NONCLOSE	NO__SINGLE_FIELD	NONE	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Zerschneiden.	NO	0	FORMAL_OPERATION_AND_MASTER_CONTENT_SEPARATE__NOT_PLAINTEXT
5	E005	H1	f10r	f10r.2	F001	H1-S001	df1098831679a8ad1b39	os	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	READ_VISIBLE_EVENT_ONCE	S005	1	OPAQUE_EXACT_CARD__EXEMPLAR_VALUE_UNKNOWN	DERIVED_FORMAL	NONE	NONE	NO	[EXEMPLAR:Gib die Stücke in ein Gefäß]	[EXEMPLAR:Gib die Stücke in ein Gefäß]	MASTER_MEMORIZED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	Technischer Pflanzenmaterial-Rivale: sauberen Wurzelstock grob schneiden.	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	NONCLOSE	NO__SINGLE_FIELD	NONE	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Gefäß.	NO	0	FORMAL_OPERATION_AND_MASTER_CONTENT_SEPARATE__NOT_PLAINTEXT
6	E006	H1	f10r	f10r.2	F001	H1-S001	12efe866f335461823a6	chair	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	READ_VISIBLE_EVENT_ONCE	S006	1	OPAQUE_EXACT_CARD__EXEMPLAR_VALUE_UNKNOWN	DERIVED_FORMAL	NONE	NONE	NO	[EXEMPLAR:Gieße Quellwasser darüber]	[EXEMPLAR:Gieße Quellwasser darüber]	MASTER_MEMORIZED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	Technischer Pflanzenmaterial-Rivale: Schnittgut im Mazeriergefäß mit Wasser bedecken.	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	NONCLOSE	NO__SINGLE_FIELD	NONE	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Quellwasser.	NO	0	FORMAL_OPERATION_AND_MASTER_CONTENT_SEPARATE__NOT_PLAINTEXT
7	E007	H1	f10r	f10r.2	F001	H1-S001	62ff059766b21c7de083	otytchol	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	READ_VISIBLE_EVENT_ONCE	S007	1	OPAQUE_EXACT_CARD__EXEMPLAR_VALUE_UNKNOWN	DERIVED_FORMAL	NONE	NONE	NO	[EXEMPLAR:Fange den ersten Auszug in einem Glas auf]	[EXEMPLAR:Fange den ersten Auszug in einem Glas auf]	MASTER_MEMORIZED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	Technischer Pflanzenmaterial-Rivale: Auszug umrühren und eine Prüfportion abnehmen.	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	NONCLOSE	NO__SINGLE_FIELD	NONE	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug, Glas.	NO	0	FORMAL_OPERATION_AND_MASTER_CONTENT_SEPARATE__NOT_PLAINTEXT
8	E008	H1	f10r	f10r.2	F001	H1-S001	276a7c2d74d1143446f4	oky	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	READ_VISIBLE_EVENT_ONCE	S008	1	OPAQUE_EXACT_CARD__EXEMPLAR_VALUE_UNKNOWN	DERIVED_FORMAL	NONE	NONE	NO	[EXEMPLAR:Gebrauche diesen Auszug innerlich]	[EXEMPLAR:Gebrauche diesen Auszug innerlich]	MASTER_MEMORIZED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	Technischer Pflanzenmaterial-Rivale: aktive Prüfportion=dem lokalen Posten; Arbeitsziel=Musterstreifen dem lokalen Posten.	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	NONCLOSE	NO__SINGLE_FIELD	NONE	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug, innerlicher Gebrauch.	NO	0	FORMAL_OPERATION_AND_MASTER_CONTENT_SEPARATE__NOT_PLAINTEXT
9	E009	H1	f10r	f10r.2	F001	H1-S001	2f1c5e56e8f0ff459065	daiin	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	READ_VISIBLE_EVENT_ONCE	S009	1	FORMAL_PARAMETER_CHANNEL__NOT_A_WORD	DERIVED_FORMAL	NONE	NONE__FORMAL_NONWORD	YES	[EXEMPLAR:Nimm davon das örtlich vorgeschriebene kleine Maß]	[EXEMPLAR:Nimm davon das örtlich vorgeschriebene kleine Maß]	MASTER_MEMORIZED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	Technischer Pflanzenmaterial-Rivale: Sollwert für die Prüfportion in das Losregister eintragen.	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	NONCLOSE	NO__SINGLE_FIELD	NONE	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Dosis.	NO	0	FORMAL_OPERATION_AND_MASTER_CONTENT_SEPARATE__NOT_PLAINTEXT
10	E010	H1	f10r	f10r.2	F001	H1-S001	a6939862e33ece5a0483	etyd	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	READ_VISIBLE_EVENT_ONCE	S010	1	OPAQUE_EXACT_CARD__EXEMPLAR_VALUE_UNKNOWN	DERIVED_FORMAL	NONE	NONE	NO	[EXEMPLAR:Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen]	[EXEMPLAR:Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen]	MASTER_MEMORIZED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	Technischer Pflanzenmaterial-Rivale: trockenen Rest als dem lokalen Posten verwahren.	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	NONCLOSE	NO__SINGLE_FIELD	NONE	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Leibschmerz, Vorratsgefäß.	NO	0	FORMAL_OPERATION_AND_MASTER_CONTENT_SEPARATE__NOT_PLAINTEXT
