canonical_contradiction_id	source_round	model	affected_units	issue_or_contradiction	severity	formal_decision	semantic_decision	containment_or_apprentice_rule	status	canonical_ceiling
V76_A01	V76_SELECTED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	ALL	No verified period witness in the audit combines an illustrated Herbal, a local bath-station atlas, and several celestial instruments in this exact architecture.	HIGH	UNCHANGED_FROM_V76	NOT_DECODED	Treat A as a composite period-purpose model, never as a located source manuscript.	OPEN	CONTENT_MODEL_CONTRADICTION_NOT_DECIPHERMENT_SCORE
V76_A02	V76_SELECTED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	H1-H5	Species, recipe media, doses, diseases, and exact actions remain unsupported source-class exemplars.	HIGH	UNCHANGED_FROM_V76	NOT_DECODED	Retain whole-plant owners and occurrence exemplars; add no portable form value.	OPEN	CONTENT_MODEL_CONTRADICTION_NOT_DECIPHERMENT_SCORE
V76_A03	V76_SELECTED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	B2-B6	Disconnected Bio scenes and owner breaks resist a continuous treatment flow.	HIGH	UNCHANGED_FROM_V76	NOT_DECODED	Model a station atlas with local articles, not one page-wide regimen or substance.	CONTAINED	CONTENT_MODEL_CONTRADICTION_NOT_DECIPHERMENT_SCORE
V76_A04	V76_SELECTED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	A1-A3	No visible rule connects the celestial instruments to diagnosis, treatment timing, or prognosis.	HIGH	UNCHANGED_FROM_V76	NOT_DECODED	Medical use is book-purpose context only; each wheel remains an anonymous local instrument.	OPEN	CONTENT_MODEL_CONTRADICTION_NOT_DECIPHERMENT_SCORE
V76_A05	V76_SELECTED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	ALL	A physician, apothecary, bath practitioner, and calendar specialist may be too broad a single user.	MEDIUM	UNCHANGED_FROM_V76	NOT_DECODED	Prefer an institutional/household workshop or practitioner network over a lone polymath owner.	OPEN	CONTENT_MODEL_CONTRADICTION_NOT_DECIPHERMENT_SCORE
V76_A06	V76_SELECTED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	ALL	Multiple hands could record copying history rather than specialist division of labor.	MEDIUM	UNCHANGED_FROM_V76	NOT_DECODED	Keep multi-scribe production compatible with both specialist and sequential copying models.	OPEN	CONTENT_MODEL_CONTRADICTION_NOT_DECIPHERMENT_SCORE
V76_B01	V76_SELECTED	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	H1-H5	The selected Herbal source-class articles are more recipe-like than captions or specimen labels.	HIGH	UNCHANGED_FROM_V76	NOT_DECODED	B must treat the recipe layer as a rival material protocol, not erase it.	OPEN	CONTENT_MODEL_CONTRADICTION_NOT_DECIPHERMENT_SCORE
V76_B02	V76_SELECTED	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	B1-B6	Nude figures actively bathing fit therapeutic/topographic bath literature better than a pure machine modelbook.	HIGH	UNCHANGED_FROM_V76	NOT_DECODED	B is an image atlas of natural/artificial stations, not a claim that bodies are machine parts.	OPEN	CONTENT_MODEL_CONTRADICTION_NOT_DECIPHERMENT_SCORE
V76_B03	V76_SELECTED	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	ALL	No visible natural/artificial/celestial taxonomy or section rubric proves an encyclopedic programme.	HIGH	UNCHANGED_FROM_V76	NOT_DECODED	Use the triad only as a purpose hypothesis explaining coexistence.	OPEN	CONTENT_MODEL_CONTRADICTION_NOT_DECIPHERMENT_SCORE
V76_B04	V76_SELECTED	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	H1-B6	Long local text groups are costlier than the short-caption economy of the strongest image-modelbook comparators.	MEDIUM	UNCHANGED_FROM_V76	NOT_DECODED	Allow operational annotations or copied exemplars rather than simple picture names.	OPEN	CONTENT_MODEL_CONTRADICTION_NOT_DECIPHERMENT_SCORE
V76_B05	V76_SELECTED	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	B2-B6	No visible arrows, dimensions, material labels, or stable hydraulic direction proves apparatus construction.	HIGH	UNCHANGED_FROM_V76	NOT_DECODED	Keep technical readings as local rivals only.	OPEN	CONTENT_MODEL_CONTRADICTION_NOT_DECIPHERMENT_SCORE
V76_B06	V76_SELECTED	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	A1-A3	Celestial diagrams can be working instruments rather than teaching/model sheets.	MEDIUM	UNCHANGED_FROM_V76	NOT_DECODED	Do not infer decorative or pedagogic use from geometry alone.	OPEN	CONTENT_MODEL_CONTRADICTION_NOT_DECIPHERMENT_SCORE
V76_S01	V76_SELECTED	SHARED	ALL	The target pages provide no verified readable source text, donor manuscript, codebook, nomenclator, or dictionary entry.	CRITICAL	UNCHANGED_FROM_V76	NOT_DECODED	No dictionary gloss was added anywhere in V76 R2.	SEALED	CONTENT_MODEL_CONTRADICTION_NOT_DECIPHERMENT_SCORE
V76_S02	V76_SELECTED	SHARED	ALL	The ten-page sample cannot establish original binding order or the purpose of the complete book.	HIGH	UNCHANGED_FROM_V76	NOT_DECODED	Limit conclusions to the fixed ten-page workshop sample.	OPEN	CONTENT_MODEL_CONTRADICTION_NOT_DECIPHERMENT_SCORE
V76_S03	V76_SELECTED	SHARED	ALL	Local text fitting around drawings supports target image-first planning but does not prove the order for every folio or section.	HIGH	UNCHANGED_FROM_V76	NOT_DECODED	State picture-first as a target working inference; period comparators show mixed production orders.	CONTAINED	CONTENT_MODEL_CONTRADICTION_NOT_DECIPHERMENT_SCORE
V76_S04	V76_SELECTED	SHARED	A1-A3	No common start, direction, rotation, f68-f69 key, or prose-card import is visible.	CRITICAL	UNCHANGED_FROM_V76	NOT_DECODED	Preserve three local instrument namespaces and no cross-page calculation.	SEALED	CONTENT_MODEL_CONTRADICTION_NOT_DECIPHERMENT_SCORE
V79_R01	V79_SELECTED	SHARED_FORMAL_MACHINE	GENERAL_VISIBLE_READ_ONCE_RULE	Only one positive instance; cannot establish a workshop-wide convention or standard catchword.	NOT_SCORED	LOCAL_RULE_SUPPORTED_FOR_THIS_ONE_VISIBLE_PAIR	NONE	Retain both written copies but count only the line-entry copy as the source token when all four visible criteria pass.	RETAIN_LIMIT	FORMAL_REPAIR_OR_LIMIT_NOT_NEW_SEMANTICS
V79_R02	V79_SELECTED	SHARED_FORMAL_MACHINE	HISTORICAL_CATCHWORD_LABEL	Intentional anticipation and accidental dittography remain observationally tied on one example.	NOT_SCORED	DO_NOT_CALL_STANDARD_CATCHWORD_OR_KUSTODE	NONE	Use the read-once correction locally; never generate the device in a fresh line without an exemplar.	RETAIN_LIMIT	FORMAL_REPAIR_OR_LIMIT_NOT_NEW_SEMANTICS
V79_R03	V79_SELECTED	SHARED_FORMAL_MACHINE	ET_QUESTION_MARK_VS_FORMAL_LINK	The exact 1414 codebook word et attests a historical category, not this card mapping.	NOT_SCORED	FORMAL_LINK_SLOT_RECOVERABLE_WITHOUT_MASTER	ET? ONLY_IF_MASTER_CODEBOOK_SUPPLIES_THE_GLOSS	Copy the link form once. Say ET? only from the master key; otherwise report FORMAL_LINK.	RETAIN_LIMIT	FORMAL_REPAIR_OR_LIMIT_NOT_NEW_SEMANTICS
V79_R04	V79_SELECTED	SHARED_FORMAL_MACHINE	PER_QUESTION_MARK_VS_ENTRY_RESET	A pure reset label cannot explain every medial occurrence; the broader formal relation class remains necessary.	NOT_SCORED	FORMAL_RELATION_OR_ENTRY_MARK_WITH_ENTRY_BIAS	PER? ONLY_IF_MASTER_CODEBOOK_SUPPLIES_THE_GLOSS	After local deduplication, recover one relation/entry mark; require its next local complement and do not infer PER from placement alone.	RETAIN_LIMIT	FORMAL_REPAIR_OR_LIMIT_NOT_NEW_SEMANTICS
V79_R05	V79_SELECTED	SHARED_FORMAL_MACHINE	B2_VISIBLE_OWNER_RESETS	Concrete station functions still require the master exemplar.	NOT_SCORED	RESET_SUBSTANCE_TARGET_DIRECTION_AT_EACH_OWNER_BREAK	NO_CARRY_ACROSS_DISCONNECTED_SCENES	Owner break outranks sentence continuity; clear arguments even inside one reconstructed statement.	RETAIN_LIMIT	FORMAL_REPAIR_OR_LIMIT_NOT_NEW_SEMANTICS
V79_R06	V79_SELECTED	SHARED_FORMAL_MACHINE	F69_LEFT_28_SLOT_TRACE	Forward/backward order in the trace is editorial coverage order only.	NOT_SCORED	LOCAL_SLOT_AND_SEGMENT_MEMBERSHIP_RECOVERABLE	NAMES_ORDER_START_DIRECTION_AND_FUNCTION_NOT_RECOVERABLE	Copy each segment within its own slot; never move a value between wheels or infer a cycle.	RETAIN_LIMIT	FORMAL_REPAIR_OR_LIMIT_NOT_NEW_SEMANTICS
V79_R07	V79_SELECTED	SHARED_FORMAL_MACHINE	MASTER_EXEMPLAR_SEPARATION	An apprentice cannot continue a new semantic entry without the master exemplar.	NOT_SCORED	FORMAL_COPY_AND_READBACK_POSSIBLE	CONCRETE_CONTENT_REQUIRES_MASTER_EXEMPLAR	Never fill a bracketed content value from the opaque card alone.	RETAIN_LIMIT	FORMAL_REPAIR_OR_LIMIT_NOT_NEW_SEMANTICS
