ledger_serial	unified_id	section	unit_id	page	formal_recovery_confidence	occurrence_content_confidence	portable_word_confidence	global_purpose_confidence	strongest_local_rival	strongest_local_contradiction	global_counterevidence	containment	status
1	P:E001	HERBAL	H1	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.36	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: Bildbesitzer H1 als Rohstofflos dem lokalen Posten eröffnen.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Wurzelteil.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
2	P:E002	HERBAL	H1	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.32	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: unteren Wurzelstock als sichtbaren Pflanzenteil wählen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Reinigung.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
3	P:E003	HERBAL	H1	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.34	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: Erde und Fremdstoff mit Wasser abwaschen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
4	P:E004	HERBAL	H1	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.32	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: beschädigte Fasern aussortieren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Zerschneiden.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
5	P:E005	HERBAL	H1	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.25	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: sauberen Wurzelstock grob schneiden.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Gefäß.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
6	P:E006	HERBAL	H1	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.24	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: Schnittgut im Mazeriergefäß mit Wasser bedecken.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Quellwasser.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
7	P:E007	HERBAL	H1	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.29	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: Auszug umrühren und eine Prüfportion abnehmen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug, Glas.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
8	P:E008	HERBAL	H1	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.46	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: aktive Prüfportion=dem lokalen Posten; Arbeitsziel=Musterstreifen dem lokalen Posten.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug, innerlicher Gebrauch.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
9	P:E009	HERBAL	H1	f10r	HIGH__FROZEN_NONWORD_CHANNEL	0.46	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: Sollwert für die Prüfportion in das Losregister eintragen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Dosis.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
10	P:E010	HERBAL	H1	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.18	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: trockenen Rest als dem lokalen Posten verwahren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Leibschmerz, Vorratsgefäß.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
11	P:E011	HERBAL	H1	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.29	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: gelagerten Wurzelrest dem lokalen Posten aufnehmen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
12	P:E012	HERBAL	H1	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.30	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: zweiten Auszug gelinde erwärmen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Wärme.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
13	P:E013	HERBAL	H1	f10r	MEDIUM__V79_OPERATIONAL_SELECTION__SEMANTIC_GLOSS_UNIDENTIFIED	0.46	OPTIONAL_MASTER_QUESTION_GLOSS_ONLY	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: formale Verknüpfung mit dem laufenden Wurzelauszug dem lokalen Posten buchen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
14	P:E014	HERBAL	H1	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.46	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: Arbeitsstand dem lokalen Posten freigeben.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Gebrauchsreife.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
