global_index	section	page	unit_id	locus	opaque_identity	surface_display_only	formal_owner_or_namespace	operational_formal_value	formal_provenance	visible_read_action	source_position_id	source_position_contribution	optional_questioned_master_gloss	leading_master_memorized_content	rival_master_memorized_content	content_provenance	leading_content_model	rival_content_model	semantic_recovery_without_master	new_word_contribution	canonical_ceiling
1	PROSE	f10r	H1	f10r.2	65f320e75510b2f38182	dchey	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	OPAQUE_EXACT_CARD__EXEMPLAR_VALUE_UNKNOWN	DERIVED_FORMAL	READ_VISIBLE_EVENT_ONCE	S001	1	NONE	[EXEMPLAR:Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel]	Technischer Pflanzenmaterial-Rivale: Bildbesitzer H1 als Rohstofflos dem lokalen Posten eröffnen.	MASTER_MEMORIZED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	NO	0	FORMAL_OPERATION_AND_MASTER_CONTENT_SEPARATE__NOT_PLAINTEXT
2	PROSE	f10r	H1	f10r.2	dedc383b600397a301ee	cthoor	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	OPAQUE_EXACT_CARD__EXEMPLAR_VALUE_UNKNOWN	DERIVED_FORMAL	READ_VISIBLE_EVENT_ONCE	S002	1	NONE	[EXEMPLAR:Säubere ihn]	Technischer Pflanzenmaterial-Rivale: unteren Wurzelstock als sichtbaren Pflanzenteil wählen.	MASTER_MEMORIZED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	NO	0	FORMAL_OPERATION_AND_MASTER_CONTENT_SEPARATE__NOT_PLAINTEXT
3	PROSE	f10r	H1	f10r.2	4d4559019a961b834aa1	char	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	OPAQUE_EXACT_CARD__EXEMPLAR_VALUE_UNKNOWN	DERIVED_FORMAL	READ_VISIBLE_EVENT_ONCE	S003	1	NONE	[EXEMPLAR:Führe ihn als denselben Arbeitsansatz weiter]	Technischer Pflanzenmaterial-Rivale: Erde und Fremdstoff mit Wasser abwaschen.	MASTER_MEMORIZED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	NO	0	FORMAL_OPERATION_AND_MASTER_CONTENT_SEPARATE__NOT_PLAINTEXT
4	PROSE	f10r	H1	f10r.2	80ebbbbf238eee9f0aef	chty	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	OPAQUE_EXACT_CARD__EXEMPLAR_VALUE_UNKNOWN	DERIVED_FORMAL	READ_VISIBLE_EVENT_ONCE	S004	1	NONE	[EXEMPLAR:Zerschneide ihn]	Technischer Pflanzenmaterial-Rivale: beschädigte Fasern aussortieren.	MASTER_MEMORIZED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	NO	0	FORMAL_OPERATION_AND_MASTER_CONTENT_SEPARATE__NOT_PLAINTEXT
5	PROSE	f10r	H1	f10r.2	df1098831679a8ad1b39	os	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	OPAQUE_EXACT_CARD__EXEMPLAR_VALUE_UNKNOWN	DERIVED_FORMAL	READ_VISIBLE_EVENT_ONCE	S005	1	NONE	[EXEMPLAR:Gib die Stücke in ein Gefäß]	Technischer Pflanzenmaterial-Rivale: sauberen Wurzelstock grob schneiden.	MASTER_MEMORIZED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	NO	0	FORMAL_OPERATION_AND_MASTER_CONTENT_SEPARATE__NOT_PLAINTEXT
6	PROSE	f10r	H1	f10r.2	12efe866f335461823a6	chair	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	OPAQUE_EXACT_CARD__EXEMPLAR_VALUE_UNKNOWN	DERIVED_FORMAL	READ_VISIBLE_EVENT_ONCE	S006	1	NONE	[EXEMPLAR:Gieße Quellwasser darüber]	Technischer Pflanzenmaterial-Rivale: Schnittgut im Mazeriergefäß mit Wasser bedecken.	MASTER_MEMORIZED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	NO	0	FORMAL_OPERATION_AND_MASTER_CONTENT_SEPARATE__NOT_PLAINTEXT
7	PROSE	f10r	H1	f10r.2	62ff059766b21c7de083	otytchol	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	OPAQUE_EXACT_CARD__EXEMPLAR_VALUE_UNKNOWN	DERIVED_FORMAL	READ_VISIBLE_EVENT_ONCE	S007	1	NONE	[EXEMPLAR:Fange den ersten Auszug in einem Glas auf]	Technischer Pflanzenmaterial-Rivale: Auszug umrühren und eine Prüfportion abnehmen.	MASTER_MEMORIZED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	NO	0	FORMAL_OPERATION_AND_MASTER_CONTENT_SEPARATE__NOT_PLAINTEXT
8	PROSE	f10r	H1	f10r.2	276a7c2d74d1143446f4	oky	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	OPAQUE_EXACT_CARD__EXEMPLAR_VALUE_UNKNOWN	DERIVED_FORMAL	READ_VISIBLE_EVENT_ONCE	S008	1	NONE	[EXEMPLAR:Gebrauche diesen Auszug innerlich]	Technischer Pflanzenmaterial-Rivale: aktive Prüfportion=dem lokalen Posten; Arbeitsziel=Musterstreifen dem lokalen Posten.	MASTER_MEMORIZED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	NO	0	FORMAL_OPERATION_AND_MASTER_CONTENT_SEPARATE__NOT_PLAINTEXT
9	PROSE	f10r	H1	f10r.2	2f1c5e56e8f0ff459065	daiin	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	FORMAL_PARAMETER_CHANNEL__NOT_A_WORD	DERIVED_FORMAL	READ_VISIBLE_EVENT_ONCE	S009	1	NONE	[EXEMPLAR:Nimm davon das örtlich vorgeschriebene kleine Maß]	Technischer Pflanzenmaterial-Rivale: Sollwert für die Prüfportion in das Losregister eintragen.	MASTER_MEMORIZED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	NO	0	FORMAL_OPERATION_AND_MASTER_CONTENT_SEPARATE__NOT_PLAINTEXT
10	PROSE	f10r	H1	f10r.2	a6939862e33ece5a0483	etyd	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	OPAQUE_EXACT_CARD__EXEMPLAR_VALUE_UNKNOWN	DERIVED_FORMAL	READ_VISIBLE_EVENT_ONCE	S010	1	NONE	[EXEMPLAR:Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen]	Technischer Pflanzenmaterial-Rivale: trockenen Rest als dem lokalen Posten verwahren.	MASTER_MEMORIZED	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	NO	0	FORMAL_OPERATION_AND_MASTER_CONTENT_SEPARATE__NOT_PLAINTEXT
