statement_id	record_unit_id	section	page	constituent_fields	physical_lines	event_serials	event_count	operational_sequence	master_exemplar_statement_text	owner_transition	visible_owner_resets	cross_physical_line_transitions	strongest_content_rival	notation_rival	strongest_contradiction	content_status	semantic_ceiling
H1-S001	H1	HERBAL	f10r	F001	f10r.2	1|2|3|4|5|6|7|8|9|10	10	E001:OPAQUE_EXEMPLAR_CARD > E002:OPAQUE_EXEMPLAR_CARD > E003:OPAQUE_EXEMPLAR_CARD > E004:OPAQUE_EXEMPLAR_CARD > E005:OPAQUE_EXEMPLAR_CARD > E006:OPAQUE_EXEMPLAR_CARD > E007:OPAQUE_EXEMPLAR_CARD > E008:OPAQUE_EXEMPLAR_CARD > E009:FORMAL_NONWORD_CHANNEL > E010:OPAQUE_EXEMPLAR_CARD	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel. Säubere ihn. Führe ihn als denselben Arbeitsansatz weiter. Zerschneide ihn. Gib die Stücke in ein Gefäß. Gieße Quellwasser darüber. Fange den ersten Auszug in einem Glas auf. Gebrauche diesen Auszug innerlich. Nimm davon das örtlich vorgeschriebene kleine Maß. Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.	SINGLE_FIELD_OWNER	0	0	A flower-, leaf-, or underground-part-specific subarticle.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	MASTER_EXEMPLAR_LOOKUP_NOT_CARD_TRANSLATION	CONTINUOUS_FORMAL_STATEMENT_PLUS_CREATIVE_SOURCE_EXPANSION
H1-S002	H1	HERBAL	f10r	F002	f10r.5	11|12|13|14	4	E011:OPAQUE_EXEMPLAR_CARD > E012:OPAQUE_EXEMPLAR_CARD > E013:FORMAL_LINK_OR_SLOT > E014:OPAQUE_EXEMPLAR_CARD	Nimm erneut von dem frischen ersten Auszug. Erwärme ihn gelinde. Führe ihn als denselben laufenden Ansatz fort. Sobald er zum Gebrauch bereit ist, gebrauche ihn.	SINGLE_FIELD_OWNER	0	0	A flower-, leaf-, or underground-part-specific subarticle.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	MASTER_EXEMPLAR_LOOKUP_NOT_CARD_TRANSLATION	CONTINUOUS_FORMAL_STATEMENT_PLUS_CREATIVE_SOURCE_EXPANSION
H2-S001	H2	HERBAL	f10r	F003	f10r.6	15|16|17|18|19|20|21|22|23	9	E015:OPAQUE_EXEMPLAR_CARD > E016:OPAQUE_EXEMPLAR_CARD > E017:OPAQUE_EXEMPLAR_CARD > E018:OPAQUE_EXEMPLAR_CARD > E019:OPAQUE_EXEMPLAR_CARD > E020:OPAQUE_EXEMPLAR_CARD > E021:OPAQUE_EXEMPLAR_CARD > E022:FORMAL_NONWORD_CHANNEL > E023:OPAQUE_EXEMPLAR_CARD	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze. Sammle sie, wenn sie sich eben öffnen. Führe sie als frischen Ansatz. Zerstoße das Kraut. Presse den Saft durch ein Tuch. Fange die erste Fraktion auf. Gib Olivenöl hinzu. Nimm das örtlich vorgeschriebene Maß. Erwärme gelinde.	SINGLE_FIELD_OWNER	0	0	A flower-, leaf-, or underground-part-specific subarticle.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	MASTER_EXEMPLAR_LOOKUP_NOT_CARD_TRANSLATION	CONTINUOUS_FORMAL_STATEMENT_PLUS_CREATIVE_SOURCE_EXPANSION
H2-S002	H2	HERBAL	f10r	F004	f10r.8	24|25|26|27|28|29|30|31	8	E024:OPAQUE_EXEMPLAR_CARD > E025:OPAQUE_EXEMPLAR_CARD > E026:OPAQUE_EXEMPLAR_CARD > E027:FORMAL_LINK_OR_SLOT > E028:OPAQUE_EXEMPLAR_CARD > E029:FORMAL_LINK_OR_SLOT > E030:FORMAL_NONWORD_CHANNEL > E031:OPAQUE_EXEMPLAR_CARD	Nimm vor voller Blüte eine zweite Portion der Spitzen. Führe den ersten Ansatz weiter. Nimm eine Handvoll. Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand. Nimm den vorherigen Posten hinzu. Führe beide als neuen aktiven Posten. Gib von beiden das gleiche örtliche Maß. Vereinige die beiden Fraktionen.	SINGLE_FIELD_OWNER	0	0	A flower-, leaf-, or underground-part-specific subarticle.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	MASTER_EXEMPLAR_LOOKUP_NOT_CARD_TRANSLATION	CONTINUOUS_FORMAL_STATEMENT_PLUS_CREATIVE_SOURCE_EXPANSION
H2-S003	H2	HERBAL	f10r	F005	f10r.9	32|33|34|35|36|37|38	7	E032:OPAQUE_EXEMPLAR_CARD > E033:OPAQUE_EXEMPLAR_CARD > E034:OPAQUE_EXEMPLAR_CARD > E035:OPAQUE_EXEMPLAR_CARD > E036:OPAQUE_EXEMPLAR_CARD > E037:OPAQUE_EXEMPLAR_CARD > E038:OPAQUE_EXEMPLAR_CARD	Gib sie in ein glasiertes Gefäß. Führe die Mischung als Salbenansatz. Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten. Rühre bei kleinem Feuer. Bis eine weiche Salbe entsteht. Bewahre sie bedeckt. Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung.	SINGLE_FIELD_OWNER	0	0	A flower-, leaf-, or underground-part-specific subarticle.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	MASTER_EXEMPLAR_LOOKUP_NOT_CARD_TRANSLATION	CONTINUOUS_FORMAL_STATEMENT_PLUS_CREATIVE_SOURCE_EXPANSION
H3-S001	H3	HERBAL	f11r	F006	f11r.1	39|40|41|42|43|44|45	7	E039:OPAQUE_EXEMPLAR_CARD > E040:OPAQUE_EXEMPLAR_CARD > E041:OPAQUE_EXEMPLAR_CARD > E042:OPAQUE_EXEMPLAR_CARD > E043:OPAQUE_EXEMPLAR_CARD > E044:OPAQUE_EXEMPLAR_CARD > E045:OPAQUE_EXEMPLAR_CARD	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze. Koche sie in reinem Wein. Wring den Ansatz durch ein feines Tuch. Lass den Auszug stehen. Seihe ihn nochmals durch ein Tuch. Warte, bis der örtlich verlangte klare Zustand erreicht ist. Lass ihn abkühlen; damit endet der erste Posten.	SINGLE_FIELD_OWNER	0	0	Several compressed shoots or separate specimens.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	MASTER_EXEMPLAR_LOOKUP_NOT_CARD_TRANSLATION	CONTINUOUS_FORMAL_STATEMENT_PLUS_CREATIVE_SOURCE_EXPANSION
H3-S002	H3	HERBAL	f11r	F007	f11r.1	46	1	E046:OPAQUE_EXEMPLAR_CARD	Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück.	SINGLE_FIELD_OWNER	0	0	Several compressed shoots or separate specimens.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	MASTER_EXEMPLAR_LOOKUP_NOT_CARD_TRANSLATION	CONTINUOUS_FORMAL_STATEMENT_PLUS_CREATIVE_SOURCE_EXPANSION
H3-S003	H3	HERBAL	f11r	F008	f11r.4	47|48|49|50|51	5	E047:OPAQUE_EXEMPLAR_CARD > E048:OPAQUE_EXEMPLAR_CARD > E049:OPAQUE_EXEMPLAR_CARD > E050:OPAQUE_EXEMPLAR_CARD > E051:FORMAL_NONWORD_CHANNEL	Nimm den ersten Auszug wieder auf. Nimm davon einen Anteil. Gib ihn als Trank. Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust. Gib ein kleines örtliches Maß.	SINGLE_FIELD_OWNER	0	0	Several compressed shoots or separate specimens.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	MASTER_EXEMPLAR_LOOKUP_NOT_CARD_TRANSLATION	CONTINUOUS_FORMAL_STATEMENT_PLUS_CREATIVE_SOURCE_EXPANSION
H3-S004	H3	HERBAL	f11r	F009	f11r.7	52|53|54|55	4	E052:OPAQUE_EXEMPLAR_CARD > E053:OPAQUE_EXEMPLAR_CARD > E054:OPAQUE_EXEMPLAR_CARD > E055:OPAQUE_EXEMPLAR_CARD	Nimm die zurückbehaltenen Blüten. Erwärme sie in Olivenöl. Warte, bis der örtliche Bereitschaftszustand erreicht ist. Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren.	SINGLE_FIELD_OWNER	0	0	Several compressed shoots or separate specimens.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	MASTER_EXEMPLAR_LOOKUP_NOT_CARD_TRANSLATION	CONTINUOUS_FORMAL_STATEMENT_PLUS_CREATIVE_SOURCE_EXPANSION
H4-S001	H4	HERBAL	f55v	F010	f55v.5	56|57|58|59|60	5	E056:FORMAL_RELATION_OR_ENTRY_MARK_WITH_ENTRY_BIAS > E057:FORMAL_NONWORD_CHANNEL > E058:OPAQUE_EXEMPLAR_CARD > E059:OPAQUE_EXEMPLAR_CARD > E060:OPAQUE_EXEMPLAR_CARD	Setze den ersten Posten an. Nimm ein örtlich vorgeschriebenes Maß. Zerstoße breite Blätter der unbenannten Pflanze. Gib Weißwein hinzu. Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten.	SINGLE_FIELD_OWNER	0	0	One pocket per leaf, inflorescence, root, or independent grotesque creature.	Formaler Satz-/Eintragsrahmen: genaue Kartenfolge und sichtbare Grenzen bleiben erhalten; die ausgeschriebene Sachhandlung stammt ausschließlich aus dem Masterexemplar.	Das Bild bestätigt nur die ganze Pflanze; exakte Art, Teilwahl, Wasser, Wein, Gerät, Indikation und Dosis sind unbebilderte Quellenargumente.	MASTER_EXEMPLAR_LOOKUP_NOT_CARD_TRANSLATION	CONTINUOUS_FORMAL_STATEMENT_PLUS_CREATIVE_SOURCE_EXPANSION
