u_size	primary	state	surface	events	recovered
115	0	P	aiiin	149	m
115	0	P	aiir	98	n
115	0	P	ail	2	y
115	0	P	air	26	q
115	0	P	al	169	a
115	0	P	aly	25	h
115	0	P	ar	232	t
115	0	P	ary	18	b
115	0	P	ch	694	e
115	0	P	chckh	143	a
115	0	P	chcph	25	p
115	0	P	chcth	203	s
115	0	P	ckh	141	u
115	0	P	cph	70	g
115	0	P	cth	246	l
115	0	P	d	56	m
115	0	P	da	13	v
115	0	P	dair	26	f
115	0	P	dal	71	d
115	0	P	daly	33	v
115	0	P	dar	79	d
115	0	P	dary	14	q
115	0	P	dch	179	p
115	0	P	dk	9	x
115	0	P	do	13	x
115	0	P	dol	103	b
115	0	P	dor	37	b
115	0	P	dsh	157	e
115	0	P	dyk	35	v
115	0	P	dyt	22	g
115	0	P	es	40	q
115	0	P	f	26	x
115	0	P	fch	137	u
115	0	P	k	700	i
115	0	P	kch	206	n
115	0	P	ksh	112	s
115	0	P	l	336	m
115	0	P	lch	288	c
115	0	P	lk	412	s
115	0	P	lkch	142	o
115	0	P	lpch	65	x
115	0	P	ls	324	a
115	0	P	lsh	150	e
115	0	P	lt	131	o
115	0	P	ly	26	f
115	0	P	o	188	d
115	0	P	och	122	c
115	0	P	ockh	53	l
115	0	P	octh	37	b
115	0	P	od	254	t
115	0	P	ody	123	o
115	0	P	of	27	q
115	0	P	ofch	74	p
115	0	P	oiiin	16	q
115	0	P	oiin	22	h
115	0	P	ok	272	e
115	0	P	okch	152	n
115	0	P	oksh	66	o
115	0	P	ol	311	e
115	0	P	olch	321	a
115	0	P	olk	287	u
115	0	P	olpch	11	y
115	0	P	olsh	138	i
115	0	P	olt	70	c
115	0	P	oly	173	n
115	0	P	op	277	u
115	0	P	opch	418	n
115	0	P	opsh	3	y
115	0	P	or	189	s
115	0	P	orch	36	g
115	0	P	ory	16	h
115	0	P	os	69	n
115	0	P	osh	43	f
115	0	P	ot	491	u
115	0	P	otch	97	r
115	0	P	otsh	79	d
115	0	P	p	276	u
115	0	P	pch	256	t
115	0	P	psh	25	b
115	0	P	q	65	m
115	0	P	qo	334	e
