page	physical_folio	split
f100r	f100	train
f100v	f100	train
f102r1	f102	train
f102v1	f102	train
f102v2	f102	train
f103r	f103	held
f103v	f103	held
f104r	f104	train
f104v	f104	train
f105r	f105	held
f105v	f105	held
f106r	f106	train
f106v	f106	train
f107r	f107	train
f107v	f107	train
f108r	f108	held
f108v	f108	held
f10r	f10	train
f10v	f10	train
f111r	f111	held
f111v	f111	held
f112r	f112	train
f112v	f112	train
f113r	f113	held
f113v	f113	held
f114r	f114	held
f114v	f114	held
f115r	f115	held
f115v	f115	held
f116r	f116	held
f11r	f11	train
f11v	f11	train
f13r	f13	train
f13v	f13	train
f14r	f14	train
f14v	f14	train
f15r	f15	train
f15v	f15	train
f16r	f16	train
f16v	f16	train
f17r	f17	train
f17v	f17	train
f18r	f18	held
f18v	f18	held
f19r	f19	train
f19v	f19	train
f1r	f1	held
f20r	f20	train
f20v	f20	train
f21r	f21	train
f21v	f21	train
f22r	f22	train
f22v	f22	train
f23r	f23	held
f23v	f23	held
f24r	f24	train
f24v	f24	train
f25r	f25	train
f25v	f25	train
f26r	f26	train
f26v	f26	train
f27r	f27	train
f28r	f28	held
f28v	f28	held
f29r	f29	train
f29v	f29	train
f2r	f2	train
f2v	f2	train
f30r	f30	held
f30v	f30	held
f31r	f31	train
f32r	f32	train
f32v	f32	train
f33r	f33	held
f33v	f33	held
f34r	f34	train
f34v	f34	train
f35r	f35	train
f35v	f35	train
f36r	f36	train
f36v	f36	train
f37r	f37	train
f37v	f37	train
f38r	f38	train
f38v	f38	train
f39r	f39	train
f39v	f39	train
f3r	f3	train
f3v	f3	train
f40r	f40	train
f40v	f40	train
f41r	f41	train
f41v	f41	train
f42r	f42	train
f42v	f42	train
f43r	f43	train
f43v	f43	train
f44r	f44	train
f44v	f44	train
f45r	f45	held
f45v	f45	held
f46r	f46	train
f46v	f46	train
f47r	f47	held
f47v	f47	held
f48r	f48	train
f48v	f48	train
f49r	f49	train
f49v	f49	train
f4r	f4	train
f4v	f4	train
f50r	f50	train
f50v	f50	train
f51r	f51	train
f51v	f51	train
f52r	f52	held
f52v	f52	held
f53r	f53	held
f53v	f53	held
f54v	f54	train
f55r	f55	train
f55v	f55	train
f56r	f56	train
f56v	f56	train
f58r	f58	train
f58v	f58	train
f5r	f5	train
f5v	f5	train
f66r	f66	train
f66v	f66	train
f6r	f6	train
f6v	f6	train
f75r	f75	train
f75v	f75	train
f76r	f76	train
f76v	f76	train
f77r	f77	train
f77v	f77	train
f78r	f78	train
f78v	f78	train
f79r	f79	train
f79v	f79	train
f7r	f7	train
f7v	f7	train
f80r	f80	train
f80v	f80	train
f81r	f81	held
f81v	f81	held
f82r	f82	train
f82v	f82	train
f83r	f83	train
f83v	f83	train
f85r1	f85	held
f85r2	f85	held
f86v3	f86	train
f86v5	f86	train
f86v6	f86	train
f87r	f87	train
f87v	f87	train
f88r	f88	held
f88v	f88	held
f89r1	f89	held
f89v1	f89	held
f8r	f8	train
f8v	f8	train
f90r1	f90	held
f93r	f93	train
f93v	f93	train
f94r	f94	train
f94v	f94	train
f95r1	f95	train
f95r2	f95	train
f95v1	f95	train
f95v2	f95	train
f96r	f96	train
f96v	f96	train
f99r	f99	train
f99v	f99	train
f9r	f9	train
f9v	f9	train
