split	dimension	value	unit	count	all_unit_exposure	rate_per_1000_units	within_unit_fraction
train	section	B	ol	664	9493	69.94627620351838	0.36383561643835616
train	section	C	ol	4	586	6.825938566552901	0.002191780821917808
train	section	H	ol	626	18460	33.91115926327194	0.343013698630137
train	section	P	ol	163	2304	70.74652777777777	0.08931506849315068
train	section	S	ol	244	9029	27.02403366928785	0.1336986301369863
train	section	T	ol	124	3463	35.807103667340456	0.06794520547945206
train	section	B	y	339	9493	35.710523543663754	0.21814671814671815
train	section	C	y	17	586	29.01023890784983	0.010939510939510939
train	section	H	y	688	18460	37.269772481040086	0.44272844272844275
train	section	P	y	90	2304	39.0625	0.05791505791505792
train	section	S	y	307	9029	34.001550559308896	0.19755469755469757
train	section	T	y	113	3463	32.63066705168929	0.07271557271557272
train	section	B	C	192	9493	20.225429263667966	0.1328719723183391
train	section	C	C	6	586	10.238907849829351	0.004152249134948097
train	section	H	C	833	18460	45.12459371614301	0.5764705882352941
train	section	P	C	28	2304	12.152777777777779	0.019377162629757784
train	section	S	C	303	9029	33.55853361391073	0.20968858131487889
train	section	T	C	83	3463	23.96765809991337	0.057439446366782006
train	section	B	d	205	9493	21.59485937006215	0.1791958041958042
train	section	C	d	17	586	29.01023890784983	0.01486013986013986
train	section	H	d	642	18460	34.77789815817985	0.5611888111888111
train	section	P	d	61	2304	26.475694444444443	0.05332167832167832
train	section	S	d	139	9029	15.394838852586112	0.1215034965034965
train	section	T	d	80	3463	23.101357204735777	0.06993006993006994
train	section	B	o	97	9493	10.21805540924892	0.08614564831261101
train	section	C	o	8	586	13.651877133105803	0.007104795737122558
train	section	H	o	608	18460	32.936078006500544	0.5399644760213144
train	section	P	o	105	2304	45.572916666666664	0.09325044404973357
train	section	S	o	243	9029	26.91327943293831	0.21580817051509768
train	section	T	o	65	3463	18.76985272884782	0.05772646536412078
train	currier	A	ol	665	16233	40.96593359206555	0.3643835616438356
train	currier	B	ol	1160	27102	42.80126927902	0.6356164383561644
train	currier	A	y	680	16233	41.889977206924165	0.4375804375804376
train	currier	B	y	874	27102	32.24854254298576	0.5624195624195624
train	currier	A	C	696	16233	42.87562372944003	0.48166089965397924
train	currier	B	C	749	27102	27.63633680171205	0.5183391003460207
train	currier	A	d	540	16233	33.26557013491037	0.47202797202797203
train	currier	B	d	604	27102	22.28617814183455	0.527972027972028
train	currier	A	o	627	16233	38.62502310109037	0.5568383658969804
train	currier	B	o	499	27102	18.411925319164638	0.44316163410301956
train	hand	1	ol	608	14614	41.603941426029834	0.33315068493150685
train	hand	2	ol	889	16783	52.970267532622294	0.48712328767123286
train	hand	3	ol	271	10097	26.839655343171238	0.14849315068493152
train	hand	5	ol	57	1841	30.961434003259097	0.03123287671232877
train	hand	1	y	572	14614	39.14055015738333	0.3680823680823681
train	hand	2	y	559	16783	33.30751355538342	0.35971685971685974
train	hand	3	y	340	10097	33.67336832722591	0.2187902187902188
train	hand	5	y	83	1841	45.084193373166755	0.05341055341055341
train	hand	1	C	642	14614	43.93047762419598	0.44429065743944635
train	hand	2	C	402	16783	23.952809390454625	0.2782006920415225
train	hand	3	C	348	10097	34.46568287610181	0.24083044982698962
train	hand	5	C	53	1841	28.788701792504074	0.03667820069204152
train	hand	1	d	521	14614	35.650745860134116	0.4554195804195804
train	hand	2	d	387	16783	23.059047846034677	0.3382867132867133
train	hand	3	d	163	10097	16.14340893334654	0.14248251748251747
train	hand	5	d	73	1841	39.652362846279196	0.06381118881118882
train	hand	1	o	588	14614	40.235390721226224	0.522202486678508
train	hand	2	o	240	16783	14.30018471071918	0.21314387211367672
train	hand	3	o	264	10097	26.146380112904822	0.2344582593250444
train	hand	5	o	34	1841	18.468223791417707	0.03019538188277087
held	section	B	ol	66	845	78.10650887573965	0.09269662921348315
held	section	C	ol	14	329	42.5531914893617	0.019662921348314606
held	section	H	ol	142	3036	46.772068511198945	0.199438202247191
held	section	P	ol	76	1279	59.421422986708365	0.10674157303370786
held	section	S	ol	382	15022	25.429370256956464	0.5365168539325843
held	section	T	ol	32	1168	27.397260273972602	0.0449438202247191
held	section	B	y	31	845	36.68639053254438	0.05595667870036101
held	section	C	y	4	329	12.158054711246201	0.007220216606498195
held	section	H	y	125	3036	41.17259552042161	0.22563176895306858
held	section	P	y	50	1279	39.09304143862393	0.09025270758122744
held	section	S	y	304	15022	20.236985754227135	0.5487364620938628
held	section	T	y	40	1168	34.24657534246575	0.07220216606498195
held	section	B	C	16	845	18.93491124260355	0.02250351617440225
held	section	C	C	13	329	39.51367781155015	0.01828410689170183
held	section	H	C	153	3036	50.39525691699605	0.21518987341772153
held	section	P	C	21	1279	16.419077404222048	0.029535864978902954
held	section	S	C	480	15022	31.953135401411263	0.6751054852320675
held	section	T	C	28	1168	23.972602739726028	0.03938115330520394
held	section	B	d	26	845	30.76923076923077	0.04355108877721943
held	section	C	d	8	329	24.316109422492403	0.01340033500837521
held	section	H	d	127	3036	41.83135704874835	0.21273031825795644
held	section	P	d	37	1279	28.928850664581706	0.06197654941373534
held	section	S	d	353	15022	23.498868326454534	0.5912897822445561
held	section	T	d	46	1168	39.38356164383562	0.07705192629815745
held	section	B	o	11	845	13.017751479289942	0.0180623973727422
held	section	C	o	12	329	36.474164133738604	0.019704433497536946
held	section	H	o	82	3036	27.009222661396574	0.13464696223316913
held	section	P	o	55	1279	43.00234558248632	0.090311986863711
held	section	S	o	413	15022	27.493010251630942	0.6781609195402298
held	section	T	o	36	1168	30.82191780821918	0.059113300492610835
held	currier	A	ol	223	4431	50.32723990069962	0.31320224719101125
held	currier	B	ol	489	17248	28.351113172541744	0.6867977528089888
held	currier	A	y	193	4431	43.55675919656962	0.3483754512635379
held	currier	B	y	361	17248	20.929962894248607	0.6516245487364621
held	currier	A	C	175	4431	39.494470774091624	0.24613220815752462
held	currier	B	C	536	17248	31.076066790352506	0.7538677918424754
held	currier	A	d	171	4431	38.591740013540964	0.2864321608040201
held	currier	B	d	426	17248	24.69851576994434	0.7135678391959799
held	currier	A	o	154	4431	34.75513428120063	0.25287356321839083
held	currier	B	o	455	17248	26.37987012987013	0.7471264367816092
held	hand	1	ol	223	4431	50.32723990069962	0.31320224719101125
held	hand	2	ol	107	2226	48.06828391734052	0.1502808988764045
held	hand	3	ol	362	14048	25.76879271070615	0.5084269662921348
held	hand	@	ol	20	974	20.53388090349076	0.028089887640449437
held	hand	1	y	193	4431	43.55675919656962	0.3483754512635379
held	hand	2	y	57	2226	25.606469002695416	0.10288808664259928
held	hand	3	y	283	14048	20.145216400911163	0.5108303249097473
held	hand	@	y	21	974	21.560574948665298	0.03790613718411552
held	hand	1	C	175	4431	39.494470774091624	0.24613220815752462
held	hand	2	C	56	2226	25.157232704402517	0.07876230661040788
held	hand	3	C	435	14048	30.965261958997722	0.6118143459915611
held	hand	@	C	45	974	46.20123203285421	0.06329113924050633
held	hand	1	d	171	4431	38.591740013540964	0.2864321608040201
held	hand	2	d	73	2226	32.79424977538185	0.12227805695142378
held	hand	3	d	322	14048	22.92141230068337	0.5393634840871022
held	hand	@	d	31	974	31.82751540041068	0.051926298157453935
held	hand	1	o	154	4431	34.75513428120063	0.25287356321839083
held	hand	2	o	42	2226	18.867924528301888	0.06896551724137931
held	hand	3	o	375	14048	26.694191343963553	0.6157635467980296
held	hand	@	o	38	974	39.01437371663244	0.06239737274220033
pooled	section	B	ol	730	10338	70.6132714258077	0.28774142688214427
pooled	section	C	ol	18	915	19.672131147540984	0.007094994087504927
pooled	section	H	ol	768	21496	35.72757722366952	0.30271974773354354
pooled	section	P	ol	239	3583	66.7038794306447	0.09420575482853764
pooled	section	S	ol	626	24051	26.028023782794893	0.24674812770989357
pooled	section	T	ol	156	4631	33.68602893543511	0.06148994875837603
pooled	section	B	y	370	10338	35.790288256916234	0.17552182163187854
pooled	section	C	y	21	915	22.950819672131146	0.009962049335863378
pooled	section	H	y	813	21496	37.820989951618905	0.38567362428842505
pooled	section	P	y	140	3583	39.07340217694669	0.06641366223908918
pooled	section	S	y	611	24051	25.404349091513865	0.2898481973434535
pooled	section	T	y	153	4631	33.038220686676745	0.07258064516129033
pooled	section	B	C	208	10338	20.11994583091507	0.09647495361781076
pooled	section	C	C	19	915	20.76502732240437	0.008812615955473098
pooled	section	H	C	986	21496	45.868998883513214	0.45732838589981445
pooled	section	P	C	49	3583	13.675690761931342	0.022727272727272728
pooled	section	S	C	783	24051	32.55581888486965	0.3631725417439703
pooled	section	T	C	111	4631	23.9689052040596	0.05148423005565863
pooled	section	B	d	231	10338	22.344747533372026	0.13268236645605974
pooled	section	C	d	25	915	27.3224043715847	0.014359563469270534
pooled	section	H	d	769	21496	35.77409750651284	0.4417001723147616
pooled	section	P	d	98	3583	27.351381523862685	0.056289488799540495
pooled	section	S	d	492	24051	20.45652987401771	0.28259620907524413
pooled	section	T	d	126	4631	27.207946447851437	0.07237219988512349
pooled	section	B	o	108	10338	10.44689495066744	0.0622478386167147
pooled	section	C	o	20	915	21.85792349726776	0.011527377521613832
pooled	section	H	o	690	21496	32.098995161890585	0.3976945244956772
pooled	section	P	o	160	3583	44.65531677365336	0.09221902017291066
pooled	section	S	o	656	24051	27.27537316535695	0.37809798270893374
pooled	section	T	o	101	4631	21.80954437486504	0.05821325648414986
pooled	currier	A	ol	888	20664	42.9732868757259	0.35001970831690976
pooled	currier	B	ol	1649	44350	37.1815107102593	0.6499802916830902
pooled	currier	A	y	873	20664	42.24738675958188	0.41413662239089183
pooled	currier	B	y	1235	44350	27.846674182638107	0.5858633776091081
pooled	currier	A	C	871	20664	42.150600077429345	0.4039888682745826
pooled	currier	B	C	1285	44350	28.974069898534385	0.5960111317254174
pooled	currier	A	d	711	20664	34.40766550522648	0.408385985066054
pooled	currier	B	d	1030	44350	23.22435174746336	0.591614014933946
pooled	currier	A	o	781	20664	37.795199380565236	0.4501440922190202
pooled	currier	B	o	954	44350	21.510710259301014	0.5498559077809798
pooled	hand	1	ol	831	19045	43.633499606195855	0.3275522270398108
pooled	hand	2	ol	996	19009	52.39623336314377	0.3925896728419393
pooled	hand	3	ol	633	24145	26.21660799337337	0.2495072920772566
pooled	hand	5	ol	57	1841	30.961434003259097	0.022467481277098935
pooled	hand	@	ol	20	974	20.53388090349076	0.007883326763894364
pooled	hand	1	y	765	19045	40.16802310317669	0.3629032258064516
pooled	hand	2	y	616	19009	32.405702561944345	0.2922201138519924
pooled	hand	3	y	623	24145	25.802443570097328	0.29554079696394686
pooled	hand	5	y	83	1841	45.084193373166755	0.03937381404174573
pooled	hand	@	y	21	974	21.560574948665298	0.009962049335863378
pooled	hand	1	C	817	19045	42.898398529797845	0.37894248608534326
pooled	hand	2	C	458	19009	24.093850281445633	0.212430426716141
pooled	hand	3	C	783	24145	32.42907434251398	0.3631725417439703
pooled	hand	5	C	53	1841	28.788701792504074	0.02458256029684601
pooled	hand	@	C	45	974	46.20123203285421	0.020871985157699443
pooled	hand	1	d	692	19045	36.33499606195852	0.3974727168294084
pooled	hand	2	d	460	19009	24.199063601451943	0.26421596783457785
pooled	hand	3	d	485	24145	20.086974528887968	0.2785755313038484
pooled	hand	5	d	73	1841	39.652362846279196	0.04192992533026996
pooled	hand	@	d	31	974	31.82751540041068	0.017805858701895463
pooled	hand	1	o	742	19045	38.96035704909425	0.4276657060518732
pooled	hand	2	o	282	19009	14.835078120890104	0.16253602305475504
pooled	hand	3	o	639	24145	26.465106647338995	0.368299711815562
pooled	hand	5	o	34	1841	18.468223791417707	0.019596541786743516
pooled	hand	@	o	38	974	39.01437371663244	0.02190201729106628
