split	metric	target_yes	target_total	target_rate	control_yes	control_total	control_rate	target_vs_control_odds_ratio
train	standalone	351	7094	0.04947843247815055	610	6269	0.09730419524645079	0.48320605027063096
train	chunk_initial	3202	7094	0.4513673526924161	2421	6269	0.3861859945764875	1.3075777884136053
train	chunk_final	2563	7094	0.36129123202706515	3634	6269	0.5796777795501675	0.41021325067627445
train	line_initial	687	7094	0.09684240202988441	465	6269	0.07417450949114691	1.3379171411053692
train	line_final	630	7094	0.08880744290950099	409	6269	0.06524166533737438	1.395824816120276
train	paragraph_initial	17	7094	0.0023963913166055823	18	6269	0.002871271335141171	0.8355466027666664
train	paragraph_final	71	7094	0.010008457851705666	66	6269	0.010527994895517626	0.9496587985233248
train	self_neighbor	86	7094	0.012122920778122357	82	6269	0.013080236082309779	0.9256616965113791
train	repeated_exact_frame	4359	7094	0.6144629264166902	4462	6269	0.7117562609666613	0.6455056378244955
train	same_unit_line_repeat	3284	7094	0.4629264166901607	2717	6269	0.43340245653214227	1.126812961860216
train	same_unit_paragraph_repeat	6667	7094	0.9398082886946716	5781	6269	0.9221566438028393	1.317804369958018
train	class_neighbor_comparison	1093	7094	0.1540738652382295	1317	6269	0.210081352687829	0.6849089435421031
held	standalone	146	3183	0.04586867734841345	269	3032	0.0887203166226913	0.49456347297617137
held	chunk_initial	1453	3183	0.4564875903235941	1252	3032	0.4129287598944591	1.194009207819553
held	chunk_final	1047	3183	0.3289349670122526	1662	3032	0.5481530343007915	0.40417413766102595
held	line_initial	295	3183	0.09267986176562991	163	3032	0.053759894459102904	1.795451116655259
held	line_final	204	3183	0.0640904806786051	130	3032	0.04287598944591029	1.5265521292047382
held	paragraph_initial	14	3183	0.004398366321080742	11	3032	0.0036279683377308707	1.2019931823014192
held	paragraph_final	30	3183	0.00942507068803016	39	3032	0.012862796833773086	0.7329750147013666
held	self_neighbor	31	3183	0.0097392397109645	48	3032	0.0158311345646438	0.614872830432401
held	repeated_exact_frame	1662	3183	0.5221489161168709	2070	3032	0.6827176781002638	0.5079432584378001
held	same_unit_line_repeat	1516	3183	0.47628023876845743	1487	3032	0.4904353562005277	0.9449060007811221
held	same_unit_paragraph_repeat	2844	3183	0.8934967012252591	2730	3032	0.9003957783641161	0.9282166569265152
held	class_neighbor_comparison	434	3183	0.13634935595350298	643	3032	0.2120712401055409	0.5868059926979731
pooled	standalone	497	10277	0.048360416463948626	879	9301	0.0945059671003118	0.48712139361195406
pooled	chunk_initial	4655	10277	0.45295319645811033	3673	9301	0.39490377378776476	1.268672403620489
pooled	chunk_final	3610	10277	0.351269825824657	5296	9301	0.5694011396624019	0.4095171408586671
pooled	line_initial	982	10277	0.09555317699717816	628	9301	0.06751962154607032	1.4586426388214382
pooled	line_final	834	10277	0.08115208718497616	539	9301	0.05795075798301258	1.435257874585365
pooled	paragraph_initial	31	10277	0.0030164444876909606	29	9301	0.0031179443070637565	0.9662952293755536
pooled	paragraph_final	101	10277	0.009827770750218935	105	9301	0.011289108697989464	0.8694362045442956
pooled	self_neighbor	117	10277	0.011384645324511044	130	9301	0.013976991721320288	0.8127418911150366
pooled	repeated_exact_frame	6021	10277	0.5858713632382991	6532	9301	0.7022900763358778	0.5997551750954361
pooled	same_unit_line_repeat	4800	10277	0.4670623722876326	4204	9301	0.45199440920331146	1.0625441031942966
pooled	same_unit_paragraph_repeat	9511	10277	0.9254646297557653	8511	9301	0.915062896462746	1.1524779471264444
pooled	class_neighbor_comparison	1527	10277	0.1485842171840031	1960	9301	0.21073002902913665	0.6536816688771281
