actual	predicted	count	row_fraction
ol	ol	358	0.5028089887640449
ol	y	116	0.16292134831460675
ol	C	101	0.14185393258426968
ol	d	64	0.0898876404494382
ol	o	73	0.10252808988764045
y	ol	40	0.07220216606498195
y	y	332	0.5992779783393501
y	C	41	0.0740072202166065
y	d	120	0.21660649819494585
y	o	21	0.03790613718411552
C	ol	11	0.015471167369901548
C	y	1	0.0014064697609001407
C	C	646	0.9085794655414908
C	d	18	0.02531645569620253
C	o	35	0.04922644163150492
d	ol	55	0.09212730318257957
d	y	32	0.05360134003350084
d	C	51	0.08542713567839195
d	d	368	0.6164154103852596
d	o	91	0.152428810720268
o	ol	109	0.17898193760262726
o	y	35	0.05747126436781609
o	C	54	0.08866995073891626
o	d	45	0.07389162561576355
o	o	366	0.6009852216748769
