split	unit	side	rank	neighbor	count	fraction
train	ol	left	1	<BOS>	675	0.3698630136986301
train	ol	left	2	d	107	0.05863013698630137
train	ol	left	3	Se	96	0.0526027397260274
train	ol	left	4	s	88	0.04821917808219178
train	ol	left	5	ot	81	0.04438356164383562
train	ol	left	6	qok	72	0.03945205479452055
train	ol	left	7	ok	64	0.03506849315068493
train	ol	left	8	t	55	0.030136986301369864
train	ol	left	9	T	51	0.027945205479452055
train	ol	left	10	E	51	0.027945205479452055
train	ol	left	11	p	48	0.0263013698630137
train	ol	left	12	k	44	0.02410958904109589
train	ol	left	13	l	41	0.022465753424657533
train	ol	left	14	qot	38	0.020821917808219178
train	ol	left	15	ol	29	0.01589041095890411
train	ol	right	1	<EOS>	962	0.5271232876712328
train	ol	right	2	y	87	0.04767123287671233
train	ol	right	3	dy	72	0.03945205479452055
train	ol	right	4	s	51	0.027945205479452055
train	ol	right	5	Cedy	51	0.027945205479452055
train	ol	right	6	aN	41	0.022465753424657533
train	ol	right	7	d	39	0.021369863013698632
train	ol	right	8	t	39	0.021369863013698632
train	ol	right	9	S	36	0.019726027397260273
train	ol	right	10	or	35	0.019178082191780823
train	ol	right	11	Sedy	30	0.01643835616438356
train	ol	right	12	ol	29	0.01589041095890411
train	ol	right	13	C	26	0.014246575342465753
train	ol	right	14	o	26	0.014246575342465753
train	ol	right	15	Cey	26	0.014246575342465753
train	y	left	1	<BOS>	424	0.2728442728442728
train	y	left	2	qok	110	0.07078507078507079
train	y	left	3	t	96	0.06177606177606178
train	y	left	4	al	90	0.05791505791505792
train	y	left	5	ol	87	0.055984555984555984
train	y	left	6	s	67	0.043114543114543116
train	y	left	7	qot	67	0.043114543114543116
train	y	left	8	ar	66	0.04247104247104247
train	y	left	9	or	46	0.029601029601029602
train	y	left	10	o	44	0.028314028314028315
train	y	left	11	dal	33	0.021235521235521235
train	y	left	12	p	30	0.019305019305019305
train	y	left	13	olk	28	0.018018018018018018
train	y	left	14	yt	24	0.015444015444015444
train	y	left	15	P	22	0.014157014157014158
train	y	right	1	<EOS>	1105	0.711068211068211
train	y	right	2	p	50	0.032175032175032175
train	y	right	3	Ce	38	0.02445302445302445
train	y	right	4	dy	25	0.016087516087516088
train	y	right	5	daN	22	0.014157014157014158
train	y	right	6	C	20	0.01287001287001287
train	y	right	7	S	19	0.012226512226512226
train	y	right	8	Se	17	0.010939510939510939
train	y	right	9	d	17	0.010939510939510939
train	y	right	10	s	15	0.009652509652509652
train	y	right	11	CEy	15	0.009652509652509652
train	y	right	12	Co	13	0.008365508365508366
train	y	right	13	Col	13	0.008365508365508366
train	y	right	14	Cey	13	0.008365508365508366
train	y	right	15	Cor	12	0.007722007722007722
train	C	left	1	<BOS>	998	0.6906574394463668
train	C	left	2	p	49	0.033910034602076124
train	C	left	3	t	36	0.02491349480968858
train	C	left	4	d	31	0.021453287197231833
train	C	left	5	ot	30	0.020761245674740483
train	C	left	6	ol	26	0.017993079584775088
train	C	left	7	k	25	0.01730103806228374
train	C	left	8	ok	24	0.01660899653979239
train	C	left	9	l	23	0.01591695501730104
train	C	left	10	y	20	0.01384083044982699
train	C	left	11	qok	19	0.01314878892733564
train	C	left	12	f	18	0.01245674740484429
train	C	left	13	op	15	0.010380622837370242
train	C	left	14	qot	13	0.008996539792387544
train	C	left	15	yt	12	0.008304498269896194
train	C	right	1	ody	106	0.07335640138408304
train	C	right	2	Ky	94	0.06505190311418685
train	C	right	3	ar	93	0.0643598615916955
train	C	right	4	ok	92	0.06366782006920416
train	C	right	5	k	84	0.05813148788927336
train	C	right	6	ot	72	0.04982698961937716
train	C	right	7	od	69	0.04775086505190312
train	C	right	8	al	66	0.045674740484429065
train	C	right	9	aN	66	0.045674740484429065
train	C	right	10	Edy	62	0.042906574394463666
train	C	right	11	d	61	0.04221453287197232
train	C	right	12	Ty	58	0.04013840830449827
train	C	right	13	K	51	0.03529411764705882
train	C	right	14	t	41	0.02837370242214533
train	C	right	15	s	39	0.02698961937716263
train	d	left	1	<BOS>	727	0.6354895104895105
train	d	left	2	C	61	0.05332167832167832
train	d	left	3	Ce	51	0.044580419580419584
train	d	left	4	e	42	0.03671328671328671
train	d	left	5	ol	39	0.03409090909090909
train	d	left	6	Se	36	0.03146853146853147
train	d	left	7	E	30	0.026223776223776224
train	d	left	8	S	22	0.019230769230769232
train	d	left	9	y	17	0.01486013986013986
train	d	left	10	l	11	0.009615384615384616
train	d	left	11	al	8	0.006993006993006993
train	d	left	12	a	8	0.006993006993006993
train	d	left	13	Col	7	0.006118881118881119
train	d	left	14	aN	6	0.005244755244755245
train	d	left	15	oky	6	0.005244755244755245
train	d	right	1	<EOS>	219	0.19143356643356643
train	d	right	2	ol	107	0.09353146853146853
train	d	right	3	am	86	0.07517482517482517
train	d	right	4	or	82	0.07167832167832168
train	d	right	5	air	72	0.06293706293706294
train	d	right	6	ai	66	0.057692307692307696
train	d	right	7	a	53	0.04632867132867133
train	d	right	8	o	37	0.032342657342657344
train	d	right	9	Cy	34	0.02972027972027972
train	d	right	10	C	31	0.027097902097902096
train	d	right	11	l	27	0.0236013986013986
train	d	right	12	S	27	0.0236013986013986
train	d	right	13	Sedy	23	0.020104895104895104
train	d	right	14	Col	21	0.018356643356643356
train	d	right	15	Cor	20	0.017482517482517484
train	o	left	1	<BOS>	378	0.33570159857904086
train	o	left	2	Ce	89	0.07904085257548846
train	o	left	3	e	70	0.06216696269982238
train	o	left	4	s	53	0.04706927175843695
train	o	left	5	Se	47	0.041740674955595025
train	o	left	6	E	42	0.037300177619893425
train	o	left	7	d	37	0.03285968028419183
train	o	left	8	t	35	0.03108348134991119
train	o	left	9	l	30	0.02664298401420959
train	o	left	10	T	30	0.02664298401420959
train	o	left	11	ol	26	0.023090586145648313
train	o	left	12	ok	24	0.021314387211367674
train	o	left	13	k	23	0.020426287744227355
train	o	left	14	ar	23	0.020426287744227355
train	o	left	15	p	23	0.020426287744227355
train	o	right	1	<EOS>	262	0.23268206039076378
train	o	right	2	daN	100	0.08880994671403197
train	o	right	3	N	92	0.08170515097690942
train	o	right	4	m	79	0.07015985790408526
train	o	right	5	E	53	0.04706927175843695
train	o	right	6	y	44	0.03907637655417407
train	o	right	7	i	41	0.03641207815275311
train	o	right	8	f	41	0.03641207815275311
train	o	right	9	aN	38	0.03374777975133215
train	o	right	10	e	30	0.02664298401420959
train	o	right	11	ar	29	0.02575488454706927
train	o	right	12	T	25	0.022202486678507993
train	o	right	13	Ky	21	0.018650088809946713
train	o	right	14	K	18	0.015985790408525755
train	o	right	15	Ty	16	0.014209591474245116
held	ol	left	1	<BOS>	288	0.4044943820224719
held	ol	left	2	p	38	0.05337078651685393
held	ol	left	3	E	37	0.05196629213483146
held	ol	left	4	d	35	0.04915730337078652
held	ol	left	5	Se	35	0.04915730337078652
held	ol	left	6	ok	27	0.037921348314606744
held	ol	left	7	qok	23	0.032303370786516857
held	ol	left	8	ot	22	0.03089887640449438
held	ol	left	9	T	19	0.026685393258426966
held	ol	left	10	k	17	0.023876404494382022
held	ol	left	11	l	14	0.019662921348314606
held	ol	left	12	qot	14	0.019662921348314606
held	ol	left	13	s	13	0.018258426966292134
held	ol	left	14	t	11	0.01544943820224719
held	ol	left	15	or	11	0.01544943820224719
held	ol	right	1	<EOS>	389	0.5463483146067416
held	ol	right	2	aN	27	0.037921348314606744
held	ol	right	3	dy	20	0.028089887640449437
held	ol	right	4	Cedy	20	0.028089887640449437
held	ol	right	5	y	18	0.025280898876404494
held	ol	right	6	s	16	0.02247191011235955
held	ol	right	7	or	14	0.019662921348314606
held	ol	right	8	p	14	0.019662921348314606
held	ol	right	9	Cey	13	0.018258426966292134
held	ol	right	10	Sedy	12	0.016853932584269662
held	ol	right	11	t	9	0.012640449438202247
held	ol	right	12	Sey	9	0.012640449438202247
held	ol	right	13	ar	9	0.012640449438202247
held	ol	right	14	ol	8	0.011235955056179775
held	ol	right	15	dar	7	0.009831460674157303
held	y	left	1	<BOS>	184	0.33212996389891697
held	y	left	2	qok	33	0.05956678700361011
held	y	left	3	ar	30	0.05415162454873646
held	y	left	4	o	27	0.048736462093862815
held	y	left	5	t	25	0.04512635379061372
held	y	left	6	s	23	0.04151624548736462
held	y	left	7	qot	21	0.03790613718411552
held	y	left	8	ol	18	0.032490974729241874
held	y	left	9	al	17	0.030685920577617327
held	y	left	10	or	16	0.02888086642599278
held	y	left	11	P	14	0.02527075812274368
held	y	left	12	air	13	0.023465703971119134
held	y	left	13	a	13	0.023465703971119134
held	y	left	14	p	12	0.021660649819494584
held	y	left	15	dar	10	0.018050541516245487
held	y	right	1	<EOS>	354	0.6389891696750902
held	y	right	2	Ce	25	0.04512635379061372
held	y	right	3	S	17	0.030685920577617327
held	y	right	4	p	16	0.02888086642599278
held	y	right	5	d	14	0.02527075812274368
held	y	right	6	CEy	12	0.021660649819494584
held	y	right	7	CE	11	0.019855595667870037
held	y	right	8	C	10	0.018050541516245487
held	y	right	9	Sey	8	0.01444043321299639
held	y	right	10	dar	7	0.01263537906137184
held	y	right	11	Se	6	0.010830324909747292
held	y	right	12	daN	5	0.009025270758122744
held	y	right	13	l	5	0.009025270758122744
held	y	right	14	Co	4	0.007220216606498195
held	y	right	15	f	4	0.007220216606498195
held	C	left	1	<BOS>	493	0.6933895921237694
held	C	left	2	p	36	0.05063291139240506
held	C	left	3	l	26	0.03656821378340366
held	C	left	4	ok	19	0.026722925457102673
held	C	left	5	t	16	0.02250351617440225
held	C	left	6	ot	14	0.01969057665260197
held	C	left	7	qot	13	0.01828410689170183
held	C	left	8	d	10	0.014064697609001406
held	C	left	9	y	10	0.014064697609001406
held	C	left	10	op	9	0.012658227848101266
held	C	left	11	qok	8	0.011251758087201125
held	C	left	12	k	7	0.009845288326300985
held	C	left	13	ol	6	0.008438818565400843
held	C	left	14	f	5	0.007032348804500703
held	C	left	15	al	5	0.007032348804500703
held	C	right	1	ar	58	0.08157524613220815
held	C	right	2	al	45	0.06329113924050633
held	C	right	3	ok	45	0.06329113924050633
held	C	right	4	Ky	40	0.05625879043600562
held	C	right	5	d	39	0.05485232067510549
held	C	right	6	Edy	37	0.052039381153305204
held	C	right	7	k	36	0.05063291139240506
