paragraph	locus	index	raw	role	D	H	status	row_status
f6v|f6v.6-f6v.21	f6v.6	1	tchody	HEADING	Bereitung	Bereitung	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.6	2	shocthol	MATERIAL	benetztes Krautpulver	benetztes Krautpulver	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.6	3	cho{cthh}y	OPEN	[ungelesen: cho{cthh}y]	[ungelesen: cho{cthh}y]	UNREAD	recorded
f6v|f6v.6-f6v.21	f6v.6	4	s	DISTRIBUTIVE	jeweils	jeweils	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.7	1	ychos	ACTION	zerkleinere	zerkleinere	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.7	2	ychol	ACTION	trockne	trockne	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.7	3	daiin	AMOUNT	Dosis Q	Dosis Q	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.7	4	cthol	MATERIAL	Krautpulver	Krautpulver	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.7	5	dol	AMOUNT	Portion	Portion	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.8	1	ychor	LINK	nimm	nimm	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.8	2	chor	MATERIAL	Blüten	Blüten	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.8	3	okchey	ACTION	zerstoße fein	zerstoße fein	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.8	4	qokom	ACTION	erwärme portionsweise	erwärme portionsweise	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.9	1	oeeo	ACTION	miss ab	miss ab	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.9	2	dal	AMOUNT	Maß	Maß	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.9	3	chor	MATERIAL	Blüten	Blüten	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.9	4	cthom	MATERIAL	Kräuterportion	Kräuterportion	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.9	5	s	DISTRIBUTIVE	jeweils	jeweils	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.10	1	qokchod	ACTION	trockne vollständig	trockne vollständig	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.10	2	ychear	MIX	durcharbeiten [U] / zwei Materialien vermischen [D]	durcharbeiten [U] / zwei Materialien vermischen [D]	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.10	3	kchdy	MATERIAL	feines Pulver	feines Pulver	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.11	1	lor	RELATION	mit	mit	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.11	2	char	MATERIAL	Blütenanteil	Blütenanteil	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.11	3	otam	MATERIAL	Ansatzmasse	Ansatzmasse	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.11	4	ctho	MATERIAL	Krautmehl	Krautmehl	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.11	5	m	LINK	danach	danach	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.11	6	dy	STATE	fertig	fertig	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.12	1	ytcho[s:r]	OPEN	[ungelesen: ytcho[s:r]]	[ungelesen: ytcho[s:r]]	UNREAD	recorded
f6v|f6v.6-f6v.21	f6v.12	2	shy	STATE	feucht	feucht	ASSUMED	recorded
