root	candidate_value_de	role_fit_0_3	process_order_fit_0_3	cross_register_breadth_0_3	avoids_local_overfit_0_3	total_0_12	selected_value	final_status	reason_de
CH	NEHMEN	3	3	3	3	12	YES	KEEP	CH geht stark vor K und T; ein entnommener Posten kann danach gegeben oder eingestellt werden.
CH	BEARBEITEN	3	3	2	2	10	NO	RIVAL	Breit möglich, erklärt aber die gerichtete CH→K/T-Folge schlechter.
CH	AUSWÄHLEN	2	3	2	2	9	NO	RIVAL	Kollidiert mit dem eigenständigen S-Kern und passt nicht zu allen Gradkomplementen.
K	GEBEN	3	3	3	3	12	YES	KEEP	K folgt CH 216-mal, aber CH folgt K nur 98-mal; der Übergang liest sich sparsam NEHMEN→GEBEN.
K	ZUORDNEN	3	3	2	3	11	NO	RIVAL	Im Himmelsregister stark, in stofflichen und körpernahen Folgen unnötig abstrakt.
K	ZUFÜHREN	3	2	2	2	9	NO	RIVAL	Technisch plausibel, doch Zielrichtung ist nicht in jeder K-Karte sichtbar.
S	WÄHLEN	3	3	3	3	12	YES	KEEP	S nimmt Wert, Posten, Ausgang, Ziel und Anteil; WÄHLEN deckt diese Objektbreite knapp.
S	PRÜFEN	3	3	3	2	11	NO	RIVAL	Bei Werten plausibel, bei Anteil/Ziel als universeller Befehl schwerer.
S	TRENNEN	2	2	3	1	8	NO	RIVAL	Zu stofflich und in Himmels- sowie Quellabschnitten überdehnt.
CHD	UMSETZEN	3	3	3	2	11	YES	KEEP_PROVISIONAL	Y und L dominieren, doch starke Bio- und Spätpositionslast lässt die konkrete Technik offen.
CHD	WEITERFÜHREN	3	2	2	3	10	NO	RIVAL	Erklärt Transfer, überschneidet sich aber mit OL=FORTSETZEN und L=VERBINDUNG.
CHD	ABSCHLIESSEN	2	3	3	2	10	NO	RIVAL	111 von 301 Fällen sind allein/letzt, aber 46 sind zuerst und 62 führen zu OK.
AIR	BAHN	3	3	3	3	12	YES	KEEP	Ein neutraler Kurs-/Leitungsraum passt zu neun Köpfen, fünf Registern und Ring wie Becken.
AIR	LAUF	3	3	3	2	11	NO	RIVAL	Weiterhin möglich, klingt bei statischen Himmels- und Adressfeldern zu prozessual.
AIR	WEG	3	3	3	2	11	NO	RIVAL	Weiterhin möglich, unterscheidet sich aber schlechter von L=VERBINDUNG.
