left_action	right_action	left_to_right_count	right_to_left_count	directional_delta	contains_remaining_target
OK	OK	127	127	0	NO
OK	CH	148	56	92	YES
OK	SH	117	93	24	NO
OK	K	52	91	-39	YES
OK	S	48	52	-4	YES
OK	CHD	59	62	-3	YES
OK	T	17	51	-34	NO
OK	R	15	13	2	NO
OK	P	10	2	8	NO
CH	OK	56	148	-92	YES
CH	CH	162	162	0	YES
CH	SH	51	116	-65	YES
CH	K	216	98	118	YES
CH	S	63	74	-11	YES
CH	CHD	12	17	-5	YES
CH	T	159	71	88	YES
CH	R	33	35	-2	YES
CH	P	60	48	12	YES
SH	OK	93	117	-24	NO
SH	CH	116	51	65	YES
SH	SH	64	64	0	NO
SH	K	55	74	-19	YES
SH	S	31	61	-30	YES
SH	CHD	25	36	-11	YES
SH	T	23	44	-21	NO
SH	R	7	28	-21	NO
SH	P	17	34	-17	NO
K	OK	91	52	39	YES
K	CH	98	216	-118	YES
K	SH	74	55	19	YES
K	K	50	50	0	YES
K	S	38	22	16	YES
K	CHD	32	14	18	YES
K	T	18	24	-6	YES
K	R	12	2	10	YES
K	P	8	9	-1	YES
S	OK	52	48	4	YES
S	CH	74	63	11	YES
S	SH	61	31	30	YES
S	K	22	38	-16	YES
S	S	31	31	0	YES
S	CHD	14	14	0	YES
S	T	8	24	-16	YES
S	R	12	10	2	YES
S	P	5	11	-6	YES
CHD	OK	62	59	3	YES
CHD	CH	17	12	5	YES
CHD	SH	36	25	11	YES
CHD	K	14	32	-18	YES
CHD	S	14	14	0	YES
CHD	CHD	23	23	0	YES
CHD	T	9	22	-13	YES
CHD	R	5	6	-1	YES
CHD	P	10	34	-24	YES
T	OK	51	17	34	NO
T	CH	71	159	-88	YES
T	SH	44	23	21	NO
T	K	24	18	6	YES
T	S	24	8	16	YES
T	CHD	22	9	13	YES
T	T	17	17	0	NO
T	R	8	7	1	NO
T	P	5	2	3	NO
R	OK	13	15	-2	NO
R	CH	35	33	2	YES
R	SH	28	7	21	NO
R	K	2	12	-10	YES
R	S	10	12	-2	YES
R	CHD	6	5	1	YES
R	T	7	8	-1	NO
R	R	2	2	0	NO
R	P	4	2	2	NO
P	OK	2	10	-8	NO
P	CH	48	60	-12	YES
P	SH	34	17	17	NO
P	K	9	8	1	YES
P	S	11	5	6	YES
P	CHD	34	10	24	YES
P	T	2	5	-3	NO
P	R	2	4	-2	NO
P	P	5	5	0	NO
