root	register	global_statement_id	physical_page	owner_de	event_count	surface_sequence	recipe_sequence	target_process_position	revised_literal_core_reading_de	reading_scope
CH	HERBAL	G407-S686	f95v	F95V_WHOLE_PLANT	1	tchody	T+CH+O+DY	2/2	EINSTELLEN · NEHMEN · AUSFÜHRUNG · SCHLUSS	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
CH	BIOLOGICAL	G407-S220	f76r	unbebilderter Textabschnitt A4	1	chorshedy	CH+OR+SH+E+DY	1/2	NEHMEN · EINHEIT · HALTEN · GRAD I · SCHLUSS	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
CH	CELESTIAL	G407-S053	f68r1	mehrteilige Sternstellentafel	3	cheey cheeteey yteody	SH+EE+Y | CH+EE+T+EE+Y | Y+T+E+O+DY	2/4	HALTEN · GRAD II · POSTEN | NEHMEN · GRAD II · EINSTELLEN · GRAD II · POSTEN | POSTEN · EINSTELLEN · GRAD I · AUSFÜHRUNG · SCHLUSS	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
CH	PHARMA	G407-S661	f88v	zweite Gefaess-/Zutatengruppe	1	cpheody	CH+P+E+O+DY	1/2	NEHMEN · EINSETZEN · GRAD I · AUSFÜHRUNG · SCHLUSS	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
CH	SOURCE_SECTION_T	G407-S002	f1r	F1R_TEXT_BLOCK_B	10	odar shol cphoy oydar sh s cfhoaiin shodary yshey shody	O+D_ADDR+AR | SH+OL | CH+P+O+Y | O+Y+D_ADDR+AR | SH | S | CH+LOCAL_CHAR_F+O+AIIN | SH+O+D_ADDR+AR+Y | Y+SH+E+Y | SH+O+DY	2/9|6/9	AUSFÜHRUNG · HIER · AUSGANG | HALTEN · FORTSETZEN | NEHMEN · EINSETZEN · AUSFÜHRUNG · POSTEN | AUSFÜHRUNG · POSTEN · HIER · AUSGANG | HALTEN | WÄHLEN | NEHMEN · HIER · AUSFÜHRUNG · WERT | HALTEN · AUSFÜHRUNG · HIER · AUSGANG · POSTEN | POSTEN · HALTEN · GRAD I · POSTEN | HALTEN · AUSFÜHRUNG · SCHLUSS	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
K	HERBAL	G407-S712	f95v	F95V_WHOLE_PLANT	1	kshedy	K+SH+E+DY	1/2	GEBEN · HALTEN · GRAD I · SCHLUSS	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
K	BIOLOGICAL	G407-S103	f75r	großes Bad-/Stationsblatt mit dreieckiger Insel	1	keedy	K+EE+DY	1/1	GEBEN · GRAD II · SCHLUSS	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
K	CELESTIAL	G407-S080	f72r	Tierkreis-Ringgruppe I	3	sheol shy ckhol	SH+E+OL | Y | CH+K+OL	3/3	HALTEN · GRAD I · FORTSETZEN | POSTEN | NEHMEN · GEBEN · FORTSETZEN	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
K	PHARMA	G407-S655	f88v	zweite Gefaess-/Zutatengruppe	1	kosholdy	K+O+SH+OL+DY	1/2	GEBEN · AUSFÜHRUNG · HALTEN · FORTSETZEN · SCHLUSS	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
K	SOURCE_SECTION_T	G407-S003	f1r	F1R_TEXT_BLOCK_B	12	okchoy otchol chocthy os chy dain chor kos daiin shos cfhol shody	OK+CH+O+Y | OT+CH+OL | CH+O+CH+T+Y | OS | Y | AIN | CH+OR | K+O+S | AIIN | SH+O+S | CH+LOCAL_CHAR_F+OL | SH+O+DY	8/13	SETZEN · NEHMEN · AUSFÜHRUNG · POSTEN | DANACH · NEHMEN · FORTSETZEN | NEHMEN · AUSFÜHRUNG · NEHMEN · EINSTELLEN · POSTEN | VORBEZUG | POSTEN | ANTEIL | NEHMEN · EINHEIT | GEBEN · AUSFÜHRUNG · WÄHLEN | WERT | HALTEN · AUSFÜHRUNG · WÄHLEN | NEHMEN · HIER · FORTSETZEN | HALTEN · AUSFÜHRUNG · SCHLUSS	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
