statement_id	page	record	owner_object_class	reset_here	reset_reason	input_object	phase_signature	transition_path	output_object	output_qualifiers	committed	corrected_complete_reading_de	transition_complete
H1-S001	f10r	H1	PLANT_MATERIAL	YES	RECORD_START	PICTURED_PLANT_MATTER	MATERIAL_PREP>ROUTE>MATERIAL_PREP>SPECIALIST>MATERIAL_PREP	PICTURED_PLANT_MATTER>PREPARATION_BATCH>TARGETED_TRANSFER_PORTION>PREPARATION_BATCH>PREPARATION_BATCH	PREPARATION_BATCH	SPECIALIST_PROCESSED	NO	Bei der ersten abgebildeten Pflanze: abnehmen; dann übertragen; dann ablaufen lassen; dann eintragen + abnehmen; dann Pflanzenstoff in den Ansatz geben; dann eintragen. Angaben: bereit · Arbeitsgang · Ansatz | von dort | Arbeitsfach | vorgeschriebenes Maß.	YES
H1-S002	f10r	H1	PLANT_MATERIAL	NO	CONTINUE_OPEN_OBJECT	PREPARATION_BATCH	SPECIALIST>MATERIAL_PREP	PREPARATION_BATCH>PREPARATION_BATCH	PREPARATION_BATCH	SPECIALIST_PROCESSED	NO	Bei der ersten abgebildeten Pflanze: Pflanzenstoff in den Ansatz geben; dann abnehmen. Angaben: fortsetzen | bereit · dieser Posten.	YES
H2-S001	f10r	H2	PLANT_MATERIAL	YES	RECORD_START	PICTURED_PLANT_MATTER	MATERIAL_PREP	PICTURED_PLANT_MATTER>PREPARATION_BATCH	PREPARATION_BATCH	UNCHANGED	NO	Bereite den Pflanzenstoff oder Ansatz vor. Vollfolge: abziehen.	YES
H2-S002	f10r	H2	PLANT_MATERIAL	NO	CONTINUE_OPEN_OBJECT	PREPARATION_BATCH	MATERIAL_PREP	PREPARATION_BATCH>PREPARATION_BATCH	PREPARATION_BATCH	UNCHANGED	NO	Bereite den Pflanzenstoff oder Ansatz vor. Vollfolge: abziehen.	YES
H2-S003	f10r	H2	PLANT_MATERIAL	NO	CONTINUE_OPEN_OBJECT	PREPARATION_BATCH	MEASURE_CHARGE>MATERIAL_PREP	PREPARATION_BATCH>MEASURED_PORTION>PREPARATION_BATCH>PREPARATION_BATCH	PREPARATION_BATCH	UNCHANGED	NO	Bei der ersten abgebildeten Pflanze: zugeben; dann zugeben; dann abziehen. Angaben: Ansatz | Ansatz | dieser Posten | dieser Posten.	YES
H3-S001	f11r	H3	PLANT_MATERIAL	YES	RECORD_START	PICTURED_PLANT_MATTER	MATERIAL_PREP>HOLD>MATERIAL_PREP>HOLD>MEASURE_CHARGE>HOLD>MATERIAL_PREP>CLOSE	PICTURED_PLANT_MATTER>PREPARATION_BATCH>PREPARATION_BATCH>MEASURED_PORTION>PREPARATION_BATCH>PREPARATION_BATCH	PREPARATION_BATCH	HELD_OR_ACTING|HELD_OR_ACTING|HELD_OR_ACTING	YES	Bei der abgebildeten Blütenpflanze: eintragen + halten; dann an Ort halten; dann auswringen; dann ziehen lassen; dann hineingeben; dann ziehen lassen; dann abschließend eintragen + abziehen.	YES
H3-S002	f11r	H3	PLANT_MATERIAL	YES	PREVIOUS_CELL_COMMITTED	PICTURED_PLANT_MATTER	HOLD>MATERIAL_PREP	PICTURED_PLANT_MATTER>PREPARATION_BATCH	PREPARATION_BATCH	HELD_OR_ACTING	NO	Bei der abgebildeten Blütenpflanze: halten + eintragen.	YES
H3-S003	f11r	H3	PLANT_MATERIAL	NO	CONTINUE_OPEN_OBJECT	PREPARATION_BATCH	MEASURE_CHARGE	PREPARATION_BATCH>MEASURED_PORTION>PREPARATION_BATCH	PREPARATION_BATCH	UNCHANGED	NO	Fülle eine abgemessene Portion des Pflanzenstoffs in den Ansatz ein. Vollfolge: zugeben.	YES
H3-S004	f11r	H3	PLANT_MATERIAL	NO	CONTINUE_OPEN_OBJECT	PREPARATION_BATCH	MEASURE_CHARGE	PREPARATION_BATCH>MEASURED_PORTION>PREPARATION_BATCH	PREPARATION_BATCH	UNCHANGED	NO	Fülle eine abgemessene Portion des Pflanzenstoffs in den Ansatz ein. Vollfolge: weiter beschicken.	YES
H4-S001	f55v	H4	PLANT_MATERIAL	YES	RECORD_START	PICTURED_PLANT_MATTER	MEASURE_CHARGE>CLOSE	PICTURED_PLANT_MATTER>MEASURED_PORTION>PREPARATION_BATCH	PREPARATION_BATCH	UNCHANGED	YES	Beschicke bis zum Sollmaß mit eine abgemessene Portion des Pflanzenstoffs und schließe den Schritt. Vollfolge: bis zum Sollmaß beschicken → dosiert zugeben → zugeben.	YES
H4-S002	f55v	H4	PLANT_MATERIAL	YES	PREVIOUS_CELL_COMMITTED	PICTURED_PLANT_MATTER	MEASURE_CHARGE>SETTLE	PICTURED_PLANT_MATTER>MEASURED_PORTION>PREPARATION_BATCH	PREPARATION_BATCH	SETTLED_OR_COLLECTED	NO	Bei der abgebildeten breitblättrigen Pflanze: abmessen und umsetzen; dann verwahren. Angaben: vorgeschriebenes Maß.	YES
H4-S003	f55v	H4	PLANT_MATERIAL	NO	CONTINUE_OPEN_OBJECT	PREPARATION_BATCH	MEASURE_CHARGE>MATERIAL_PREP>THERMAL>CLOSE	PREPARATION_BATCH>MEASURED_PORTION>PREPARATION_BATCH>PREPARATION_BATCH	PREPARATION_BATCH	TEMPERED	YES	Bei der abgebildeten breitblättrigen Pflanze: dosiert zugeben; dann entnehmen; dann temperieren. Angaben: fortsetzen; Schritt schließen.	YES
H4-S004	f55v	H4	PLANT_MATERIAL	YES	PREVIOUS_CELL_COMMITTED	PICTURED_PLANT_MATTER	APPLY>MATERIAL_PREP	PICTURED_PLANT_MATTER>APPLICATION_CHARGE>PREPARATION_BATCH	PREPARATION_BATCH	UNCHANGED	NO	Bei der abgebildeten breitblättrigen Pflanze: anlegen; dann eintragen. Angaben: vorgeschriebenes Maß | Ansatz | dieser Posten | Ansatz · Portion.	YES
H5-S001	f56r	H5	PLANT_MATERIAL	YES	RECORD_START	PICTURED_PLANT_MATTER	MATERIAL_PREP>ROUTE>MATERIAL_PREP>SPECIALIST	PICTURED_PLANT_MATTER>PREPARATION_BATCH>TARGETED_TRANSFER_PORTION>PREPARATION_BATCH	PREPARATION_BATCH	SPECIALIST_PROCESSED	NO	Bei der abgebildeten mehrköpfigen Pflanze: abziehen; dann zuführen; dann abziehen; dann Pflanzenstoff in den Ansatz geben. Angaben: Gabe | Gabe · bezeichnete Stelle · dieser Posten | vorgeschriebenes Maß | Gabe | bezeichnete Stelle.	YES
H5-S002	f56r	H5	PLANT_MATERIAL	NO	CONTINUE_OPEN_OBJECT	PREPARATION_BATCH	APPLY>ROUTE>CLOSE	PREPARATION_BATCH>APPLICATION_CHARGE>TARGETED_TRANSFER_PORTION	TARGETED_TRANSFER_PORTION	UNCHANGED	YES	Bei der abgebildeten mehrköpfigen Pflanze: anlegen; dann ablaufen lassen. Angaben: fortsetzen | Gabe · dieser Posten.	YES
H5-S003	f56r	H5	PLANT_MATERIAL	YES	PREVIOUS_CELL_COMMITTED	PICTURED_PLANT_MATTER	HOLD>MEASURE_CHARGE	PICTURED_PLANT_MATTER>MEASURED_PORTION>PREPARATION_BATCH	PREPARATION_BATCH	HELD_OR_ACTING	NO	Bei der abgebildeten mehrköpfigen Pflanze: ziehen lassen; dann zugeben; dann einsetzen + einsetzen. Angaben: Gabe.	YES
H5-S004	f56r	H5	PLANT_MATERIAL	NO	CONTINUE_OPEN_OBJECT	PREPARATION_BATCH	SPECIALIST>MATERIAL_PREP>ROUTE	PREPARATION_BATCH>PREPARATION_BATCH>TARGETED_TRANSFER_PORTION	TARGETED_TRANSFER_PORTION	SPECIALIST_PROCESSED	NO	Bei der abgebildeten mehrköpfigen Pflanze: Pflanzenstoff in den Ansatz geben; dann ansetzen + abziehen; dann zuführen.	YES
H5-S005	f56r	H5	PLANT_MATERIAL	NO	CONTINUE_OPEN_OBJECT	TARGETED_TRANSFER_PORTION	SPECIALIST>MEASURE_CHARGE	TARGETED_TRANSFER_PORTION>MEASURED_PORTION>PREPARATION_BATCH	PREPARATION_BATCH	SPECIALIST_PROCESSED	NO	Bei der abgebildeten mehrköpfigen Pflanze: ansetzen; dann zugeben. Angaben: Gabe | danach · Arbeitsgang · Portion.	YES
H5-S006	f56r	H5	PLANT_MATERIAL	NO	CONTINUE_OPEN_OBJECT	PREPARATION_BATCH	MEASURE_CHARGE	PREPARATION_BATCH>MEASURED_PORTION>PREPARATION_BATCH	PREPARATION_BATCH	UNCHANGED	NO	Fülle eine abgemessene Portion des Pflanzenstoffs ein. Vollfolge: zugeben.	YES
B1-S001	f81v	B1	BASIN_LIQUID	YES	RECORD_START	WORKING_LIQUID	HOLD>CLOSE	WORKING_LIQUID	WORKING_LIQUID	HELD_OR_ACTING	YES	Lass die Bad- oder Beckenflüssigkeit einwirken oder stehen; schließe danach den Schritt. Vollfolge: einwirken lassen.	YES
B1-S002	f81v	B1	BASIN_LIQUID	YES	PREVIOUS_CELL_COMMITTED	WORKING_LIQUID	MEASURE_CHARGE>ROUTE>APPLY>MEASURE_CHARGE>THERMAL>ROUTE>HOLD>APPLY>ROUTE>CLOSE	WORKING_LIQUID>MEASURED_PORTION>WORKING_LIQUID>TARGETED_TRANSFER_PORTION>APPLICATION_CHARGE>MEASURED_PORTION>WORKING_LIQUID>TARGETED_TRANSFER_PORTION>APPLICATION_CHARGE>TARGETED_TRANSFER_PORTION	TARGETED_TRANSFER_PORTION	TEMPERED|HELD_OR_ACTING	YES	Bei dem gemeinsamen Becken: bis zum Sollmaß beschicken; dann einspeisen; dann anlegen; dann dosiert zugeben; dann dosiert zugeben; dann abkühlen lassen; dann führen; dann zurückhalten; dann anlegen; dann durchleiten. Angaben: von dort | fortsetzen | bezeichnete Stelle | fortsetzen | fortsetzen · Ansatz | fortsetzen | vorgeschriebenes Maß | vorgeschriebenes Maß | Durchlass · dieser Posten.	YES
B1-S003	f81v	B1	BASIN_LIQUID	YES	PREVIOUS_CELL_COMMITTED	WORKING_LIQUID	HOLD>MEASURE_CHARGE>ROUTE>CLOSE	WORKING_LIQUID>MEASURED_PORTION>WORKING_LIQUID>TARGETED_TRANSFER_PORTION	TARGETED_TRANSFER_PORTION	HELD_OR_ACTING	YES	Bei dem gemeinsamen Becken: halten + zugeben + überführen. Angaben: fortsetzen.	YES
B1-S004	f81v	B1	BASIN_LIQUID	YES	PREVIOUS_CELL_COMMITTED	WORKING_LIQUID	ROUTE>SETTLE>CLOSE	WORKING_LIQUID>TARGETED_TRANSFER_PORTION	TARGETED_TRANSFER_PORTION	SETTLED_OR_COLLECTED	YES	Führe die Bad- oder Beckenflüssigkeit weiter, fange sie oder ihn auf, lass absetzen und schließe den Schritt. Vollfolge: umschöpfen → absetzen lassen.	YES
