record	page	statements	resets	committed_cells	start_object	final_object	object_path
H1	f10r	2	1	0	PICTURED_PLANT_MATTER	PREPARATION_BATCH	H1-S001:PICTURED_PLANT_MATTER--MATERIAL_PREP>ROUTE>MATERIAL_PREP>SPECIALIST>MATERIAL_PREP-->PREPARATION_BATCH || H1-S002:PREPARATION_BATCH--SPECIALIST>MATERIAL_PREP-->PREPARATION_BATCH
H2	f10r	3	1	0	PICTURED_PLANT_MATTER	PREPARATION_BATCH	H2-S001:PICTURED_PLANT_MATTER--MATERIAL_PREP-->PREPARATION_BATCH || H2-S002:PREPARATION_BATCH--MATERIAL_PREP-->PREPARATION_BATCH || H2-S003:PREPARATION_BATCH--MEASURE_CHARGE>MATERIAL_PREP-->PREPARATION_BATCH
H3	f11r	4	2	1	PICTURED_PLANT_MATTER	PREPARATION_BATCH	H3-S001:PICTURED_PLANT_MATTER--MATERIAL_PREP>HOLD>MATERIAL_PREP>HOLD>MEASURE_CHARGE>HOLD>MATERIAL_PREP>CLOSE-->PREPARATION_BATCH || H3-S002:PICTURED_PLANT_MATTER--HOLD>MATERIAL_PREP-->PREPARATION_BATCH || H3-S003:PREPARATION_BATCH--MEASURE_CHARGE-->PREPARATION_BATCH || H3-S004:PREPARATION_BATCH--MEASURE_CHARGE-->PREPARATION_BATCH
H4	f55v	4	3	2	PICTURED_PLANT_MATTER	PREPARATION_BATCH	H4-S001:PICTURED_PLANT_MATTER--MEASURE_CHARGE>CLOSE-->PREPARATION_BATCH || H4-S002:PICTURED_PLANT_MATTER--MEASURE_CHARGE>SETTLE-->PREPARATION_BATCH || H4-S003:PREPARATION_BATCH--MEASURE_CHARGE>MATERIAL_PREP>THERMAL>CLOSE-->PREPARATION_BATCH || H4-S004:PICTURED_PLANT_MATTER--APPLY>MATERIAL_PREP-->PREPARATION_BATCH
H5	f56r	6	2	1	PICTURED_PLANT_MATTER	PREPARATION_BATCH	H5-S001:PICTURED_PLANT_MATTER--MATERIAL_PREP>ROUTE>MATERIAL_PREP>SPECIALIST-->PREPARATION_BATCH || H5-S002:PREPARATION_BATCH--APPLY>ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || H5-S003:PICTURED_PLANT_MATTER--HOLD>MEASURE_CHARGE-->PREPARATION_BATCH || H5-S004:PREPARATION_BATCH--SPECIALIST>MATERIAL_PREP>ROUTE-->TARGETED_TRANSFER_PORTION || H5-S005:TARGETED_TRANSFER_PORTION--SPECIALIST>MEASURE_CHARGE-->PREPARATION_BATCH || H5-S006:PREPARATION_BATCH--MEASURE_CHARGE-->PREPARATION_BATCH
B1	f81v	21	18	17	WORKING_LIQUID	WORKING_LIQUID	B1-S001:WORKING_LIQUID--HOLD>CLOSE-->WORKING_LIQUID || B1-S002:WORKING_LIQUID--MEASURE_CHARGE>ROUTE>APPLY>MEASURE_CHARGE>THERMAL>ROUTE>HOLD>APPLY>ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B1-S003:WORKING_LIQUID--HOLD>MEASURE_CHARGE>ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B1-S004:WORKING_LIQUID--ROUTE>SETTLE>CLOSE-->TARGETED_TRANSFER_PORTION || B1-S005:WORKING_LIQUID--ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B1-S006:WORKING_LIQUID--MEASURE_CHARGE>ROUTE>THERMAL-->TARGETED_TRANSFER_PORTION || B1-S007:TARGETED_TRANSFER_PORTION--MEASURE_CHARGE>ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B1-S008:WORKING_LIQUID--HOLD>SETTLE>CLOSE-->WORKING_LIQUID || B1-S009:WORKING_LIQUID--HOLD>CLOSE-->WORKING_LIQUID || B1-S010:WORKING_LIQUID--HOLD>CLOSE-->WORKING_LIQUID || B1-S011:WORKING_LIQUID--ROUTE-->TARGETED_TRANSFER_PORTION || B1-S012:TARGETED_TRANSFER_PORTION--WASH>HOLD>WASH>CLOSE-->TARGETED_TRANSFER_PORTION || B1-S013:WORKING_LIQUID--WASH>CLOSE-->WORKING_LIQUID || B1-S014:WORKING_LIQUID--ROUTE>SETTLE>ROUTE-->TARGETED_TRANSFER_PORTION || B1-S015:TARGETED_TRANSFER_PORTION--ROUTE>MEASURE_CHARGE>ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B1-S016:WORKING_LIQUID--APPLY>HOLD>SETTLE>CLOSE-->APPLICATION_CHARGE || B1-S017:WORKING_LIQUID--ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B1-S018:WORKING_LIQUID--ROUTE>HOLD>SETTLE>HOLD>CLOSE-->TARGETED_TRANSFER_PORTION || B1-S019:WORKING_LIQUID--SETTLE>CLOSE-->WORKING_LIQUID || B1-S020:WORKING_LIQUID--HOLD>CLOSE-->WORKING_LIQUID || B1-S021:WORKING_LIQUID--STATE_ONLY-->WORKING_LIQUID
B2	f82r	22	22	19	WORKING_LIQUID	TARGETED_TRANSFER_PORTION	B2-S001:WORKING_LIQUID--ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B2-S002:WORKING_LIQUID--ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B2-S003:WORKING_LIQUID--MEASURE_CHARGE>HOLD>CLOSE-->WORKING_LIQUID || B2-S004:WORKING_LIQUID--APPLY>ROUTE>SPECIALIST>HOLD>ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B2-S005:WORKING_LIQUID--APPLY>SETTLE>ROUTE>HOLD>ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B2-S006:WORKING_LIQUID--APPLY>HOLD>MEASURE_CHARGE-->WORKING_LIQUID || B2-S007:WORKING_LIQUID--SETTLE>CLOSE-->WORKING_LIQUID || B2-S008:WORKING_LIQUID--MEASURE_CHARGE>SETTLE>CLOSE-->WORKING_LIQUID || B2-S009:WORKING_LIQUID--SETTLE>CLOSE-->WORKING_LIQUID || B2-S010:WORKING_LIQUID--HOLD>MEASURE_CHARGE>HOLD-->WORKING_LIQUID || B2-S011:TARGETED_TRANSFER_PORTION--MEASURE_CHARGE>HOLD>CLOSE-->TARGETED_TRANSFER_PORTION || B2-S012:TARGETED_TRANSFER_PORTION--ROUTE>MATERIAL_PREP>HOLD>ROUTE>MEASURE_CHARGE>CLOSE-->TARGETED_TRANSFER_PORTION || B2-S013:WORKING_LIQUID--ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B2-S014:WORKING_LIQUID--ROUTE-->TARGETED_TRANSFER_PORTION || B2-S015:WORKING_LIQUID--HOLD>CLOSE-->WORKING_LIQUID || B2-S016:WORKING_LIQUID--ROUTE>MATERIAL_PREP>MEASURE_CHARGE>HOLD>MEASURE_CHARGE>ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B2-S017:WORKING_LIQUID--THERMAL>SETTLE>CLOSE-->WORKING_LIQUID || B2-S018:WORKING_LIQUID--HOLD>CLOSE-->WORKING_LIQUID || B2-S019:WORKING_LIQUID--THERMAL>SETTLE>CLOSE-->WORKING_LIQUID || B2-S020:WORKING_LIQUID--CLOSE-->WORKING_LIQUID || B2-S021:WORKING_LIQUID--HOLD>CLOSE-->WORKING_LIQUID || B2-S022:WORKING_LIQUID--ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION
B3	f83r	34	32	31	WORKING_LIQUID	APPLICATION_CHARGE	B3-S001:WORKING_LIQUID--SETTLE>HOLD>CLOSE-->WORKING_LIQUID || B3-S002:WORKING_LIQUID--THERMAL>CLOSE-->WORKING_LIQUID || B3-S003:WORKING_LIQUID--ROUTE>MEASURE_CHARGE>CLOSE-->WORKING_LIQUID || B3-S004:WORKING_LIQUID--MEASURE_CHARGE-->WORKING_LIQUID || B3-S005:PREPARATION_BATCH--ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B3-S006:PREPARATION_BATCH--ROUTE>APPLY>ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B3-S007:PREPARATION_BATCH--MEASURE_CHARGE>ROUTE>HOLD>CLOSE-->TARGETED_TRANSFER_PORTION || B3-S008:PREPARATION_BATCH--ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B3-S009:PREPARATION_BATCH--MEASURE_CHARGE-->PREPARATION_BATCH || B3-S010:PREPARATION_BATCH--MEASURE_CHARGE>ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B3-S011:PREPARATION_BATCH--HOLD>SPECIALIST>MEASURE_CHARGE>ROUTE-->TARGETED_TRANSFER_PORTION || B3-S012:TARGETED_TRANSFER_PORTION--SETTLE>CLOSE-->TARGETED_TRANSFER_PORTION || B3-S013:PREPARATION_BATCH--MEASURE_CHARGE>HOLD>CLOSE-->PREPARATION_BATCH || B3-S014:PREPARATION_BATCH--ROUTE>SETTLE>CLOSE-->TARGETED_TRANSFER_PORTION || B3-S015:PREPARATION_BATCH--ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B3-S016:PREPARATION_BATCH--ROUTE>MEASURE_CHARGE>ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B3-S017:TARGETED_TRANSFER_PORTION--HOLD>CLOSE-->TARGETED_TRANSFER_PORTION || B3-S018:TARGETED_TRANSFER_PORTION--SETTLE>CLOSE-->TARGETED_TRANSFER_PORTION || B3-S019:TARGETED_TRANSFER_PORTION--HOLD>SETTLE>CLOSE-->TARGETED_TRANSFER_PORTION || B3-S020:TARGETED_TRANSFER_PORTION--ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B3-S021:TARGETED_TRANSFER_PORTION--MEASURE_CHARGE>SETTLE>HOLD>ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B3-S022:TARGETED_TRANSFER_PORTION--ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B3-S023:TARGETED_TRANSFER_PORTION--ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B3-S024:TARGETED_TRANSFER_PORTION--ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B3-S025:TARGETED_TRANSFER_PORTION--MEASURE_CHARGE>ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B3-S026:TARGETED_TRANSFER_PORTION--ROUTE>MEASURE_CHARGE>THERMAL>SETTLE>HOLD>CLOSE-->TARGETED_TRANSFER_PORTION || B3-S027:APPLICATION_CHARGE--CLOSE-->APPLICATION_CHARGE || B3-S028:APPLICATION_CHARGE--HOLD>CLOSE-->APPLICATION_CHARGE || B3-S029:APPLICATION_CHARGE--MEASURE_CHARGE>HOLD>CLOSE-->APPLICATION_CHARGE || B3-S030:APPLICATION_CHARGE--MEASURE_CHARGE>ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B3-S031:APPLICATION_CHARGE--HOLD>CLOSE-->APPLICATION_CHARGE || B3-S032:APPLICATION_CHARGE--MEASURE_CHARGE>CLOSE-->APPLICATION_CHARGE || B3-S033:APPLICATION_CHARGE--ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B3-S034:APPLICATION_CHARGE--MEASURE_CHARGE>SETTLE>CLOSE-->APPLICATION_CHARGE
B4	f83r	16	16	16	APPLICATION_CHARGE	TARGETED_TRANSFER_PORTION	B4-S001:APPLICATION_CHARGE--HOLD>CLOSE-->APPLICATION_CHARGE || B4-S002:APPLICATION_CHARGE--HOLD>CLOSE-->APPLICATION_CHARGE || B4-S003:APPLICATION_CHARGE--ROUTE>APPLY>MEASURE_CHARGE>SETTLE>CLOSE-->APPLICATION_CHARGE || B4-S004:APPLICATION_CHARGE--MEASURE_CHARGE>APPLY>CLOSE-->APPLICATION_CHARGE || B4-S005:APPLICATION_CHARGE--MEASURE_CHARGE>HOLD>CLOSE-->APPLICATION_CHARGE || B4-S006:APPLICATION_CHARGE--HOLD>CLOSE-->APPLICATION_CHARGE || B4-S007:APPLICATION_CHARGE--HOLD>CLOSE-->APPLICATION_CHARGE || B4-S008:APPLICATION_CHARGE--HOLD>CLOSE-->APPLICATION_CHARGE || B4-S009:APPLICATION_CHARGE--SETTLE>CLOSE-->APPLICATION_CHARGE || B4-S010:APPLICATION_CHARGE--CLOSE-->APPLICATION_CHARGE || B4-S011:WORKING_LIQUID--HOLD>MEASURE_CHARGE>ROUTE>MEASURE_CHARGE>CLOSE-->WORKING_LIQUID || B4-S012:WORKING_LIQUID--ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B4-S013:WORKING_LIQUID--MEASURE_CHARGE>SETTLE>CLOSE-->WORKING_LIQUID || B4-S014:WORKING_LIQUID--CLOSE-->WORKING_LIQUID || B4-S015:WORKING_LIQUID--MEASURE_CHARGE>HOLD>MEASURE_CHARGE>ROUTE>SETTLE>ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B4-S016:WORKING_LIQUID--MEASURE_CHARGE>ROUTE>SETTLE>CLOSE-->TARGETED_TRANSFER_PORTION
B5	f83r	3	3	2	WORKING_LIQUID	WORKING_LIQUID	B5-S001:WORKING_LIQUID--ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B5-S002:WORKING_LIQUID--MEASURE_CHARGE>ROUTE>CLOSE-->TARGETED_TRANSFER_PORTION || B5-S003:WORKING_LIQUID--SETTLE>ROUTE>MEASURE_CHARGE-->WORKING_LIQUID
