case_id	station_id	visible_owner_de	selected_input_id	selected_input_de	interchangeable_product_ids	interchangeable_products_de	rule_de
C1	B1:OWNER_01	gemeinsame zweireihige Figuren-/Beckenstation	H3	zweifach gezogener und ausgewrungener Bluetenauszug	H1|H2|H3|H5|H4	nach Mass aufgefangener Grundauszug | zweifach nachbeschickter standardisierter Zweitauszug | zweifach gezogener und ausgewrungener Bluetenauszug | mehrfach beschickter konzentrierter Pflanzenauszug | abgemessene warme Auflage oder dicke Waschzubereitung	Der konkrete Werkstattfall wählt ein Beispiel; dieselbe Station bleibt für andere kompatible Produkte lernbar.
C2	B2:OWNER_01	oberes Beckenpaar mit Zylinder	H2	zweifach nachbeschickter standardisierter Zweitauszug	H2|H5|H1|H3	zweifach nachbeschickter standardisierter Zweitauszug | mehrfach beschickter konzentrierter Pflanzenauszug | nach Mass aufgefangener Grundauszug | zweifach gezogener und ausgewrungener Bluetenauszug	Der konkrete Werkstattfall wählt ein Beispiel; dieselbe Station bleibt für andere kompatible Produkte lernbar.
C2	B2:OWNER_02	mittleres linkes Handgerät mit Inline-Knoten	H4	abgemessene warme Auflage oder dicke Waschzubereitung	H1|H2|H4	nach Mass aufgefangener Grundauszug | zweifach nachbeschickter standardisierter Zweitauszug | abgemessene warme Auflage oder dicke Waschzubereitung	Der konkrete Werkstattfall wählt ein Beispiel; dieselbe Station bleibt für andere kompatible Produkte lernbar.
C2	B2:OWNER_03	mittlere rechte unklare Station	H4	abgemessene warme Auflage oder dicke Waschzubereitung	H4|H5|H2|H3	abgemessene warme Auflage oder dicke Waschzubereitung | mehrfach beschickter konzentrierter Pflanzenauszug | zweifach nachbeschickter standardisierter Zweitauszug | zweifach gezogener und ausgewrungener Bluetenauszug	Der konkrete Werkstattfall wählt ein Beispiel; dieselbe Station bleibt für andere kompatible Produkte lernbar.
C2	B2:OWNER_04	unteres grünes Mehrfigurenbecken	H5	mehrfach beschickter konzentrierter Pflanzenauszug	H5|H1|H2|H3	mehrfach beschickter konzentrierter Pflanzenauszug | nach Mass aufgefangener Grundauszug | zweifach nachbeschickter standardisierter Zweitauszug | zweifach gezogener und ausgewrungener Bluetenauszug	Der konkrete Werkstattfall wählt ein Beispiel; dieselbe Station bleibt für andere kompatible Produkte lernbar.
C2	B2:OWNER_05	kleine Randstationen des unteren Beckens	H4	abgemessene warme Auflage oder dicke Waschzubereitung	H4|H3	abgemessene warme Auflage oder dicke Waschzubereitung | zweifach gezogener und ausgewrungener Bluetenauszug	Der konkrete Werkstattfall wählt ein Beispiel; dieselbe Station bleibt für andere kompatible Produkte lernbar.
C3	B3:OWNER_01	obere offene Fächerstation am Rand	H5	mehrfach beschickter konzentrierter Pflanzenauszug	H5	mehrfach beschickter konzentrierter Pflanzenauszug	Der konkrete Werkstattfall wählt ein Beispiel; dieselbe Station bleibt für andere kompatible Produkte lernbar.
C3	B3:OWNER_02	mittlere Randfigur im runden Gefäß	H3	zweifach gezogener und ausgewrungener Bluetenauszug	H3|H5|H1|H2|H4	zweifach gezogener und ausgewrungener Bluetenauszug | mehrfach beschickter konzentrierter Pflanzenauszug | nach Mass aufgefangener Grundauszug | zweifach nachbeschickter standardisierter Zweitauszug | abgemessene warme Auflage oder dicke Waschzubereitung	Der konkrete Werkstattfall wählt ein Beispiel; dieselbe Station bleibt für andere kompatible Produkte lernbar.
C3	B3:OWNER_03	untere Randfigur im korbartigen Gefäß	H2	zweifach nachbeschickter standardisierter Zweitauszug	H2|H5|H1|H3	zweifach nachbeschickter standardisierter Zweitauszug | mehrfach beschickter konzentrierter Pflanzenauszug | nach Mass aufgefangener Grundauszug | zweifach gezogener und ausgewrungener Bluetenauszug	Der konkrete Werkstattfall wählt ein Beispiel; dieselbe Station bleibt für andere kompatible Produkte lernbar.
C3	B3:OWNER_04	unverbundener Zwischenbereich	H1	nach Mass aufgefangener Grundauszug	H1|H2|H4|H5	nach Mass aufgefangener Grundauszug | zweifach nachbeschickter standardisierter Zweitauszug | abgemessene warme Auflage oder dicke Waschzubereitung | mehrfach beschickter konzentrierter Pflanzenauszug	Der konkrete Werkstattfall wählt ein Beispiel; dieselbe Station bleibt für andere kompatible Produkte lernbar.
C3	B3:OWNER_05	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	H4	abgemessene warme Auflage oder dicke Waschzubereitung	H3|H4|H5	zweifach gezogener und ausgewrungener Bluetenauszug | abgemessene warme Auflage oder dicke Waschzubereitung | mehrfach beschickter konzentrierter Pflanzenauszug	Der konkrete Werkstattfall wählt ein Beispiel; dieselbe Station bleibt für andere kompatible Produkte lernbar.
C4	B4:OWNER_01	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	H4	abgemessene warme Auflage oder dicke Waschzubereitung	H4|H3	abgemessene warme Auflage oder dicke Waschzubereitung | zweifach gezogener und ausgewrungener Bluetenauszug	Der konkrete Werkstattfall wählt ein Beispiel; dieselbe Station bleibt für andere kompatible Produkte lernbar.
