case_id	phase	statement_id	record	page	owner_or_station	input_product_id	output_or_working_product_id	source_operations_de	concrete_case_step_de	sequence_policy
C1	PREPARE_PRODUCT	H1-S001	H1	f10r	abgebildete breit gezähnte radialblütige Pflanze	RAW_PLANT_MATERIAL	H1	abziehen -> eintragen -> abziehen -> eintragen + abziehen -> ansetzen -> eintragen	Frischen Pflanzenteil kurz in den Wasseransatz geben, den ersten Auszug in das Auffangfach laufen lassen und nach Mass zurueck in die Charge eintragen.	SOURCE_RECORD_ORDER
C1	PREPARE_PRODUCT	H1-S002	H1	f10r	abgebildete breit gezähnte radialblütige Pflanze	RAW_PLANT_MATERIAL	H1	ansetzen -> abziehen	Eine weitere Pflanzenportion in denselben Ansatz geben, kurz abziehen und bis zum bereiten Grundauszug weiterarbeiten.	SOURCE_RECORD_ORDER
C1	OPERATE_OR_APPLY	B1-S001	B1	f81v	gemeinsame zweireihige Figuren-/Beckenstation	H3	H3	ansetzen	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einwirken lassen.	SOURCE_RECORD_ORDER__LOCAL_OWNER_ONLY
C1	OPERATE_OR_APPLY	B1-S002	B1	f81v	gemeinsame zweireihige Figuren-/Beckenstation	H3	H3	ansetzen -> zufuehren -> ansetzen -> zufuehren -> zufuehren -> abkuehlen -> fuehren -> halten -> ansetzen -> umsetzen	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: setze nach Maß an → einspeisen → anlegen → dosiert zugeben → dosiert zugeben → abkühlen lassen → führen → zurückhalten → anlegen → durchleiten. Angaben: davon | fort | Ziel | fort | fort · Ansatz | fort | Maß | Maß | Durchlass · dies.	SOURCE_RECORD_ORDER__LOCAL_OWNER_ONLY
C1	OPERATE_OR_APPLY	B1-S003	B1	f81v	gemeinsame zweireihige Figuren-/Beckenstation	H3	H3	halten + zufuehren + umsetzen	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: halten + zugeben + überführen. Angaben: fort.	SOURCE_RECORD_ORDER__LOCAL_OWNER_ONLY
C1	OPERATE_OR_APPLY	B1-S004	B1	f81v	gemeinsame zweireihige Figuren-/Beckenstation	H3	H3	umsetzen -> absetzen	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: umschöpfen → absetzen lassen. Angaben: fort.	SOURCE_RECORD_ORDER__LOCAL_OWNER_ONLY
C1	OPERATE_OR_APPLY	B1-S005	B1	f81v	gemeinsame zweireihige Figuren-/Beckenstation	H3	H3	umsetzen	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: führe zur nächsten Station.	SOURCE_RECORD_ORDER__LOCAL_OWNER_ONLY
C1	OPERATE_OR_APPLY	B1-S006	B1	f81v	gemeinsame zweireihige Figuren-/Beckenstation	H3	H3	ansetzen -> fuehren -> abkuehlen	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: gib einen Teil hinein → durchleiten → abkühlen lassen. Angaben: Durchlass · dies.	SOURCE_RECORD_ORDER__LOCAL_OWNER_ONLY
C1	OPERATE_OR_APPLY	B1-S007	B1	f81v	gemeinsame zweireihige Figuren-/Beckenstation	H3	H3	ansetzen + umsetzen	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einsetzen + überführen.	SOURCE_RECORD_ORDER__LOCAL_OWNER_ONLY
C1	OPERATE_OR_APPLY	B1-S008	B1	f81v	gemeinsame zweireihige Figuren-/Beckenstation	H3	H3	waermen -> absetzen	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: warm halten → absetzen lassen. Angaben: dies | fort | fort.	SOURCE_RECORD_ORDER__LOCAL_OWNER_ONLY
C1	OPERATE_OR_APPLY	B1-S009	B1	f81v	gemeinsame zweireihige Figuren-/Beckenstation	H3	H3	ansetzen	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einwirken lassen.	SOURCE_RECORD_ORDER__LOCAL_OWNER_ONLY
C1	OPERATE_OR_APPLY	B1-S010	B1	f81v	gemeinsame zweireihige Figuren-/Beckenstation	H3	H3	ansetzen	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einwirken lassen.	SOURCE_RECORD_ORDER__LOCAL_OWNER_ONLY
C1	OPERATE_OR_APPLY	B1-S011	B1	f81v	gemeinsame zweireihige Figuren-/Beckenstation	H3	H3	ansetzen	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einleiten. Angaben: Durchlass · dies.	SOURCE_RECORD_ORDER__LOCAL_OWNER_ONLY
C1	OPERATE_OR_APPLY	B1-S012	B1	f81v	gemeinsame zweireihige Figuren-/Beckenstation	H3	H3	waschen -> ansetzen -> waschen	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: waschen → wirken lassen → durchwaschen.	SOURCE_RECORD_ORDER__LOCAL_OWNER_ONLY
C1	OPERATE_OR_APPLY	B1-S013	B1	f81v	gemeinsame zweireihige Figuren-/Beckenstation	H3	H3	waschen	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: durchwaschen.	SOURCE_RECORD_ORDER__LOCAL_OWNER_ONLY
