page	start	end	source	predicate
f17r	f17r.4:1	f17r.4:1	tcho	OPEN_PREFIX
f17r	f17r.4:2	f17r.6:5	shol qokol qor olaiin opydg som ypchy ypaim ychekchy cthy chor shor cphor cphaldy dair cthey qody tsho qof cho qokcheor cheteg	shol
f21r	f21r.8:1	f21r.9:1	fcho kshy otor sheol ocphal opsheas cthodaiin oty okaiin	OPEN_PREFIX
f21r	f21r.9:2	f21r.9:3	sho tshaiin	sho
f21r	f21r.9:4	f21r.10:9	chkaiin sh cthey cthody cthy s totchy keor chy ky qotaiin qotchol ty ctheey otaiin	chkaiin
f21r	f21r.11:1	f21r.11:1	shol	shol
f21r	f21r.11:2	f21r.11:2	chol	chol
f21r	f21r.11:3	f21r.11:6	shol tchol chcthy otyky	shol
f21r	f21r.11:7	f21r.12:5	shey yteol shody ykeey chor sheey ysheol chor	shey
f21r	f21r.12:6	f21r.12:7	chol daiin	chol
f21r	f21r.12:8	f21r.12:8	chkaiin	chkaiin
f32v	f32v.7:1	f32v.8:9	ksho cphos she sheaiin otshcho r dain shckhy s odan otchol daiin daiin ctho daiin qotaiin otchy d shan	OPEN_PREFIX
f32v	f32v.9:1	f32v.9:7	qotchy cfhy skey chocthy daiin cthaiin daiin	qotchy
f32v	f32v.10:1	f32v.10:3	sho keol chor	sho
f32v	f32v.10:4	f32v.11:1	chol daiin cpho l cthol da ar ol	chol
f32v	f32v.11:2	f32v.11:3	sho chy	sho
f29v	f29v.1:1	f29v.2:2	kooiin shor chetchy ol ls shytchy cthy shy cho shy daiin qotcheaiin s	OPEN_PREFIX
f29v	f29v.2:3	f29v.2:3	chol	chol
f29v	f29v.2:4	f29v.2:9	chol cthy chey cthold ytchor dary	chol
f29v	f29v.3:1	f29v.3:1	chol	chol
f29v	f29v.3:2	f29v.3:3	chol kor	chol
f29v	f29v.3:4	f29v.3:5	shey odaiin	shey
f29v	f29v.3:6	f29v.4:7	qotchy taiin s she otey sy ysho otshy okaiin cthy oltchy s shot	qotchy
f29v	f29v.4:8	f29v.4:9	sho okaiin	sho
