page	locus	position	word	mention	subject	subject_word	subject_value	right_argument	right_word	right_value	right_status	D_arity	I_arity	I_agent	nearest_prior_unclaimed_place	initial_location_of_material	later_same_mention_reference
f17r	f17r.4	2	shol	f17r.4:2	f17r.4:1	tcho	Pflanzenmaterial	NA	NA	NA	NOT_REQUIRED	1	2	IMPLICIT_ADDRESSEE:f17r	NONE	UNESTABLISHED_NOT_OBLIGATORY_VALENCY	NOT_IDENTIFIED
f21r	f21r.9	2	sho	f21r.9:2	f21r.9:1	okaiin	Ansatz	f21r.9:3	tshaiin	Flüssigauszug	HYPOTHETICAL_TYPE_MATCH	2	3	IMPLICIT_ADDRESSEE:f21r	NONE	UNESTABLISHED_NOT_OBLIGATORY_VALENCY	NOT_IDENTIFIED
f21r	f21r.9	4	chkaiin	f21r.9:4	f21r.9:1	okaiin	Ansatz	NA	NA	NA	NOT_REQUIRED	1	2	IMPLICIT_ADDRESSEE:f21r	NONE	UNESTABLISHED_NOT_OBLIGATORY_VALENCY	NOT_IDENTIFIED
f21r	f21r.11	1	shol	f21r.11:1	f21r.10:6	qotchol	Trockenmaterial	NA	NA	NA	NOT_REQUIRED	1	2	IMPLICIT_ADDRESSEE:f21r	NONE	UNESTABLISHED_NOT_OBLIGATORY_VALENCY	NOT_IDENTIFIED
f21r	f21r.11	2	chol	f21r.11:2	f21r.10:6	qotchol	Trockenmaterial	NA	NA	NA	NOT_REQUIRED	1	2	IMPLICIT_ADDRESSEE:f21r	NONE	UNESTABLISHED_NOT_OBLIGATORY_VALENCY	NOT_IDENTIFIED
f21r	f21r.11	3	shol	f21r.11:3	f21r.10:6	qotchol	Trockenmaterial	NA	NA	NA	NOT_REQUIRED	1	2	IMPLICIT_ADDRESSEE:f21r	NONE	UNESTABLISHED_NOT_OBLIGATORY_VALENCY	NOT_IDENTIFIED
f21r	f21r.11	7	shey	f21r.11:7	f21r.10:6	qotchol	Trockenmaterial	NA	NA	NA	NOT_REQUIRED	1	2	IMPLICIT_ADDRESSEE:f21r	NONE	UNESTABLISHED_NOT_OBLIGATORY_VALENCY	NOT_IDENTIFIED
f21r	f21r.12	6	chol	f21r.12:6	f21r.12:5	chor	Blüten	NA	NA	NA	NOT_REQUIRED	1	2	IMPLICIT_ADDRESSEE:f21r	NONE	UNESTABLISHED_NOT_OBLIGATORY_VALENCY	NOT_IDENTIFIED
f21r	f21r.12	8	chkaiin	f21r.12:8	f21r.12:5	chor	Blüten	NA	NA	NA	NOT_REQUIRED	1	2	IMPLICIT_ADDRESSEE:f21r	NONE	UNESTABLISHED_NOT_OBLIGATORY_VALENCY	NOT_IDENTIFIED
f32v	f32v.9	1	qotchy	f32v.9:1	f32v.8:9	shan	Feinanteil	f32v.9:2	cfhy	Filterstelle	HYPOTHETICAL_TYPE_MATCH	2	3	IMPLICIT_ADDRESSEE:f32v	NONE	UNESTABLISHED_NOT_OBLIGATORY_VALENCY	NOT_IDENTIFIED
f32v	f32v.10	1	sho	f32v.10:1	f32v.9:6	cthaiin	Pflanzenportion	f32v.10:2	keol	Öl	HYPOTHETICAL_TYPE_MATCH	2	3	IMPLICIT_ADDRESSEE:f32v	NONE	UNESTABLISHED_NOT_OBLIGATORY_VALENCY	NOT_IDENTIFIED
f32v	f32v.10	4	chol	f32v.10:4	f32v.10:3	chor	Blüten	NA	NA	NA	NOT_REQUIRED	1	2	IMPLICIT_ADDRESSEE:f32v	NONE	UNESTABLISHED_NOT_OBLIGATORY_VALENCY	NOT_IDENTIFIED
f32v	f32v.11	2	sho	f32v.11:2	f32v.10:8	cthol	Trockenmaterial	f32v.11:3	chy	Wasser	HYPOTHETICAL_TYPE_MATCH	2	3	IMPLICIT_ADDRESSEE:f32v	NONE	UNESTABLISHED_NOT_OBLIGATORY_VALENCY	NOT_IDENTIFIED
f29v	f29v.2	3	chol	f29v.2:3	f29v.2:1	qotcheaiin	Feinpulver	NA	NA	NA	NOT_REQUIRED	1	2	IMPLICIT_ADDRESSEE:f29v	f29v.1:9	UNESTABLISHED_NOT_OBLIGATORY_VALENCY	NOT_IDENTIFIED
f29v	f29v.2	4	chol	f29v.2:4	f29v.2:1	qotcheaiin	Feinpulver	NA	NA	NA	NOT_REQUIRED	1	2	IMPLICIT_ADDRESSEE:f29v	f29v.1:9	UNESTABLISHED_NOT_OBLIGATORY_VALENCY	NOT_IDENTIFIED
f29v	f29v.3	1	chol	f29v.3:1	f29v.2:8	ytchor	zerkleinerte Blüten	NA	NA	NA	NOT_REQUIRED	1	2	IMPLICIT_ADDRESSEE:f29v	f29v.1:9	UNESTABLISHED_NOT_OBLIGATORY_VALENCY	NOT_IDENTIFIED
f29v	f29v.3	2	chol	f29v.3:2	f29v.2:8	ytchor	zerkleinerte Blüten	NA	NA	NA	NOT_REQUIRED	1	2	IMPLICIT_ADDRESSEE:f29v	f29v.1:9	UNESTABLISHED_NOT_OBLIGATORY_VALENCY	NOT_IDENTIFIED
f29v	f29v.3	4	shey	f29v.3:4	f29v.2:8	ytchor	zerkleinerte Blüten	NA	NA	NA	NOT_REQUIRED	1	2	IMPLICIT_ADDRESSEE:f29v	f29v.3:3	UNESTABLISHED_NOT_OBLIGATORY_VALENCY	NOT_IDENTIFIED
f29v	f29v.3	6	qotchy	f29v.3:6	f29v.3:5	odaiin	Zusatzportion	f29v.3:7	taiin	Auffanggefäß	HYPOTHETICAL_TYPE_MATCH	2	3	IMPLICIT_ADDRESSEE:f29v	f29v.3:3	UNESTABLISHED_NOT_OBLIGATORY_VALENCY	NOT_IDENTIFIED
f29v	f29v.4	8	sho	f29v.4:8	f29v.4:4	cthy	Kraut	f29v.4:9	okaiin	Ansatz	HYPOTHETICAL_TYPE_MATCH	2	3	IMPLICIT_ADDRESSEE:f29v	f29v.3:3	UNESTABLISHED_NOT_OBLIGATORY_VALENCY	NOT_IDENTIFIED
