model	predicate	word	role	target	status
D0	f17r.4:2	shol	bearer	f17r.4:1	HYPOTHETICAL_TOPIC_BINDING
I0	f17r.4:2	shol	agent	IMPLICIT_ADDRESSEE:f17r	SHARED_IMPLICIT_AGENT
I0	f17r.4:2	shol	material	f17r.4:1	HYPOTHETICAL_TOPIC_BINDING
D0	f21r.9:2	sho	bearer	f21r.9:1	HYPOTHETICAL_TOPIC_BINDING
D0	f21r.9:2	sho	content	f21r.9:3	HYPOTHETICAL_TYPE_MATCH
I0	f21r.9:2	sho	agent	IMPLICIT_ADDRESSEE:f21r	SHARED_IMPLICIT_AGENT
I0	f21r.9:2	sho	material	f21r.9:3	HYPOTHETICAL_TYPE_MATCH
I0	f21r.9:2	sho	recipient	f21r.9:1	HYPOTHETICAL_TOPIC_BINDING
D0	f21r.9:4	chkaiin	bearer	f21r.9:1	HYPOTHETICAL_TOPIC_BINDING
I0	f21r.9:4	chkaiin	agent	IMPLICIT_ADDRESSEE:f21r	SHARED_IMPLICIT_AGENT
I0	f21r.9:4	chkaiin	material	f21r.9:1	HYPOTHETICAL_TOPIC_BINDING
D0	f21r.11:1	shol	bearer	f21r.10:6	HYPOTHETICAL_TOPIC_BINDING
I0	f21r.11:1	shol	agent	IMPLICIT_ADDRESSEE:f21r	SHARED_IMPLICIT_AGENT
I0	f21r.11:1	shol	material	f21r.10:6	HYPOTHETICAL_TOPIC_BINDING
D0	f21r.11:2	chol	bearer	f21r.10:6	HYPOTHETICAL_TOPIC_BINDING
I0	f21r.11:2	chol	agent	IMPLICIT_ADDRESSEE:f21r	SHARED_IMPLICIT_AGENT
I0	f21r.11:2	chol	material	f21r.10:6	HYPOTHETICAL_TOPIC_BINDING
D0	f21r.11:3	shol	bearer	f21r.10:6	HYPOTHETICAL_TOPIC_BINDING
I0	f21r.11:3	shol	agent	IMPLICIT_ADDRESSEE:f21r	SHARED_IMPLICIT_AGENT
I0	f21r.11:3	shol	material	f21r.10:6	HYPOTHETICAL_TOPIC_BINDING
D0	f21r.11:7	shey	bearer	f21r.10:6	HYPOTHETICAL_TOPIC_BINDING
I0	f21r.11:7	shey	agent	IMPLICIT_ADDRESSEE:f21r	SHARED_IMPLICIT_AGENT
I0	f21r.11:7	shey	material	f21r.10:6	HYPOTHETICAL_TOPIC_BINDING
D0	f21r.12:6	chol	bearer	f21r.12:5	HYPOTHETICAL_TOPIC_BINDING
I0	f21r.12:6	chol	agent	IMPLICIT_ADDRESSEE:f21r	SHARED_IMPLICIT_AGENT
I0	f21r.12:6	chol	material	f21r.12:5	HYPOTHETICAL_TOPIC_BINDING
D0	f21r.12:8	chkaiin	bearer	f21r.12:5	HYPOTHETICAL_TOPIC_BINDING
I0	f21r.12:8	chkaiin	agent	IMPLICIT_ADDRESSEE:f21r	SHARED_IMPLICIT_AGENT
I0	f21r.12:8	chkaiin	material	f21r.12:5	HYPOTHETICAL_TOPIC_BINDING
D0	f32v.9:1	qotchy	material	f32v.8:9	HYPOTHETICAL_TOPIC_BINDING
D0	f32v.9:1	qotchy	location	f32v.9:2	HYPOTHETICAL_TYPE_MATCH
I0	f32v.9:1	qotchy	agent	IMPLICIT_ADDRESSEE:f32v	SHARED_IMPLICIT_AGENT
I0	f32v.9:1	qotchy	material	f32v.8:9	HYPOTHETICAL_TOPIC_BINDING
I0	f32v.9:1	qotchy	destination	f32v.9:2	HYPOTHETICAL_TYPE_MATCH
D0	f32v.10:1	sho	bearer	f32v.9:6	HYPOTHETICAL_TOPIC_BINDING
D0	f32v.10:1	sho	content	f32v.10:2	HYPOTHETICAL_TYPE_MATCH
