word	value	type	origin	loci
tcho	Pflanzenmaterial	MATERIAL	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f17r.4:1
cthy	Kraut	MATERIAL	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f17r.5:2,f21r.9:8,f29v.1:7,f29v.2:5,f29v.4:4
chor	Blüten	MATERIAL	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f17r.5:3,f21r.12:2,f21r.12:5,f32v.10:3
shor	Früchte	MATERIAL	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f17r.5:4,f29v.1:2
cthey	Arzneiform A	MATERIAL	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f17r.5:8,f21r.9:6
qody	fertige Zubereitung	MATERIAL	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f17r.5:9
okaiin	Ansatz	MATERIAL	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f21r.9:1,f29v.4:3,f29v.4:9
tshaiin	Flüssigauszug	MATERIAL	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f21r.9:3
chy	Wasser	MATERIAL	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f21r.10:3,f32v.11:3
qotaiin	abgeteilte Portion	MATERIAL	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f21r.10:5,f32v.8:6
qotchol	Trockenmaterial	MATERIAL	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f21r.10:6
otchol	Trockenmaterial	MATERIAL	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f32v.8:1
ctho	Pflanzenpulver	MATERIAL	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f32v.8:4
shan	Feinanteil	MATERIAL	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f32v.8:9
chocthy	Pflanzenmark	MATERIAL	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f32v.9:4
cthaiin	Pflanzenportion	MATERIAL	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f32v.9:6
keol	Öl	MATERIAL	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f32v.10:2
cthol	Trockenmaterial	MATERIAL	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f32v.10:8
kooiin	Wurzelmaterial	MATERIAL	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f29v.1:1
qotcheaiin	Feinpulver	MATERIAL	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f29v.2:1
cthold	Pflanzenrückstand	MATERIAL	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f29v.2:7
ytchor	zerkleinerte Blüten	MATERIAL	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f29v.2:8
odaiin	Zusatzportion	MATERIAL	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f29v.3:5
cfhy	Filterstelle	LOCATION	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f32v.9:2
taiin	Auffanggefäß	LOCATION	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f29v.3:7
kor	Mörser	LOCATION	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f29v.3:3
cho	Inneres	LOCATION	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f17r.6:3,f29v.1:9
ol	auch	OTHER	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f32v.11:1,f29v.1:4
s	und	OTHER	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f21r.9:9,f32v.7:9,f29v.2:2,f29v.3:8,f29v.4:6
daiin	Maß Γ	OTHER	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f21r.12:7,f32v.8:2,f32v.8:3,f32v.8:5,f32v.9:5,f32v.9:7,f32v.10:5,f29v.1:11
dain	Maß Β	OTHER	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f32v.7:7
dair	Anteil Β	OTHER	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f17r.5:7
dary	Teilmenge	OTHER	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f29v.2:9
shy	feucht	OTHER	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f29v.1:8,f29v.1:10
otshy	kalt-feucht	OTHER	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f29v.4:2
oltchy	kalt-trocken	OTHER	P11_authored_concrete_assumption; overlaps earlier conjectures but no evidence credit	f29v.4:5
