page	locus	position	word	mention	current_material	claimed_as_right_argument
f17r	f17r.4	1	tcho	f17r.4:1	f17r.4:1	NA
f17r	f17r.4	2	shol	f17r.4:2	f17r.4:1	NA
f17r	f17r.4	3	qokol	f17r.4:3	f17r.4:1	NA
f17r	f17r.4	4	qor	f17r.4:4	f17r.4:1	NA
f17r	f17r.4	5	olaiin	f17r.4:5	f17r.4:1	NA
f17r	f17r.4	6	opydg	f17r.4:6	f17r.4:1	NA
f17r	f17r.4	7	som	f17r.4:7	f17r.4:1	NA
f17r	f17r.4	8	ypchy	f17r.4:8	f17r.4:1	NA
f17r	f17r.4	9	ypaim	f17r.4:9	f17r.4:1	NA
f17r	f17r.5	1	ychekchy	f17r.5:1	f17r.4:1	NA
f17r	f17r.5	2	cthy	f17r.5:2	f17r.5:2	NA
f17r	f17r.5	3	chor	f17r.5:3	f17r.5:3	NA
f17r	f17r.5	4	shor	f17r.5:4	f17r.5:4	NA
f17r	f17r.5	5	cphor	f17r.5:5	f17r.5:4	NA
f17r	f17r.5	6	cphaldy	f17r.5:6	f17r.5:4	NA
f17r	f17r.5	7	dair	f17r.5:7	f17r.5:4	NA
f17r	f17r.5	8	cthey	f17r.5:8	f17r.5:8	NA
f17r	f17r.5	9	qody	f17r.5:9	f17r.5:9	NA
f17r	f17r.6	1	tsho	f17r.6:1	f17r.5:9	NA
f17r	f17r.6	2	qof	f17r.6:2	f17r.5:9	NA
f17r	f17r.6	3	cho	f17r.6:3	f17r.5:9	NA
f17r	f17r.6	4	qokcheor	f17r.6:4	f17r.5:9	NA
f17r	f17r.6	5	cheteg	f17r.6:5	f17r.5:9	NA
f21r	f21r.8	1	fcho	f21r.8:1	UNWRITTEN_TOPIC:f21r	NA
f21r	f21r.8	2	kshy	f21r.8:2	UNWRITTEN_TOPIC:f21r	NA
f21r	f21r.8	3	otor	f21r.8:3	UNWRITTEN_TOPIC:f21r	NA
f21r	f21r.8	4	sheol	f21r.8:4	UNWRITTEN_TOPIC:f21r	NA
f21r	f21r.8	5	ocphal	f21r.8:5	UNWRITTEN_TOPIC:f21r	NA
f21r	f21r.8	6	opsheas	f21r.8:6	UNWRITTEN_TOPIC:f21r	NA
f21r	f21r.8	7	cthodaiin	f21r.8:7	UNWRITTEN_TOPIC:f21r	NA
f21r	f21r.8	8	oty	f21r.8:8	UNWRITTEN_TOPIC:f21r	NA
f21r	f21r.9	1	okaiin	f21r.9:1	f21r.9:1	NA
f21r	f21r.9	2	sho	f21r.9:2	f21r.9:1	NA
f21r	f21r.9	3	tshaiin	f21r.9:3	f21r.9:1	f21r.9:2
f21r	f21r.9	4	chkaiin	f21r.9:4	f21r.9:1	NA
f21r	f21r.9	5	sh	f21r.9:5	f21r.9:1	NA
f21r	f21r.9	6	cthey	f21r.9:6	f21r.9:6	NA
f21r	f21r.9	7	cthody	f21r.9:7	f21r.9:6	NA
f21r	f21r.9	8	cthy	f21r.9:8	f21r.9:8	NA
f21r	f21r.9	9	s	f21r.9:9	f21r.9:8	NA
f21r	f21r.10	1	totchy	f21r.10:1	f21r.9:8	NA
f21r	f21r.10	2	keor	f21r.10:2	f21r.9:8	NA
f21r	f21r.10	3	chy	f21r.10:3	f21r.10:3	NA
f21r	f21r.10	4	ky	f21r.10:4	f21r.10:3	NA
f21r	f21r.10	5	qotaiin	f21r.10:5	f21r.10:5	NA
f21r	f21r.10	6	qotchol	f21r.10:6	f21r.10:6	NA
f21r	f21r.10	7	ty	f21r.10:7	f21r.10:6	NA
f21r	f21r.10	8	ctheey	f21r.10:8	f21r.10:6	NA
f21r	f21r.10	9	otaiin	f21r.10:9	f21r.10:6	NA
f21r	f21r.11	1	shol	f21r.11:1	f21r.10:6	NA
f21r	f21r.11	2	chol	f21r.11:2	f21r.10:6	NA
f21r	f21r.11	3	shol	f21r.11:3	f21r.10:6	NA
f21r	f21r.11	4	tchol	f21r.11:4	f21r.10:6	NA
f21r	f21r.11	5	chcthy	f21r.11:5	f21r.10:6	NA
f21r	f21r.11	6	otyky	f21r.11:6	f21r.10:6	NA
f21r	f21r.11	7	shey	f21r.11:7	f21r.10:6	NA
f21r	f21r.11	8	yteol	f21r.11:8	f21r.10:6	NA
f21r	f21r.11	9	shody	f21r.11:9	f21r.10:6	NA
f21r	f21r.12	1	ykeey	f21r.12:1	f21r.10:6	NA
f21r	f21r.12	2	chor	f21r.12:2	f21r.12:2	NA
f21r	f21r.12	3	sheey	f21r.12:3	f21r.12:2	NA
f21r	f21r.12	4	ysheol	f21r.12:4	f21r.12:2	NA
f21r	f21r.12	5	chor	f21r.12:5	f21r.12:5	NA
f21r	f21r.12	6	chol	f21r.12:6	f21r.12:5	NA
f21r	f21r.12	7	daiin	f21r.12:7	f21r.12:5	NA
f21r	f21r.12	8	chkaiin	f21r.12:8	f21r.12:5	NA
f32v	f32v.7	1	ksho	f32v.7:1	UNWRITTEN_TOPIC:f32v	NA
f32v	f32v.7	2	cphos	f32v.7:2	UNWRITTEN_TOPIC:f32v	NA
f32v	f32v.7	3	she	f32v.7:3	UNWRITTEN_TOPIC:f32v	NA
f32v	f32v.7	4	sheaiin	f32v.7:4	UNWRITTEN_TOPIC:f32v	NA
f32v	f32v.7	5	otshcho	f32v.7:5	UNWRITTEN_TOPIC:f32v	NA
f32v	f32v.7	6	r	f32v.7:6	UNWRITTEN_TOPIC:f32v	NA
f32v	f32v.7	7	dain	f32v.7:7	UNWRITTEN_TOPIC:f32v	NA
f32v	f32v.7	8	shckhy	f32v.7:8	UNWRITTEN_TOPIC:f32v	NA
