page	locus	position	word	mention	reading	status
f17r	f17r.4	1	tcho	f17r.4:1	Pflanzenmaterial	HYPOTHESIS_ONLY
f17r	f17r.4	2	shol	f17r.4:2	befeuchte	HYPOTHESIS_ONLY
f17r	f17r.4	3	qokol	f17r.4:3	⟦qokol⟧	OPEN
f17r	f17r.4	4	qor	f17r.4:4	⟦qor⟧	OPEN
f17r	f17r.4	5	olaiin	f17r.4:5	⟦olaiin⟧	OPEN
f17r	f17r.4	6	opydg	f17r.4:6	⟦opydg⟧	OPEN
f17r	f17r.4	7	som	f17r.4:7	⟦som⟧	OPEN
f17r	f17r.4	8	ypchy	f17r.4:8	⟦ypchy⟧	OPEN
f17r	f17r.4	9	ypaim	f17r.4:9	⟦ypaim⟧	OPEN
f17r	f17r.5	1	ychekchy	f17r.5:1	⟦ychekchy⟧	OPEN
f17r	f17r.5	2	cthy	f17r.5:2	Kraut	HYPOTHESIS_ONLY
f17r	f17r.5	3	chor	f17r.5:3	Blüten	HYPOTHESIS_ONLY
f17r	f17r.5	4	shor	f17r.5:4	Früchte	HYPOTHESIS_ONLY
f17r	f17r.5	5	cphor	f17r.5:5	⟦cphor⟧	OPEN
f17r	f17r.5	6	cphaldy	f17r.5:6	⟦cphaldy⟧	OPEN
f17r	f17r.5	7	dair	f17r.5:7	Anteil Β	HYPOTHESIS_ONLY
f17r	f17r.5	8	cthey	f17r.5:8	Arzneiform A	HYPOTHESIS_ONLY
f17r	f17r.5	9	qody	f17r.5:9	fertige Zubereitung	HYPOTHESIS_ONLY
f17r	f17r.6	1	tsho	f17r.6:1	⟦tsho⟧	OPEN
f17r	f17r.6	2	qof	f17r.6:2	⟦qof⟧	OPEN
f17r	f17r.6	3	cho	f17r.6:3	Inneres	HYPOTHESIS_ONLY
f17r	f17r.6	4	qokcheor	f17r.6:4	⟦qokcheor⟧	OPEN
f17r	f17r.6	5	cheteg	f17r.6:5	⟦cheteg⟧	OPEN
f21r	f21r.8	1	fcho	f21r.8:1	⟦fcho⟧	OPEN
f21r	f21r.8	2	kshy	f21r.8:2	⟦kshy⟧	OPEN
f21r	f21r.8	3	otor	f21r.8:3	⟦otor⟧	OPEN
f21r	f21r.8	4	sheol	f21r.8:4	⟦sheol⟧	OPEN
f21r	f21r.8	5	ocphal	f21r.8:5	⟦ocphal⟧	OPEN
f21r	f21r.8	6	opsheas	f21r.8:6	⟦opsheas⟧	OPEN
f21r	f21r.8	7	cthodaiin	f21r.8:7	⟦cthodaiin⟧	OPEN
f21r	f21r.8	8	oty	f21r.8:8	⟦oty⟧	OPEN
f21r	f21r.9	1	okaiin	f21r.9:1	Ansatz	HYPOTHESIS_ONLY
f21r	f21r.9	2	sho	f21r.9:2	führe zu	HYPOTHESIS_ONLY
f21r	f21r.9	3	tshaiin	f21r.9:3	Flüssigauszug	HYPOTHESIS_ONLY
f21r	f21r.9	4	chkaiin	f21r.9:4	vermische	HYPOTHESIS_ONLY
f21r	f21r.9	5	sh	f21r.9:5	⟦sh⟧	OPEN
f21r	f21r.9	6	cthey	f21r.9:6	Arzneiform A	HYPOTHESIS_ONLY
f21r	f21r.9	7	cthody	f21r.9:7	⟦cthody⟧	OPEN
f21r	f21r.9	8	cthy	f21r.9:8	Kraut	HYPOTHESIS_ONLY
f21r	f21r.9	9	s	f21r.9:9	und	HYPOTHESIS_ONLY
f21r	f21r.10	1	totchy	f21r.10:1	⟦totchy⟧	OPEN
f21r	f21r.10	2	keor	f21r.10:2	⟦keor⟧	OPEN
f21r	f21r.10	3	chy	f21r.10:3	Wasser	HYPOTHESIS_ONLY
f21r	f21r.10	4	ky	f21r.10:4	⟦ky⟧	OPEN
f21r	f21r.10	5	qotaiin	f21r.10:5	abgeteilte Portion	HYPOTHESIS_ONLY
f21r	f21r.10	6	qotchol	f21r.10:6	Trockenmaterial	HYPOTHESIS_ONLY
f21r	f21r.10	7	ty	f21r.10:7	⟦ty⟧	OPEN
