seam_ordinal	statement_id	physical_page	register	left_event_id	right_event_id	direction	mixed_state_nonstate	state_endpoint_event_id	state_endpoint_changed	shared_action_contacts	shared_action_contact_count	full_action_frame_exact_before	full_action_frame_exact_after	action_head_exact_before	action_head_exact_after	left_gdt567_clause_de	right_gdt567_clause_de	left_action_voice_clause_de	right_action_voice_clause_de	guard
1	G407-S001	f1r	SOURCE_SECTION_T	G407-E0001	G407-E0002	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Entnimm den laufenden Eintrag und wähle den laufenden Eintrag; an der bezeichneten Stelle und an der bezeichneten Stelle.	Ordne den laufenden Eintrag zu; zur Zielspalte.	Entnimm den laufenden Eintrag und wähle den laufenden Eintrag; an der bezeichneten Stelle und an der bezeichneten Stelle.	Ordne den laufenden Eintrag zu; zur Zielspalte.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
2	G407-S001	f1r	SOURCE_SECTION_T	G407-E0002	G407-E0003	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Ordne den laufenden Eintrag zu; zur Zielspalte.	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	Ordne den laufenden Eintrag zu; zur Zielspalte.	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
3	G407-S001	f1r	SOURCE_SECTION_T	G407-E0003	G407-E0004	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	Lege den Kennwert fest; an der bezeichneten Stelle.	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	Lege den Kennwert fest; an der bezeichneten Stelle.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
4	G407-S001	f1r	SOURCE_SECTION_T	G407-E0004	G407-E0005	NONSTATE_TO_STATE	YES	G407-E0005	YES	NONE	0	0	0	0	0	Lege den Kennwert fest; an der bezeichneten Stelle.	Weiter: halte den Kennwert.	Lege den Kennwert fest; an der bezeichneten Stelle.	Weiter: halte den Kennwert fest.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
5	G407-S001	f1r	SOURCE_SECTION_T	G407-E0005	G407-E0006	STATE_TO_NONSTATE	YES	G407-E0005	YES	SH:halte	1	0	1	1	1	Weiter: halte den Kennwert.	Halte die Eintragseinheit und den laufenden Eintrag fest.	Weiter: halte den Kennwert fest.	Halte die Eintragseinheit und den laufenden Eintrag fest.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
6	G407-S001	f1r	SOURCE_SECTION_T	G407-E0006	G407-E0007	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Halte die Eintragseinheit und den laufenden Eintrag fest.	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest, kennzeichne den laufenden Eintrag [wie zuvor] und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	Halte die Eintragseinheit und den laufenden Eintrag fest.	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest, kennzeichne den laufenden Eintrag [wie zuvor] und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
7	G407-S001	f1r	SOURCE_SECTION_T	G407-E0007	G407-E0008	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest, kennzeichne den laufenden Eintrag [wie zuvor] und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	Im laufenden Gang wähle den laufenden Eintrag.	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest, kennzeichne den laufenden Eintrag [wie zuvor] und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	Im laufenden Gang wähle den laufenden Eintrag.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
8	G407-S001	f1r	SOURCE_SECTION_T	G407-E0008	G407-E0009	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Im laufenden Gang wähle den laufenden Eintrag.	Ordne die Eintragseinheit zu.	Im laufenden Gang wähle den laufenden Eintrag.	Ordne die Eintragseinheit zu.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
9	G407-S001	f1r	SOURCE_SECTION_T	G407-E0009	G407-E0010	NONSTATE_TO_STATE	YES	G407-E0010	YES	NONE	0	0	0	0	0	Ordne die Eintragseinheit zu.	Weiter: halte den laufenden Eintrag; an der bezeichneten Stelle.	Ordne die Eintragseinheit zu.	Weiter: halte den laufenden Eintrag fest; an der bezeichneten Stelle.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
10	G407-S001	f1r	SOURCE_SECTION_T	G407-E0010	G407-E0011	STATE_TO_NONSTATE	YES	G407-E0010	YES	NONE	0	0	0	0	0	Weiter: halte den laufenden Eintrag; an der bezeichneten Stelle.	Wähle die Eintragseinheit und den laufenden Eintrag.	Weiter: halte den laufenden Eintrag fest; an der bezeichneten Stelle.	Wähle die Eintragseinheit und den laufenden Eintrag.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
