action_voice_card_id	action_root	register_scope	register_cell_count	generic_no_argument_de	generic_with_argument_de	owner_no_argument_de	owner_with_argument_de	target_action_head_de	requires_frame_change	state_event_count	state_action_occurrence_count	owner_bound_target_head_support_count	support_rate	gdt415_owner_local_expansions	example_event_ids	guard
GDT568-A01	OK	SOURCE_SECTION_T	1	setze	setze {argument}	trage ein	trage {argument} ein	trage	YES	12	12	12	1.000000000000	SOURCE_SECTION_T:EINTRAGEN	G407-E0184|G407-E0196|G515-E0313|G515-E0314|G515-E0316|G515-E0345|G515-E0405|G515-E0475	ACTION_OWNER_VOICE_ONLY__PORTABLE_ROOT_UNCHANGED
GDT568-A02	OK	HERBAL	1	setze	setze {argument}	setze im Arbeitsgang an	setze {argument} im Arbeitsgang an	setze	YES	44	44	44	1.000000000000	HERBAL:ARBEITSGANG ANSETZEN	G407-E0268|G407-E0363|G407-E0419|G407-E0423|G407-E0433|G407-E0471|G407-E0473|G407-E0516	ACTION_OWNER_VOICE_ONLY__PORTABLE_ROOT_UNCHANGED
GDT568-A03	OK	CELESTIAL	1	setze	setze {argument}	setze	setze {argument}	setze	NO	34	34	34	1.000000000000	CELESTIAL:POSITION SETZEN	G407-E0952|G407-E0954|G407-E1012|G407-E1014|G407-E1039|G407-E1081|G407-E1088|G407-E1104	ACTION_OWNER_VOICE_ONLY__PORTABLE_ROOT_UNCHANGED
GDT568-A04	OK	BIOLOGICAL	1	setze	setze {argument}	setze im Stationsgang an	setze {argument} im Stationsgang an	setze	YES	289	289	289	1.000000000000	BIOLOGICAL:STATIONSGANG ANSETZEN	G407-E1458|G407-E1475|G407-E1478|G407-E1483|G407-E1488|G407-E1493|G407-E1494|G407-E1497	ACTION_OWNER_VOICE_ONLY__PORTABLE_ROOT_UNCHANGED
GDT568-A05	OK	PHARMA	1	setze	setze {argument}	setze als Ansatz an	setze {argument} als Ansatz an	setze	YES	35	35	35	1.000000000000	PHARMA:ANSATZ ANSETZEN	G407-E3827|G407-E3851|G407-E3856|G407-E3871|G407-E3878|G407-E3888|G407-E3889|G407-E3890	ACTION_OWNER_VOICE_ONLY__PORTABLE_ROOT_UNCHANGED
GDT568-A06	CH	SOURCE_SECTION_T|BIOLOGICAL	2	nimm	nimm {argument}	entnimm	entnimm {argument}	entnimm	YES	74	81	74	1.000000000000	SOURCE_SECTION_T:ENTNEHMEN|BIOLOGICAL:POSTEN ENTNEHMEN	G407-E0058|G407-E0067|G407-E0151|G407-E0163|G407-E0187|G407-E0189|G407-E0212|G407-E0213	ACTION_OWNER_VOICE_ONLY__PORTABLE_ROOT_UNCHANGED
GDT568-A07	CH	HERBAL|PHARMA	2	nimm	nimm {argument}	nimm	nimm {argument}	nimm	NO	118	123	118	1.000000000000	HERBAL:PFLANZENTEIL NEHMEN|PHARMA:DROGENPOSTEN NEHMEN	G407-E0219|G407-E0229|G407-E0255|G407-E0256|G407-E0262|G407-E0277|G407-E0279|G407-E0280	ACTION_OWNER_VOICE_ONLY__PORTABLE_ROOT_UNCHANGED
GDT568-A08	CH	CELESTIAL	1	nimm	nimm {argument}	nimm auf	nimm {argument} auf	nimm	YES	34	35	34	1.000000000000	CELESTIAL:POSITION AUFNEHMEN	G407-E0959|G407-E1030|G407-E1031|G407-E1033|G407-E1034|G407-E1038|G407-E1058|G407-E1071	ACTION_OWNER_VOICE_ONLY__PORTABLE_ROOT_UNCHANGED
GDT568-A09	SH	SOURCE_SECTION_T	1	halte	halte {argument}	halte fest	halte {argument} fest	halte	YES	54	54	54	1.000000000000	SOURCE_SECTION_T:FESTHALTEN	G407-E0005|G407-E0010|G407-E0048|G407-E0056|G407-E0068|G407-E0082|G407-E0083|G407-E0095	ACTION_OWNER_VOICE_ONLY__PORTABLE_ROOT_UNCHANGED
GDT568-A10	SH	HERBAL|CELESTIAL|BIOLOGICAL|PHARMA	4	halte	halte {argument}	halte	halte {argument}	halte	NO	378	380	378	1.000000000000	HERBAL:MATERIAL HALTEN|CELESTIAL:POSITION HALTEN|BIOLOGICAL:POSTEN HALTEN|PHARMA:ANSATZ HALTEN	G407-E0298|G407-E0299|G407-E0300|G407-E0307|G407-E0368|G407-E0371|G407-E0435|G407-E0443	ACTION_OWNER_VOICE_ONLY__PORTABLE_ROOT_UNCHANGED
GDT568-A11	K	SOURCE_SECTION_T|CELESTIAL	2	gib	gib {argument}	ordne zu	ordne {argument} zu	ordne	YES	44	45	44	1.000000000000	SOURCE_SECTION_T:ZUORDNEN|CELESTIAL:WERT ZUORDNEN	G407-E0113|G407-E0114|G407-E0115|G407-E0158|G407-E0913|G407-E1000|G407-E1058|G407-E1065	ACTION_OWNER_VOICE_ONLY__PORTABLE_ROOT_UNCHANGED
GDT568-A12	K	HERBAL|PHARMA	2	gib	gib {argument}	gib zu	gib {argument} zu	gib	YES	68	68	68	1.000000000000	HERBAL:MATERIAL ZUGEBEN|PHARMA:ZUTAT ZUGEBEN	G407-E0322|G407-E0324|G407-E0325|G407-E0382|G407-E0403|G407-E0437|G407-E0452|G407-E0457	ACTION_OWNER_VOICE_ONLY__PORTABLE_ROOT_UNCHANGED
GDT568-A13	K	BIOLOGICAL	1	gib	gib {argument}	führe zu	führe {argument} zu	führe	YES	118	118	118	1.000000000000	BIOLOGICAL:POSTEN ZUFÜHREN	G407-E1438|G407-E1447|G407-E1470|G407-E1510|G407-E1535|G407-E1555|G407-E1578|G407-E1632	ACTION_OWNER_VOICE_ONLY__PORTABLE_ROOT_UNCHANGED
GDT568-A14	S	SOURCE_SECTION_T|HERBAL|CELESTIAL|BIOLOGICAL|PHARMA	5	wähle	wähle {argument}	wähle	wähle {argument}	wähle	NO	114	115	114	1.000000000000	SOURCE_SECTION_T:AUSWÄHLEN|HERBAL:PFLANZENTEIL WÄHLEN|CELESTIAL:POSITION WÄHLEN|BIOLOGICAL:STATION WÄHLEN|PHARMA:DROGENPOSTEN WÄHLEN	G407-E0032|G407-E0033|G407-E0074|G407-E0151|G407-E0354|G407-E0362|G407-E0440|G407-E0462	ACTION_OWNER_VOICE_ONLY__PORTABLE_ROOT_UNCHANGED
GDT568-A15	CHD	SOURCE_SECTION_T|HERBAL|CELESTIAL|BIOLOGICAL|PHARMA	5	bearbeite	bearbeite {argument}	bearbeite	bearbeite {argument}	bearbeite	NO	184	184	184	1.000000000000	SOURCE_SECTION_T:EINTRAG BEARBEITEN|HERBAL:MATERIAL BEARBEITEN|CELESTIAL:EINTRAG BEARBEITEN|BIOLOGICAL:POSTEN BEARBEITEN|PHARMA:ANSATZ BEARBEITEN	G407-E1145|G407-E1276|G407-E1348|G407-E1349|G407-E1430|G407-E1477|G407-E1494|G407-E1501	ACTION_OWNER_VOICE_ONLY__PORTABLE_ROOT_UNCHANGED
GDT568-A16	T	SOURCE_SECTION_T	1	stelle ein	stelle {argument} ein	lege fest	lege {argument} fest	lege	YES	12	12	12	1.000000000000	SOURCE_SECTION_T:FESTLEGEN	G407-E0071|G407-E0150|G407-E0151|G407-E0187|G407-E0189|G407-E0210|G515-E0456|G515-E0496	ACTION_OWNER_VOICE_ONLY__PORTABLE_ROOT_UNCHANGED
GDT568-A17	T	HERBAL|CELESTIAL|BIOLOGICAL|PHARMA	4	stelle ein	stelle {argument} ein	stelle ein	stelle {argument} ein	stelle	NO	108	108	108	1.000000000000	HERBAL:ARBEITSSTUFE EINSTELLEN|CELESTIAL:WERT EINSTELLEN|BIOLOGICAL:STATIONSWERT EINSTELLEN|PHARMA:ANSATZWERT EINSTELLEN	G407-E0229|G407-E0233|G407-E0238|G407-E0239|G407-E0262|G407-E0302|G407-E0305|G407-E0306	ACTION_OWNER_VOICE_ONLY__PORTABLE_ROOT_UNCHANGED
GDT568-A18	R	SOURCE_SECTION_T	1	markiere	markiere {argument}	kennzeichne	kennzeichne {argument}	kennzeichne	YES	5	5	5	1.000000000000	SOURCE_SECTION_T:KENNZEICHNEN	G407-E0034|G407-E0171|G515-E0354|G515-E0366|G515-E0542	ACTION_OWNER_VOICE_ONLY__PORTABLE_ROOT_UNCHANGED
GDT568-A19	R	HERBAL|CELESTIAL|BIOLOGICAL|PHARMA	4	markiere	markiere {argument}	markiere	markiere {argument}	markiere	NO	25	25	25	1.000000000000	HERBAL:TEIL MARKIEREN|CELESTIAL:POSITION MARKIEREN|BIOLOGICAL:STATION MARKIEREN|PHARMA:POSTEN MARKIEREN	G407-E0253|G407-E0521|G407-E0577|G407-E0622|G407-E1109|G407-E1465|G407-E1528|G407-E1647	ACTION_OWNER_VOICE_ONLY__PORTABLE_ROOT_UNCHANGED
