register_action_cell_id	register	action_root	action_voice_card_id	portable_default_de	gdt415_owner_local_expansion_de	generic_with_argument_de	owner_with_argument_de	target_action_head_de	frame_already_exact	action_head_already_exact	state_event_count	state_action_occurrence_count	owner_bound_target_head_support_count	gdt415_source_event_count	guard
GDT568-C01	SOURCE_SECTION_T	OK	GDT568-A01	SETZEN	EINTRAGEN	setze {argument}	trage {argument} ein	trage	NO	NO	12	12	12	16	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C02	SOURCE_SECTION_T	CH	GDT568-A06	NEHMEN	ENTNEHMEN	nimm {argument}	entnimm {argument}	entnimm	NO	NO	17	19	17	57	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C03	SOURCE_SECTION_T	SH	GDT568-A09	HALTEN	FESTHALTEN	halte {argument}	halte {argument} fest	halte	NO	YES	54	54	54	43	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C04	SOURCE_SECTION_T	K	GDT568-A11	GEBEN	ZUORDNEN	gib {argument}	ordne {argument} zu	ordne	NO	NO	22	22	22	29	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C05	SOURCE_SECTION_T	S	GDT568-A14	WÄHLEN	AUSWÄHLEN	wähle {argument}	wähle {argument}	wähle	YES	YES	9	9	9	19	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C06	SOURCE_SECTION_T	CHD	GDT568-A15	BEARBEITEN	EINTRAG BEARBEITEN	bearbeite {argument}	bearbeite {argument}	bearbeite	YES	YES	9	9	9	1	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C07	SOURCE_SECTION_T	T	GDT568-A16	EINSTELLEN	FESTLEGEN	stelle {argument} ein	lege {argument} fest	lege	NO	NO	12	12	12	27	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C08	SOURCE_SECTION_T	R	GDT568-A18	MARKIEREN	KENNZEICHNEN	markiere {argument}	kennzeichne {argument}	kennzeichne	NO	NO	5	5	5	6	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C09	SOURCE_SECTION_T	P	GDT568-A20	EINSETZEN	IN EINTRAG EINSETZEN	setze {argument} ein	setze {argument} ein	setze	YES	YES	8	8	8	11	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C10	HERBAL	OK	GDT568-A02	SETZEN	ARBEITSGANG ANSETZEN	setze {argument}	setze {argument} im Arbeitsgang an	setze	NO	YES	44	44	44	113	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C11	HERBAL	CH	GDT568-A07	NEHMEN	PFLANZENTEIL NEHMEN	nimm {argument}	nimm {argument}	nimm	YES	YES	75	78	75	215	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C12	HERBAL	SH	GDT568-A10	HALTEN	MATERIAL HALTEN	halte {argument}	halte {argument}	halte	YES	YES	52	54	52	84	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C13	HERBAL	K	GDT568-A12	GEBEN	MATERIAL ZUGEBEN	gib {argument}	gib {argument} zu	gib	NO	YES	44	44	44	106	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C14	HERBAL	S	GDT568-A14	WÄHLEN	PFLANZENTEIL WÄHLEN	wähle {argument}	wähle {argument}	wähle	YES	YES	24	24	24	47	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C15	HERBAL	CHD	GDT568-A15	BEARBEITEN	MATERIAL BEARBEITEN	bearbeite {argument}	bearbeite {argument}	bearbeite	YES	YES	13	13	13	29	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C16	HERBAL	T	GDT568-A17	EINSTELLEN	ARBEITSSTUFE EINSTELLEN	stelle {argument} ein	stelle {argument} ein	stelle	YES	YES	43	43	43	103	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C17	HERBAL	R	GDT568-A19	MARKIEREN	TEIL MARKIEREN	markiere {argument}	markiere {argument}	markiere	YES	YES	4	4	4	14	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
