state_edition_ordinal	event_id	statement_id	physical_page	register	owner_id	surface	final_context_recipe	gdt567_owner_voice_clause_de	action_voice_working_clause_de	owner_bound_control_clause_de	generic_action_chain_de	owner_action_chain_de	action_voice_changed	action_voice_equals_owner_bound	action_voice_card_count	action_voice_card_ids	state_atom_alignment	guard	effective_action_roots	action_topology	effective_argument_roots
1	G407-E0005	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shol	SH+OL	Weiter: halte den Kennwert.	Weiter: halte den Kennwert fest.	Weiter halte den Kennwert [wie zuvor] fest.	halte den Kennwert	halte den Kennwert fest	YES	NO	1	GDT568-A09	1:SH=halten | 2:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	SH	A	AIIN
2	G407-E0010	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sholdy	SH+OL+D_ADDR+Y	Weiter: halte den laufenden Eintrag; an der bezeichneten Stelle.	Weiter: halte den laufenden Eintrag fest; an der bezeichneten Stelle.	Weiter halte den laufenden Eintrag fest; an der bezeichneten Stelle.	halte den laufenden Eintrag	halte den laufenden Eintrag fest	YES	NO	1	GDT568-A09	1:SH=halten | 2:OL=weiter | 3:D_ADDR=hier | 4:Y=den Posten	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	SH	A	Y
3	G407-E0032	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	oteey	OT+EE+Y	Danach: wähle den laufenden Eintrag; auf Grad II.	Danach: wähle den laufenden Eintrag; auf Grad II.	Danach im laufenden Gang wähle den laufenden Eintrag; auf Grad II.	wähle den laufenden Eintrag	wähle den laufenden Eintrag	NO	NO	1	GDT568-A14	1:OT=danach | 2:EE=auf Grad II | 3:Y=den Posten	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	S	A	Y
4	G407-E0033	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	oteos	OT+E+O+S_ADDR	Danach: wähle den laufenden Eintrag; auf Grad I; zur Ausführung; an der bezeichneten Stelle.	Danach: wähle den laufenden Eintrag; auf Grad I; zur Ausführung; an der bezeichneten Stelle.	Danach im laufenden Gang wähle den laufenden Eintrag [wie zuvor]; auf Grad I und als Ausführung; an der bezeichneten Stelle.	wähle den laufenden Eintrag	wähle den laufenden Eintrag	NO	NO	1	GDT568-A14	1:OT=danach | 2:E=auf Grad I | 3:O=zur Ausführung | 4:S_ADDR=hier	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	S	A	Y
5	G407-E0034	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	roloty	R+OL+OT+Y	Weiter: markiere den laufenden Eintrag; danach nächsten Gang eröffnen.	Weiter: kennzeichne den laufenden Eintrag; danach nächsten Gang eröffnen.	Weiter und danach kennzeichne den laufenden Eintrag.	markiere den laufenden Eintrag	kennzeichne den laufenden Eintrag	YES	NO	1	GDT568-A18	1:R=markieren | 2:OL=weiter | 3:OT=danach | 4:Y=den Posten	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	R	A	Y
6	G407-E0048	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shol	SH+OL	Weiter: halte.	Weiter: halte fest.	Weiter halte fest.	halte	halte fest	YES	NO	1	GDT568-A09	1:SH=halten | 2:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	SH	A	NONE
7	G407-E0056	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shody	SH+O+DY	Halte den laufenden Eintrag; zur Ausführung; schließe den Schritt.	Halte den laufenden Eintrag fest; zur Ausführung; schließe den Schritt.	Halte den laufenden Eintrag [wie zuvor] fest; als Ausführung; schließe den Schritt.	halte den laufenden Eintrag	halte den laufenden Eintrag fest	YES	NO	1	GDT568-A09	1:SH=halten | 2:O=zur Ausführung | 3:DY=abschließen	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	SH	A	Y
8	G407-E0058	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	otchol	OT+CH+OL	Danach: nimm den laufenden Eintrag; weiterführen.	Danach: entnimm den laufenden Eintrag; weiterführen.	Danach und weiter entnimm den laufenden Eintrag [wie zuvor].	nimm den laufenden Eintrag	entnimm den laufenden Eintrag	YES	NO	1	GDT568-A06	1:OT=danach | 2:CH=nehmen | 3:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	CH	A	Y
9	G407-E0067	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	cfhol	CH+LOCAL_CHAR_F+OL	Weiter: nimm den Kennwert; an der bezeichneten Stelle.	Weiter: entnimm den Kennwert; an der bezeichneten Stelle.	Weiter entnimm den Kennwert [wie zuvor]; an der bezeichneten Stelle.	nimm den Kennwert	entnimm den Kennwert	YES	NO	1	GDT568-A06	1:CH=nehmen | 2:LOCAL_CHAR_F=hier | 3:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	CH	A	AIIN
10	G407-E0068	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shody	SH+O+DY	Halte den Kennwert; zur Ausführung; schließe den Schritt.	Halte den Kennwert fest; zur Ausführung; schließe den Schritt.	Halte den Kennwert [wie zuvor] fest; als Ausführung; schließe den Schritt.	halte den Kennwert	halte den Kennwert fest	YES	NO	1	GDT568-A09	1:SH=halten | 2:O=zur Ausführung | 3:DY=abschließen	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	SH	A	AIIN
