held_physical_folio	candidate_id	remaining_case_count	fold_score	best_rival_score	margin_over_best_rival	fold_minimum_candidates	candidate_unique_fold_winner
f3	OL_PARTITIVE_VON	14	9	5	-4	OL_QUANTIFIABLE_NOMINAL_HEAD	0
f3	OL_DIRECTIONAL_AUS	14	23	5	-18	OL_QUANTIFIABLE_NOMINAL_HEAD	0
f3	OL_QUANTIFIABLE_NOMINAL_HEAD	14	5	9	4	OL_QUANTIFIABLE_NOMINAL_HEAD	1
f3	OL_FIELD_SEQUENCE_MARKER	14	13	5	-8	OL_QUANTIFIABLE_NOMINAL_HEAD	0
f3	OL_MEASURE_UNIT_COMPLEMENT	14	13	5	-8	OL_QUANTIFIABLE_NOMINAL_HEAD	0
f30	OL_PARTITIVE_VON	14	10	6	-4	OL_QUANTIFIABLE_NOMINAL_HEAD	0
f30	OL_DIRECTIONAL_AUS	14	22	6	-16	OL_QUANTIFIABLE_NOMINAL_HEAD	0
f30	OL_QUANTIFIABLE_NOMINAL_HEAD	14	6	10	4	OL_QUANTIFIABLE_NOMINAL_HEAD	1
f30	OL_FIELD_SEQUENCE_MARKER	14	12	6	-6	OL_QUANTIFIABLE_NOMINAL_HEAD	0
f30	OL_MEASURE_UNIT_COMPLEMENT	14	14	6	-8	OL_QUANTIFIABLE_NOMINAL_HEAD	0
f55	OL_PARTITIVE_VON	13	7	5	-2	OL_QUANTIFIABLE_NOMINAL_HEAD	0
f55	OL_DIRECTIONAL_AUS	13	21	5	-16	OL_QUANTIFIABLE_NOMINAL_HEAD	0
f55	OL_QUANTIFIABLE_NOMINAL_HEAD	13	5	7	2	OL_QUANTIFIABLE_NOMINAL_HEAD	1
f55	OL_FIELD_SEQUENCE_MARKER	13	11	5	-6	OL_QUANTIFIABLE_NOMINAL_HEAD	0
f55	OL_MEASURE_UNIT_COMPLEMENT	13	12	5	-7	OL_QUANTIFIABLE_NOMINAL_HEAD	0
f58	OL_PARTITIVE_VON	14	9	5	-4	OL_QUANTIFIABLE_NOMINAL_HEAD	0
