cohort_id	locus	physical_folio	ordinal	surface	is_ol_target	working_default_de	default_source	render_once	span_id	span_member_role	default_is_translation	confirmed_lexeme	component_export_credit
G770-L008	f58r.13	f58	1	ytar	0	gekühlte Fraktion I	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L008	f58r.13	f58	2	sheear	0	Zubereitungszusatz	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L008	f58r.13	f58	3	cheoldy	0	getrockneter Endauszug	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L008	f58r.13	f58	4	ykeol	0	Zwischenansatz	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L008	f58r.13	f58	5	cheal	0	Trockenstoff I, Mittelstufe	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L008	f58r.13	f58	6	cheody	0	getrocknete Masse	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L008	f58r.13	f58	7	chal	0	Trockenstoff I, Anfangsstufe	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L008	f58r.13	f58	8	chaiin	0	Trockenstufe III	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L008	f58r.13	f58	9	ol	1	und dann	G773-D03	1	NONE	NONE	0	0	0
G770-L008	f58r.13	f58	10	oly	0	Abseihen	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L009	f3r.19	f3	1	otchor	0	kalt-trockene Portion	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L009	f3r.19	f3	2	ol	1	und	G773-D04	1	NONE	NONE	0	0	0
G770-L009	f3r.19	f3	3	cheor	0	Trockenform	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L009	f3r.19	f3	4	qoeor	0	Zubereitungsportion	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L009	f3r.19	f3	5	dair	0	Anteil II	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L009	f3r.19	f3	6	qoteol	0	Kaltzubereitung	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L009	f3r.19	f3	7	qosaiin	0	Dosis III	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L009	f3r.19	f3	8	chor	0	Blütenstand	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L009	f3r.19	f3	9	cthy	0	Blattgut	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L012	f55v.10	f55	1	oaiin	0	drei Ansatzportionen	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L012	f55v.10	f55	2	ol	1	Menge:	G773-D02	1	NONE	NONE	0	0	0
G770-L012	f55v.10	f55	3	s	0	drei Drachmen	GDT772_INHERITED_NON_OL_DEFAULT	1	G759-S0085	OWNER	0	0	0
G770-L012	f55v.10	f55	4	aiin	0	in der vorigen Mehrtoken-Mengenform enthalten	INHERITED_CONSUMED_SPAN_MEMBER	0	G759-S0085	CONSUMED	0	0	0
G770-L012	f55v.10	f55	5	okaiin	0	heiß, Grad III, im Ansatzrahmen	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L012	f55v.10	f55	6	oky	0	leicht erhitzter Ansatz	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L012	f55v.10	f55	7	ytaiin	0	Eintrag: kalt, Stufe III	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L012	f55v.10	f55	8	otar	0	Zwischenzubereitung ↔ weiter/dann; bis nur lokal	GDT772_OTHER_TARGET_WORKING_DICTIONARY	1	NONE	NONE	0	0	0
G770-L012	f55v.10	f55	9	y	0	; hierzu:	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L012	f55v.10	f55	10	kal	0	Rohstoffklasse I; leicht erhitzt	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L012	f55v.10	f55	11	ykar	0	nimm hiervon die erste erhitzte Drogenfraktion	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L012	f55v.10	f55	12	ol	1	;	G773-D05	1	NONE	NONE	0	0	0
G770-L013	f78r.37	f78	1	osal	0	Ansatz Form I; Rohstoff offen	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L013	f78r.37	f78	2	ol	1	Menge:	G773-D02	1	NONE	NONE	0	0	0
G770-L013	f78r.37	f78	3	s	0	drei Drachmen	GDT772_INHERITED_NON_OL_DEFAULT	1	G759-S0091	OWNER	0	0	0
G770-L013	f78r.37	f78	4	aiin	0	in der vorigen Mehrtoken-Mengenform enthalten	INHERITED_CONSUMED_SPAN_MEMBER	0	G759-S0091	CONSUMED	0	0	0
G770-L013	f78r.37	f78	5	shee	0	vollständig anfeuchten	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L013	f78r.37	f78	6	aiin	0	Menge III	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G770-L013	f78r.37	f78	7	oly	0	abseihen	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
G772-L016	f112r.36	f112	1	sain	0	Wert-/Mengenform II	GDT772_INHERITED_NON_OL_DEFAULT	1	NONE	NONE	0	0	0
