cohort_id	locus	physical_folio	source_token_count	practical_unit_count	ol_target_count	written_line_eva	ol_contextual_defaults_de	working_reading_de	all_source_tokens_accounted	inherited_non_ol_defaults_revalidated	default_is_translation	confirmed_plaintext
G770-L008	f58r.13	f58	10	10	1	ytar sheear cheoldy ykeol cheal cheody chal chaiin [ol] oly	und dann	gekühlte Fraktion I Zubereitungszusatz getrockneter Endauszug Zwischenansatz Trockenstoff I, Mittelstufe getrocknete Masse Trockenstoff I, Anfangsstufe Trockenstufe III und dann Abseihen	1	0	0	0
G770-L009	f3r.19	f3	9	9	1	otchor [ol] cheor qoeor dair qoteol qosaiin chor cthy	und	kalt-trockene Portion und Trockenform Zubereitungsportion Anteil II Kaltzubereitung Dosis III Blütenstand Blattgut	1	0	0	0
G770-L012	f55v.10	f55	12	11	2	oaiin [ol] s aiin okaiin oky ytaiin otar y kal ykar [ol]	Menge: | ;	drei Ansatzportionen; Menge: drei Drachmen heiß, Grad III, im Ansatzrahmen leicht erhitzter Ansatz Eintrag: kalt, Stufe III Zwischenzubereitung ↔ weiter/dann; bis nur lokal; hierzu: Rohstoffklasse I; leicht erhitzt nimm hiervon die erste erhitzte Drogenfraktion;	1	0	0	0
G770-L013	f78r.37	f78	7	6	1	osal [ol] s aiin shee aiin oly	Menge:	Ansatz Form I; Rohstoff offen; Menge: drei Drachmen vollständig anfeuchten Menge III abseihen	1	0	0	0
G772-L016	f112r.36	f112	6	6	1	sain [ol] checkhy olchain okeey olam	Ansatz:	Wert-/Mengenform II; Ansatz: trockene Zubereitungsform, Anfangsstufe trockener Zubereitungsposten, Stufe II; Stoff offen vollständig erhitzter Ansatz Maßposten I; Stoff offen	1	0	0	0
G772-L017	f30v.2	f30	10	10	1	qotchor chy she kchor chory keor [ol] chy daiin ctholdy	;	kalt-trockener Inhaltsposten leicht getrocknet feucht, attributiv gebunden heiß-trockener Inhaltsposten Pflanzenteil in Grundform heißer Mengen-/Inhaltsposten; leicht getrocknet Grad-/Maßwert III Blatt-/Krautgut fertigstellen	1	0	0	0
G772-L018	f75r.26	f75	8	8	2	dain [ol] sheol dain [ol] qoly dar ajy	Ansatz: | ;	Grad-/Maßwert II; Ansatz: feuchtes Material Qualitätsgrad II; gib Vorstehendes hinzu und schließe die Zugabe ab abgemessene Fraktion I fülle ein Bündel ab und schließe	1	0	0	0
G772-L019	f81r.15	f81	5	5	1	sain [ol] cheedy qokeedy otedy	Ansatz:	Wert-/Mengenform II; Ansatz: vollständig getrocknet, abgeschlossen vollständig erhitzt; abgeschlossen bis zur Mittelstufe abgekühlter Ansatz; abgeschlossen	1	0	0	0
G772-L020	f81r.22	f81	9	9	3	qotal chedy qol [ol] daiin [ol] chedar [ol] oly	: | ; | und dann	Rohstoffklasse I, leicht abgekühlt bis zur Mittelstufe getrocknet; abgeschlossen Zugabe-/Inhaltsfeld; genaue Funktion offen: Qualitätsgrad III; abgemessene Trockenfraktion I, Mittelstufe und dann abseihen	1	0	0	0
G772-L021	f82r.33	f82	6	6	1	sain [ol] cheol ey cheor chey	Ansatz:	Wert-/Mengenform II; Ansatz: Trockenmaterial anschließend Trockenportion bis zur Mittelstufe getrocknet	1	0	0	0
G772-L022	f85r1.21	f85	11	11	1	daiir cheody oraiin [ol] okaiin cheocthey olor otedy qotaiin chor chedy	Ansatz:	abgemessene Fraktion III getrockneter Ansatz drei Portionen; Ansatz: heiß, Grad III, im Ansatzrahmen trockene Zubereitungsform I Zutat bis zur Mittelstufe abgekühlter Ansatz; abgeschlossen kalt, Grad III Pflanzen-/Reproduktionsteil bis zur Mittelstufe getrocknet; abgeschlossen	1	0	0	0
