cohort_id	locus	risk_level	ol_direction_valid	source_token_count	ol_target_count	non_ol_token_count	non_ol_untyped_count	non_ol_display_only_count	non_ol_nonexact_count	written_line_eva	mechanical_working_reading_de	polished_record_reading_de	manual_note_de	editorial_condensation	all_ol_targets_preserved	polished_is_translation	confirmed_lexeme	confirmed_plaintext
G770-L008	f58r.13	MEDIUM	1	10	1	9	0	0	0	ytar sheear cheoldy ykeol cheal cheody chal chaiin [ol] oly	gekühlte Fraktion I Zubereitungszusatz getrockneter Endauszug Zwischenansatz Trockenstoff I, Mittelstufe getrocknete Masse Trockenstoff I, Anfangsstufe Trockenstufe III und dann Abseihen	gekühlte Fraktion I; Zubereitungszusatz; getrockneter Endauszug; Zwischenansatz; Trockenstoff I, Mittelstufe; getrocknete Masse; Trockenstoff I, Anfangsstufe; Trockenstufe III; dann abseihen	ol steht schlüssig vor dem Prozess; die übrigen Stoff- und Prozessnamen bleiben geerbte Arbeitsdefaults	1	1	0	0	0
G770-L009	f3r.19	MEDIUM	1	9	1	8	0	0	0	otchor [ol] cheor qoeor dair qoteol qosaiin chor cthy	kalt-trockene Portion und Trockenform Zubereitungsportion Anteil II Kaltzubereitung Dosis III Blütenstand Blattgut	kalt-trockene Portion und Trockenform; Zubereitungsportion; Anteil II; Kaltzubereitung; Dosis III; Blütenstand; Blattgut	ol koordiniert zwei Inhaltsfelder; von bleibt als Leser-Rivale sichtbar	1	1	0	0	0
G770-L012	f55v.10	HIGH	1	12	2	10	3	0	2	oaiin [ol] s aiin okaiin oky ytaiin otar y kal ykar [ol]	drei Ansatzportionen; Menge: drei Drachmen heiß, Grad III, im Ansatzrahmen leicht erhitzter Ansatz Eintrag: kalt, Stufe III Zwischenzubereitung ↔ weiter/dann; bis nur lokal; hierzu: Rohstoffklasse I; leicht erhitzt nimm hiervon die erste erhitzte Drogenfraktion;	drei Ansatzportionen; Menge: drei Drachmen; heiß, Grad III, im Ansatzrahmen; leicht erhitzter Ansatz; Eintrag: kalt, Stufe III; Zwischen-/Fortsetzungsfeld, Funktion offen; Rohstoffklasse I, leicht erhitzt; erhitzte Fraktion I	Menge ist korrekt gerichtet; alte Metaprosa und nicht gestützte Imperative sind nominalisiert	1	1	0	0	0
G770-L013	f78r.37	HIGH	1	7	1	6	1	0	1	osal [ol] s aiin shee aiin oly	Ansatz Form I; Rohstoff offen; Menge: drei Drachmen vollständig anfeuchten Menge III abseihen	Ansatz, Form I; Rohstoff offen; Menge: drei Drachmen; Feuchtprozess, Lesung offen; Wert/Menge III; abseihen	Menge ist korrekt gerichtet; der reader-inexakte Feuchtprozess bleibt ausdrücklich offen	1	1	0	0	0
G772-L016	f112r.36	MEDIUM	1	6	1	5	3	3	0	sain [ol] checkhy olchain okeey olam	Wert-/Mengenform II; Ansatz: trockene Zubereitungsform, Anfangsstufe trockener Zubereitungsposten, Stufe II; Stoff offen vollständig erhitzter Ansatz Maßposten I; Stoff offen	Wert/Menge II; Ansatz: trockene Zubereitungsform, Anfangsstufe; trockener Zubereitungsposten, Stufe II, Stoff offen; erhitzter Ansatz; Maßposten I, Stoff offen	Ansatz folgt der sichtbaren Menge-Inhalt-Richtung; von bleibt Rivale	1	1	0	0	0
G772-L017	f30v.2	HIGH	1	10	1	9	7	7	0	qotchor chy she kchor chory keor [ol] chy daiin ctholdy	kalt-trockener Inhaltsposten leicht getrocknet feucht, attributiv gebunden heiß-trockener Inhaltsposten Pflanzenteil in Grundform heißer Mengen-/Inhaltsposten; leicht getrocknet Grad-/Maßwert III Blatt-/Krautgut fertigstellen	kalt-trockener Inhaltsposten; leicht getrocknet; Feuchtattribut; heiß-trockener Inhaltsposten; Pflanzenteil in Grundform; heißer Mengen-/Inhaltsposten; leicht getrocknet; Wert III; Blatt-/Krautgut, Abschluss	ol als Feldgrenze ist stabil; die überwiegend untypisierte Zustandskette wird nicht als Satz ausgegeben	1	1	0	0	0
G772-L018	f75r.26	HIGH	1	8	2	6	3	3	0	dain [ol] sheol dain [ol] qoly dar ajy	Grad-/Maßwert II; Ansatz: feuchtes Material Qualitätsgrad II; gib Vorstehendes hinzu und schließe die Zugabe ab abgemessene Fraktion I fülle ein Bündel ab und schließe	Wert/Grad II; Ansatz-/Inhaltsfeld: feuchtes Material, Qualitätsgrad II; Zugabeabschluss; abgemessene Fraktion I; Abfüllabschluss	das erste ol ist der schwächste Zuordnungsfall, weil dain dimensionsoffen bleibt; das zweite ol ist Feldgrenze	1	1	0	0	0
G772-L019	f81r.15	HIGH	1	5	1	4	2	2	0	sain [ol] cheedy qokeedy otedy	Wert-/Mengenform II; Ansatz: vollständig getrocknet, abgeschlossen vollständig erhitzt; abgeschlossen bis zur Mittelstufe abgekühlter Ansatz; abgeschlossen	Wert/Menge II; Ansatz-/Zustandsfelder: trocken, Abschluss; erhitzt, Abschluss; abgekühlt bis Mittelstufe, Abschluss	ol ist richtungskompatibel; parallele Zustandsfelder sind sicherer als ein erfundener kontinuierlicher Ablauf	1	1	0	0	0
G772-L020	f81r.22	LOW	1	9	3	6	3	3	0	qotal chedy qol [ol] daiin [ol] chedar [ol] oly	Rohstoffklasse I, leicht abgekühlt bis zur Mittelstufe getrocknet; abgeschlossen Zugabe-/Inhaltsfeld; genaue Funktion offen: Qualitätsgrad III; abgemessene Trockenfraktion I, Mittelstufe und dann abseihen	Rohstoffklasse I, leicht abgekühlt; bis Mittelstufe getrocknet, Abschluss; Zugabe-/Inhaltsfeld: Qualitätsgrad III; abgemessene Trockenfraktion I, Mittelstufe; dann abseihen	die drei ol-Ausgaben Doppelpunkt, Feldgrenze und dann sind gemeinsam die stärkste Zeile	1	1	0	0	0
G772-L021	f82r.33	MEDIUM	1	6	1	5	3	3	0	sain [ol] cheol ey cheor chey	Wert-/Mengenform II; Ansatz: Trockenmaterial anschließend Trockenportion bis zur Mittelstufe getrocknet	Wert/Menge II; Ansatz: Trockenmaterial; anschließend: Trockenportion, bis Mittelstufe getrocknet	Ansatz folgt der Menge-Inhalt-Richtung; von bleibt Leser-Rivale	1	1	0	0	0
G772-L022	f85r1.21	HIGH	1	11	1	10	8	8	0	daiir cheody oraiin [ol] okaiin cheocthey olor otedy qotaiin chor chedy	abgemessene Fraktion III getrockneter Ansatz drei Portionen; Ansatz: heiß, Grad III, im Ansatzrahmen trockene Zubereitungsform I Zutat bis zur Mittelstufe abgekühlter Ansatz; abgeschlossen kalt, Grad III Pflanzen-/Reproduktionsteil bis zur Mittelstufe getrocknet; abgeschlossen	abgemessene Fraktion III; getrockneter Ansatz; drei Portionen; Ansatzfeld: heiß, Grad III; trockene Zubereitungsform I; Zutat; abgekühlt bis Mittelstufe, Abschluss; kalt, Grad III; Pflanzen-/Reproduktionsteil; getrocknet bis Mittelstufe, Abschluss	ol ist richtungskompatibel; acht geerbte untypisierte Defaults verlangen Register- statt Satzdarstellung	1	1	0	0	0
